,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,167.24,59,-9872.093579999999,59,127.906,-4.934,9995.066
20190110,Hold,166.55,0,0.0,59,127.906,-45.644,9954.356
20190111,Hold,167.27,0,0.0,59,127.906,-3.164,9996.836
20190114,Hold,168.02,0,0.0,59,127.906,41.086,10041.086
20190115,Hold,168.07,0,0.0,59,127.906,44.036,10044.036
20190116,Hold,167.61,0,0.0,59,127.906,16.896,10016.896
20190117,Sell,166.03,-59,9790.872115,0,9918.779,-81.221,9918.779
20190118,Hold,169.52,0,0.0,0,9918.779,-81.221,9918.779
20190122,Buy,168.8,58,-9795.2952,58,123.483,-86.117,9913.883
20190123,Hold,171.13,0,0.0,58,123.483,49.023,10049.023
20190124,Hold,173.08,0,0.0,58,123.483,162.123,10162.123
20190125,Hold,174.85,0,0.0,58,123.483,264.783,10264.783
20190128,Hold,169.53,0,0.0,58,123.483,-43.777,9956.223
20190129,Sell,169.75,-58,9840.57725,0,9964.061,-35.939,9964.061
20190130,Hold,169.41,0,0.0,0,9964.061,-35.939,9964.061
20190131,Hold,166.94,0,0.0,0,9964.061,-35.939,9964.061
20190201,Hold,166.29,0,0.0,0,9964.061,-35.939,9964.061
20190204,Hold,164.21,0,0.0,0,9964.061,-35.939,9964.061
20190205,Hold,164.59,0,0.0,0,9964.061,-35.939,9964.061
20190206,Hold,164.45,0,0.0,0,9964.061,-35.939,9964.061
20190207,Hold,163.0,0,0.0,0,9964.061,-35.939,9964.061
20190208,Hold,161.87,0,0.0,0,9964.061,-35.939,9964.061
20190211,Hold,162.32,0,0.0,0,9964.061,-35.939,9964.061
20190212,Hold,161.89,0,0.0,0,9964.061,-35.939,9964.061
20190213,Hold,161.15,0,0.0,0,9964.061,-35.939,9964.061
20190214,Hold,161.09,0,0.0,0,9964.061,-35.939,9964.061
20190215,Buy,164.2,60,-9856.926,60,107.135,-40.865,9959.135
20190219,Hold,167.73,0,0.0,60,107.135,170.935,10170.935
20190220,Hold,166.22,0,0.0,60,107.135,80.335,10080.335
20190221,Hold,167.13,0,0.0,60,107.135,134.935,10134.935
20190222,Hold,169.47,0,0.0,60,107.135,275.335,10275.335
20190225,Hold,170.36,0,0.0,60,107.135,328.735,10328.735
20190226,Hold,169.9,0,0.0,60,107.135,301.135,10301.135
20190227,Hold,169.54,0,0.0,60,107.135,279.535,10279.535
20190228,Hold,169.76,0,0.0,60,107.135,292.735,10292.735
20190301,Hold,172.06,0,0.0,60,107.135,430.735,10430.735
20190304,Hold,172.02,0,0.0,60,107.135,428.335,10428.335
20190305,Sell,168.33,-60,10094.750100000001,0,10201.885,201.885,10201.885
20190306,Hold,169.63,0,0.0,0,10201.885,201.885,10201.885
20190307,Hold,169.75,0,0.0,0,10201.885,201.885,10201.885
20190308,Hold,167.56,0,0.0,0,10201.885,201.885,10201.885
20190311,Hold,167.77,0,0.0,0,10201.885,201.885,10201.885
20190312,Hold,169.32,0,0.0,0,10201.885,201.885,10201.885
20190313,Buy,170.12,59,-10042.098539999999,59,159.786,196.866,10196.866
20190314,Hold,169.62,0,0.0,59,159.786,167.366,10167.366
20190315,Hold,170.83,0,0.0,59,159.786,238.756,10238.756
20190318,Hold,173.36,0,0.0,59,159.786,388.026,10388.026
20190319,Hold,171.57,0,0.0,59,159.786,282.416,10282.416
20190320,Hold,170.93,0,0.0,59,159.786,244.656,10244.656
20190321,Hold,171.92,0,0.0,59,159.786,303.066,10303.066
20190322,Hold,173.34,0,0.0,59,159.786,386.846,10386.846
20190325,Hold,173.62,0,0.0,59,159.786,403.366,10403.366
20190326,Hold,173.97,0,0.0,59,159.786,424.016,10424.016
20190327,Hold,174.9,0,0.0,59,159.786,478.886,10478.886
20190328,Hold,175.22,0,0.0,59,159.786,497.766,10497.766
20190329,Hold,177.33,0,0.0,59,159.786,622.256,10622.256
20190401,Hold,177.56,0,0.0,59,159.786,635.826,10635.826
20190402,Hold,176.07,0,0.0,59,159.786,547.916,10547.916
20190403,Sell,176.04,-59,10381.166819999999,0,10540.953,540.953,10540.953
20190404,Hold,176.2,0,0.0,0,10540.953,540.953,10540.953
20190405,Buy,177.42,59,-10473.013889999998,59,67.939,535.719,10535.719
20190408,Hold,177.74,0,0.0,59,67.939,554.599,10554.599
20190409,Hold,176.54,0,0.0,59,67.939,483.799,10483.799
20190410,Hold,177.61,0,0.0,59,67.939,546.929,10546.929
20190411,Sell,176.43,-59,10404.165315000002,0,10472.104,472.104,10472.104
20190412,Hold,176.72,0,0.0,0,10472.104,472.104,10472.104
20190415,Buy,178.76,58,-10373.26404,58,98.84,466.92,10466.92
20190416,Hold,179.41,0,0.0,58,98.84,504.62,10504.62
20190417,Hold,178.97,0,0.0,58,98.84,479.1,10479.1
20190418,Hold,178.76,0,0.0,58,98.84,466.92,10466.92
20190422,Hold,180.82,0,0.0,58,98.84,586.4,10586.4
20190423,Hold,181.1,0,0.0,58,98.84,602.64,10602.64
20190424,Hold,182.3,0,0.0,58,98.84,672.24,10672.24
20190425,Hold,183.14,0,0.0,58,98.84,720.96,10720.96
20190426,Hold,184.99,0,0.0,58,98.84,828.26,10828.26
20190429,Hold,184.52,0,0.0,58,98.84,801.0,10801.0
20190430,Hold,185.34,0,0.0,58,98.84,848.56,10848.56
20190501,Hold,182.55,0,0.0,58,98.84,686.74,10686.74
20190502,Sell,180.98,-58,10491.59158,0,10590.432,590.432,10590.432
20190503,Hold,182.08,0,0.0,0,10590.432,590.432,10590.432
20190506,Buy,183.18,57,-10446.48063,57,143.951,585.211,10585.211
20190507,Hold,184.5,0,0.0,57,143.951,660.451,10660.451
