,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,59.914,166,-9950.696861999999,166,49.303,-4.973,9995.027
20190110,Hold,59.879,0,0.0,166,49.303,-10.783,9989.217
20190111,Hold,58.636,0,0.0,166,49.303,-217.121,9782.879
20190114,Sell,59.634,-166,9894.294378,0,9943.598,-56.402,9943.598
20190115,Hold,59.851,0,0.0,0,9943.598,-56.402,9943.598
20190116,Buy,60.434,164,-9916.131587999998,164,27.466,-61.358,9938.642
20190117,Hold,59.941,0,0.0,164,27.466,-142.21,9857.79
20190118,Hold,61.008,0,0.0,164,27.466,32.778,10032.778
20190122,Hold,61.092,0,0.0,164,27.466,46.554,10046.554
20190123,Hold,62.014,0,0.0,164,27.466,197.762,10197.762
20190124,Hold,62.7,0,0.0,164,27.466,310.266,10310.266
20190125,Hold,63.098,0,0.0,164,27.466,375.538,10375.538
20190128,Hold,62.307,0,0.0,164,27.466,245.814,10245.814
20190129,Hold,63.068,0,0.0,164,27.466,370.618,10370.618
20190130,Hold,63.173,0,0.0,164,27.466,387.838,10387.838
20190131,Hold,64.181,0,0.0,164,27.466,553.15,10553.15
20190201,Hold,64.565,0,0.0,164,27.466,616.126,10616.126
20190204,Hold,64.036,0,0.0,164,27.466,529.37,10529.37
20190205,Hold,63.786,0,0.0,164,27.466,488.37,10488.37
20190206,Hold,65.507,0,0.0,164,27.466,770.614,10770.614
20190207,Hold,64.912,0,0.0,164,27.466,673.034,10673.034
20190208,Hold,65.072,0,0.0,164,27.466,699.274,10699.274
20190211,Hold,66.237,0,0.0,164,27.466,890.334,10890.334
20190212,Hold,66.464,0,0.0,164,27.466,927.562,10927.562
20190213,Hold,66.058,0,0.0,164,27.466,860.978,10860.978
20190214,Hold,66.358,0,0.0,164,27.466,910.178,10910.178
20190215,Hold,67.324,0,0.0,164,27.466,1068.602,11068.602
20190219,Hold,66.671,0,0.0,164,27.466,961.51,10961.51
20190220,Hold,66.455,0,0.0,164,27.466,926.086,10926.086
20190221,Sell,66.367,-164,10878.745906,0,10906.212,906.212,10906.212
20190222,Buy,66.955,162,-10852.133354999998,162,54.078,900.788,10900.788
20190225,Hold,68.033,0,0.0,162,54.078,1075.424,11075.424
20190226,Hold,67.182,0,0.0,162,54.078,937.562,10937.562
20190227,Hold,67.023,0,0.0,162,54.078,911.804,10911.804
20190228,Sell,66.367,-162,10746.078273000003,0,10800.157,800.157,10800.157
20190301,Hold,66.834,0,0.0,0,10800.157,800.157,10800.157
20190304,Hold,67.172,0,0.0,0,10800.157,800.157,10800.157
20190305,Hold,67.36,0,0.0,0,10800.157,800.157,10800.157
20190306,Buy,67.95,158,-10741.46805,158,58.689,794.789,10794.789
20190307,Hold,67.37,0,0.0,158,58.689,703.149,10703.149
20190308,Sell,66.377,-158,10482.322216999999,0,10541.011,541.011,10541.011
20190311,Hold,65.649,0,0.0,0,10541.011,541.011,10541.011
20190312,Hold,65.99,0,0.0,0,10541.011,541.011,10541.011
20190313,Hold,66.322,0,0.0,0,10541.011,541.011,10541.011
20190314,Buy,66.416,158,-10498.974863999998,158,42.036,535.764,10535.764
20190315,Hold,66.994,0,0.0,158,42.036,627.088,10627.088
20190318,Hold,66.974,0,0.0,158,42.036,623.928,10623.928
20190319,Hold,67.134,0,0.0,158,42.036,649.208,10649.208
20190320,Hold,67.941,0,0.0,158,42.036,776.714,10776.714
20190321,Hold,67.487,0,0.0,158,42.036,704.982,10704.982
20190322,Hold,68.176,0,0.0,158,42.036,813.844,10813.844
20190325,Hold,68.13,0,0.0,158,42.036,806.576,10806.576
20190326,Hold,68.81,0,0.0,158,42.036,914.016,10914.016
20190327,Hold,69.018,0,0.0,158,42.036,946.88,10946.88
20190328,Hold,69.046,0,0.0,158,42.036,951.304,10951.304
20190329,Hold,70.032,0,0.0,158,42.036,1107.092,11107.092
20190401,Hold,70.74,0,0.0,158,42.036,1218.956,11218.956
20190402,Hold,70.032,0,0.0,158,42.036,1107.092,11107.092
20190403,Hold,70.551,0,0.0,158,42.036,1189.094,11189.094
20190404,Hold,70.495,0,0.0,158,42.036,1180.246,11180.246
20190405,Hold,70.352,0,0.0,158,42.036,1157.652,11157.652
20190408,Hold,70.468,0,0.0,158,42.036,1175.98,11175.98
20190409,Hold,70.844,0,0.0,158,42.036,1235.388,11235.388
20190410,Hold,71.167,0,0.0,158,42.036,1286.422,11286.422
20190411,Hold,71.677,0,0.0,158,42.036,1367.002,11367.002
20190412,Hold,72.01,0,0.0,158,42.036,1419.616,11419.616
20190415,Hold,72.549,0,0.0,158,42.036,1504.778,11504.778
20190416,Hold,72.368,0,0.0,158,42.036,1476.18,11476.18
20190417,Hold,71.545,0,0.0,158,42.036,1346.146,11346.146
20190418,Sell,71.421,-158,11278.875741000002,0,11320.912,1320.912,11320.912
20190422,Hold,71.639,0,0.0,0,11320.912,1320.912,11320.912
20190423,Hold,71.421,0,0.0,0,11320.912,1320.912,11320.912
20190424,Buy,71.96,157,-11303.368859999999,157,17.543,1315.263,11315.263
20190425,Hold,72.02,0,0.0,157,17.543,1324.683,11324.683
20190426,Hold,72.812,0,0.0,157,17.543,1449.027,11449.027
20190429,Hold,73.143,0,0.0,157,17.543,1500.994,11500.994
20190430,Hold,72.86,0,0.0,157,17.543,1456.563,11456.563
