,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,77.486,128,-9923.167104,128,76.833,-4.959,9995.041
20180110,Hold,77.28,0,0.0,128,76.833,-31.327,9968.673
20180111,Hold,77.028,0,0.0,128,76.833,-63.583,9936.417
20180112,Sell,77.194,-128,9875.891584,0,9952.724,-47.276,9952.724
20180116,Buy,78.418,126,-9885.608334,126,67.116,-52.216,9947.784
20180117,Hold,77.719,0,0.0,126,67.116,-140.29,9859.71
20180118,Hold,77.585,0,0.0,126,67.116,-157.174,9842.826
20180119,Hold,77.817,0,0.0,126,67.116,-127.942,9872.058
20180122,Hold,78.176,0,0.0,126,67.116,-82.708,9917.292
20180123,Hold,79.023,0,0.0,126,67.116,24.014,10024.014
20180124,Hold,80.188,0,0.0,126,67.116,170.804,10170.804
20180125,Hold,79.582,0,0.0,126,67.116,94.448,10094.448
20180126,Hold,79.918,0,0.0,126,67.116,136.784,10136.784
20180129,Hold,80.303,0,0.0,126,67.116,185.294,10185.294
20180130,Hold,79.285,0,0.0,126,67.116,57.026,10057.026
20180131,Sell,78.931,-126,9940.333347000002,0,10007.449,7.449,10007.449
20180201,Hold,78.576,0,0.0,0,10007.449,7.449,10007.449
20180202,Hold,78.257,0,0.0,0,10007.449,7.449,10007.449
20180205,Hold,76.552,0,0.0,0,10007.449,7.449,10007.449
20180206,Hold,73.081,0,0.0,0,10007.449,7.449,10007.449
20180207,Hold,74.688,0,0.0,0,10007.449,7.449,10007.449
20180208,Hold,72.764,0,0.0,0,10007.449,7.449,10007.449
20180209,Hold,72.093,0,0.0,0,10007.449,7.449,10007.449
20180212,Hold,73.921,0,0.0,0,10007.449,7.449,10007.449
20180213,Hold,72.565,0,0.0,0,10007.449,7.449,10007.449
20180214,Hold,72.288,0,0.0,0,10007.449,7.449,10007.449
20180215,Buy,73.316,136,-9975.961488,136,31.488,2.464,10002.464
20180216,Hold,73.785,0,0.0,136,31.488,66.248,10066.248
20180220,Hold,73.168,0,0.0,136,31.488,-17.664,9982.336
20180221,Hold,72.999,0,0.0,136,31.488,-40.648,9959.352
20180222,Hold,72.999,0,0.0,136,31.488,-40.648,9959.352
20180223,Hold,73.709,0,0.0,136,31.488,55.912,10055.912
20180226,Hold,74.983,0,0.0,136,31.488,229.176,10229.176
20180227,Hold,75.529,0,0.0,136,31.488,303.432,10303.432
20180228,Hold,75.62,0,0.0,136,31.488,315.808,10315.808
20180301,Hold,75.884,0,0.0,136,31.488,351.712,10351.712
20180302,Sell,73.683,-136,10015.877556000001,0,10047.366,47.366,10047.366
20180305,Hold,74.919,0,0.0,0,10047.366,47.366,10047.366
20180306,Buy,75.988,132,-10035.431207999998,132,11.934,42.35,10042.35
20180307,Hold,75.64,0,0.0,132,11.934,-3.586,9996.414
20180308,Hold,76.568,0,0.0,132,11.934,118.91,10118.91
20180309,Hold,77.391,0,0.0,132,11.934,227.546,10227.546
20180312,Hold,78.047,0,0.0,132,11.934,314.138,10314.138
20180313,Hold,77.626,0,0.0,132,11.934,258.566,10258.566
20180314,Hold,77.3,0,0.0,132,11.934,215.534,10215.534
20180315,Hold,77.186,0,0.0,132,11.934,200.486,10200.486
20180316,Hold,77.703,0,0.0,132,11.934,268.73,10268.73
20180319,Hold,78.04,0,0.0,132,11.934,313.214,10313.214
20180320,Sell,77.31,-132,10199.81754,0,10211.752,211.752,10211.752
20180321,Hold,77.908,0,0.0,0,10211.752,211.752,10211.752
20180322,Hold,76.925,0,0.0,0,10211.752,211.752,10211.752
20180323,Hold,77.225,0,0.0,0,10211.752,211.752,10211.752
20180326,Hold,77.381,0,0.0,0,10211.752,211.752,10211.752
20180327,Buy,78.94,129,-10188.35163,129,23.4,206.66,10206.66
20180328,Hold,78.676,0,0.0,129,23.4,172.604,10172.604
20180329,Hold,79.388,0,0.0,129,23.4,264.452,10264.452
20180402,Hold,79.859,0,0.0,129,23.4,325.211,10325.211
20180403,Hold,78.479,0,0.0,129,23.4,147.191,10147.191
20180404,Sell,78.2,-129,10082.756100000002,0,10106.156,106.156,10106.156
20180405,Buy,80.543,125,-10072.9089375,125,33.247,101.122,10101.122
20180406,Hold,80.065,0,0.0,125,33.247,41.372,10041.372
20180409,Hold,79.511,0,0.0,125,33.247,-27.878,9972.122
20180410,Sell,80.223,-125,10022.8610625,0,10056.108,56.108,10056.108
20180411,Buy,80.12,125,-10020.0075,125,36.101,51.101,10051.101
20180412,Hold,80.466,0,0.0,125,36.101,94.351,10094.351
20180413,Hold,80.635,0,0.0,125,36.101,115.476,10115.476
20180416,Hold,80.691,0,0.0,125,36.101,122.476,10122.476
20180417,Hold,81.15,0,0.0,125,36.101,179.851,10179.851
20180418,Hold,81.209,0,0.0,125,36.101,187.226,10187.226
20180419,Hold,81.199,0,0.0,125,36.101,185.976,10185.976
20180420,Hold,80.859,0,0.0,125,36.101,143.476,10143.476
20180423,Sell,80.993,-125,10119.0629375,0,10155.164,155.164,10155.164
20180424,Hold,80.814,0,0.0,0,10155.164,155.164,10155.164
20180425,Hold,79.877,0,0.0,0,10155.164,155.164,10155.164
20180426,Hold,80.635,0,0.0,0,10155.164,155.164,10155.164
20180427,Buy,81.209,124,-10074.950958000001,124,80.213,150.129,10150.129
20180430,Hold,82.07,0,0.0,124,80.213,256.893,10256.893
20180501,Hold,81.628,0,0.0,124,80.213,202.085,10202.085
20180502,Hold,78.902,0,0.0,124,80.213,-135.939,9864.061
20180503,Sell,75.424,-124,9347.899712000002,0,9428.113,-571.887,9428.113
20180504,Hold,77.216,0,0.0,0,9428.113,-571.887,9428.113
20180507,Hold,77.571,0,0.0,0,9428.113,-571.887,9428.113
20180508,Hold,78.247,0,0.0,0,9428.113,-571.887,9428.113
20180509,Buy,78.219,120,-9390.973139999998,120,37.14,-576.58,9423.42
20180510,Hold,79.259,0,0.0,120,37.14,-451.78,9548.22
20180511,Hold,79.371,0,0.0,120,37.14,-438.34,9561.66
20180514,Hold,79.287,0,0.0,120,37.14,-448.42,9551.58
20180515,Sell,78.208,-120,9380.26752,0,9417.407,-582.593,9417.407
20180516,Hold,78.706,0,0.0,0,9417.407,-582.593,9417.407
20180517,Hold,78.518,0,0.0,0,9417.407,-582.593,9417.407
20180518,Hold,78.152,0,0.0,0,9417.407,-582.593,9417.407
20180521,Hold,77.784,0,0.0,0,9417.407,-582.593,9417.407
20180522,Hold,78.142,0,0.0,0,9417.407,-582.593,9417.407
20180523,Hold,77.088,0,0.0,0,9417.407,-582.593,9417.407
20180524,Buy,78.199,120,-9388.571939999998,120,28.835,-587.285,9412.715
20180525,Hold,78.697,0,0.0,120,28.835,-527.525,9472.475
20180529,Hold,77.332,0,0.0,120,28.835,-691.325,9308.675
20180530,Sell,77.088,-120,9245.93472,0,9274.77,-725.23,9274.77
20180531,Hold,77.162,0,0.0,0,9274.77,-725.23,9274.77
20180601,Hold,76.833,0,0.0,0,9274.77,-725.23,9274.77
20180604,Hold,77.35,0,0.0,0,9274.77,-725.23,9274.77
20180605,Buy,77.417,119,-9217.2293115,119,57.541,-729.836,9270.164
20180606,Hold,78.152,0,0.0,119,57.541,-642.371,9357.629
20180607,Hold,79.047,0,0.0,119,57.541,-535.866,9464.134
20180608,Hold,79.102,0,0.0,119,57.541,-529.321,9470.679
20180611,Hold,78.453,0,0.0,119,57.541,-606.552,9393.448
20180612,Sell,78.416,-119,9326.838248,0,9384.379,-615.621,9384.379
