,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,98.977,100,-9902.64885,100,97.351,-4.949,9995.051
20200110,Hold,99.127,0,0.0,100,97.351,10.051,10010.051
20200113,Hold,98.175,0,0.0,100,97.351,-85.149,9914.851
20200114,Sell,96.676,-100,9662.7662,0,9760.117,-239.883,9760.117
20200115,Hold,97.327,0,0.0,0,9760.117,-239.883,9760.117
20200116,Hold,97.988,0,0.0,0,9760.117,-239.883,9760.117
20200117,Buy,99.61,97,-9667.001085,97,93.116,-244.714,9755.286
20200121,Hold,101.02,0,0.0,97,93.116,-107.944,9892.056
20200122,Hold,102.29,0,0.0,97,93.116,15.246,10015.246
20200123,Hold,102.1,0,0.0,97,93.116,-3.184,9996.816
20200124,Hold,102.37,0,0.0,97,93.116,23.006,10023.006
20200127,Sell,99.99,-97,9694.180484999999,0,9787.297,-212.703,9787.297
20200128,Hold,101.08,0,0.0,0,9787.297,-212.703,9787.297
20200129,Hold,101.22,0,0.0,0,9787.297,-212.703,9787.297
20200130,Buy,101.77,96,-9774.80496,96,12.492,-217.588,9782.412
20200131,Hold,102.84,0,0.0,96,12.492,-114.868,9885.132
20200203,Hold,102.1,0,0.0,96,12.492,-185.908,9814.092
20200204,Hold,103.03,0,0.0,96,12.492,-96.628,9903.372
20200205,Hold,103.65,0,0.0,96,12.492,-37.108,9962.892
20200206,Hold,98.418,0,0.0,96,12.492,-539.38,9460.62
20200207,Sell,98.195,-96,9422.00664,0,9434.498,-565.502,9434.498
20200210,Hold,98.724,0,0.0,0,9434.498,-565.502,9434.498
20200211,Hold,99.53,0,0.0,0,9434.498,-565.502,9434.498
20200212,Buy,100.9,93,-9388.39185,93,46.107,-570.193,9429.807
20200213,Hold,101.42,0,0.0,93,46.107,-521.833,9478.167
20200214,Hold,101.78,0,0.0,93,46.107,-488.353,9511.647
20200218,Hold,101.94,0,0.0,93,46.107,-473.473,9526.527
20200219,Hold,101.24,0,0.0,93,46.107,-538.573,9461.427
20200220,Hold,101.65,0,0.0,93,46.107,-500.443,9499.557
20200221,Sell,100.36,-93,9328.81326,0,9374.92,-625.08,9374.92
20200224,Hold,98.748,0,0.0,0,9374.92,-625.08,9374.92
20200225,Hold,97.637,0,0.0,0,9374.92,-625.08,9374.92
20200226,Hold,95.279,0,0.0,0,9374.92,-625.08,9374.92
20200227,Hold,92.847,0,0.0,0,9374.92,-625.08,9374.92
20200228,Hold,87.855,0,0.0,0,9374.92,-625.08,9374.92
20200302,Hold,86.508,0,0.0,0,9374.92,-625.08,9374.92
20200303,Hold,89.686,0,0.0,0,9374.92,-625.08,9374.92
20200304,Hold,89.676,0,0.0,0,9374.92,-625.08,9374.92
20200305,Hold,89.648,0,0.0,0,9374.92,-625.08,9374.92
20200306,Buy,85.47,109,-9320.888115,109,54.032,-629.738,9370.262
20200309,Sell,81.72,-109,8903.02626,0,8957.058,-1042.942,8957.058
20200310,Hold,83.435,0,0.0,0,8957.058,-1042.942,8957.058
20200311,Hold,81.331,0,0.0,0,8957.058,-1042.942,8957.058
20200312,Hold,73.257,0,0.0,0,8957.058,-1042.942,8957.058
20200313,Hold,79.268,0,0.0,0,8957.058,-1042.942,8957.058
20200316,Hold,68.768,0,0.0,0,8957.058,-1042.942,8957.058
20200317,Hold,69.11,0,0.0,0,8957.058,-1042.942,8957.058
20200318,Hold,59.998,0,0.0,0,8957.058,-1042.942,8957.058
20200319,Hold,57.651,0,0.0,0,8957.058,-1042.942,8957.058
20200320,Hold,62.071,0,0.0,0,8957.058,-1042.942,8957.058
20200323,Hold,55.481,0,0.0,0,8957.058,-1042.942,8957.058
20200324,Hold,60.046,0,0.0,0,8957.058,-1042.942,8957.058
20200325,Buy,68.245,131,-8944.5650475,131,12.493,-1047.412,8952.588
20200326,Hold,71.861,0,0.0,131,12.493,-573.716,9426.284
20200327,Hold,70.02,0,0.0,131,12.493,-814.887,9185.113
20200330,Hold,66.027,0,0.0,131,12.493,-1337.97,8662.03
20200331,Sell,67.974,-131,8900.141703000001,0,8912.635,-1087.365,8912.635
20200401,Hold,63.001,0,0.0,0,8912.635,-1087.365,8912.635
20200402,Hold,65.241,0,0.0,0,8912.635,-1087.365,8912.635
20200403,Hold,63.691,0,0.0,0,8912.635,-1087.365,8912.635
20200406,Hold,64.504,0,0.0,0,8912.635,-1087.365,8912.635
20200407,Buy,71.717,124,-8897.354453999998,124,15.28,-1091.812,8908.188
20200408,Hold,70.0,0,0.0,124,15.28,-1304.72,8695.28
20200409,Hold,75.205,0,0.0,124,15.28,-659.3,9340.7
20200413,Hold,77.327,0,0.0,124,15.28,-396.172,9603.828
20200414,Hold,75.894,0,0.0,124,15.28,-573.864,9426.136
20200415,Hold,74.818,0,0.0,124,15.28,-707.288,9292.712
20200416,Hold,75.195,0,0.0,124,15.28,-660.54,9339.46
20200417,Hold,80.585,0,0.0,124,15.28,7.82,10007.82
20200420,Hold,80.266,0,0.0,124,15.28,-31.736,9968.264
20200421,Hold,77.628,0,0.0,124,15.28,-358.848,9641.152
20200422,Hold,80.449,0,0.0,124,15.28,-9.044,9990.956
20200423,Hold,84.017,0,0.0,124,15.28,433.388,10433.388
20200424,Hold,83.144,0,0.0,124,15.28,325.136,10325.136
20200427,Hold,84.423,0,0.0,124,15.28,483.732,10483.732
20200428,Hold,87.352,0,0.0,124,15.28,846.928,10846.928
20200429,Hold,87.748,0,0.0,124,15.28,896.032,10896.032
20200430,Hold,83.542,0,0.0,124,15.28,374.488,10374.488
20200501,Hold,81.796,0,0.0,124,15.28,157.984,10157.984
20200504,Sell,79.926,-124,9905.868588000001,0,9921.149,-78.851,9921.149
20200505,Hold,81.834,0,0.0,0,9921.149,-78.851,9921.149
20200506,Hold,81.226,0,0.0,0,9921.149,-78.851,9921.149
20200507,Hold,81.904,0,0.0,0,9921.149,-78.851,9921.149
20200508,Buy,83.396,118,-9845.648364,118,75.5,-83.772,9916.228
20200511,Hold,82.99,0,0.0,118,75.5,-131.68,9868.32
20200512,Hold,84.414,0,0.0,118,75.5,36.352,10036.352
20200513,Sell,80.827,-118,9532.817207,0,9608.318,-391.682,9608.318
20200514,Hold,76.767,0,0.0,0,9608.318,-391.682,9608.318
20200515,Hold,80.043,0,0.0,0,9608.318,-391.682,9608.318
20200518,Buy,85.063,112,-9531.819528,112,76.498,-396.446,9603.554
20200519,Hold,83.562,0,0.0,112,76.498,-564.558,9435.442
20200520,Hold,85.732,0,0.0,112,76.498,-321.518,9678.482
20200521,Hold,85.345,0,0.0,112,76.498,-364.862,9635.138
20200522,Hold,85.702,0,0.0,112,76.498,-324.878,9675.122
20200526,Hold,87.041,0,0.0,112,76.498,-174.91,9825.09
20200527,Hold,86.682,0,0.0,112,76.498,-215.118,9784.882
20200528,Hold,88.285,0,0.0,112,76.498,-35.582,9964.418
20200529,Hold,87.964,0,0.0,112,76.498,-71.534,9928.466
20200601,Hold,87.584,0,0.0,112,76.498,-114.094,9885.906
20200602,Hold,88.851,0,0.0,112,76.498,27.81,10027.81
20200603,Hold,90.857,0,0.0,112,76.498,252.482,10252.482
20200604,Hold,91.987,0,0.0,112,76.498,379.042,10379.042
20200605,Hold,95.242,0,0.0,112,76.498,743.602,10743.602
20200608,Hold,94.024,0,0.0,112,76.498,607.186,10607.186
20200609,Hold,92.563,0,0.0,112,76.498,443.554,10443.554
20200610,Hold,92.983,0,0.0,112,76.498,490.594,10490.594
20200611,Sell,89.65,-112,10035.779600000002,0,10112.278,112.278,10112.278
20200612,Hold,90.467,0,0.0,0,10112.278,112.278,10112.278
20200615,Hold,87.174,0,0.0,0,10112.278,112.278,10112.278
20200616,Hold,91.911,0,0.0,0,10112.278,112.278,10112.278
20200617,Hold,90.0,0,0.0,0,10112.278,112.278,10112.278
20200618,Buy,88.402,114,-10082.866913999998,114,29.411,107.239,10107.239
20200619,Sell,89.135,-114,10156.309305000002,0,10185.72,185.72,10185.72
20200622,Hold,85.743,0,0.0,0,10185.72,185.72,10185.72
20200623,Hold,86.678,0,0.0,0,10185.72,185.72,10185.72
20200624,Hold,85.197,0,0.0,0,10185.72,185.72,10185.72
20200625,Hold,84.105,0,0.0,0,10185.72,185.72,10185.72
20200626,Hold,83.599,0,0.0,0,10185.72,185.72,10185.72
20200629,Hold,82.839,0,0.0,0,10185.72,185.72,10185.72
20200630,Hold,83.706,0,0.0,0,10185.72,185.72,10185.72
20200701,Buy,84.934,119,-10112.199572999998,119,73.521,180.667,10180.667
20200702,Hold,85.489,0,0.0,119,73.521,246.712,10246.712
20200706,Hold,85.401,0,0.0,119,73.521,236.24,10236.24
20200707,Hold,85.733,0,0.0,119,73.521,275.748,10275.748
20200708,Hold,84.7,0,0.0,119,73.521,152.821,10152.821
20200709,Sell,84.398,-119,10038.340318999999,0,10111.861,111.861,10111.861
20200710,Hold,83.988,0,0.0,0,10111.861,111.861,10111.861
20200713,Hold,85.43,0,0.0,0,10111.861,111.861,10111.861
20200714,Buy,84.875,119,-10105.175062499999,119,6.686,106.811,10106.811
20200715,Hold,87.331,0,0.0,119,6.686,399.075,10399.075
20200716,Hold,87.594,0,0.0,119,6.686,430.372,10430.372
20200717,Hold,87.74,0,0.0,119,6.686,447.746,10447.746
20200720,Hold,88.032,0,0.0,119,6.686,482.494,10482.494
20200721,Hold,89.358,0,0.0,119,6.686,640.288,10640.288
20200722,Hold,88.392,0,0.0,119,6.686,525.334,10525.334
20200723,Hold,90.945,0,0.0,119,6.686,829.141,10829.141
20200724,Hold,90.633,0,0.0,119,6.686,792.013,10792.013
20200727,Hold,90.633,0,0.0,119,6.686,792.013,10792.013
20200728,Hold,91.257,0,0.0,119,6.686,866.269,10866.269
20200729,Hold,90.372,0,0.0,119,6.686,760.954,10760.954
20200730,Hold,90.761,0,0.0,119,6.686,807.245,10807.245
20200731,Sell,89.22,-119,10611.871410000002,0,10618.557,618.557,10618.557
20200803,Hold,88.91,0,0.0,0,10618.557,618.557,10618.557
20200804,Hold,88.197,0,0.0,0,10618.557,618.557,10618.557
20200805,Hold,89.864,0,0.0,0,10618.557,618.557,10618.557
20200806,Hold,88.091,0,0.0,0,10618.557,618.557,10618.557
20200807,Hold,88.217,0,0.0,0,10618.557,618.557,10618.557
20200810,Hold,88.617,0,0.0,0,10618.557,618.557,10618.557
20200811,Buy,89.728,118,-10593.197951999999,118,25.359,613.263,10613.263
20200812,Hold,90.906,0,0.0,118,25.359,752.267,10752.267
20200813,Hold,90.577,0,0.0,118,25.359,713.445,10713.445
20200814,Hold,90.303,0,0.0,118,25.359,681.113,10681.113
20200817,Hold,90.467,0,0.0,118,25.359,700.465,10700.465
20200818,Hold,91.939,0,0.0,118,25.359,874.161,10874.161
20200819,Hold,92.699,0,0.0,118,25.359,963.841,10963.841
20200820,Hold,90.681,0,0.0,118,25.359,725.717,10725.717
20200821,Hold,92.973,0,0.0,118,25.359,996.173,10996.173
20200824,Hold,93.928,0,0.0,118,25.359,1108.863,11108.863
20200825,Hold,94.69,0,0.0,118,25.359,1198.779,11198.779
20200826,Hold,94.113,0,0.0,118,25.359,1130.693,11130.693
20200827,Hold,94.367,0,0.0,118,25.359,1160.665,11160.665
20200828,Sell,94.024,-118,11089.284584,0,11114.644,1114.644,11114.644
20200831,Buy,95.15,116,-11042.9187,116,71.725,1109.125,11109.125
20200901,Hold,93.593,0,0.0,116,71.725,928.513,10928.513
20200902,Sell,94.103,-116,10910.490026,0,10982.215,982.215,10982.215
20200903,Buy,96.364,113,-10894.576566,113,87.639,976.771,10976.771
20200904,Hold,94.876,0,0.0,113,87.639,808.627,10808.627
20200908,Sell,93.015,-113,10505.439652500001,0,10593.078,593.078,10593.078
20200909,Hold,92.145,0,0.0,0,10593.078,593.078,10593.078
20200910,Hold,91.429,0,0.0,0,10593.078,593.078,10593.078
20200911,Hold,90.704,0,0.0,0,10593.078,593.078,10593.078
20200914,Hold,91.204,0,0.0,0,10593.078,593.078,10593.078
20200915,Hold,91.253,0,0.0,0,10593.078,593.078,10593.078
20200916,Hold,91.89,0,0.0,0,10593.078,593.078,10593.078
20200917,Buy,91.733,115,-10554.569647499999,115,38.509,587.804,10587.804
20200918,Hold,91.361,0,0.0,115,38.509,545.024,10545.024
20200921,Sell,88.511,-115,10173.6756175,0,10212.184,212.184,10212.184
20200922,Hold,87.504,0,0.0,0,10212.184,212.184,10212.184
20200923,Hold,88.875,0,0.0,0,10212.184,212.184,10212.184
20200924,Hold,87.807,0,0.0,0,10212.184,212.184,10212.184
20200925,Hold,89.139,0,0.0,0,10212.184,212.184,10212.184
20200928,Buy,89.961,113,-10170.675796499998,113,41.508,207.101,10207.101
20200929,Hold,89.666,0,0.0,113,41.508,173.766,10173.766
20200930,Hold,89.216,0,0.0,113,41.508,122.916,10122.916
20201001,Hold,90.225,0,0.0,113,41.508,236.933,10236.933
20201002,Hold,88.726,0,0.0,113,41.508,67.546,10067.546
20201005,Hold,93.683,0,0.0,113,41.508,627.687,10627.687
20201006,Hold,92.585,0,0.0,113,41.508,503.613,10503.613
20201007,Hold,90.861,0,0.0,113,41.508,308.801,10308.801
20201008,Hold,92.222,0,0.0,113,41.508,462.594,10462.594
20201009,Hold,93.633,0,0.0,113,41.508,622.037,10622.037
20201012,Hold,93.514,0,0.0,113,41.508,608.59,10608.59
20201013,Hold,93.418,0,0.0,113,41.508,597.742,10597.742
20201014,Hold,94.219,0,0.0,113,41.508,688.255,10688.255
20201015,Hold,93.927,0,0.0,113,41.508,655.259,10655.259
20201016,Hold,97.588,0,0.0,113,41.508,1068.952,11068.952
20201019,Hold,96.335,0,0.0,113,41.508,927.363,10927.363
20201020,Hold,95.826,0,0.0,113,41.508,869.846,10869.846
20201021,Hold,95.258,0,0.0,113,41.508,805.662,10805.662
20201022,Hold,97.578,0,0.0,113,41.508,1067.822,11067.822
20201023,Hold,98.234,0,0.0,113,41.508,1141.95,11141.95
20201026,Hold,98.438,0,0.0,113,41.508,1165.002,11165.002
20201027,Hold,96.756,0,0.0,113,41.508,974.936,10974.936
20201028,Sell,94.063,-113,10623.804440500002,0,10665.313,665.313,10665.313
20201029,Hold,95.277,0,0.0,0,10665.313,665.313,10665.313
20201030,Hold,92.39,0,0.0,0,10665.313,665.313,10665.313
20201102,Hold,92.448,0,0.0,0,10665.313,665.313,10665.313
20201103,Hold,94.406,0,0.0,0,10665.313,665.313,10665.313
20201104,Buy,95.277,111,-10581.034873499999,111,84.278,660.025,10660.025
20201105,Hold,97.343,0,0.0,111,84.278,889.351,10889.351
20201106,Hold,98.468,0,0.0,111,84.278,1014.226,11014.226
20201109,Hold,101.82,0,0.0,111,84.278,1386.298,11386.298
20201110,Hold,100.61,0,0.0,111,84.278,1251.988,11251.988
20201111,Hold,101.06,0,0.0,111,84.278,1301.938,11301.938
20201112,Hold,99.436,0,0.0,111,84.278,1121.674,11121.674
20201113,Hold,99.016,0,0.0,111,84.278,1075.054,11075.054
20201116,Hold,101.55,0,0.0,111,84.278,1356.328,11356.328
20201117,Hold,101.32,0,0.0,111,84.278,1330.798,11330.798
20201118,Hold,102.23,0,0.0,111,84.278,1431.808,11431.808
20201119,Hold,101.99,0,0.0,111,84.278,1405.168,11405.168
20201120,Hold,102.96,0,0.0,111,84.278,1512.838,11512.838
20201123,Hold,103.39,0,0.0,111,84.278,1560.568,11560.568
20201124,Hold,103.94,0,0.0,111,84.278,1621.618,11621.618
20201125,Hold,105.15,0,0.0,111,84.278,1755.928,11755.928
20201127,Hold,105.24,0,0.0,111,84.278,1765.918,11765.918
20201130,Hold,104.45,0,0.0,111,84.278,1678.228,11678.228
20201201,Hold,105.08,0,0.0,111,84.278,1748.158,11748.158
20201202,Sell,104.12,-111,11551.54134,0,11635.819,1635.819,11635.819
20201203,Hold,102.94,0,0.0,0,11635.819,1635.819,11635.819
20201204,Hold,103.36,0,0.0,0,11635.819,1635.819,11635.819
20201207,Hold,103.79,0,0.0,0,11635.819,1635.819,11635.819
20201208,Buy,102.87,113,-11630.122155000001,113,5.697,1630.007,11630.007
20201209,Sell,103.86,-113,11730.31191,0,11736.009,1736.009,11736.009
