,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Buy,56.845,175,-9952.848937499999,175,47.151,-4.974,9995.026
20130110,Hold,56.912,0,0.0,175,47.151,6.751,10006.751
20130111,Hold,57.758,0,0.0,175,47.151,154.801,10154.801
20130114,Hold,57.972,0,0.0,175,47.151,192.251,10192.251
20130115,Hold,57.935,0,0.0,175,47.151,185.776,10185.776
20130116,Hold,58.101,0,0.0,175,47.151,214.826,10214.826
20130117,Hold,58.336,0,0.0,175,47.151,255.951,10255.951
20130118,Hold,57.855,0,0.0,175,47.151,171.776,10171.776
20130122,Sell,56.73,-175,9922.786125,0,9969.937,-30.063,9969.937
20130123,Hold,56.669,0,0.0,0,9969.937,-30.063,9969.937
20130124,Hold,56.669,0,0.0,0,9969.937,-30.063,9969.937
20130125,Hold,56.985,0,0.0,0,9969.937,-30.063,9969.937
20130128,Buy,57.312,173,-9919.933487999999,173,50.004,-35.02,9964.98
20130129,Hold,57.303,0,0.0,173,50.004,-36.577,9963.423
20130130,Hold,57.664,0,0.0,173,50.004,25.876,10025.876
20130131,Hold,56.226,0,0.0,173,50.004,-222.898,9777.102
20130201,Sell,55.397,-173,9578.8891595,0,9628.893,-371.107,9628.893
20130204,Hold,56.524,0,0.0,0,9628.893,-371.107,9628.893
20130205,Hold,58.206,0,0.0,0,9628.893,-371.107,9628.893
20130206,Buy,57.954,166,-9625.174181999999,166,3.719,-375.917,9624.083
20130207,Hold,57.232,0,0.0,166,3.719,-495.769,9504.231
20130208,Hold,57.132,0,0.0,166,3.719,-512.369,9487.631
20130211,Hold,56.487,0,0.0,166,3.719,-619.439,9380.561
20130212,Sell,56.098,-166,9307.611866000001,0,9311.331,-688.669,9311.331
20130213,Hold,56.74,0,0.0,0,9311.331,-688.669,9311.331
20130214,Buy,57.256,162,-9280.109735999999,162,31.221,-693.307,9306.693
20130215,Hold,57.421,0,0.0,162,31.221,-666.577,9333.423
20130219,Hold,57.122,0,0.0,162,31.221,-715.015,9284.985
20130220,Hold,57.636,0,0.0,162,31.221,-631.747,9368.253
20130221,Hold,57.169,0,0.0,162,31.221,-707.401,9292.599
20130222,Sell,57.264,-162,9272.129616,0,9303.35,-696.65,9303.35
20130225,Hold,57.611,0,0.0,0,9303.35,-696.65,9303.35
20130226,Hold,56.024,0,0.0,0,9303.35,-696.65,9303.35
20130227,Hold,56.425,0,0.0,0,9303.35,-696.65,9303.35
20130228,Buy,57.798,160,-9252.30384,160,51.047,-701.273,9298.727
20130301,Hold,57.94,0,0.0,160,51.047,-678.553,9321.447
20130304,Hold,58.407,0,0.0,160,51.047,-603.833,9396.167
20130305,Hold,59.014,0,0.0,160,51.047,-506.713,9493.287
20130306,Hold,59.82,0,0.0,160,51.047,-377.753,9622.247
20130307,Hold,59.759,0,0.0,160,51.047,-387.513,9612.487
20130308,Hold,59.92,0,0.0,160,51.047,-361.753,9638.247
20130311,Hold,59.448,0,0.0,160,51.047,-437.273,9562.727
20130312,Sell,59.89,-160,9577.6088,0,9628.655,-371.345,9628.655
20130313,Hold,59.751,0,0.0,0,9628.655,-371.345,9628.655
20130314,Hold,59.249,0,0.0,0,9628.655,-371.345,9628.655
20130315,Hold,58.777,0,0.0,0,9628.655,-371.345,9628.655
20130318,Hold,56.943,0,0.0,0,9628.655,-371.345,9628.655
20130319,Hold,57.032,0,0.0,0,9628.655,-371.345,9628.655
20130320,Hold,56.979,0,0.0,0,9628.655,-371.345,9628.655
20130321,Hold,57.59,0,0.0,0,9628.655,-371.345,9628.655
20130322,Hold,57.326,0,0.0,0,9628.655,-371.345,9628.655
20130325,Buy,58.089,165,-9589.477342499998,165,39.178,-376.137,9623.863
20130326,Hold,57.807,0,0.0,165,39.178,-422.667,9577.333
20130327,Hold,57.755,0,0.0,165,39.178,-431.247,9568.753
20130328,Hold,57.916,0,0.0,165,39.178,-404.682,9595.318
20130401,Sell,58.089,-165,9579.8926575,0,9619.071,-380.929,9619.071
20130402,Buy,58.151,165,-9599.7124575,165,19.358,-385.727,9614.273
20130403,Hold,59.304,0,0.0,165,19.358,-195.482,9804.518
20130404,Hold,58.943,0,0.0,165,19.358,-255.047,9744.953
20130405,Hold,57.778,0,0.0,165,19.358,-447.272,9552.728
20130408,Sell,57.258,-165,9442.846215,0,9462.204,-537.796,9462.204
20130409,Hold,58.587,0,0.0,0,9462.204,-537.796,9462.204
20130410,Buy,58.587,161,-9437.2232535,161,24.981,-542.512,9457.488
20130411,Hold,59.532,0,0.0,161,24.981,-390.367,9609.633
20130412,Hold,61.075,0,0.0,161,24.981,-141.944,9858.056
20130415,Hold,61.637,0,0.0,161,24.981,-51.462,9948.538
20130416,Hold,61.53,0,0.0,161,24.981,-68.689,9931.311
20130417,Hold,61.32,0,0.0,161,24.981,-102.499,9897.501
20130418,Hold,60.703,0,0.0,161,24.981,-201.836,9798.164
20130419,Sell,61.399,-161,9880.2963805,0,9905.278,-94.722,9905.278
20130422,Buy,63.089,156,-9846.804941999999,156,58.473,-99.643,9900.357
20130423,Hold,63.554,0,0.0,156,58.473,-27.103,9972.897
20130424,Hold,63.808,0,0.0,156,58.473,12.521,10012.521
20130425,Hold,62.754,0,0.0,156,58.473,-151.903,9848.097
20130426,Sell,62.773,-156,9787.691706,0,9846.164,-153.836,9846.164
20130429,Hold,63.116,0,0.0,0,9846.164,-153.836,9846.164
20130430,Hold,62.691,0,0.0,0,9846.164,-153.836,9846.164
20130501,Buy,62.992,156,-9831.665375999999,156,14.499,-158.749,9841.251
20130502,Hold,60.912,0,0.0,156,14.499,-483.229,9516.771
20130503,Hold,64.488,0,0.0,156,14.499,74.627,10074.627
20130506,Hold,64.523,0,0.0,156,14.499,80.087,10080.087
20130507,Hold,63.462,0,0.0,156,14.499,-85.429,9914.571
20130508,Sell,63.906,-156,9964.351332,0,9978.85,-21.15,9978.85
20130509,Hold,63.536,0,0.0,0,9978.85,-21.15,9978.85
20130510,Hold,62.936,0,0.0,0,9978.85,-21.15,9978.85
20130513,Buy,64.197,155,-9955.5102675,155,23.34,-26.125,9973.875
