,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,131.65,0,0,0,10000,0.0,10000.0
20140110,Hold,131.6,0,0,0,10000,0.0,10000.0
20140113,Hold,130.62,0,0,0,10000,0.0,10000.0
20140114,Hold,128.28,0,0,0,10000,0.0,10000.0
20140115,Hold,124.7,0,0,0,10000,0.0,10000.0
20140116,Hold,124.88,0,0,0,10000,0.0,10000.0
20140117,Hold,124.28,0,0,0,10000,0.0,10000.0
20140121,Hold,122.6,0,0,0,10000,0.0,10000.0
20140122,Hold,120.76,0,0,0,10000,0.0,10000.0
20140123,Hold,120.87,0,0,0,10000,0.0,10000.0
20140124,Hold,119.34,0,0,0,10000,0.0,10000.0
20140127,Hold,119.65,0,0,0,10000,0.0,10000.0
20140128,Hold,119.76,0,0,0,10000,0.0,10000.0
20140129,Hold,119.81,0,0,0,10000,0.0,10000.0
20140130,Hold,120.47,0,0,0,10000,0.0,10000.0
20140131,Hold,118.66,0,0,0,10000,0.0,10000.0
20140203,Hold,119.39,0,0,0,10000,0.0,10000.0
20140204,Hold,115.86,0,0,0,10000,0.0,10000.0
20140205,Hold,115.5,0,0,0,10000,0.0,10000.0
20140206,Hold,116.11,0,0,0,10000,0.0,10000.0
20140207,Buy,120.44,82,-9881.018039999999,82,118.982,-4.938,9995.062
20140210,Hold,120.29,0,0,82,118.982,-17.238,9982.762
20140211,Hold,119.54,0,0,82,118.982,-78.738,9921.262
20140212,Hold,119.55,0,0,82,118.982,-77.918,9922.082
20140213,Sell,116.17,-82,9521.17703,0,9640.159,-359.841,9640.159
20140214,Hold,117.77,0,0,0,9640.159,-359.841,9640.159
20140218,Hold,118.1,0,0,0,9640.159,-359.841,9640.159
20140219,Hold,116.34,0,0,0,9640.159,-359.841,9640.159
20140220,Hold,116.84,0,0,0,9640.159,-359.841,9640.159
20140221,Hold,116.86,0,0,0,9640.159,-359.841,9640.159
20140224,Buy,120.76,79,-9544.81002,79,95.349,-364.611,9635.389
20140225,Hold,121.75,0,0,79,95.349,-286.401,9713.599
20140226,Hold,125.03,0,0,79,95.349,-27.281,9972.719
20140227,Hold,124.43,0,0,79,95.349,-74.681,9925.319
20140228,Hold,124.74,0,0,79,95.349,-50.191,9949.809
20140303,Hold,123.97,0,0,79,95.349,-111.021,9888.979
20140304,Sell,124.99,-79,9869.272895,0,9964.622,-35.378,9964.622
20140305,Buy,125.1,79,-9887.84145,79,76.78,-40.32,9959.68
20140306,Sell,124.48,-79,9829.003040000001,0,9905.783,-94.217,9905.783
20140307,Hold,124.86,0,0,0,9905.783,-94.217,9905.783
20140310,Buy,125.04,79,-9883.09908,79,22.684,-99.156,9900.844
20140311,Sell,123.76,-79,9772.151480000002,0,9794.836,-205.164,9794.836
20140312,Hold,121.25,0,0,0,9794.836,-205.164,9794.836
20140313,Hold,117.76,0,0,0,9794.836,-205.164,9794.836
20140314,Hold,113.45,0,0,0,9794.836,-205.164,9794.836
20140317,Hold,114.48,0,0,0,9794.836,-205.164,9794.836
20140318,Hold,117.1,0,0,0,9794.836,-205.164,9794.836
20140319,Buy,118.08,82,-9687.401279999998,82,107.435,-210.005,9789.995
20140320,Hold,116.75,0,0,82,107.435,-319.065,9680.935
20140321,Hold,118.87,0,0,82,107.435,-145.225,9854.775
20140324,Hold,113.05,0,0,82,107.435,-622.465,9377.535
20140325,Hold,118.1,0,0,82,107.435,-208.365,9791.635
