,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20151028,Hold,51.524,0,0,0,10000,0.0,10000.0
20151029,Hold,49.473,0,0,0,10000,0.0,10000.0
20151030,Hold,49.178,0,0,0,10000,0.0,10000.0
20151102,Hold,48.51,0,0,0,10000,0.0,10000.0
20151103,Buy,50.636,197,-9980.279646,197,19.72,-4.988,9995.012
20151104,Hold,50.512,0,0,197,19.72,-29.416,9970.584
20151105,Hold,50.982,0,0,197,19.72,63.174,10063.174
20151106,Hold,49.789,0,0,197,19.72,-171.847,9828.153
20151109,Sell,50.379,-197,9919.700668500001,0,9939.421,-60.579,9939.421
20151110,Hold,51.219,0,0,0,9939.421,-60.579,9939.421
20151111,Buy,51.507,192,-9894.288671999999,192,45.132,-65.524,9934.476
20151112,Hold,51.818,0,0,192,45.132,-5.812,9994.188
20151113,Hold,51.457,0,0,192,45.132,-75.124,9924.876
20151116,Sell,49.55,-192,9508.8432,0,9553.976,-446.024,9553.976
20151117,Hold,47.956,0,0,0,9553.976,-446.024,9553.976
20151118,Hold,47.107,0,0,0,9553.976,-446.024,9553.976
20151119,Hold,45.268,0,0,0,9553.976,-446.024,9553.976
20151120,Hold,45.659,0,0,0,9553.976,-446.024,9553.976
20151123,Hold,45.878,0,0,0,9553.976,-446.024,9553.976
20151124,Hold,43.874,0,0,0,9553.976,-446.024,9553.976
20151125,Hold,44.352,0,0,0,9553.976,-446.024,9553.976
20151127,Hold,43.484,0,0,0,9553.976,-446.024,9553.976
20151130,Hold,44.161,0,0,0,9553.976,-446.024,9553.976
20151201,Buy,44.352,215,-9540.447839999997,215,13.528,-450.792,9549.208
20151202,Hold,45.669,0,0,215,13.528,-167.637,9832.363
20151203,Hold,45.249,0,0,215,13.528,-257.937,9742.063
20151204,Hold,45.152,0,0,215,13.528,-278.792,9721.208
20151207,Hold,46.403,0,0,215,13.528,-9.827,9990.173
20151208,Hold,46.248,0,0,215,13.528,-43.152,9956.848
20151209,Hold,45.249,0,0,215,13.528,-257.937,9742.063
20151210,Hold,45.848,0,0,215,13.528,-129.152,9870.848
20151211,Hold,45.793,0,0,215,13.528,-140.977,9859.023
20151214,Hold,45.828,0,0,215,13.528,-133.452,9866.548
20151215,Sell,44.762,-215,9619.018085,0,9632.546,-367.454,9632.546
20151216,Hold,46.088,0,0,0,9632.546,-367.454,9632.546
20151217,Buy,46.403,207,-9610.2237105,207,22.322,-372.257,9627.743
20151218,Sell,44.79,-207,9266.894235000002,0,9289.216,-710.784,9289.216
20151221,Hold,44.112,0,0,0,9289.216,-710.784,9289.216
20151222,Hold,45.286,0,0,0,9289.216,-710.784,9289.216
20151223,Buy,44.868,206,-9247.429404,206,41.787,-715.405,9284.595
20151224,Sell,44.467,-206,9155.621899,0,9197.409,-802.591,9197.409
20151228,Buy,45.105,203,-9160.893157499999,203,36.516,-807.169,9192.831
20151229,Sell,44.676,-203,9064.693386,0,9101.209,-898.791,9101.209
20151230,Buy,45.715,198,-9056.095785000001,198,45.113,-903.317,9096.683
20151231,Hold,46.03,0,0,198,45.113,-840.947,9159.053
