,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Hold,92.564,0,0,0,10000,0.0,10000.0
20120111,Buy,92.202,108,-9962.794907999998,108,37.205,-4.979,9995.021
20120112,Sell,91.55,-108,9882.4563,0,9919.661,-80.339,9919.661
20120113,Hold,89.93,0,0,0,9919.661,-80.339,9919.661
20120117,Hold,91.909,0,0,0,9919.661,-80.339,9919.661
20120118,Buy,92.98,106,-9860.80794,106,58.853,-85.267,9914.733
20120119,Hold,92.703,0,0,106,58.853,-114.629,9885.371
20120120,Hold,91.714,0,0,106,58.853,-219.463,9780.537
20120123,Hold,91.771,0,0,106,58.853,-213.421,9786.579
20120124,Hold,92.526,0,0,106,58.853,-133.391,9866.609
20120125,Hold,94.352,0,0,106,58.853,60.165,10060.165
20120126,Hold,96.452,0,0,106,58.853,282.765,10282.765
20120127,Hold,97.102,0,0,106,58.853,351.665,10351.665
20120130,Hold,97.53,0,0,106,58.853,397.033,10397.033
20120131,Hold,97.258,0,0,106,58.853,368.201,10368.201
20120201,Hold,98.927,0,0,106,58.853,545.115,10545.115
20120202,Hold,98.011,0,0,106,58.853,448.019,10448.019
20120203,Hold,100.71,0,0,106,58.853,734.113,10734.113
20120206,Hold,100.47,0,0,106,58.853,708.673,10708.673
20120207,Hold,99.066,0,0,106,58.853,559.849,10559.849
20120208,Sell,99.106,-106,10499.983382,0,10558.837,558.837,10558.837
20120209,Hold,97.923,0,0,0,10558.837,558.837,10558.837
20120210,Hold,96.452,0,0,0,10558.837,558.837,10558.837
20120213,Hold,97.884,0,0,0,10558.837,558.837,10558.837
20120214,Hold,97.258,0,0,0,10558.837,558.837,10558.837
20120215,Hold,96.026,0,0,0,10558.837,558.837,10558.837
20120216,Hold,95.42,0,0,0,10558.837,558.837,10558.837
20120217,Hold,96.356,0,0,0,10558.837,558.837,10558.837
20120221,Hold,96.868,0,0,0,10558.837,558.837,10558.837
20120222,Hold,93.556,0,0,0,10558.837,558.837,10558.837
20120223,Hold,93.707,0,0,0,10558.837,558.837,10558.837
20120224,Hold,94.87,0,0,0,10558.837,558.837,10558.837
20120227,Hold,95.475,0,0,0,10558.837,558.837,10558.837
20120228,Buy,96.001,109,-10469.3410545,109,89.496,553.605,10553.605
20120229,Hold,94.577,0,0,109,89.496,398.389,10398.389
20120301,Sell,93.583,-109,10195.4467265,0,10284.943,284.943,10284.943
20120302,Hold,94.549,0,0,0,10284.943,284.943,10284.943
20120305,Buy,95.35,107,-10207.551225,107,77.391,279.841,10279.841
20120306,Hold,96.596,0,0,107,77.391,413.163,10413.163
