,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,54.67,0,0,0,10000,0.0,10000.0
20180110,Hold,53.801,0,0,0,10000,0.0,10000.0
20180111,Hold,53.608,0,0,0,10000,0.0,10000.0
20180112,Hold,52.812,0,0,0,10000,0.0,10000.0
20180116,Hold,52.63,0,0,0,10000,0.0,10000.0
20180117,Hold,52.947,0,0,0,10000,0.0,10000.0
20180118,Buy,52.576,190,-9994.43472,190,5.565,-4.995,9995.005
20180119,Sell,52.447,-190,9959.947535000001,0,9965.513,-34.487,9965.513
20180122,Hold,52.526,0,0,0,9965.513,-34.487,9965.513
20180123,Buy,53.209,187,-9955.0580415,187,10.455,-39.462,9960.538
20180124,Hold,53.567,0,0,187,10.455,27.484,10027.484
20180125,Hold,53.27,0,0,187,10.455,-28.055,9971.945
20180126,Hold,53.27,0,0,187,10.455,-28.055,9971.945
20180129,Sell,53.471,-187,9994.0774615,0,10004.532,4.532,10004.532
20180130,Hold,52.984,0,0,0,10004.532,4.532,10004.532
20180131,Hold,52.022,0,0,0,10004.532,4.532,10004.532
20180201,Buy,53.333,187,-9978.257635499998,187,26.275,-0.454,9999.546
20180202,Sell,51.779,-187,9677.831663500001,0,9704.106,-295.894,9704.106
20180205,Hold,51.838,0,0,0,9704.106,-295.894,9704.106
20180206,Hold,49.392,0,0,0,9704.106,-295.894,9704.106
20180207,Hold,50.034,0,0,0,9704.106,-295.894,9704.106
20180208,Hold,49.376,0,0,0,9704.106,-295.894,9704.106
20180209,Hold,48.213,0,0,0,9704.106,-295.894,9704.106
20180212,Hold,49.312,0,0,0,9704.106,-295.894,9704.106
20180213,Hold,49.071,0,0,0,9704.106,-295.894,9704.106
20180214,Hold,48.939,0,0,0,9704.106,-295.894,9704.106
20180215,Buy,49.418,196,-9690.770964,196,13.335,-300.737,9699.263
20180216,Hold,50.241,0,0,196,13.335,-139.429,9860.571
20180220,Hold,50.122,0,0,196,13.335,-162.753,9837.247
20180221,Hold,50.069,0,0,196,13.335,-173.141,9826.859
20180222,Sell,48.646,-196,9529.848692000001,0,9543.184,-456.816,9543.184
20180223,Hold,48.915,0,0,0,9543.184,-456.816,9543.184
20180226,Hold,49.575,0,0,0,9543.184,-456.816,9543.184
20180227,Hold,49.566,0,0,0,9543.184,-456.816,9543.184
20180228,Hold,48.672,0,0,0,9543.184,-456.816,9543.184
20180301,Hold,48.662,0,0,0,9543.184,-456.816,9543.184
20180302,Hold,48.761,0,0,0,9543.184,-456.816,9543.184
20180305,Hold,48.431,0,0,0,9543.184,-456.816,9543.184
20180306,Buy,48.967,194,-9504.347799,194,38.836,-461.566,9538.434
20180307,Hold,49.161,0,0,194,38.836,-423.93,9576.07
20180308,Hold,50.241,0,0,194,38.836,-214.41,9785.59
20180309,Hold,50.6,0,0,194,38.836,-144.764,9855.236
20180312,Hold,51.484,0,0,194,38.836,26.732,10026.732
20180313,Hold,51.865,0,0,194,38.836,100.646,10100.646
20180314,Hold,51.702,0,0,194,38.836,69.024,10069.024
20180315,Hold,51.77,0,0,194,38.836,82.216,10082.216
20180316,Hold,51.856,0,0,194,38.836,98.9,10098.9
20180319,Hold,52.681,0,0,194,38.836,258.95,10258.95
20180320,Hold,52.326,0,0,194,38.836,190.08,10190.08
20180321,Hold,52.248,0,0,194,38.836,174.948,10174.948
20180322,Hold,51.96,0,0,194,38.836,119.076,10119.076
20180323,Sell,51.829,-194,10049.798587000001,0,10088.635,88.635,10088.635
20180326,Hold,51.436,0,0,0,10088.635,88.635,10088.635
20180327,Hold,51.673,0,0,0,10088.635,88.635,10088.635
20180328,Buy,52.198,193,-10079.251107,193,9.384,83.598,10083.598
20180329,Hold,54.108,0,0,193,9.384,452.228,10452.228
20180402,Hold,53.836,0,0,193,9.384,399.732,10399.732
20180403,Hold,53.53,0,0,193,9.384,340.674,10340.674
20180404,Hold,54.301,0,0,193,9.384,489.477,10489.477
20180405,Hold,55.351,0,0,193,9.384,692.127,10692.127
20180406,Hold,55.491,0,0,193,9.384,719.147,10719.147
20180409,Hold,55.227,0,0,193,9.384,668.195,10668.195
20180410,Hold,54.736,0,0,193,9.384,573.432,10573.432
20180411,Sell,54.87,-193,10584.615045,0,10593.999,593.999,10593.999
20180412,Hold,54.842,0,0,0,10593.999,593.999,10593.999
20180413,Hold,53.959,0,0,0,10593.999,593.999,10593.999
20180416,Hold,54.196,0,0,0,10593.999,593.999,10593.999
20180417,Hold,54.142,0,0,0,10593.999,593.999,10593.999
20180418,Hold,54.765,0,0,0,10593.999,593.999,10593.999
20180419,Buy,54.133,195,-10561.212967500001,195,32.786,588.721,10588.721
20180420,Sell,53.172,-195,10363.35573,0,10396.141,396.141,10396.141
20180423,Hold,52.731,0,0,0,10396.141,396.141,10396.141
20180424,Hold,53.023,0,0,0,10396.141,396.141,10396.141
20180425,Hold,52.795,0,0,0,10396.141,396.141,10396.141
20180426,Hold,52.976,0,0,0,10396.141,396.141,10396.141
20180427,Buy,53.511,194,-10386.324567,194,9.817,390.951,10390.951
20180430,Hold,54.318,0,0,194,9.817,547.509,10547.509
20180501,Hold,54.098,0,0,194,9.817,504.829,10504.829
20180502,Hold,54.291,0,0,194,9.817,542.271,10542.271
20180503,Hold,53.836,0,0,194,9.817,454.001,10454.001
20180504,Sell,53.87,-194,10445.55461,0,10455.372,455.372,10455.372
20180507,Hold,54.562,0,0,0,10455.372,455.372,10455.372
20180508,Buy,54.186,192,-10408.913856,192,46.458,450.17,10450.17
20180509,Hold,54.423,0,0,192,46.458,495.674,10495.674
20180510,Hold,55.58,0,0,192,46.458,717.818,10717.818
20180511,Hold,55.227,0,0,192,46.458,650.042,10650.042
20180514,Hold,54.791,0,0,192,46.458,566.33,10566.33
20180515,Sell,54.133,-192,10388.339232,0,10434.797,434.797,10434.797
20180516,Hold,53.462,0,0,0,10434.797,434.797,10434.797
20180517,Hold,52.768,0,0,0,10434.797,434.797,10434.797
20180518,Hold,52.293,0,0,0,10434.797,434.797,10434.797
20180521,Hold,52.452,0,0,0,10434.797,434.797,10434.797
20180522,Hold,52.759,0,0,0,10434.797,434.797,10434.797
20180523,Buy,53.049,196,-10402.802801999998,196,31.994,429.598,10429.598
20180524,Hold,54.047,0,0,196,31.994,625.206,10625.206
20180525,Hold,53.723,0,0,196,31.994,561.702,10561.702
20180529,Hold,53.934,0,0,196,31.994,603.058,10603.058
20180530,Hold,53.967,0,0,196,31.994,609.526,10609.526
20180531,Hold,55.622,0,0,196,31.994,933.906,10933.906
20180601,Hold,56.139,0,0,196,31.994,1035.238,11035.238
20180604,Hold,56.158,0,0,196,31.994,1038.962,11038.962
20180605,Hold,56.854,0,0,196,31.994,1175.378,11175.378
