,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,14.837,673,-9990.2936505,673,9.706,-4.993,9995.007
20140110,Hold,14.913,0,0.0,673,9.706,46.155,10046.155
20140113,Hold,14.674,0,0.0,673,9.706,-114.692,9885.308
20140114,Sell,14.687,-673,9879.408824499998,0,9889.115,-110.885,9889.115
20140115,Buy,14.851,665,-9880.852957500001,665,8.262,-115.823,9884.177
20140116,Hold,14.865,0,0.0,665,8.262,-106.513,9893.487
20140117,Hold,14.943,0,0.0,665,8.262,-54.643,9945.357
20140121,Hold,14.981,0,0.0,665,8.262,-29.373,9970.627
20140122,Hold,15.043,0,0.0,665,8.262,11.857,10011.857
20140123,Hold,14.905,0,0.0,665,8.262,-79.913,9920.087
20140124,Sell,14.789,-665,9829.7676575,0,9838.03,-161.97,9838.03
20140127,Hold,14.444,0,0.0,0,9838.03,-161.97,9838.03
20140128,Hold,14.173,0,0.0,0,9838.03,-161.97,9838.03
20140129,Hold,14.067,0,0.0,0,9838.03,-161.97,9838.03
20140130,Hold,14.113,0,0.0,0,9838.03,-161.97,9838.03
20140131,Hold,13.859,0,0.0,0,9838.03,-161.97,9838.03
20140203,Hold,14.059,0,0.0,0,9838.03,-161.97,9838.03
20140204,Hold,13.93,0,0.0,0,9838.03,-161.97,9838.03
20140205,Hold,13.989,0,0.0,0,9838.03,-161.97,9838.03
20140206,Hold,13.875,0,0.0,0,9838.03,-161.97,9838.03
20140207,Hold,14.138,0,0.0,0,9838.03,-161.97,9838.03
20140210,Buy,14.198,692,-9829.928507999999,692,8.101,-166.883,9833.117
20140211,Hold,14.105,0,0.0,692,8.101,-231.239,9768.761
20140212,Hold,14.374,0,0.0,692,8.101,-45.091,9954.909
20140213,Hold,14.293,0,0.0,692,8.101,-101.143,9898.857
20140214,Hold,14.473,0,0.0,692,8.101,23.417,10023.417
20140218,Hold,14.591,0,0.0,692,8.101,105.073,10105.073
20140219,Hold,14.528,0,0.0,692,8.101,61.477,10061.477
20140220,Hold,14.857,0,0.0,692,8.101,289.145,10289.145
20140221,Hold,14.95,0,0.0,692,8.101,353.501,10353.501
20140224,Hold,15.035,0,0.0,692,8.101,412.321,10412.321
20140225,Hold,15.057,0,0.0,692,8.101,427.545,10427.545
20140226,Hold,15.099,0,0.0,692,8.101,456.609,10456.609
20140227,Hold,15.12,0,0.0,692,8.101,471.141,10471.141
20140228,Hold,15.043,0,0.0,692,8.101,417.857,10417.857
20140303,Hold,15.018,0,0.0,692,8.101,400.557,10400.557
20140304,Hold,15.288,0,0.0,692,8.101,587.397,10587.397
20140305,Hold,15.413,0,0.0,692,8.101,673.897,10673.897
20140306,Hold,15.374,0,0.0,692,8.101,646.909,10646.909
20140307,Hold,15.474,0,0.0,692,8.101,716.109,10716.109
20140310,Hold,15.443,0,0.0,692,8.101,694.657,10694.657
20140311,Hold,15.391,0,0.0,692,8.101,658.673,10658.673
20140312,Hold,15.42,0,0.0,692,8.101,678.741,10678.741
20140313,Hold,15.657,0,0.0,692,8.101,842.745,10842.745
20140314,Hold,15.513,0,0.0,692,8.101,743.097,10743.097
20140317,Hold,15.734,0,0.0,692,8.101,896.029,10896.029
20140318,Hold,15.688,0,0.0,692,8.101,864.197,10864.197
20140319,Hold,15.703,0,0.0,692,8.101,874.577,10874.577
20140320,Sell,15.342,-692,10611.355668000002,0,10619.457,619.457,10619.457
20140321,Hold,15.513,0,0.0,0,10619.457,619.457,10619.457
20140324,Hold,15.566,0,0.0,0,10619.457,619.457,10619.457
20140325,Hold,15.435,0,0.0,0,10619.457,619.457,10619.457
20140326,Hold,15.451,0,0.0,0,10619.457,619.457,10619.457
20140327,Hold,15.166,0,0.0,0,10619.457,619.457,10619.457
20140328,Hold,15.322,0,0.0,0,10619.457,619.457,10619.457
20140331,Buy,15.514,684,-10616.881787999999,684,2.575,614.151,10614.151
20140401,Hold,15.593,0,0.0,684,2.575,668.187,10668.187
20140402,Hold,15.916,0,0.0,684,2.575,889.119,10889.119
20140403,Hold,16.009,0,0.0,684,2.575,952.731,10952.731
20140404,Hold,16.102,0,0.0,684,2.575,1016.343,11016.343
20140407,Hold,15.847,0,0.0,684,2.575,841.923,10841.923
20140408,Hold,15.909,0,0.0,684,2.575,884.331,10884.331
20140409,Hold,16.073,0,0.0,684,2.575,996.507,10996.507
20140410,Sell,15.971,-684,10918.701918,0,10921.277,921.277,10921.277
20140411,Hold,15.521,0,0.0,0,10921.277,921.277,10921.277
20140414,Hold,15.628,0,0.0,0,10921.277,921.277,10921.277
20140415,Hold,15.678,0,0.0,0,10921.277,921.277,10921.277
20140416,Buy,16.009,681,-10907.5800645,681,13.697,915.826,10915.826
20140417,Hold,16.241,0,0.0,681,13.697,1073.818,11073.818
20140421,Hold,16.257,0,0.0,681,13.697,1084.714,11084.714
20140422,Hold,16.272,0,0.0,681,13.697,1094.929,11094.929
20140423,Hold,16.319,0,0.0,681,13.697,1126.936,11126.936
20140424,Hold,16.319,0,0.0,681,13.697,1126.936,11126.936
20140425,Hold,16.345,0,0.0,681,13.697,1144.642,11144.642
20140428,Sell,16.28,-681,11081.13666,0,11094.834,1094.834,11094.834
20140429,Hold,16.311,0,0.0,0,11094.834,1094.834,11094.834
20140430,Buy,16.185,685,-11092.268362499997,685,2.565,1089.29,11089.29
20140501,Hold,16.389,0,0.0,685,2.565,1229.03,11229.03
20140502,Hold,16.599,0,0.0,685,2.565,1372.88,11372.88
20140505,Hold,16.319,0,0.0,685,2.565,1181.08,11181.08
20140506,Hold,16.467,0,0.0,685,2.565,1282.46,11282.46
20140507,Sell,16.484,-685,11285.894230000002,0,11288.46,1288.46,11288.46
20140508,Buy,16.562,681,-11284.361361000001,681,4.098,1282.82,11282.82
20140509,Hold,16.684,0,0.0,681,4.098,1365.902,11365.902
20140512,Hold,16.706,0,0.0,681,4.098,1380.884,11380.884
20140513,Hold,16.793,0,0.0,681,4.098,1440.131,11440.131
20140514,Hold,16.604,0,0.0,681,4.098,1311.422,11311.422
20140515,Sell,16.528,-681,11249.940215999999,0,11254.038,1254.038,11254.038
20140516,Hold,16.574,0,0.0,0,11254.038,1254.038,11254.038
20140519,Buy,16.777,670,-11246.210294999999,670,7.828,1248.418,11248.418
20140520,Hold,16.822,0,0.0,670,7.828,1278.568,11278.568
20140521,Hold,16.747,0,0.0,670,7.828,1228.318,11228.318
20140522,Hold,16.636,0,0.0,670,7.828,1153.948,11153.948
20140523,Sell,16.698,-670,11182.06617,0,11189.894,1189.894,11189.894
20140527,Buy,16.906,661,-11180.453432999999,661,9.441,1184.307,11184.307
20140528,Hold,16.831,0,0.0,661,9.441,1134.732,11134.732
20140529,Hold,16.845,0,0.0,661,9.441,1143.986,11143.986
20140530,Hold,16.845,0,0.0,661,9.441,1143.986,11143.986
20140602,Hold,17.107,0,0.0,661,9.441,1317.168,11317.168
20140603,Hold,17.093,0,0.0,661,9.441,1307.914,11307.914
20140604,Hold,17.126,0,0.0,661,9.441,1329.727,11329.727
20140605,Hold,17.234,0,0.0,661,9.441,1401.115,11401.115
20140606,Hold,17.626,0,0.0,661,9.441,1660.227,11660.227
20140609,Hold,17.605,0,0.0,661,9.441,1646.346,11646.346
20140610,Hold,17.387,0,0.0,661,9.441,1502.248,11502.248
20140611,Hold,17.255,0,0.0,661,9.441,1414.996,11414.996
20140612,Sell,17.281,-661,11417.0296295,0,11426.471,1426.471,11426.471
20140613,Hold,17.157,0,0.0,0,11426.471,1426.471,11426.471
20140616,Hold,17.169,0,0.0,0,11426.471,1426.471,11426.471
20140617,Hold,16.97,0,0.0,0,11426.471,1426.471,11426.471
20140618,Hold,17.107,0,0.0,0,11426.471,1426.471,11426.471
20140619,Buy,17.247,662,-11423.222756999998,662,3.248,1420.762,11420.762
20140620,Hold,17.357,0,0.0,662,3.248,1493.582,11493.582
20140623,Hold,17.328,0,0.0,662,3.248,1474.384,11474.384
20140624,Hold,17.263,0,0.0,662,3.248,1431.354,11431.354
20140625,Sell,17.149,-662,11346.961681,0,11350.209,1350.209,11350.209
20140626,Hold,17.039,0,0.0,0,11350.209,1350.209,11350.209
20140627,Hold,17.1,0,0.0,0,11350.209,1350.209,11350.209
20140630,Buy,17.336,654,-11343.412871999999,654,6.797,1344.541,11344.541
20140701,Hold,17.235,0,0.0,654,6.797,1278.487,11278.487
20140702,Hold,17.274,0,0.0,654,6.797,1303.993,11303.993
20140703,Hold,17.194,0,0.0,654,6.797,1251.673,11251.673
