,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,19.088,523,-9988.015512,523,11.984,-4.992,9995.008
20150112,Hold,18.921,0,0.0,523,11.984,-92.333,9907.667
20150113,Hold,19.009,0,0.0,523,11.984,-46.309,9953.691
20150114,Hold,18.582,0,0.0,523,11.984,-269.63,9730.37
20150115,Sell,18.828,-523,9842.120478,0,9854.105,-145.895,9854.105
20150116,Hold,18.716,0,0.0,0,9854.105,-145.895,9854.105
20150120,Hold,18.97,0,0.0,0,9854.105,-145.895,9854.105
20150121,Hold,18.835,0,0.0,0,9854.105,-145.895,9854.105
20150122,Buy,18.828,523,-9851.967521999999,523,2.137,-150.819,9849.181
20150123,Hold,19.121,0,0.0,523,2.137,2.42,10002.42
20150126,Hold,19.175,0,0.0,523,2.137,30.662,10030.662
20150127,Hold,19.057,0,0.0,523,2.137,-31.052,9968.948
20150128,Hold,19.216,0,0.0,523,2.137,52.105,10052.105
20150129,Sell,18.756,-523,9804.483306000002,0,9806.621,-193.379,9806.621
20150130,Hold,18.653,0,0.0,0,9806.621,-193.379,9806.621
20150202,Hold,18.223,0,0.0,0,9806.621,-193.379,9806.621
20150203,Hold,18.302,0,0.0,0,9806.621,-193.379,9806.621
20150204,Hold,18.466,0,0.0,0,9806.621,-193.379,9806.621
20150205,Hold,18.466,0,0.0,0,9806.621,-193.379,9806.621
20150206,Buy,18.603,526,-9790.070589,526,16.55,-198.272,9801.728
20150209,Hold,18.382,0,0.0,526,16.55,-314.518,9685.482
20150210,Sell,18.335,-526,9639.387895000002,0,9655.938,-344.062,9655.938
20150211,Hold,18.424,0,0.0,0,9655.938,-344.062,9655.938
20150212,Hold,18.573,0,0.0,0,9655.938,-344.062,9655.938
20150213,Buy,18.819,512,-9640.145664,512,15.792,-348.88,9651.12
20150217,Hold,18.741,0,0.0,512,15.792,-388.816,9611.184
20150218,Hold,18.684,0,0.0,512,15.792,-418.0,9582.0
20150219,Hold,17.46,0,0.0,512,15.792,-1044.688,8955.312
20150220,Sell,17.307,-512,8856.753408,0,8872.546,-1127.454,8872.546
