,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,138.59,0,0,0,10000,0.0,10000.0
20160112,Hold,138.78,0,0,0,10000,0.0,10000.0
20160113,Hold,137.53,0,0,0,10000,0.0,10000.0
20160114,Hold,136.73,0,0,0,10000,0.0,10000.0
20160115,Hold,134.97,0,0,0,10000,0.0,10000.0
20160119,Hold,137.68,0,0,0,10000,0.0,10000.0
20160120,Hold,136.83,0,0,0,10000,0.0,10000.0
20160121,Hold,135.3,0,0,0,10000,0.0,10000.0
20160122,Hold,137.03,0,0,0,10000,0.0,10000.0
20160125,Buy,138.73,72,-9993.554279999998,72,6.446,-4.994,9995.006
20160126,Hold,137.4,0,0,72,6.446,-100.754,9899.246
20160127,Hold,140.31,0,0,72,6.446,108.766,10108.766
20160128,Hold,138.52,0,0,72,6.446,-20.114,9979.886
20160129,Hold,140.08,0,0,72,6.446,92.206,10092.206
20160201,Hold,137.39,0,0,72,6.446,-101.474,9898.526
20160202,Sell,139.24,-72,10020.267360000002,0,10026.713,26.713,10026.713
20160203,Hold,138.59,0,0,0,10026.713,26.713,10026.713
20160204,Hold,139.14,0,0,0,10026.713,26.713,10026.713
20160205,Buy,137.86,72,-9930.88296,72,95.83,21.75,10021.75
20160208,Sell,136.6,-72,9830.2824,0,9926.113,-73.887,9926.113
20160209,Hold,133.24,0,0,0,9926.113,-73.887,9926.113
20160210,Hold,132.82,0,0,0,9926.113,-73.887,9926.113
20160211,Hold,133.32,0,0,0,9926.113,-73.887,9926.113
20160212,Buy,137.01,72,-9869.652359999998,72,56.46,-78.82,9921.18
20160216,Hold,138.69,0,0,72,56.46,42.14,10042.14
20160217,Hold,140.4,0,0,72,56.46,165.26,10165.26
20160218,Hold,139.33,0,0,72,56.46,88.22,10088.22
20160219,Hold,140.41,0,0,72,56.46,165.98,10165.98
20160222,Hold,142.42,0,0,72,56.46,310.7,10310.7
20160223,Hold,141.46,0,0,72,56.46,241.58,10241.58
20160224,Hold,141.14,0,0,72,56.46,218.54,10218.54
20160225,Hold,142.4,0,0,72,56.46,309.26,10309.26
20160226,Hold,143.46,0,0,72,56.46,385.58,10385.58
20160229,Hold,142.51,0,0,72,56.46,317.18,10317.18
20160301,Hold,142.49,0,0,72,56.46,315.74,10315.74
20160302,Hold,145.19,0,0,72,56.46,510.14,10510.14
20160303,Hold,146.6,0,0,72,56.46,611.66,10611.66
20160304,Hold,147.37,0,0,72,56.46,667.1,10667.1
20160307,Hold,147.95,0,0,72,56.46,708.86,10708.86
20160308,Hold,148.15,0,0,72,56.46,723.26,10723.26
20160309,Hold,148.01,0,0,72,56.46,713.18,10713.18
20160310,Hold,148.55,0,0,72,56.46,752.06,10752.06
20160311,Hold,149.79,0,0,72,56.46,841.34,10841.34
20160314,Hold,149.58,0,0,72,56.46,826.22,10826.22
20160315,Hold,148.2,0,0,72,56.46,726.86,10726.86
20160316,Hold,148.48,0,0,72,56.46,747.02,10747.02
20160317,Hold,149.99,0,0,72,56.46,855.74,10855.74
20160318,Hold,153.18,0,0,72,56.46,1085.42,11085.42
20160321,Hold,153.57,0,0,72,56.46,1113.5,11113.5
20160322,Hold,151.31,0,0,72,56.46,950.78,10950.78
20160323,Hold,150.17,0,0,72,56.46,868.7,10868.7
20160324,Sell,149.67,-72,10770.85188,0,10827.312,827.312,10827.312
20160328,Hold,150.83,0,0,0,10827.312,827.312,10827.312
20160329,Buy,152.24,71,-10814.444520000001,71,12.868,821.908,10821.908
20160330,Hold,154.91,0,0,71,12.868,1011.478,11011.478
20160331,Hold,154.06,0,0,71,12.868,951.128,10951.128
20160401,Hold,155.0,0,0,71,12.868,1017.868,11017.868
20160404,Hold,156.44,0,0,71,12.868,1120.108,11120.108
20160405,Hold,155.35,0,0,71,12.868,1042.718,11042.718
20160406,Hold,154.2,0,0,71,12.868,961.068,10961.068
20160407,Sell,155.76,-71,11053.43052,0,11066.298,1066.298,11066.298
20160408,Hold,154.86,0,0,0,11066.298,1066.298,11066.298
20160411,Hold,155.36,0,0,0,11066.298,1066.298,11066.298
20160412,Buy,154.84,71,-10999.13682,71,67.161,1060.801,11060.801
20160413,Hold,156.24,0,0,71,67.161,1160.201,11160.201
20160414,Hold,155.16,0,0,71,67.161,1083.521,11083.521
20160415,Sell,155.19,-71,11012.980755,0,11080.142,1080.142,11080.142
20160418,Hold,155.47,0,0,0,11080.142,1080.142,11080.142
20160419,Buy,156.43,70,-10955.57505,70,124.567,1074.667,11074.667
20160420,Hold,154.26,0,0,70,124.567,922.767,10922.767
20160421,Sell,152.04,-70,10637.4786,0,10762.046,762.046,10762.046
20160422,Hold,149.24,0,0,0,10762.046,762.046,10762.046
20160425,Hold,150.62,0,0,0,10762.046,762.046,10762.046
20160426,Hold,152.71,0,0,0,10762.046,762.046,10762.046
20160427,Hold,152.91,0,0,0,10762.046,762.046,10762.046
20160428,Buy,151.61,70,-10618.00635,70,144.039,756.739,10756.739
20160429,Hold,151.64,0,0,70,144.039,758.839,10758.839
20160502,Sell,151.46,-70,10596.898900000002,0,10740.938,740.938,10740.938
20160503,Hold,151.87,0,0,0,10740.938,740.938,10740.938
20160504,Buy,151.87,70,-10636.21545,70,104.723,735.623,10735.623
20160505,Hold,154.35,0,0,70,104.723,909.223,10909.223
20160506,Hold,155.57,0,0,70,104.723,994.623,10994.623
20160509,Hold,157.4,0,0,70,104.723,1122.723,11122.723
20160510,Hold,159.62,0,0,70,104.723,1278.123,11278.123
20160511,Hold,159.45,0,0,70,104.723,1266.223,11266.223
20160512,Sell,152.41,-70,10663.36565,0,10768.088,768.088,10768.088
20160513,Hold,151.2,0,0,0,10768.088,768.088,10768.088
20160516,Hold,147.97,0,0,0,10768.088,768.088,10768.088
20160517,Hold,149.2,0,0,0,10768.088,768.088,10768.088
20160518,Hold,146.53,0,0,0,10768.088,768.088,10768.088
20160519,Hold,144.52,0,0,0,10768.088,768.088,10768.088
20160520,Hold,146.76,0,0,0,10768.088,768.088,10768.088
20160523,Hold,147.13,0,0,0,10768.088,768.088,10768.088
20160524,Buy,148.23,72,-10677.896279999999,72,90.192,762.752,10762.752
20160525,Hold,149.02,0,0,72,90.192,819.632,10819.632
20160526,Hold,147.78,0,0,72,90.192,730.352,10730.352
20160527,Hold,148.47,0,0,72,90.192,780.032,10780.032
20160531,Hold,149.64,0,0,72,90.192,864.272,10864.272
20160601,Hold,148.01,0,0,72,90.192,746.912,10746.912
20160602,Hold,148.51,0,0,72,90.192,782.912,10782.912
20160603,Hold,149.55,0,0,72,90.192,857.792,10857.792
20160606,Hold,150.54,0,0,72,90.192,929.072,10929.072
20160607,Hold,149.57,0,0,72,90.192,859.232,10859.232
20160608,Hold,150.08,0,0,72,90.192,895.952,10895.952
20160609,Hold,151.54,0,0,72,90.192,1001.072,11001.072
20160610,Hold,151.18,0,0,72,90.192,975.152,10975.152
20160613,Hold,151.21,0,0,72,90.192,977.312,10977.312
20160614,Hold,151.64,0,0,72,90.192,1008.272,11008.272
20160615,Hold,152.95,0,0,72,90.192,1102.592,11102.592
20160616,Hold,153.39,0,0,72,90.192,1134.272,11134.272
20160617,Hold,155.15,0,0,72,90.192,1260.992,11260.992
20160620,Hold,156.53,0,0,72,90.192,1360.352,11360.352
20160621,Hold,156.06,0,0,72,90.192,1326.512,11326.512
20160622,Hold,157.36,0,0,72,90.192,1420.112,11420.112
20160623,Hold,157.95,0,0,72,90.192,1462.592,11462.592
20160624,Hold,154.03,0,0,72,90.192,1180.352,11180.352
20160627,Sell,154.66,-72,11129.95224,0,11220.144,1220.144,11220.144
20160628,Hold,157.51,0,0,0,11220.144,1220.144,11220.144
20160629,Buy,161.03,69,-11116.625535,69,103.519,1214.589,11214.589
20160630,Hold,162.43,0,0,69,103.519,1311.189,11311.189
20160701,Hold,163.77,0,0,69,103.519,1403.649,11403.649
20160705,Hold,163.63,0,0,69,103.519,1393.989,11393.989
20160706,Hold,165.4,0,0,69,103.519,1516.119,11516.119
20160707,Hold,163.41,0,0,69,103.519,1378.809,11378.809
20160708,Sell,163.22,-69,11256.548910000001,0,11360.068,1360.068,11360.068
20160711,Buy,165.48,68,-11258.266319999999,68,101.801,1354.441,11354.441
20160712,Hold,166.64,0,0,68,101.801,1433.321,11433.321
20160713,Hold,166.96,0,0,68,101.801,1455.081,11455.081
20160714,Hold,168.81,0,0,68,101.801,1580.881,11580.881
20160715,Hold,167.59,0,0,68,101.801,1497.921,11497.921
20160718,Hold,167.95,0,0,68,101.801,1522.401,11522.401
20160719,Hold,167.57,0,0,68,101.801,1496.561,11496.561
20160720,Hold,168.21,0,0,68,101.801,1540.081,11540.081
20160721,Sell,167.7,-68,11397.8982,0,11499.699,1499.699,11499.699
20160722,Buy,168.58,68,-11469.17172,68,30.528,1493.968,11493.968
20160725,Hold,170.03,0,0,68,30.528,1592.568,11592.568
20160726,Hold,169.04,0,0,68,30.528,1525.248,11525.248
20160727,Hold,169.49,0,0,68,30.528,1555.848,11555.848
20160728,Sell,166.99,-68,11349.64234,0,11380.17,1380.17,11380.17
20160729,Hold,168.61,0,0,0,11380.17,1380.17,11380.17
20160801,Buy,170.8,66,-11278.4364,66,101.734,1374.534,11374.534
20160802,Hold,170.58,0,0,66,101.734,1360.014,11360.014
20160803,Hold,167.3,0,0,66,101.734,1143.534,11143.534
20160804,Sell,167.52,-66,11050.791840000002,0,11152.526,1152.526,11152.526
20160805,Hold,165.72,0,0,0,11152.526,1152.526,11152.526
20160808,Hold,165.4,0,0,0,11152.526,1152.526,11152.526
20160809,Hold,165.63,0,0,0,11152.526,1152.526,11152.526
20160810,Hold,165.53,0,0,0,11152.526,1152.526,11152.526
20160811,Hold,164.94,0,0,0,11152.526,1152.526,11152.526
20160812,Hold,161.75,0,0,0,11152.526,1152.526,11152.526
20160815,Hold,162.63,0,0,0,11152.526,1152.526,11152.526
20160816,Hold,162.22,0,0,0,11152.526,1152.526,11152.526
20160817,Hold,160.5,0,0,0,11152.526,1152.526,11152.526
20160818,Hold,161.97,0,0,0,11152.526,1152.526,11152.526
20160819,Hold,162.02,0,0,0,11152.526,1152.526,11152.526
20160822,Hold,161.1,0,0,0,11152.526,1152.526,11152.526
20160823,Hold,161.89,0,0,0,11152.526,1152.526,11152.526
20160824,Hold,161.03,0,0,0,11152.526,1152.526,11152.526
20160825,Buy,162.67,68,-11067.090779999999,68,85.435,1146.995,11146.995
20160826,Hold,163.98,0,0,68,85.435,1236.075,11236.075
20160829,Hold,162.18,0,0,68,85.435,1113.675,11113.675
20160830,Hold,163.91,0,0,68,85.435,1231.315,11231.315
20160831,Hold,163.48,0,0,68,85.435,1202.075,11202.075
20160901,Hold,163.03,0,0,68,85.435,1171.475,11171.475
20160902,Hold,164.56,0,0,68,85.435,1275.515,11275.515
20160906,Hold,164.72,0,0,68,85.435,1286.395,11286.395
20160907,Hold,165.48,0,0,68,85.435,1338.075,11338.075
20160908,Hold,165.39,0,0,68,85.435,1331.955,11331.955
20160909,Hold,163.36,0,0,68,85.435,1193.915,11193.915
20160912,Sell,158.74,-68,10788.922840000001,0,10874.358,874.358,10874.358
20160913,Hold,160.12,0,0,0,10874.358,874.358,10874.358
20160914,Hold,157.46,0,0,0,10874.358,874.358,10874.358
20160915,Hold,157.28,0,0,0,10874.358,874.358,10874.358
20160916,Hold,157.31,0,0,0,10874.358,874.358,10874.358
20160919,Hold,159.24,0,0,0,10874.358,874.358,10874.358
20160920,Buy,159.87,67,-10716.645645,67,157.712,869.002,10869.002
20160921,Hold,158.22,0,0,67,157.712,758.452,10758.452
20160922,Hold,160.85,0,0,67,157.712,934.662,10934.662
20160923,Hold,161.64,0,0,67,157.712,987.592,10987.592
20160926,Hold,161.74,0,0,67,157.712,994.292,10994.292
20160927,Hold,163.55,0,0,67,157.712,1115.562,11115.562
20160928,Hold,161.6,0,0,67,157.712,984.912,10984.912
20160929,Sell,160.63,-67,10756.828895,0,10914.541,914.541,10914.541
20160930,Hold,158.84,0,0,0,10914.541,914.541,10914.541
20161003,Hold,156.5,0,0,0,10914.541,914.541,10914.541
20161004,Hold,152.9,0,0,0,10914.541,914.541,10914.541
20161005,Hold,151.27,0,0,0,10914.541,914.541,10914.541
20161006,Hold,148.22,0,0,0,10914.541,914.541,10914.541
20161007,Hold,149.95,0,0,0,10914.541,914.541,10914.541
20161010,Hold,149.44,0,0,0,10914.541,914.541,10914.541
20161011,Buy,149.87,72,-10796.035319999999,72,118.506,909.146,10909.146
20161012,Sell,148.75,-72,10704.645,0,10823.151,823.151,10823.151
20161013,Buy,150.08,72,-10811.16288,72,11.988,817.748,10817.748
20161014,Hold,151.01,0,0,72,11.988,884.708,10884.708
20161017,Hold,149.65,0,0,72,11.988,786.788,10786.788
20161018,Hold,150.57,0,0,72,11.988,853.028,10853.028
20161019,Hold,150.49,0,0,72,11.988,847.268,10847.268
20161020,Sell,150.99,-72,10865.844360000001,0,10877.832,877.832,10877.832
20161021,Hold,148.54,0,0,0,10877.832,877.832,10877.832
20161024,Hold,149.99,0,0,0,10877.832,877.832,10877.832
20161025,Hold,148.97,0,0,0,10877.832,877.832,10877.832
20161026,Hold,148.03,0,0,0,10877.832,877.832,10877.832
20161027,Hold,142.76,0,0,0,10877.832,877.832,10877.832
20161028,Hold,139.77,0,0,0,10877.832,877.832,10877.832
20161031,Hold,139.81,0,0,0,10877.832,877.832,10877.832
20161101,Hold,140.34,0,0,0,10877.832,877.832,10877.832
20161102,Hold,139.32,0,0,0,10877.832,877.832,10877.832
20161103,Hold,136.29,0,0,0,10877.832,877.832,10877.832
20161104,Hold,136.64,0,0,0,10877.832,877.832,10877.832
20161107,Hold,138.82,0,0,0,10877.832,877.832,10877.832
20161108,Buy,138.3,78,-10792.7937,78,85.038,872.438,10872.438
20161109,Hold,136.65,0,0,78,85.038,743.738,10743.738
20161110,Hold,137.55,0,0,78,85.038,813.938,10813.938
20161111,Hold,138.27,0,0,78,85.038,870.098,10870.098
20161114,Hold,138.78,0,0,78,85.038,909.878,10909.878
20161115,Hold,142.74,0,0,78,85.038,1218.758,11218.758
20161116,Hold,141.32,0,0,78,85.038,1107.998,11107.998
20161117,Hold,139.94,0,0,78,85.038,1000.358,11000.358
20161118,Sell,138.24,-78,10777.328640000002,0,10862.367,862.367,10862.367
20161121,Hold,138.73,0,0,0,10862.367,862.367,10862.367
20161122,Hold,138.27,0,0,0,10862.367,862.367,10862.367
20161123,Hold,137.98,0,0,0,10862.367,862.367,10862.367
20161125,Buy,139.14,78,-10858.346459999997,78,4.021,856.941,10856.941
20161128,Sell,138.28,-78,10780.44708,0,10784.468,784.468,10784.468
20161129,Buy,139.32,77,-10733.003819999998,77,51.464,779.104,10779.104
20161130,Hold,138.11,0,0,77,51.464,685.934,10685.934
20161201,Sell,136.99,-77,10542.955885000001,0,10594.42,594.42,10594.42
20161202,Hold,135.94,0,0,0,10594.42,594.42,10594.42
20161205,Hold,137.43,0,0,0,10594.42,594.42,10594.42
20161206,Buy,138.41,76,-10524.41958,76,70.0,589.16,10589.16
20161207,Hold,138.34,0,0,76,70.0,583.84,10583.84
20161208,Hold,139.63,0,0,76,70.0,681.88,10681.88
20161209,Hold,140.68,0,0,76,70.0,761.68,10761.68
20161212,Hold,140.08,0,0,76,70.0,716.08,10716.08
20161213,Hold,143.1,0,0,76,70.0,945.6,10945.6
20161214,Hold,143.29,0,0,76,70.0,960.04,10960.04
20161215,Sell,138.88,-76,10549.60256,0,10619.603,619.603,10619.603
20161216,Hold,138.92,0,0,0,10619.603,619.603,10619.603
20161219,Hold,139.74,0,0,0,10619.603,619.603,10619.603
20161220,Hold,139.77,0,0,0,10619.603,619.603,10619.603
20161221,Buy,140.32,75,-10529.261999999999,75,90.341,614.341,10614.341
20161222,Sell,136.3,-75,10217.38875,0,10307.729,307.729,10307.729
20161223,Hold,135.46,0,0,0,10307.729,307.729,10307.729
20161227,Hold,134.73,0,0,0,10307.729,307.729,10307.729
20161228,Hold,135.06,0,0,0,10307.729,307.729,10307.729
20161229,Hold,133.84,0,0,0,10307.729,307.729,10307.729
20161230,Hold,135.21,0,0,0,10307.729,307.729,10307.729
