,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,135.1,0,0,0,10000,0.0,10000.0
20180110,Hold,131.72,0,0,0,10000,0.0,10000.0
20180111,Hold,132.16,0,0,0,10000,0.0,10000.0
20180112,Hold,131.99,0,0,0,10000,0.0,10000.0
20180116,Hold,132.7,0,0,0,10000,0.0,10000.0
20180117,Hold,132.54,0,0,0,10000,0.0,10000.0
20180118,Buy,133.59,74,-9890.60283,74,109.397,-4.943,9995.057
20180119,Hold,131.91,0,0,74,109.397,-129.263,9870.737
20180122,Sell,131.4,-74,9718.738200000002,0,9828.135,-171.865,9828.135
20180123,Hold,133.51,0,0,0,9828.135,-171.865,9828.135
20180124,Buy,133.29,73,-9735.035085,73,93.1,-176.73,9823.27
20180125,Hold,132.44,0,0,73,93.1,-238.78,9761.22
20180126,Sell,131.86,-73,9620.967110000001,0,9714.067,-285.933,9714.067
20180129,Hold,130.71,0,0,0,9714.067,-285.933,9714.067
20180130,Hold,130.21,0,0,0,9714.067,-285.933,9714.067
20180131,Hold,127.94,0,0,0,9714.067,-285.933,9714.067
20180201,Hold,130.87,0,0,0,9714.067,-285.933,9714.067
20180202,Hold,127.32,0,0,0,9714.067,-285.933,9714.067
20180205,Hold,124.52,0,0,0,9714.067,-285.933,9714.067
20180206,Hold,123.31,0,0,0,9714.067,-285.933,9714.067
20180207,Hold,124.6,0,0,0,9714.067,-285.933,9714.067
20180208,Hold,123.49,0,0,0,9714.067,-285.933,9714.067
20180209,Hold,122.3,0,0,0,9714.067,-285.933,9714.067
20180212,Buy,125.84,77,-9694.52484,77,19.543,-290.777,9709.223
20180213,Hold,125.18,0,0,77,19.543,-341.597,9658.403
20180214,Hold,125.27,0,0,77,19.543,-334.667,9665.333
20180215,Hold,125.19,0,0,77,19.543,-340.827,9659.173
20180216,Hold,126.33,0,0,77,19.543,-253.047,9746.953
20180220,Hold,126.04,0,0,77,19.543,-275.377,9724.623
20180221,Hold,125.53,0,0,77,19.543,-314.647,9685.353
20180222,Sell,123.14,-77,9477.039110000002,0,9496.582,-503.418,9496.582
20180223,Hold,125.08,0,0,0,9496.582,-503.418,9496.582
20180226,Buy,127.27,74,-9422.688989999999,74,73.893,-508.127,9491.873
20180227,Hold,129.67,0,0,74,73.893,-330.527,9669.473
20180228,Hold,125.28,0,0,74,73.893,-655.387,9344.613
20180301,Sell,124.17,-74,9183.98571,0,9257.878,-742.122,9257.878
20180302,Hold,125.97,0,0,0,9257.878,-742.122,9257.878
20180305,Hold,125.02,0,0,0,9257.878,-742.122,9257.878
20180306,Buy,126.97,72,-9146.41092,72,111.467,-746.693,9253.307
20180307,Hold,126.92,0,0,72,111.467,-750.293,9249.707
20180308,Hold,126.48,0,0,72,111.467,-781.973,9218.027
20180309,Sell,126.46,-72,9100.567439999999,0,9212.035,-787.965,9212.035
20180312,Hold,126.95,0,0,0,9212.035,-787.965,9212.035
20180313,Buy,127.25,72,-9166.581,72,45.454,-792.546,9207.454
20180314,Hold,128.18,0,0,72,45.454,-725.586,9274.414
20180315,Hold,128.38,0,0,72,45.454,-711.186,9288.814
20180316,Hold,126.76,0,0,72,45.454,-827.826,9172.174
20180319,Sell,127.4,-72,9168.213600000001,0,9213.668,-786.332,9213.668
20180320,Hold,126.1,0,0,0,9213.668,-786.332,9213.668
20180321,Hold,125.42,0,0,0,9213.668,-786.332,9213.668
20180322,Hold,124.67,0,0,0,9213.668,-786.332,9213.668
20180323,Hold,123.75,0,0,0,9213.668,-786.332,9213.668
20180326,Hold,123.75,0,0,0,9213.668,-786.332,9213.668
20180327,Hold,122.69,0,0,0,9213.668,-786.332,9213.668
20180328,Hold,122.49,0,0,0,9213.668,-786.332,9213.668
