,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,37.658,265,-9984.359685,265,15.64,-4.99,9995.01
20170111,Hold,38.11,0,0.0,265,15.64,114.79,10114.79
20170112,Hold,37.884,0,0.0,265,15.64,54.9,10054.9
20170113,Hold,38.187,0,0.0,265,15.64,135.195,10135.195
20170117,Hold,38.093,0,0.0,265,15.64,110.285,10110.285
20170118,Hold,38.265,0,0.0,265,15.64,155.865,10155.865
20170119,Hold,38.727,0,0.0,265,15.64,278.295,10278.295
20170120,Sell,37.658,-265,9974.380315000002,0,9990.021,-9.979,9990.021
20170123,Hold,37.418,0,0.0,0,9990.021,-9.979,9990.021
20170124,Hold,37.626,0,0.0,0,9990.021,-9.979,9990.021
20170125,Hold,38.497,0,0.0,0,9990.021,-9.979,9990.021
20170126,Buy,38.727,257,-9957.815419499999,257,32.205,-14.956,9985.044
20170127,Hold,39.191,0,0.0,257,32.205,104.292,10104.292
20170130,Sell,37.571,-257,9650.919126499999,0,9683.124,-316.876,9683.124
20170131,Hold,37.884,0,0.0,0,9683.124,-316.876,9683.124
20170201,Hold,38.578,0,0.0,0,9683.124,-316.876,9683.124
20170202,Hold,38.429,0,0.0,0,9683.124,-316.876,9683.124
20170203,Buy,38.488,251,-9665.318243999998,251,17.806,-321.706,9678.294
20170206,Hold,38.709,0,0.0,251,17.806,-266.235,9733.765
20170207,Sell,38.187,-251,9580.1445315,0,9597.951,-402.049,9597.951
20170208,Hold,37.806,0,0.0,0,9597.951,-402.049,9597.951
20170209,Hold,38.119,0,0.0,0,9597.951,-402.049,9597.951
20170210,Buy,38.905,246,-9575.415315,246,22.535,-406.835,9593.165
20170213,Hold,38.869,0,0.0,246,22.535,-415.691,9584.309
20170214,Hold,38.161,0,0.0,246,22.535,-589.859,9410.141
20170215,Hold,39.312,0,0.0,246,22.535,-306.713,9693.287
20170216,Hold,39.692,0,0.0,246,22.535,-213.233,9786.767
20170217,Hold,39.13,0,0.0,246,22.535,-351.485,9648.515
20170221,Hold,39.51,0,0.0,246,22.535,-258.005,9741.995
20170222,Hold,39.874,0,0.0,246,22.535,-168.461,9831.539
20170223,Hold,39.648,0,0.0,246,22.535,-224.057,9775.943
20170224,Sell,38.368,-246,9433.808736,0,9456.344,-543.656,9456.344
20170227,Hold,39.51,0,0.0,0,9456.344,-543.656,9456.344
20170228,Buy,39.471,239,-9438.2857845,239,18.058,-548.373,9451.627
20170301,Sell,36.819,-239,8795.3411295,0,8813.399,-1186.601,8813.399
20170302,Hold,36.534,0,0.0,0,8813.399,-1186.601,8813.399
20170303,Hold,38.727,0,0.0,0,8813.399,-1186.601,8813.399
20170306,Hold,38.602,0,0.0,0,8813.399,-1186.601,8813.399
20170307,Buy,37.899,232,-8796.964284,232,16.435,-1190.997,8809.003
20170308,Hold,38.506,0,0.0,232,16.435,-1050.173,8949.827
20170309,Hold,39.044,0,0.0,232,16.435,-925.357,9074.643
20170310,Hold,38.869,0,0.0,232,16.435,-965.957,9034.043
20170313,Hold,38.75,0,0.0,232,16.435,-993.565,9006.435
20170314,Hold,38.735,0,0.0,232,16.435,-997.045,9002.955
20170315,Sell,38.11,-232,8837.099240000001,0,8853.534,-1146.466,8853.534
20170316,Hold,38.414,0,0.0,0,8853.534,-1146.466,8853.534
20170317,Hold,38.699,0,0.0,0,8853.534,-1146.466,8853.534
20170320,Buy,39.597,223,-8834.546065499999,223,18.988,-1150.881,8849.119
20170321,Hold,39.755,0,0.0,223,18.988,-1115.647,8884.353
20170322,Sell,38.351,-223,8547.9968635,0,8566.985,-1433.015,8566.985
20170323,Hold,39.162,0,0.0,0,8566.985,-1433.015,8566.985
20170324,Hold,38.873,0,0.0,0,8566.985,-1433.015,8566.985
20170327,Buy,39.284,217,-8528.890314,217,38.095,-1437.277,8562.723
20170328,Hold,40.314,0,0.0,217,38.095,-1213.767,8786.233
20170329,Hold,41.054,0,0.0,217,38.095,-1053.187,8946.813
20170330,Hold,41.584,0,0.0,217,38.095,-938.177,9061.823
20170331,Hold,42.197,0,0.0,217,38.095,-805.156,9194.844
20170403,Hold,42.685,0,0.0,217,38.095,-699.26,9300.74
20170404,Hold,42.197,0,0.0,217,38.095,-805.156,9194.844
20170405,Hold,42.546,0,0.0,217,38.095,-729.423,9270.577
20170406,Sell,42.133,-217,9138.2895695,0,9176.384,-823.616,9176.384
20170407,Hold,41.847,0,0.0,0,9176.384,-823.616,9176.384
20170410,Hold,42.249,0,0.0,0,9176.384,-823.616,9176.384
20170411,Hold,42.354,0,0.0,0,9176.384,-823.616,9176.384
20170412,Buy,42.42,216,-9167.301360000001,216,9.083,-828.197,9171.803
20170413,Hold,42.133,0,0.0,216,9.083,-890.189,9109.811
20170417,Hold,42.256,0,0.0,216,9.083,-863.621,9136.379
20170418,Sell,42.16,-216,9102.00672,0,9111.09,-888.91,9111.09
20170419,Buy,42.448,214,-9088.413935999999,214,22.676,-893.452,9106.548
20170420,Hold,43.433,0,0.0,214,22.676,-682.662,9317.338
20170421,Hold,44.009,0,0.0,214,22.676,-559.398,9440.602
20170424,Hold,44.46,0,0.0,214,22.676,-462.884,9537.116
20170425,Hold,45.707,0,0.0,214,22.676,-196.026,9803.974
20170426,Hold,45.195,0,0.0,214,22.676,-305.594,9694.406
20170427,Hold,45.552,0,0.0,214,22.676,-229.196,9770.804
20170428,Hold,45.7,0,0.0,214,22.676,-197.524,9802.476
20170501,Hold,45.327,0,0.0,214,22.676,-277.346,9722.654
20170502,Sell,44.898,-214,9603.367914,0,9626.044,-373.956,9626.044
20170503,Hold,44.681,0,0.0,0,9626.044,-373.956,9626.044
20170504,Hold,45.03,0,0.0,0,9626.044,-373.956,9626.044
20170505,Hold,44.576,0,0.0,0,9626.044,-373.956,9626.044
20170508,Hold,45.151,0,0.0,0,9626.044,-373.956,9626.044
20170509,Buy,45.237,212,-9595.039122,212,31.005,-378.751,9621.249
20170510,Hold,45.237,0,0.0,212,31.005,-378.751,9621.249
20170511,Hold,45.048,0,0.0,212,31.005,-418.819,9581.181
