,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,62.03,161,-9991.823414999999,161,8.177,-4.993,9995.007
20180110,Hold,61.504,0,0.0,161,8.177,-89.679,9910.321
20180111,Hold,62.295,0,0.0,161,8.177,37.672,10037.672
20180112,Hold,63.679,0,0.0,161,8.177,260.496,10260.496
20180116,Hold,65.444,0,0.0,161,8.177,544.661,10544.661
20180117,Hold,64.097,0,0.0,161,8.177,327.794,10327.794
20180118,Hold,65.88,0,0.0,161,8.177,614.857,10614.857
20180119,Hold,66.615,0,0.0,161,8.177,733.192,10733.192
20180122,Hold,68.256,0,0.0,161,8.177,997.393,10997.393
20180123,Hold,69.214,0,0.0,161,8.177,1151.631,11151.631
20180124,Hold,68.762,0,0.0,161,8.177,1078.859,11078.859
20180125,Hold,67.474,0,0.0,161,8.177,871.491,10871.491
20180126,Sell,67.821,-161,10913.721409500002,0,10921.898,921.898,10921.898
20180129,Hold,68.681,0,0.0,0,10921.898,921.898,10921.898
20180130,Hold,67.589,0,0.0,0,10921.898,921.898,10921.898
20180131,Hold,66.844,0,0.0,0,10921.898,921.898,10921.898
20180201,Hold,64.372,0,0.0,0,10921.898,921.898,10921.898
20180202,Hold,64.363,0,0.0,0,10921.898,921.898,10921.898
20180205,Hold,62.57,0,0.0,0,10921.898,921.898,10921.898
20180206,Hold,59.058,0,0.0,0,10921.898,921.898,10921.898
20180207,Hold,62.189,0,0.0,0,10921.898,921.898,10921.898
20180208,Buy,63.323,172,-10897.001778,172,24.896,916.452,10916.452
20180209,Sell,61.655,-172,10599.357670000001,0,10624.254,624.254,10624.254
20180212,Buy,63.076,168,-10602.066384,168,22.188,618.956,10618.956
20180213,Hold,62.144,0,0.0,168,22.188,462.38,10462.38
20180214,Hold,61.86,0,0.0,168,22.188,414.668,10414.668
20180215,Hold,64.806,0,0.0,168,22.188,909.596,10909.596
20180216,Hold,64.992,0,0.0,168,22.188,940.844,10940.844
20180220,Hold,64.421,0,0.0,168,22.188,844.916,10844.916
20180221,Hold,64.078,0,0.0,168,22.188,787.292,10787.292
20180222,Sell,63.333,-168,10634.624028,0,10656.812,656.812,10656.812
20180223,Hold,63.945,0,0.0,0,10656.812,656.812,10656.812
20180226,Buy,65.346,163,-10656.723699,163,0.088,651.486,10651.486
20180227,Hold,64.778,0,0.0,163,0.088,558.902,10558.902
20180228,Hold,63.882,0,0.0,163,0.088,412.854,10412.854
20180301,Hold,66.04,0,0.0,163,0.088,764.608,10764.608
20180302,Hold,66.391,0,0.0,163,0.088,821.821,10821.821
20180305,Hold,64.627,0,0.0,163,0.088,534.289,10534.289
20180306,Hold,66.863,0,0.0,163,0.088,898.757,10898.757
20180307,Hold,66.341,0,0.0,163,0.088,813.671,10813.671
20180308,Sell,65.709,-163,10705.211716500002,0,10705.3,705.3,10705.3
20180309,Hold,65.524,0,0.0,0,10705.3,705.3,10705.3
20180312,Hold,65.481,0,0.0,0,10705.3,705.3,10705.3
20180313,Hold,64.416,0,0.0,0,10705.3,705.3,10705.3
20180314,Hold,63.83,0,0.0,0,10705.3,705.3,10705.3
20180315,Hold,61.922,0,0.0,0,10705.3,705.3,10705.3
20180316,Hold,61.214,0,0.0,0,10705.3,705.3,10705.3
20180319,Hold,61.71,0,0.0,0,10705.3,705.3,10705.3
20180320,Hold,60.594,0,0.0,0,10705.3,705.3,10705.3
20180321,Hold,62.064,0,0.0,0,10705.3,705.3,10705.3
20180322,Hold,60.611,0,0.0,0,10705.3,705.3,10705.3
20180323,Hold,60.2,0,0.0,0,10705.3,705.3,10705.3
20180326,Hold,60.618,0,0.0,0,10705.3,705.3,10705.3
20180327,Buy,62.189,172,-10701.856253999998,172,3.443,699.951,10699.951
20180328,Hold,60.788,0,0.0,172,3.443,458.979,10458.979
20180329,Hold,61.591,0,0.0,172,3.443,597.095,10597.095
20180402,Hold,62.375,0,0.0,172,3.443,731.943,10731.943
20180403,Hold,61.822,0,0.0,172,3.443,636.827,10636.827
20180404,Hold,61.904,0,0.0,172,3.443,650.931,10650.931
20180405,Hold,65.225,0,0.0,172,3.443,1222.143,11222.143
