,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,68.111,0,0,0,10000,0.0,10000.0
20140110,Hold,67.963,0,0,0,10000,0.0,10000.0
20140113,Buy,67.869,147,-9981.7313715,147,18.269,-4.988,9995.012
20140114,Sell,67.595,-147,9931.4967675,0,9949.765,-50.235,9949.765
20140115,Hold,67.239,0,0,0,9949.765,-50.235,9949.765
20140116,Hold,67.278,0,0,0,9949.765,-50.235,9949.765
20140117,Hold,67.629,0,0,0,9949.765,-50.235,9949.765
20140121,Hold,67.579,0,0,0,9949.765,-50.235,9949.765
20140122,Hold,67.08,0,0,0,9949.765,-50.235,9949.765
20140123,Hold,66.213,0,0,0,9949.765,-50.235,9949.765
20140124,Hold,66.206,0,0,0,9949.765,-50.235,9949.765
20140127,Hold,65.582,0,0,0,9949.765,-50.235,9949.765
20140128,Hold,65.217,0,0,0,9949.765,-50.235,9949.765
20140129,Hold,65.097,0,0,0,9949.765,-50.235,9949.765
20140130,Hold,64.225,0,0,0,9949.765,-50.235,9949.765
20140131,Hold,63.371,0,0,0,9949.765,-50.235,9949.765
20140203,Hold,63.736,0,0,0,9949.765,-50.235,9949.765
20140204,Hold,62.796,0,0,0,9949.765,-50.235,9949.765
20140205,Hold,62.15,0,0,0,9949.765,-50.235,9949.765
20140206,Hold,62.53,0,0,0,9949.765,-50.235,9949.765
20140207,Hold,63.344,0,0,0,9949.765,-50.235,9949.765
20140210,Buy,63.669,156,-9937.330182,156,12.435,-55.201,9944.799
20140211,Hold,63.57,0,0,156,12.435,-70.645,9929.355
20140212,Hold,63.959,0,0,156,12.435,-9.961,9990.039
20140213,Hold,64.32,0,0,156,12.435,46.355,10046.355
20140214,Hold,64.641,0,0,156,12.435,96.431,10096.431
20140218,Hold,64.8,0,0,156,12.435,121.235,10121.235
20140219,Hold,64.243,0,0,156,12.435,34.343,10034.343
20140220,Sell,63.786,-156,9945.640692,0,9958.076,-41.924,9958.076
20140221,Hold,64.335,0,0,0,9958.076,-41.924,9958.076
20140224,Buy,64.735,153,-9909.4072275,153,48.669,-46.876,9953.124
20140225,Hold,66.262,0,0,153,48.669,186.755,10186.755
20140226,Hold,67.354,0,0,153,48.669,353.831,10353.831
20140227,Hold,67.91,0,0,153,48.669,438.899,10438.899
