,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,62.983,158,-9956.289657,158,43.71,-4.976,9995.024
20150112,Hold,62.021,0,0.0,158,43.71,-156.972,9843.028
20150113,Hold,62.682,0,0.0,158,43.71,-52.534,9947.466
20150114,Sell,60.821,-158,9604.913140999999,0,9648.623,-351.377,9648.623
20150115,Hold,63.019,0,0.0,0,9648.623,-351.377,9648.623
20150116,Hold,61.413,0,0.0,0,9648.623,-351.377,9648.623
20150120,Hold,61.173,0,0.0,0,9648.623,-351.377,9648.623
20150121,Hold,59.927,0,0.0,0,9648.623,-351.377,9648.623
20150122,Hold,60.708,0,0.0,0,9648.623,-351.377,9648.623
20150123,Hold,61.866,0,0.0,0,9648.623,-351.377,9648.623
20150126,Buy,61.413,157,-9646.6619205,157,1.962,-356.197,9643.803
20150127,Hold,61.133,0,0.0,157,1.962,-400.157,9599.843
20150128,Hold,61.42,0,0.0,157,1.962,-355.098,9644.902
20150129,Hold,60.539,0,0.0,157,1.962,-493.415,9506.585
20150130,Sell,60.955,-157,9565.1500325,0,9567.112,-432.888,9567.112
20150202,Hold,59.665,0,0.0,0,9567.112,-432.888,9567.112
20150203,Hold,60.914,0,0.0,0,9567.112,-432.888,9567.112
20150204,Buy,61.795,154,-9521.188215,154,45.923,-437.647,9562.353
20150205,Hold,61.909,0,0.0,154,45.923,-420.091,9579.909
20150206,Hold,61.957,0,0.0,154,45.923,-412.699,9587.301
20150209,Hold,61.998,0,0.0,154,45.923,-406.385,9593.615
20150210,Hold,61.633,0,0.0,154,45.923,-462.595,9537.405
20150211,Hold,62.3,0,0.0,154,45.923,-359.877,9640.123
20150212,Hold,62.283,0,0.0,154,45.923,-362.495,9637.505
20150213,Hold,62.781,0,0.0,154,45.923,-285.803,9714.197
20150217,Hold,62.217,0,0.0,154,45.923,-372.659,9627.341
20150218,Hold,62.994,0,0.0,154,45.923,-253.001,9746.999
20150219,Hold,63.39,0,0.0,154,45.923,-192.017,9807.983
20150220,Hold,62.83,0,0.0,154,45.923,-278.257,9721.743
20150223,Hold,63.094,0,0.0,154,45.923,-237.601,9762.399
20150224,Hold,63.061,0,0.0,154,45.923,-242.683,9757.317
20150225,Sell,64.086,-154,9864.309378000002,0,9910.233,-89.767,9910.233
20150226,Buy,63.315,156,-9882.07857,156,28.154,-94.706,9905.294
20150227,Hold,63.224,0,0.0,156,28.154,-108.902,9891.098
20150302,Hold,63.07,0,0.0,156,28.154,-132.926,9867.074
20150303,Hold,63.429,0,0.0,156,28.154,-76.922,9923.078
20150304,Hold,63.974,0,0.0,156,28.154,8.098,10008.098
20150305,Hold,63.848,0,0.0,156,28.154,-11.558,9988.442
20150306,Hold,63.872,0,0.0,156,28.154,-7.814,9992.186
20150309,Hold,63.289,0,0.0,156,28.154,-98.762,9901.238
20150310,Hold,64.243,0,0.0,156,28.154,50.062,10050.062
20150311,Hold,64.389,0,0.0,156,28.154,72.838,10072.838
20150312,Hold,64.1,0,0.0,156,28.154,27.754,10027.754
20150313,Hold,65.079,0,0.0,156,28.154,180.478,10180.478
20150316,Hold,65.438,0,0.0,156,28.154,236.482,10236.482
20150317,Hold,66.048,0,0.0,156,28.154,331.642,10331.642
20150318,Hold,66.458,0,0.0,156,28.154,395.602,10395.602
20150319,Hold,66.074,0,0.0,156,28.154,335.698,10335.698
20150320,Hold,66.31,0,0.0,156,28.154,372.514,10372.514
20150323,Hold,66.836,0,0.0,156,28.154,454.57,10454.57
20150324,Hold,66.566,0,0.0,156,28.154,412.45,10412.45
20150325,Hold,67.304,0,0.0,156,28.154,527.578,10527.578
20150326,Hold,66.779,0,0.0,156,28.154,445.678,10445.678
20150327,Sell,65.982,-156,10288.045404,0,10316.2,316.2,10316.2
20150330,Buy,67.229,153,-10291.1800185,153,25.02,311.057,10311.057
20150331,Hold,67.485,0,0.0,153,25.02,350.225,10350.225
20150401,Hold,67.163,0,0.0,153,25.02,300.959,10300.959
20150402,Hold,67.314,0,0.0,153,25.02,324.062,10324.062
20150406,Hold,68.07,0,0.0,153,25.02,439.73,10439.73
20150407,Hold,68.331,0,0.0,153,25.02,479.663,10479.663
20150408,Hold,67.946,0,0.0,153,25.02,420.758,10420.758
20150409,Hold,68.122,0,0.0,153,25.02,447.686,10447.686
20150410,Hold,68.396,0,0.0,153,25.02,489.608,10489.608
20150413,Hold,68.501,0,0.0,153,25.02,505.673,10505.673
20150414,Hold,68.07,0,0.0,153,25.02,439.73,10439.73
20150415,Sell,68.214,-153,10431.523629000001,0,10456.543,456.543,10456.543
20150416,Hold,67.246,0,0.0,0,10456.543,456.543,10456.543
20150417,Hold,66.81,0,0.0,0,10456.543,456.543,10456.543
20150420,Hold,66.458,0,0.0,0,10456.543,456.543,10456.543
20150421,Hold,66.95,0,0.0,0,10456.543,456.543,10456.543
20150422,Hold,66.754,0,0.0,0,10456.543,456.543,10456.543
20150423,Hold,66.713,0,0.0,0,10456.543,456.543,10456.543
20150424,Buy,68.1,153,-10424.509649999998,153,32.034,451.334,10451.334
20150427,Hold,68.0,0,0.0,153,32.034,436.034,10436.034
20150428,Hold,66.713,0,0.0,153,32.034,239.123,10239.123
20150429,Sell,66.645,-153,10191.5866575,0,10223.62,223.62,10223.62
20150430,Hold,64.662,0,0.0,0,10223.62,223.62,10223.62
20150501,Hold,64.595,0,0.0,0,10223.62,223.62,10223.62
20150504,Hold,65.448,0,0.0,0,10223.62,223.62,10223.62
20150505,Hold,65.677,0,0.0,0,10223.62,223.62,10223.62
20150506,Hold,65.195,0,0.0,0,10223.62,223.62,10223.62
20150507,Hold,65.13,0,0.0,0,10223.62,223.62,10223.62
20150508,Buy,66.319,154,-10218.232563,154,5.388,218.514,10218.514
20150511,Hold,66.319,0,0.0,154,5.388,218.514,10218.514
20150512,Hold,65.836,0,0.0,154,5.388,144.132,10144.132
20150513,Hold,66.12,0,0.0,154,5.388,187.868,10187.868
20150514,Sell,63.569,-154,9784.731187000001,0,9790.119,-209.881,9790.119
20150515,Hold,63.727,0,0.0,0,9790.119,-209.881,9790.119
20150518,Hold,64.68,0,0.0,0,9790.119,-209.881,9790.119
20150519,Hold,64.439,0,0.0,0,9790.119,-209.881,9790.119
20150520,Hold,65.545,0,0.0,0,9790.119,-209.881,9790.119
20150521,Buy,64.654,151,-9767.635376999999,151,22.483,-214.763,9785.237
20150522,Hold,65.76,0,0.0,151,22.483,-47.757,9952.243
20150526,Hold,65.637,0,0.0,151,22.483,-66.33,9933.67
20150527,Hold,65.677,0,0.0,151,22.483,-60.29,9939.71
20150528,Hold,66.38,0,0.0,151,22.483,45.863,10045.863
20150529,Hold,66.069,0,0.0,151,22.483,-1.098,9998.902
20150601,Sell,65.685,-151,9913.4757825,0,9935.959,-64.041,9935.959
20150602,Hold,65.436,0,0.0,0,9935.959,-64.041,9935.959
20150603,Hold,66.38,0,0.0,0,9935.959,-64.041,9935.959
20150604,Buy,66.086,150,-9917.85645,150,18.103,-68.997,9931.003
20150605,Hold,66.186,0,0.0,150,18.103,-53.997,9946.003
20150608,Sell,65.479,-150,9816.939075,0,9835.042,-164.958,9835.042
20150609,Hold,65.016,0,0.0,0,9835.042,-164.958,9835.042
20150610,Hold,65.829,0,0.0,0,9835.042,-164.958,9835.042
20150611,Buy,66.099,148,-9787.543325999999,148,47.499,-169.849,9830.151
20150612,Hold,65.768,0,0.0,148,47.499,-218.837,9781.163
20150615,Hold,66.389,0,0.0,148,47.499,-126.929,9873.071
20150616,Hold,66.498,0,0.0,148,47.499,-110.797,9889.203
20150617,Hold,67.042,0,0.0,148,47.499,-30.285,9969.715
20150618,Hold,67.836,0,0.0,148,47.499,87.227,10087.227
20150619,Hold,68.578,0,0.0,148,47.499,197.043,10197.043
20150622,Hold,69.596,0,0.0,148,47.499,347.707,10347.707
20150623,Hold,69.883,0,0.0,148,47.499,390.183,10390.183
20150624,Hold,70.001,0,0.0,148,47.499,407.647,10407.647
