,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Hold,112.02,0,0,0,10000,0.0,10000.0
20200110,Hold,113.06,0,0,0,10000,0.0,10000.0
20200113,Hold,112.24,0,0,0,10000,0.0,10000.0
20200114,Hold,111.37,0,0,0,10000,0.0,10000.0
20200115,Hold,110.55,0,0,0,10000,0.0,10000.0
20200116,Hold,111.4,0,0,0,10000,0.0,10000.0
20200117,Hold,111.93,0,0,0,10000,0.0,10000.0
20200121,Hold,110.51,0,0,0,10000,0.0,10000.0
20200122,Hold,111.13,0,0,0,10000,0.0,10000.0
20200123,Buy,112.07,89,-9979.217115,89,20.783,-4.987,9995.013
20200124,Hold,111.89,0,0,89,20.783,-21.007,9978.993
20200127,Sell,109.18,-89,9712.16149,0,9732.944,-267.056,9732.944
20200128,Buy,111.87,86,-9625.63041,86,107.314,-271.866,9728.134
20200129,Hold,112.42,0,0,86,107.314,-224.566,9775.434
20200130,Hold,111.51,0,0,86,107.314,-302.826,9697.174
20200131,Hold,111.7,0,0,86,107.314,-286.486,9713.514
20200203,Sell,110.81,-86,9524.89517,0,9632.209,-367.791,9632.209
20200204,Hold,111.15,0,0,0,9632.209,-367.791,9632.209
20200205,Hold,111.5,0,0,0,9632.209,-367.791,9632.209
20200206,Buy,112.67,85,-9581.738475,85,50.471,-372.579,9627.421
20200207,Hold,111.99,0,0,85,50.471,-430.379,9569.621
20200210,Hold,111.65,0,0,85,50.471,-459.279,9540.721
20200211,Hold,111.33,0,0,85,50.471,-486.479,9513.521
20200212,Sell,111.4,-85,9464.265500000001,0,9514.736,-485.264,9514.736
20200213,Hold,111.74,0,0,0,9514.736,-485.264,9514.736
20200214,Buy,113.43,83,-9419.397345,83,95.339,-489.971,9510.029
20200218,Hold,114.27,0,0,83,95.339,-420.251,9579.749
20200219,Hold,115.24,0,0,83,95.339,-339.741,9660.259
20200220,Hold,113.03,0,0,83,95.339,-523.171,9476.829
20200221,Hold,113.26,0,0,83,95.339,-504.081,9495.919
20200224,Sell,113.28,-83,9397.53888,0,9492.878,-507.122,9492.878
20200225,Hold,112.21,0,0,0,9492.878,-507.122,9492.878
20200226,Hold,110.61,0,0,0,9492.878,-507.122,9492.878
20200227,Hold,108.56,0,0,0,9492.878,-507.122,9492.878
20200228,Hold,103.88,0,0,0,9492.878,-507.122,9492.878
20200302,Hold,103.78,0,0,0,9492.878,-507.122,9492.878
20200303,Buy,111.94,84,-9407.661479999999,84,85.216,-511.824,9488.176
20200304,Hold,110.17,0,0,84,85.216,-660.504,9339.496
20200305,Hold,110.33,0,0,84,85.216,-647.064,9352.936
20200306,Hold,109.82,0,0,84,85.216,-689.904,9310.096
20200309,Hold,109.77,0,0,84,85.216,-694.104,9305.896
20200310,Hold,113.92,0,0,84,85.216,-345.504,9654.496
20200311,Hold,113.33,0,0,84,85.216,-395.064,9604.936
20200312,Sell,102.25,-84,8584.7055,0,8669.922,-1330.078,8669.922
20200313,Hold,104.4,0,0,0,8669.922,-1330.078,8669.922
20200316,Hold,101.46,0,0,0,8669.922,-1330.078,8669.922
20200317,Hold,108.76,0,0,0,8669.922,-1330.078,8669.922
20200318,Buy,110.91,78,-8655.305489999999,78,14.616,-1334.404,8665.596
20200319,Hold,120.55,0,0,78,14.616,-582.484,9417.516
20200320,Hold,115.76,0,0,78,14.616,-956.104,9043.896
20200323,Hold,110.59,0,0,78,14.616,-1359.364,8640.636
20200324,Sell,112.24,-78,8750.342639999999,0,8764.959,-1235.041,8764.959
20200325,Hold,109.45,0,0,0,8764.959,-1235.041,8764.959
20200326,Hold,105.97,0,0,0,8764.959,-1235.041,8764.959
20200327,Hold,106.67,0,0,0,8764.959,-1235.041,8764.959
20200330,Hold,108.36,0,0,0,8764.959,-1235.041,8764.959
20200331,Buy,110.73,79,-8752.043835,79,12.915,-1239.415,8760.585
20200401,Hold,108.65,0,0,79,12.915,-1403.735,8596.265
