,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,49.625,201,-9979.6123125,201,20.388,-4.987,9995.013
20210112,Hold,50.215,0,0.0,201,20.388,113.603,10113.603
20210113,Hold,57.569,0,0.0,201,20.388,1591.757,11591.757
20210114,Hold,56.552,0,0.0,201,20.388,1387.34,11387.34
20210115,Hold,56.94,0,0.0,201,20.388,1465.328,11465.328
20210119,Hold,56.058,0,0.0,201,20.388,1288.046,11288.046
20210120,Hold,56.35,0,0.0,201,20.388,1346.738,11346.738
20210121,Hold,57.122,0,0.0,201,20.388,1501.91,11501.91
20210122,Hold,56.94,0,0.0,201,20.388,1465.328,11465.328
20210125,Sell,54.549,-201,10958.866825500001,0,10979.255,979.255,10979.255
20210126,Hold,53.481,0,0.0,0,10979.255,979.255,10979.255
20210127,Hold,52.838,0,0.0,0,10979.255,979.255,10979.255
20210128,Hold,53.012,0,0.0,0,10979.255,979.255,10979.255
20210129,Hold,54.163,0,0.0,0,10979.255,979.255,10979.255
20210201,Buy,54.135,202,-10940.737635,202,38.517,973.787,10973.787
20210202,Hold,55.332,0,0.0,202,38.517,1215.581,11215.581
20210203,Hold,56.016,0,0.0,202,38.517,1353.749,11353.749
20210204,Hold,55.74,0,0.0,202,38.517,1297.997,11297.997
20210205,Hold,57.424,0,0.0,202,38.517,1638.165,11638.165
20210208,Hold,56.815,0,0.0,202,38.517,1515.147,11515.147
20210209,Hold,57.199,0,0.0,202,38.517,1592.715,11592.715
20210210,Hold,57.716,0,0.0,202,38.517,1697.149,11697.149
20210211,Hold,57.516,0,0.0,202,38.517,1656.749,11656.749
20210212,Hold,58.981,0,0.0,202,38.517,1952.679,11952.679
20210216,Hold,60.343,0,0.0,202,38.517,2227.803,12227.803
20210217,Hold,59.848,0,0.0,202,38.517,2127.813,12127.813
20210218,Hold,59.025,0,0.0,202,38.517,1961.567,11961.567
20210219,Hold,60.256,0,0.0,202,38.517,2210.229,12210.229
20210222,Hold,60.226,0,0.0,202,38.517,2204.169,12204.169
20210223,Sell,58.865,-202,11884.784635,0,11923.302,1923.302,11923.302
20210224,Hold,58.913,0,0.0,0,11923.302,1923.302,11923.302
20210225,Buy,60.738,196,-11910.600324,196,12.701,1917.349,11917.349
20210226,Sell,59.263,-196,11609.740226,0,11622.441,1622.441,11622.441
20210301,Hold,60.07,0,0.0,0,11622.441,1622.441,11622.441
20210302,Buy,61.122,190,-11618.98659,190,3.455,1616.635,11616.635
20210303,Sell,59.02,-190,11208.193100000002,0,11211.648,1211.648,11211.648
20210304,Hold,58.231,0,0.0,0,11211.648,1211.648,11211.648
20210305,Hold,57.677,0,0.0,0,11211.648,1211.648,11211.648
20210308,Hold,58.853,0,0.0,0,11211.648,1211.648,11211.648
20210309,Buy,59.546,188,-11200.245323999998,188,11.403,1206.051,11206.051
20210310,Hold,61.53,0,0.0,188,11.403,1579.043,11579.043
20210311,Hold,61.258,0,0.0,188,11.403,1527.907,11527.907
20210312,Hold,60.977,0,0.0,188,11.403,1475.079,11475.079
20210315,Hold,61.91,0,0.0,188,11.403,1650.483,11650.483
20210316,Hold,62.436,0,0.0,188,11.403,1749.371,11749.371
20210317,Hold,62.507,0,0.0,188,11.403,1762.719,11762.719
20210318,Hold,63.876,0,0.0,188,11.403,2020.091,12020.091
20210319,Hold,61.492,0,0.0,188,11.403,1571.899,11571.899
20210322,Sell,63.087,-188,11854.425822000001,0,11865.828,1865.828,11865.828
20210323,Buy,64.237,184,-11825.517803999997,184,40.311,1859.919,11859.919
20210324,Sell,64.801,-184,11917.422308000001,0,11957.733,1957.733,11957.733
20210325,Hold,60.008,0,0.0,0,11957.733,1957.733,11957.733
20210326,Hold,60.15,0,0.0,0,11957.733,1957.733,11957.733
20210329,Hold,62.301,0,0.0,0,11957.733,1957.733,11957.733
20210330,Buy,62.066,192,-11922.630336,192,35.103,1951.775,11951.775
20210331,Hold,62.299,0,0.0,192,35.103,1996.511,11996.511
20210401,Hold,62.996,0,0.0,192,35.103,2130.335,12130.335
20210405,Hold,63.214,0,0.0,192,35.103,2172.191,12172.191
20210406,Hold,64.296,0,0.0,192,35.103,2379.935,12379.935
20210407,Hold,63.915,0,0.0,192,35.103,2306.783,12306.783
20210408,Hold,65.18,0,0.0,192,35.103,2549.663,12549.663
20210409,Hold,65.014,0,0.0,192,35.103,2517.791,12517.791
20210412,Hold,66.378,0,0.0,192,35.103,2779.679,12779.679
20210413,Sell,63.858,-192,12254.605631999999,0,12289.708,2289.708,12289.708
20210414,Hold,63.565,0,0.0,0,12289.708,2289.708,12289.708
20210415,Hold,62.262,0,0.0,0,12289.708,2289.708,12289.708
20210416,Hold,63.585,0,0.0,0,12289.708,2289.708,12289.708
20210419,Hold,62.971,0,0.0,0,12289.708,2289.708,12289.708
20210420,Hold,61.94,0,0.0,0,12289.708,2289.708,12289.708
20210421,Hold,61.112,0,0.0,0,12289.708,2289.708,12289.708
20210422,Hold,61.657,0,0.0,0,12289.708,2289.708,12289.708
20210423,Hold,57.579,0,0.0,0,12289.708,2289.708,12289.708
20210426,Hold,57.521,0,0.0,0,12289.708,2289.708,12289.708
20210427,Hold,56.991,0,0.0,0,12289.708,2289.708,12289.708
20210428,Hold,55.984,0,0.0,0,12289.708,2289.708,12289.708
20210429,Hold,56.334,0,0.0,0,12289.708,2289.708,12289.708
20210430,Hold,56.07,0,0.0,0,12289.708,2289.708,12289.708
20210503,Hold,56.31,0,0.0,0,12289.708,2289.708,12289.708
20210504,Hold,55.36,0,0.0,0,12289.708,2289.708,12289.708
20210505,Hold,55.439,0,0.0,0,12289.708,2289.708,12289.708
20210506,Hold,55.442,0,0.0,0,12289.708,2289.708,12289.708
20210507,Hold,56.504,0,0.0,0,12289.708,2289.708,12289.708
20210510,Buy,55.962,219,-12261.805838999999,219,27.902,2283.58,12283.58
20210511,Sell,53.908,-219,11799.949074000002,0,11827.851,1827.851,11827.851
20210512,Hold,53.262,0,0.0,0,11827.851,1827.851,11827.851
20210513,Hold,52.919,0,0.0,0,11827.851,1827.851,11827.851
20210514,Hold,53.472,0,0.0,0,11827.851,1827.851,11827.851
20210517,Buy,54.144,218,-11809.293695999999,218,18.558,1821.95,11821.95
20210518,Hold,54.79,0,0.0,218,18.558,1962.778,11962.778
20210519,Hold,52.949,0,0.0,218,18.558,1561.44,11561.44
20210520,Hold,54.417,0,0.0,218,18.558,1881.464,11881.464
20210521,Hold,55.25,0,0.0,218,18.558,2063.058,12063.058
20210524,Hold,55.472,0,0.0,218,18.558,2111.454,12111.454
20210525,Hold,56.366,0,0.0,218,18.558,2306.346,12306.346
20210526,Hold,55.867,0,0.0,218,18.558,2197.564,12197.564
20210527,Hold,55.925,0,0.0,218,18.558,2210.208,12210.208
20210528,Hold,56.357,0,0.0,218,18.558,2304.384,12304.384
20210601,Hold,56.415,0,0.0,218,18.558,2317.028,12317.028
20210602,Sell,55.73,-218,12143.06543,0,12161.623,2161.623,12161.623
20210603,Buy,55.798,217,-12114.220083,217,47.403,2155.569,12155.569
20210604,Sell,55.377,-217,12010.800595500003,0,12058.204,2058.204,12058.204
20210607,Hold,56.219,0,0.0,0,12058.204,2058.204,12058.204
20210608,Buy,56.258,214,-12045.231606000001,214,12.972,2052.184,12052.184
20210609,Hold,56.171,0,0.0,214,12.972,2033.566,12033.566
20210610,Hold,55.965,0,0.0,214,12.972,1989.482,11989.482
20210611,Hold,56.278,0,0.0,214,12.972,2056.464,12056.464
20210614,Hold,56.816,0,0.0,214,12.972,2171.596,12171.596
20210615,Hold,57.003,0,0.0,214,12.972,2211.614,12211.614
20210616,Hold,56.944,0,0.0,214,12.972,2198.988,12198.988
20210617,Sell,55.867,-214,11949.560231,0,11962.532,1962.532,11962.532
20210618,Hold,55.504,0,0.0,0,11962.532,1962.532,11962.532
20210621,Hold,54.594,0,0.0,0,11962.532,1962.532,11962.532
20210622,Hold,54.78,0,0.0,0,11962.532,1962.532,11962.532
20210623,Hold,54.711,0,0.0,0,11962.532,1962.532,11962.532
20210624,Hold,54.339,0,0.0,0,11962.532,1962.532,11962.532
20210625,Buy,54.858,217,-11910.138093,217,52.394,1956.58,11956.58
20210628,Hold,55.191,0,0.0,217,52.394,2028.841,12028.841
20210629,Hold,56.357,0,0.0,217,52.394,2281.863,12281.863
20210630,Hold,55.172,0,0.0,217,52.394,2024.718,12024.718
