,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Buy,7.2223,1383,-9993.43512045,1383,6.565,-4.994,9995.006
20130110,Hold,7.3319,0,0.0,1383,6.565,146.583,10146.583
20130111,Hold,7.3419,0,0.0,1383,6.565,160.413,10160.413
20130114,Hold,7.4613,0,0.0,1383,6.565,325.543,10325.543
20130115,Hold,7.5112,0,0.0,1383,6.565,394.554,10394.554
20130116,Hold,7.5909,0,0.0,1383,6.565,504.78,10504.78
20130117,Hold,7.6706,0,0.0,1383,6.565,615.005,10615.005
20130118,Hold,7.7802,0,0.0,1383,6.565,766.581,10766.581
20130122,Hold,7.8101,0,0.0,1383,6.565,807.933,10807.933
20130123,Hold,7.8499,0,0.0,1383,6.565,862.977,10862.977
20130124,Hold,7.6905,0,0.0,1383,6.565,642.526,10642.526
20130125,Sell,7.8599,-1383,10864.80657915,0,10871.371,871.371,10871.371
20130128,Buy,7.8599,1382,-10867.812990899998,1382,3.558,865.94,10865.94
20130129,Hold,7.7802,0,0.0,1382,3.558,755.795,10755.795
20130130,Sell,7.551,-1382,10430.264259000001,0,10433.823,433.823,10433.823
20130131,Hold,7.6108,0,0.0,0,10433.823,433.823,10433.823
20130201,Hold,7.6308,0,0.0,0,10433.823,433.823,10433.823
20130204,Hold,7.7702,0,0.0,0,10433.823,433.823,10433.823
20130205,Buy,7.7902,1338,-10428.499243799999,1338,5.323,428.611,10428.611
20130206,Hold,7.6706,0,0.0,1338,5.323,268.586,10268.586
20130207,Hold,7.9495,0,0.0,1338,5.323,641.754,10641.754
20130208,Sell,7.7502,-1338,10364.582716200002,0,10369.906,369.906,10369.906
20130211,Hold,7.7303,0,0.0,0,10369.906,369.906,10369.906
20130212,Hold,7.8798,0,0.0,0,10369.906,369.906,10369.906
20130213,Buy,7.9196,1308,-10364.016218399998,1308,5.89,364.727,10364.727
20130214,Hold,7.8698,0,0.0,1308,5.89,299.588,10299.588
20130215,Hold,8.0791,0,0.0,1308,5.89,573.353,10573.353
20130219,Hold,7.8798,0,0.0,1308,5.89,312.668,10312.668
20130220,Hold,8.1687,0,0.0,1308,5.89,690.55,10690.55
20130221,Hold,7.7902,0,0.0,1308,5.89,195.472,10195.472
20130222,Sell,7.7303,-1308,10106.1767838,0,10112.067,112.067,10112.067
20130225,Hold,8.0791,0,0.0,0,10112.067,112.067,10112.067
20130226,Buy,7.9495,1271,-10108.866407249998,1271,3.2,107.015,10107.015
20130227,Hold,7.9396,0,0.0,1271,3.2,94.432,10094.432
20130228,Hold,8.1985,0,0.0,1271,3.2,423.494,10423.494
20130301,Hold,8.2883,0,0.0,1271,3.2,537.63,10537.63
20130304,Hold,8.1985,0,0.0,1271,3.2,423.494,10423.494
20130305,Hold,8.5174,0,0.0,1271,3.2,828.816,10828.816
20130306,Hold,8.7863,0,0.0,1271,3.2,1170.588,11170.588
20130307,Hold,8.7366,0,0.0,1271,3.2,1107.419,11107.419
20130308,Hold,8.9955,0,0.0,1271,3.2,1436.481,11436.481
20130311,Hold,9.115,0,0.0,1271,3.2,1588.365,11588.365
20130312,Hold,9.3242,0,0.0,1271,3.2,1854.259,11854.259
20130313,Hold,9.3143,0,0.0,1271,3.2,1841.676,11841.676
20130314,Hold,9.584,0,0.0,1271,3.2,2184.464,12184.464
20130315,Hold,9.703,0,0.0,1271,3.2,2335.713,12335.713
20130318,Sell,9.0155,-1271,11452.97114975,0,11456.172,1456.172,11456.172
20130319,Hold,9.2346,0,0.0,0,11456.172,1456.172,11456.172
20130320,Hold,9.2944,0,0.0,0,11456.172,1456.172,11456.172
20130321,Hold,9.3143,0,0.0,0,11456.172,1456.172,11456.172
20130322,Hold,9.713,0,0.0,0,11456.172,1456.172,11456.172
20130325,Buy,9.971,1148,-11452.431354,1148,3.74,1450.448,11450.448
20130326,Hold,9.881,0,0.0,1148,3.74,1347.128,11347.128
20130327,Hold,9.723,0,0.0,1148,3.74,1165.744,11165.744
20130328,Hold,9.971,0,0.0,1148,3.74,1450.448,11450.448
20130401,Sell,9.931,-1148,11395.087606,0,11398.828,1398.828,11398.828
20130402,Hold,9.4737,0,0.0,0,11398.828,1398.828,11398.828
20130403,Hold,9.3143,0,0.0,0,11398.828,1398.828,11398.828
20130404,Hold,9.0552,0,0.0,0,11398.828,1398.828,11398.828
