,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,3.3894,2948,-9996.9471756,2948,3.053,-4.996,9995.004
20120111,Hold,3.2944,0,0.0,2948,3.053,-285.056,9714.944
20120112,Sell,3.265,-2948,9620.407390000002,0,9623.46,-376.54,9623.46
20120113,Hold,3.2126,0,0.0,0,9623.46,-376.54,9623.46
20120117,Hold,3.2008,0,0.0,0,9623.46,-376.54,9623.46
20120118,Hold,3.1646,0,0.0,0,9623.46,-376.54,9623.46
20120119,Buy,3.2327,2975,-9622.091141249999,2975,1.369,-381.348,9618.652
20120120,Hold,3.2896,0,0.0,2975,1.369,-212.071,9787.929
20120123,Hold,3.2695,0,0.0,2975,1.369,-271.868,9728.132
20120124,Hold,3.3324,0,0.0,2975,1.369,-84.741,9915.259
20120125,Hold,3.3324,0,0.0,2975,1.369,-84.741,9915.259
20120126,Hold,3.4484,0,0.0,2975,1.369,260.359,10260.359
20120127,Hold,3.3576,0,0.0,2975,1.369,-9.771,9990.229
20120130,Hold,3.3646,0,0.0,2975,1.369,11.054,10011.054
20120131,Hold,3.4088,0,0.0,2975,1.369,142.549,10142.549
20120201,Hold,3.4278,0,0.0,2975,1.369,199.074,10199.074
20120202,Hold,3.4461,0,0.0,2975,1.369,253.517,10253.517
20120203,Hold,3.6048,0,0.0,2975,1.369,725.649,10725.649
20120206,Hold,3.6141,0,0.0,2975,1.369,753.317,10753.317
20120207,Hold,3.6068,0,0.0,2975,1.369,731.599,10731.599
20120208,Hold,3.6141,0,0.0,2975,1.369,753.317,10753.317
20120209,Hold,3.7825,0,0.0,2975,1.369,1254.307,11254.307
20120210,Hold,3.7085,0,0.0,2975,1.369,1034.157,11034.157
20120213,Hold,3.7433,0,0.0,2975,1.369,1137.687,11137.687
20120214,Hold,3.7085,0,0.0,2975,1.369,1034.157,11034.157
20120215,Hold,3.7638,0,0.0,2975,1.369,1198.674,11198.674
20120216,Hold,3.4598,0,0.0,2975,1.369,294.274,10294.274
20120217,Hold,3.7731,0,0.0,2975,1.369,1226.342,11226.342
20120221,Sell,3.6376,-2975,10816.44907,0,10817.818,817.818,10817.818
20120222,Hold,3.6396,0,0.0,0,10817.818,817.818,10817.818
20120223,Hold,3.6396,0,0.0,0,10817.818,817.818,10817.818
20120224,Hold,3.6648,0,0.0,0,10817.818,817.818,10817.818
20120227,Hold,3.5798,0,0.0,0,10817.818,817.818,10817.818
20120228,Hold,3.5518,0,0.0,0,10817.818,817.818,10817.818
20120229,Hold,3.5324,0,0.0,0,10817.818,817.818,10817.818
20120301,Hold,3.4951,0,0.0,0,10817.818,817.818,10817.818
20120302,Hold,3.4906,0,0.0,0,10817.818,817.818,10817.818
20120305,Hold,3.5088,0,0.0,0,10817.818,817.818,10817.818
20120306,Hold,3.3744,0,0.0,0,10817.818,817.818,10817.818
20120307,Hold,3.3916,0,0.0,0,10817.818,817.818,10817.818
20120308,Hold,3.4088,0,0.0,0,10817.818,817.818,10817.818
20120309,Hold,3.4234,0,0.0,0,10817.818,817.818,10817.818
20120312,Hold,3.4158,0,0.0,0,10817.818,817.818,10817.818
20120313,Hold,3.3646,0,0.0,0,10817.818,817.818,10817.818
20120314,Hold,3.3961,0,0.0,0,10817.818,817.818,10817.818
20120315,Hold,3.3091,0,0.0,0,10817.818,817.818,10817.818
20120316,Hold,3.3508,0,0.0,0,10817.818,817.818,10817.818
20120319,Hold,3.3646,0,0.0,0,10817.818,817.818,10817.818
20120320,Hold,3.3416,0,0.0,0,10817.818,817.818,10817.818
20120321,Hold,3.3016,0,0.0,0,10817.818,817.818,10817.818
20120322,Hold,3.2944,0,0.0,0,10817.818,817.818,10817.818
20120323,Hold,3.3158,0,0.0,0,10817.818,817.818,10817.818
20120326,Hold,3.3694,0,0.0,0,10817.818,817.818,10817.818
20120327,Buy,3.3941,3185,-10815.613604249998,3185,2.205,812.413,10812.413
20120328,Hold,3.4461,0,0.0,3185,2.205,978.033,10978.033
20120329,Hold,3.4766,0,0.0,3185,2.205,1075.176,11075.176
20120330,Hold,3.5276,0,0.0,3185,2.205,1237.611,11237.611
20120402,Hold,3.5301,0,0.0,3185,2.205,1245.573,11245.573
20120403,Hold,3.5454,0,0.0,3185,2.205,1294.304,11294.304
20120404,Sell,3.4088,-3185,10851.599486000001,0,10853.804,853.804,10853.804
20120405,Hold,3.3694,0,0.0,0,10853.804,853.804,10853.804
20120409,Hold,3.3066,0,0.0,0,10853.804,853.804,10853.804
20120410,Hold,3.3016,0,0.0,0,10853.804,853.804,10853.804
20120411,Hold,3.2944,0,0.0,0,10853.804,853.804,10853.804
20120412,Hold,3.2968,0,0.0,0,10853.804,853.804,10853.804
20120413,Hold,3.3416,0,0.0,0,10853.804,853.804,10853.804
20120416,Hold,3.2718,0,0.0,0,10853.804,853.804,10853.804
20120417,Hold,3.2218,0,0.0,0,10853.804,853.804,10853.804
20120418,Hold,3.1986,0,0.0,0,10853.804,853.804,10853.804
20120419,Hold,3.1436,0,0.0,0,10853.804,853.804,10853.804
20120420,Hold,3.155,0,0.0,0,10853.804,853.804,10853.804
20120423,Hold,3.0217,0,0.0,0,10853.804,853.804,10853.804
20120424,Hold,3.0467,0,0.0,0,10853.804,853.804,10853.804
20120425,Hold,2.9874,0,0.0,0,10853.804,853.804,10853.804
20120426,Hold,3.0009,0,0.0,0,10853.804,853.804,10853.804
20120427,Hold,3.0009,0,0.0,0,10853.804,853.804,10853.804
20120430,Hold,2.9647,0,0.0,0,10853.804,853.804,10853.804
20120501,Hold,2.9694,0,0.0,0,10853.804,853.804,10853.804
20120502,Buy,3.0264,3584,-10852.040908800001,3584,1.763,848.381,10848.381
20120503,Sell,2.9574,-3584,10594.0219392,0,10595.785,595.785,10595.785
20120504,Hold,2.8819,0,0.0,0,10595.785,595.785,10595.785
20120507,Hold,2.8664,0,0.0,0,10595.785,595.785,10595.785
20120508,Hold,2.8388,0,0.0,0,10595.785,595.785,10595.785
20120509,Hold,2.8111,0,0.0,0,10595.785,595.785,10595.785
20120510,Hold,2.9004,0,0.0,0,10595.785,595.785,10595.785
20120511,Buy,3.0881,3429,-10594.38944745,3429,1.396,590.491,10590.491
20120514,Hold,3.0077,0,0.0,3429,1.396,314.799,10314.799
20120515,Hold,3.0147,0,0.0,3429,1.396,338.802,10338.802
20120516,Hold,2.9899,0,0.0,3429,1.396,253.763,10253.763
20120517,Sell,2.9369,-3429,10065.59478495,0,10066.99,66.99,10066.99
20120518,Hold,2.9124,0,0.0,0,10066.99,66.99,10066.99
20120521,Hold,2.7783,0,0.0,0,10066.99,66.99,10066.99
20120522,Hold,2.8203,0,0.0,0,10066.99,66.99,10066.99
20120523,Hold,2.7576,0,0.0,0,10066.99,66.99,10066.99
20120524,Hold,2.8709,0,0.0,0,10066.99,66.99,10066.99
20120525,Hold,2.7783,0,0.0,0,10066.99,66.99,10066.99
20120529,Buy,2.8934,3477,-10065.3819759,3477,1.608,61.96,10061.96
20120530,Hold,2.8887,0,0.0,3477,1.608,45.618,10045.618
20120531,Hold,2.8864,0,0.0,3477,1.608,37.621,10037.621
20120601,Hold,2.7943,0,0.0,3477,1.608,-282.61,9717.39
20120604,Sell,2.7643,-3477,9606.665364450002,0,9608.274,-391.726,9608.274
20120605,Hold,2.6791,0,0.0,0,9608.274,-391.726,9608.274
20120606,Hold,2.7926,0,0.0,0,9608.274,-391.726,9608.274
20120607,Buy,2.8864,3327,-9607.854326399998,3327,0.419,-396.528,9603.472
20120608,Sell,2.7388,-3327,9107.431606200002,0,9107.851,-892.149,9107.851
20120611,Buy,2.8727,3168,-9105.263956800001,3168,2.587,-896.699,9103.301
20120612,Hold,2.8482,0,0.0,3168,2.587,-974.315,9025.685
20120613,Hold,2.8709,0,0.0,3168,2.587,-902.402,9097.598
20120614,Hold,2.7926,0,0.0,3168,2.587,-1150.456,8849.544
20120615,Sell,2.7833,-3168,8813.0856528,0,8815.673,-1184.327,8815.673
20120618,Hold,2.8013,0,0.0,0,8815.673,-1184.327,8815.673
20120619,Buy,2.9647,2972,-8815.4939442,2972,0.179,-1188.733,8811.267
20120620,Hold,3.0697,0,0.0,2972,0.179,-876.673,9123.327
20120621,Hold,3.0859,0,0.0,2972,0.179,-828.526,9171.474
20120622,Hold,2.9851,0,0.0,2972,0.179,-1128.104,8871.896
20120625,Hold,2.9874,0,0.0,2972,0.179,-1121.268,8878.732
20120626,Sell,2.9077,-2972,8637.363557800001,0,8637.542,-1362.458,8637.542
20120627,Hold,2.9257,0,0.0,0,8637.542,-1362.458,8637.542
20120628,Buy,2.9899,2887,-8636.15722065,2887,1.385,-1366.774,8633.226
20120629,Hold,3.1114,0,0.0,2887,1.385,-1016.003,8983.997
20120702,Hold,3.189,0,0.0,2887,1.385,-791.972,9208.028
20120703,Hold,3.0881,0,0.0,2887,1.385,-1083.27,8916.73
20120705,Hold,3.1481,0,0.0,2887,1.385,-910.05,9089.95
20120706,Hold,3.1136,0,0.0,2887,1.385,-1009.652,8990.348
20120709,Sell,3.0577,-2887,8823.16611005,0,8824.551,-1175.449,8824.551
20120710,Hold,3.0032,0,0.0,0,8824.551,-1175.449,8824.551
20120711,Hold,2.9527,0,0.0,0,8824.551,-1175.449,8824.551
20120712,Hold,2.8641,0,0.0,0,8824.551,-1175.449,8824.551
20120713,Hold,2.8508,0,0.0,0,8824.551,-1175.449,8824.551
20120716,Hold,2.8664,0,0.0,0,8824.551,-1175.449,8824.551
20120717,Hold,2.9027,0,0.0,0,8824.551,-1175.449,8824.551
20120718,Hold,2.8343,0,0.0,0,8824.551,-1175.449,8824.551
20120719,Buy,3.0192,2921,-8823.492741600001,2921,1.059,-1179.858,8820.142
20120720,Hold,3.0097,0,0.0,2921,1.059,-1207.608,8792.392
