,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,3.8048,2626,-9996.4005024,2626,3.599,-4.996,9995.004
20140110,Sell,3.7318,-2626,9794.8069466,0,9798.406,-201.594,9798.406
20140113,Hold,3.7148,0,0.0,0,9798.406,-201.594,9798.406
20140114,Hold,3.6301,0,0.0,0,9798.406,-201.594,9798.406
20140115,Hold,3.7573,0,0.0,0,9798.406,-201.594,9798.406
20140116,Hold,3.7813,0,0.0,0,9798.406,-201.594,9798.406
20140117,Buy,3.7933,2581,-9795.40255365,2581,3.004,-206.489,9793.511
20140121,Hold,3.7838,0,0.0,2581,3.004,-231.008,9768.992
20140122,Hold,3.7981,0,0.0,2581,3.004,-194.1,9805.9
20140123,Hold,3.7741,0,0.0,2581,3.004,-256.044,9743.956
20140124,Sell,3.7411,-2581,9650.95121045,0,9653.955,-346.045,9653.955
20140127,Hold,3.6746,0,0.0,0,9653.955,-346.045,9653.955
20140128,Hold,3.6444,0,0.0,0,9653.955,-346.045,9653.955
20140129,Hold,3.6674,0,0.0,0,9653.955,-346.045,9653.955
20140130,Hold,3.6721,0,0.0,0,9653.955,-346.045,9653.955
20140131,Hold,3.6606,0,0.0,0,9653.955,-346.045,9653.955
20140203,Buy,3.7343,2583,-9650.51974845,2583,3.435,-350.868,9649.132
20140204,Hold,3.6556,0,0.0,2583,3.435,-554.15,9445.85
20140205,Sell,3.6531,-2583,9431.23932135,0,9434.675,-565.325,9434.675
20140206,Hold,3.6511,0,0.0,0,9434.675,-565.325,9434.675
20140207,Hold,3.7034,0,0.0,0,9434.675,-565.325,9434.675
20140210,Buy,3.7433,2519,-9434.08738635,2519,0.587,-570.04,9429.96
20140211,Hold,3.7813,0,0.0,2519,0.587,-474.318,9525.682
20140212,Hold,3.8492,0,0.0,2519,0.587,-303.278,9696.722
20140213,Hold,4.074,0,0.0,2519,0.587,262.993,10262.993
20140214,Hold,4.062,0,0.0,2519,0.587,232.765,10232.765
20140218,Hold,4.2241,0,0.0,2519,0.587,641.095,10641.095
20140219,Hold,4.2151,0,0.0,2519,0.587,618.424,10618.424
20140220,Hold,4.293,0,0.0,2519,0.587,814.654,10814.654
20140221,Hold,4.4277,0,0.0,2519,0.587,1153.964,11153.964
20140224,Hold,4.3927,0,0.0,2519,0.587,1065.799,11065.799
20140225,Hold,4.4602,0,0.0,2519,0.587,1235.831,11235.831
20140226,Hold,4.4361,0,0.0,2519,0.587,1175.123,11175.123
20140227,Hold,4.4387,0,0.0,2519,0.587,1181.673,11181.673
20140228,Sell,4.3648,-2519,10989.4337344,0,10990.021,990.021,10990.021
20140303,Hold,4.2628,0,0.0,0,10990.021,990.021,10990.021
20140304,Hold,4.353,0,0.0,0,10990.021,990.021,10990.021
20140305,Hold,4.3792,0,0.0,0,10990.021,990.021,10990.021
20140306,Buy,4.4287,2480,-10988.667587999998,2480,1.353,984.529,10984.529
20140307,Hold,4.3792,0,0.0,2480,1.353,861.769,10861.769
20140310,Hold,4.3422,0,0.0,2480,1.353,770.009,10770.009
20140311,Sell,4.3128,-2480,10690.396128,0,10691.75,691.75,10691.75
20140312,Hold,4.3128,0,0.0,0,10691.75,691.75,10691.75
20140313,Hold,4.3555,0,0.0,0,10691.75,691.75,10691.75
20140314,Hold,4.1656,0,0.0,0,10691.75,691.75,10691.75
20140317,Hold,4.2383,0,0.0,0,10691.75,691.75,10691.75
20140318,Hold,4.2433,0,0.0,0,10691.75,691.75,10691.75
20140319,Buy,4.3598,2451,-10691.2127349,2451,0.537,686.407,10686.407
20140320,Hold,4.3792,0,0.0,2451,0.537,733.956,10733.956
20140321,Hold,4.4387,0,0.0,2451,0.537,879.791,10879.791
20140324,Hold,4.4049,0,0.0,2451,0.537,796.947,10796.947
20140325,Hold,4.4237,0,0.0,2451,0.537,843.026,10843.026
20140326,Sell,4.4166,-2451,10819.674056700002,0,10820.211,820.211,10820.211
20140327,Hold,4.2677,0,0.0,0,10820.211,820.211,10820.211
20140328,Hold,4.2131,0,0.0,0,10820.211,820.211,10820.211
20140331,Hold,4.2578,0,0.0,0,10820.211,820.211,10820.211
20140401,Hold,4.3913,0,0.0,0,10820.211,820.211,10820.211
20140402,Buy,4.4237,2444,-10816.9285614,2444,3.282,814.805,10814.805
20140403,Hold,4.4049,0,0.0,2444,3.282,768.858,10768.858
20140404,Hold,4.4671,0,0.0,2444,3.282,920.875,10920.875
20140407,Hold,4.3082,0,0.0,2444,3.282,532.523,10532.523
20140408,Sell,4.3202,-2444,10553.2895156,0,10556.572,556.572,10556.572
20140409,Buy,4.5003,2344,-10553.977551599999,2344,2.594,551.297,10551.297
20140410,Hold,4.4507,0,0.0,2344,2.594,435.035,10435.035
20140411,Hold,4.3225,0,0.0,2344,2.594,134.534,10134.534
20140414,Sell,4.33,-2344,10144.445240000001,0,10147.04,147.04,10147.04
20140415,Hold,4.3505,0,0.0,0,10147.04,147.04,10147.04
20140416,Buy,4.3985,2305,-10143.61177125,2305,3.428,141.97,10141.97
20140417,Hold,4.3865,0,0.0,2305,3.428,114.31,10114.31
20140421,Hold,4.4049,0,0.0,2305,3.428,156.722,10156.722
20140422,Hold,4.4461,0,0.0,2305,3.428,251.688,10251.688
20140423,Hold,4.4831,0,0.0,2305,3.428,336.973,10336.973
20140424,Hold,4.5603,0,0.0,2305,3.428,514.919,10514.919
20140425,Hold,4.5603,0,0.0,2305,3.428,514.919,10514.919
20140428,Hold,4.4602,0,0.0,2305,3.428,284.189,10284.189
20140429,Sell,4.4411,-2305,10231.61713225,0,10235.045,235.045,10235.045
20140430,Hold,4.4261,0,0.0,0,10235.045,235.045,10235.045
20140501,Hold,4.4487,0,0.0,0,10235.045,235.045,10235.045
20140502,Hold,4.4261,0,0.0,0,10235.045,235.045,10235.045
20140505,Hold,4.3622,0,0.0,0,10235.045,235.045,10235.045
20140506,Hold,4.4627,0,0.0,0,10235.045,235.045,10235.045
20140507,Hold,4.33,0,0.0,0,10235.045,235.045,10235.045
20140508,Hold,4.3178,0,0.0,0,10235.045,235.045,10235.045
20140509,Hold,4.2506,0,0.0,0,10235.045,235.045,10235.045
20140512,Hold,4.2985,0,0.0,0,10235.045,235.045,10235.045
20140513,Hold,4.348,0,0.0,0,10235.045,235.045,10235.045
20140514,Hold,4.3398,0,0.0,0,10235.045,235.045,10235.045
20140515,Hold,4.2842,0,0.0,0,10235.045,235.045,10235.045
20140516,Buy,4.2842,2387,-10231.4985927,2387,3.546,229.932,10229.932
20140519,Sell,4.2935,-2387,10243.46020775,0,10247.007,247.007,10247.007
20140520,Buy,4.3998,2327,-10243.4537673,2327,3.553,241.887,10241.887
20140521,Hold,4.3632,0,0.0,2327,3.553,156.719,10156.719
20140522,Hold,4.3382,0,0.0,2327,3.553,98.544,10098.544
20140523,Hold,4.395,0,0.0,2327,3.553,230.718,10230.718
20140527,Hold,4.4301,0,0.0,2327,3.553,312.395,10312.395
20140528,Hold,4.5018,0,0.0,2327,3.553,479.241,10479.241
20140529,Hold,4.5236,0,0.0,2327,3.553,529.97,10529.97
20140530,Hold,4.526,0,0.0,2327,3.553,535.555,10535.555
20140602,Hold,4.543,0,0.0,2327,3.553,575.114,10575.114
20140603,Hold,4.5236,0,0.0,2327,3.553,529.97,10529.97
20140604,Sell,4.4824,-2327,10425.3295276,0,10428.882,428.882,10428.882
20140605,Hold,4.5068,0,0.0,0,10428.882,428.882,10428.882
20140606,Buy,4.5406,2295,-10425.8873385,2295,2.995,423.672,10423.672
20140609,Hold,4.5333,0,0.0,2295,2.995,406.918,10406.918
20140610,Hold,4.526,0,0.0,2295,2.995,390.165,10390.165
20140611,Hold,4.5476,0,0.0,2295,2.995,439.737,10439.737
20140612,Hold,4.6229,0,0.0,2295,2.995,612.55,10612.55
20140613,Hold,4.6989,0,0.0,2295,2.995,786.97,10786.97
20140616,Hold,4.6349,0,0.0,2295,2.995,640.09,10640.09
20140617,Hold,4.6472,0,0.0,2295,2.995,668.319,10668.319
20140618,Hold,4.6612,0,0.0,2295,2.995,700.449,10700.449
20140619,Hold,4.5882,0,0.0,2295,2.995,532.914,10532.914
20140620,Sell,4.5738,-2295,10491.622564500001,0,10494.617,494.617,10494.617
20140623,Hold,4.4522,0,0.0,0,10494.617,494.617,10494.617
20140624,Hold,4.4427,0,0.0,0,10494.617,494.617,10494.617
20140625,Hold,4.4021,0,0.0,0,10494.617,494.617,10494.617
20140626,Hold,4.4351,0,0.0,0,10494.617,494.617,10494.617
20140627,Hold,4.3705,0,0.0,0,10494.617,494.617,10494.617
20140630,Hold,4.3632,0,0.0,0,10494.617,494.617,10494.617
20140701,Buy,4.4129,2376,-10490.292925199998,2376,4.325,489.375,10489.375
20140702,Hold,4.4522,0,0.0,2376,4.325,582.752,10582.752
20140703,Hold,4.4104,0,0.0,2376,4.325,483.435,10483.435
20140707,Hold,4.4996,0,0.0,2376,4.325,695.374,10695.374
20140708,Hold,4.4451,0,0.0,2376,4.325,565.882,10565.882
20140709,Sell,4.4591,-2376,10589.524189200001,0,10593.849,593.849,10593.849
20140710,Buy,4.4687,2369,-10591.64347515,2369,2.205,588.556,10588.556
20140711,Hold,4.5286,0,0.0,2369,2.205,730.459,10730.459
20140714,Hold,4.5598,0,0.0,2369,2.205,804.371,10804.371
20140715,Hold,4.6045,0,0.0,2369,2.205,910.266,10910.266
20140716,Hold,4.6349,0,0.0,2369,2.205,982.283,10982.283
20140717,Hold,4.5598,0,0.0,2369,2.205,804.371,10804.371
20140718,Hold,4.5068,0,0.0,2369,2.205,678.814,10678.814
20140721,Sell,4.378,-2369,10366.296259,0,10368.502,368.502,10368.502
20140722,Hold,4.4547,0,0.0,0,10368.502,368.502,10368.502
20140723,Hold,4.4039,0,0.0,0,10368.502,368.502,10368.502
20140724,Hold,4.316,0,0.0,0,10368.502,368.502,10368.502
20140725,Hold,4.3018,0,0.0,0,10368.502,368.502,10368.502
20140728,Hold,4.2341,0,0.0,0,10368.502,368.502,10368.502
20140729,Hold,4.2246,0,0.0,0,10368.502,368.502,10368.502
20140730,Hold,4.2632,0,0.0,0,10368.502,368.502,10368.502
20140731,Hold,4.2608,0,0.0,0,10368.502,368.502,10368.502
20140801,Hold,4.1706,0,0.0,0,10368.502,368.502,10368.502
20140804,Hold,4.2109,0,0.0,0,10368.502,368.502,10368.502
20140805,Hold,4.1946,0,0.0,0,10368.502,368.502,10368.502
20140806,Hold,4.1803,0,0.0,0,10368.502,368.502,10368.502
20140807,Buy,4.2389,2444,-10365.0515358,2444,3.45,363.322,10363.322
20140808,Hold,4.343,0,0.0,2444,3.45,617.742,10617.742
20140811,Hold,4.5333,0,0.0,2444,3.45,1082.835,11082.835
20140812,Hold,4.5018,0,0.0,2444,3.45,1005.849,11005.849
20140813,Hold,4.5116,0,0.0,2444,3.45,1029.8,11029.8
20140814,Hold,4.5476,0,0.0,2444,3.45,1117.784,11117.784
20140815,Hold,4.4948,0,0.0,2444,3.45,988.741,10988.741
20140818,Hold,4.5573,0,0.0,2444,3.45,1141.491,11141.491
20140819,Hold,4.601,0,0.0,2444,3.45,1248.294,11248.294
20140820,Hold,4.6195,0,0.0,2444,3.45,1293.508,11293.508
20140821,Hold,4.5962,0,0.0,2444,3.45,1236.563,11236.563
20140822,Hold,4.5608,0,0.0,2444,3.45,1150.045,11150.045
