,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Hold,49.23,0,0,0,10000,0.0,10000.0
20130110,Buy,50.083,199,-9971.500258499998,199,28.5,-4.983,9995.017
20130111,Hold,49.557,0,0,199,28.5,-109.657,9890.343
20130114,Hold,49.181,0,0,199,28.5,-184.481,9815.519
20130115,Hold,48.769,0,0,199,28.5,-266.469,9733.531
20130116,Sell,49.382,-199,9822.104491,0,9850.604,-149.396,9850.604
20130117,Hold,49.664,0,0,0,9850.604,-149.396,9850.604
20130118,Buy,49.518,198,-9809.466282,198,41.138,-154.298,9845.702
20130122,Hold,49.518,0,0,198,41.138,-154.298,9845.702
20130123,Hold,49.664,0,0,198,41.138,-125.39,9874.61
20130124,Hold,48.918,0,0,198,41.138,-273.098,9726.902
20130125,Sell,49.1,-198,9716.939100000001,0,9758.077,-241.923,9758.077
20130128,Hold,48.556,0,0,0,9758.077,-241.923,9758.077
20130129,Hold,48.623,0,0,0,9758.077,-241.923,9758.077
20130130,Hold,48.685,0,0,0,9758.077,-241.923,9758.077
20130131,Buy,51.315,190,-9754.724925,190,3.352,-246.798,9753.202
20130201,Hold,50.789,0,0,190,3.352,-346.738,9653.262
20130204,Hold,50.681,0,0,190,3.352,-367.258,9632.742
20130205,Hold,50.627,0,0,190,3.352,-377.518,9622.482
20130206,Hold,50.887,0,0,190,3.352,-328.118,9671.882
20130207,Hold,51.348,0,0,190,3.352,-240.528,9759.472
20130208,Hold,51.181,0,0,190,3.352,-272.258,9727.742
20130211,Hold,51.253,0,0,190,3.352,-258.578,9741.422
20130212,Hold,50.767,0,0,190,3.352,-350.918,9649.082
20130213,Sell,50.643,-190,9617.358915,0,9620.711,-379.289,9620.711
20130214,Hold,49.817,0,0,0,9620.711,-379.289,9620.711
20130215,Hold,50.261,0,0,0,9620.711,-379.289,9620.711
20130219,Hold,50.299,0,0,0,9620.711,-379.289,9620.711
20130220,Hold,50.495,0,0,0,9620.711,-379.289,9620.711
20130221,Hold,49.878,0,0,0,9620.711,-379.289,9620.711
20130222,Hold,49.886,0,0,0,9620.711,-379.289,9620.711
20130225,Hold,49.963,0,0,0,9620.711,-379.289,9620.711
20130226,Buy,49.704,193,-9597.668435999998,193,23.043,-384.085,9615.915
20130227,Hold,49.907,0,0,193,23.043,-344.906,9655.094
20130228,Hold,50.347,0,0,193,23.043,-259.986,9740.014
20130301,Hold,49.985,0,0,193,23.043,-329.852,9670.148
20130304,Hold,50.528,0,0,193,23.043,-225.053,9774.947
20130305,Hold,51.653,0,0,193,23.043,-7.928,9992.072
20130306,Hold,51.812,0,0,193,23.043,22.759,10022.759
20130307,Hold,51.42,0,0,193,23.043,-52.897,9947.103
20130308,Hold,51.701,0,0,193,23.043,1.336,10001.336
20130311,Sell,51.234,-193,9883.217919,0,9906.261,-93.739,9906.261
20130312,Hold,51.222,0,0,0,9906.261,-93.739,9906.261
20130313,Buy,51.452,192,-9883.723392,192,22.537,-98.679,9901.321
20130314,Hold,51.444,0,0,192,22.537,-100.215,9899.785
