,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,188.7,52,-9817.306199999999,52,182.694,-4.906,9995.094
20180110,Hold,186.94,0,0.0,52,182.694,-96.426,9903.574
20180111,Hold,188.4,0,0.0,52,182.694,-20.506,9979.494
20180112,Hold,178.06,0,0.0,52,182.694,-558.186,9441.814
20180116,Sell,181.5,-52,9433.281,0,9615.975,-384.025,9615.975
20180117,Hold,179.26,0,0.0,0,9615.975,-384.025,9615.975
20180118,Hold,178.13,0,0.0,0,9615.975,-384.025,9615.975
20180119,Hold,180.85,0,0.0,0,9615.975,-384.025,9615.975
20180122,Buy,180.8,53,-9587.191200000001,53,28.784,-388.816,9611.184
20180123,Hold,186.05,0,0.0,53,28.784,-110.566,9889.434
20180124,Hold,189.89,0,0.0,53,28.784,92.954,10092.954
20180125,Hold,187.95,0,0.0,53,28.784,-9.866,9990.134
20180126,Hold,187.75,0,0.0,53,28.784,-20.466,9979.534
20180129,Hold,188.75,0,0.0,53,28.784,32.534,10032.534
20180130,Sell,183.01,-53,9694.680235,0,9723.464,-276.536,9723.464
20180131,Hold,188.37,0,0.0,0,9723.464,-276.536,9723.464
20180201,Hold,188.22,0,0.0,0,9723.464,-276.536,9723.464
20180202,Buy,192.04,50,-9606.801,50,116.663,-281.337,9718.663
20180205,Hold,186.93,0,0.0,50,116.663,-536.837,9463.163
20180206,Sell,178.57,-50,8924.035750000001,0,9040.699,-959.301,9040.699
20180207,Hold,184.15,0,0.0,0,9040.699,-959.301,9040.699
20180208,Hold,181.01,0,0.0,0,9040.699,-959.301,9040.699
20180209,Hold,174.76,0,0.0,0,9040.699,-959.301,9040.699
20180212,Hold,177.06,0,0.0,0,9040.699,-959.301,9040.699
20180213,Hold,175.62,0,0.0,0,9040.699,-959.301,9040.699
20180214,Hold,173.45,0,0.0,0,9040.699,-959.301,9040.699
20180215,Buy,180.5,50,-9029.512499999999,50,11.186,-963.814,9036.186
20180216,Hold,178.99,0,0.0,50,11.186,-1039.314,8960.686
20180220,Hold,175.77,0,0.0,50,11.186,-1200.314,8799.686
20180221,Hold,176.71,0,0.0,50,11.186,-1153.314,8846.686
20180222,Hold,178.7,0,0.0,50,11.186,-1053.814,8946.186
20180223,Hold,179.9,0,0.0,50,11.186,-993.814,9006.186
20180226,Hold,184.58,0,0.0,50,11.186,-759.814,9240.186
20180227,Hold,184.45,0,0.0,50,11.186,-766.314,9233.686
20180228,Hold,182.3,0,0.0,50,11.186,-873.814,9126.186
20180301,Sell,179.01,-50,8946.02475,0,8957.211,-1042.789,8957.211
20180302,Hold,173.29,0,0.0,0,8957.211,-1042.789,8957.211
20180305,Hold,176.2,0,0.0,0,8957.211,-1042.789,8957.211
20180306,Buy,181.78,49,-8911.673609999998,49,45.537,-1047.243,8952.757
20180307,Hold,178.74,0,0.0,49,45.537,-1196.203,8803.797
20180308,Hold,183.56,0,0.0,49,45.537,-960.023,9039.977
20180309,Hold,183.91,0,0.0,49,45.537,-942.873,9057.127
20180312,Hold,185.23,0,0.0,49,45.537,-878.193,9121.807
20180313,Hold,185.61,0,0.0,49,45.537,-859.573,9140.427
20180314,Sell,182.6,-49,8942.926300000001,0,8988.464,-1011.536,8988.464
20180315,Hold,183.24,0,0.0,0,8988.464,-1011.536,8988.464
20180316,Hold,184.49,0,0.0,0,8988.464,-1011.536,8988.464
20180319,Hold,177.01,0,0.0,0,8988.464,-1011.536,8988.464
20180320,Hold,167.47,0,0.0,0,8988.464,-1011.536,8988.464
20180321,Hold,164.8,0,0.0,0,8988.464,-1011.536,8988.464
20180322,Hold,166.13,0,0.0,0,8988.464,-1011.536,8988.464
20180323,Hold,165.44,0,0.0,0,8988.464,-1011.536,8988.464
20180326,Hold,160.82,0,0.0,0,8988.464,-1011.536,8988.464
20180327,Hold,156.31,0,0.0,0,8988.464,-1011.536,8988.464
20180328,Hold,151.65,0,0.0,0,8988.464,-1011.536,8988.464
20180329,Hold,155.15,0,0.0,0,8988.464,-1011.536,8988.464
20180402,Hold,157.81,0,0.0,0,8988.464,-1011.536,8988.464
20180403,Buy,156.55,57,-8927.811674999999,57,60.652,-1015.998,8984.002
20180404,Sell,152.025,-57,8661.092287500001,0,8721.744,-1278.256,8721.744
20180405,Hold,161.56,0,0.0,0,8721.744,-1278.256,8721.744
20180406,Buy,157.73,55,-8679.487575,55,42.257,-1282.593,8717.407
20180409,Hold,157.82,0,0.0,55,42.257,-1277.643,8722.357
20180410,Hold,157.93,0,0.0,55,42.257,-1271.593,8728.407
20180411,Hold,165.36,0,0.0,55,42.257,-862.943,9137.057
20180412,Hold,166.98,0,0.0,55,42.257,-773.843,9226.157
20180413,Hold,164.58,0,0.0,55,42.257,-905.843,9094.157
20180416,Hold,165.725,0,0.0,55,42.257,-842.868,9157.132
20180417,Hold,165.83,0,0.0,55,42.257,-837.093,9162.907
20180418,Hold,166.88,0,0.0,55,42.257,-779.343,9220.657
20180419,Hold,166.2,0,0.0,55,42.257,-816.743,9183.257
20180420,Hold,167.79,0,0.0,55,42.257,-729.293,9270.707
20180423,Hold,167.27,0,0.0,55,42.257,-757.893,9242.107
20180424,Sell,165.43,-55,9094.100675,0,9136.357,-863.643,9136.357
