,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,260.48,0,0,0,10000,0.0,10000.0
20210112,Hold,256.63,0,0,0,10000,0.0,10000.0
20210113,Hold,251.55,0,0,0,10000,0.0,10000.0
20210114,Hold,253.4,0,0,0,10000,0.0,10000.0
20210115,Hold,247.9,0,0,0,10000,0.0,10000.0
20210119,Buy,256.9,38,-9767.081099999998,38,232.919,-4.881,9995.119
20210120,Hold,268.93,0,0,38,232.919,452.259,10452.259
20210121,Hold,269.26,0,0,38,232.919,464.799,10464.799
20210122,Hold,272.01,0,0,38,232.919,569.299,10569.299
20210125,Hold,278.14,0,0,38,232.919,802.239,10802.239
20210126,Hold,278.1398,0,0,38,232.919,802.231,10802.231
20210127,Hold,282.53,0,0,38,232.919,969.059,10969.059
20210128,Sell,277.18,-38,10527.57358,0,10760.492,760.492,10760.492
20210129,Hold,265.3,0,0,0,10760.492,760.492,10760.492
20210201,Hold,259.52,0,0,0,10760.492,760.492,10760.492
20210202,Hold,264.0,0,0,0,10760.492,760.492,10760.492
20210203,Hold,265.62,0,0,0,10760.492,760.492,10760.492
20210204,Buy,267.01,40,-10685.740199999998,40,74.752,755.152,10755.152
20210205,Hold,266.8,0,0,40,74.752,746.752,10746.752
20210208,Hold,268.75,0,0,40,74.752,824.752,10824.752
20210209,Hold,266.44,0,0,40,74.752,732.352,10732.352
20210210,Hold,272.4465,0,0,40,74.752,972.612,10972.612
20210211,Hold,271.89,0,0,40,74.752,950.352,10950.352
20210212,Hold,270.52,0,0,40,74.752,895.552,10895.552
20210216,Hold,270.8,0,0,40,74.752,906.752,10906.752
20210217,Hold,271.24,0,0,40,74.752,924.352,10924.352
20210218,Hold,269.565,0,0,40,74.752,857.352,10857.352
20210219,Sell,269.86,-40,10789.002800000002,0,10863.755,863.755,10863.755
20210222,Hold,257.95,0,0,0,10863.755,863.755,10863.755
20210223,Hold,259.5,0,0,0,10863.755,863.755,10863.755
20210224,Hold,262.325,0,0,0,10863.755,863.755,10863.755
20210225,Hold,262.3,0,0,0,10863.755,863.755,10863.755
20210226,Hold,256.47,0,0,0,10863.755,863.755,10863.755
20210301,Hold,260.82,0,0,0,10863.755,863.755,10863.755
20210302,Hold,265.78,0,0,0,10863.755,863.755,10863.755
20210303,Hold,260.29,0,0,0,10863.755,863.755,10863.755
20210304,Hold,256.47,0,0,0,10863.755,863.755,10863.755
20210305,Hold,260.67,0,0,0,10863.755,863.755,10863.755
20210308,Buy,265.55,40,-10627.311,40,236.444,858.444,10858.444
20210309,Sell,261.175,-40,10441.7765,0,10678.221,678.221,10678.221
20210310,Buy,268.64,39,-10482.19848,39,196.022,672.982,10672.982
20210311,Hold,268.11,0,0,39,196.022,652.312,10652.312
20210312,Hold,269.14,0,0,39,196.022,692.482,10692.482
20210315,Hold,269.08,0,0,39,196.022,690.142,10690.142
20210316,Hold,276.085,0,0,39,196.022,963.337,10963.337
20210317,Hold,275.705,0,0,39,196.022,948.517,10948.517
20210318,Hold,279.87,0,0,39,196.022,1110.952,11110.952
20210319,Hold,281.22,0,0,39,196.022,1163.602,11163.602
