,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,6.2,1612,-9999.3972,1612,0.603,-4.997,9995.003
20190110,Hold,6.37,0,0.0,1612,0.603,269.043,10269.043
20190111,Hold,6.21,0,0.0,1612,0.603,11.123,10011.123
20190114,Hold,6.46,0,0.0,1612,0.603,414.123,10414.123
20190115,Hold,6.47,0,0.0,1612,0.603,430.243,10430.243
20190116,Hold,5.73,0,0.0,1612,0.603,-762.637,9237.363
20190117,Sell,5.72,-1612,9216.02968,0,9216.632,-783.368,9216.632
20190118,Hold,6.18,0,0.0,0,9216.632,-783.368,9216.632
20190122,Hold,6.07,0,0.0,0,9216.632,-783.368,9216.632
20190123,Hold,6.01,0,0.0,0,9216.632,-783.368,9216.632
20190124,Buy,5.94,1550,-9211.6035,1550,5.029,-787.971,9212.029
20190125,Hold,6.24,0,0.0,1550,5.029,-322.971,9677.029
20190128,Hold,6.27,0,0.0,1550,5.029,-276.471,9723.529
20190129,Hold,6.42,0,0.0,1550,5.029,-43.971,9956.029
20190130,Hold,6.47,0,0.0,1550,5.029,33.529,10033.529
20190131,Hold,6.68,0,0.0,1550,5.029,359.029,10359.029
20190201,Hold,6.78,0,0.0,1550,5.029,514.029,10514.029
20190204,Hold,6.925,0,0.0,1550,5.029,738.779,10738.779
20190205,Hold,7.02,0,0.0,1550,5.029,886.029,10886.029
20190206,Hold,8.61,0,0.0,1550,5.029,3350.529,13350.529
20190207,Hold,8.36,0,0.0,1550,5.029,2963.029,12963.029
20190208,Hold,8.37,0,0.0,1550,5.029,2978.529,12978.529
20190211,Hold,9.03,0,0.0,1550,5.029,4001.529,14001.529
20190212,Hold,9.02,0,0.0,1550,5.029,3986.029,13986.029
20190213,Hold,8.75,0,0.0,1550,5.029,3567.529,13567.529
20190214,Hold,9.05,0,0.0,1550,5.029,4032.529,14032.529
20190215,Hold,9.2,0,0.0,1550,5.029,4265.029,14265.029
20190219,Hold,9.05,0,0.0,1550,5.029,4032.529,14032.529
20190220,Hold,9.25,0,0.0,1550,5.029,4342.529,14342.529
20190221,Hold,9.14,0,0.0,1550,5.029,4172.029,14172.029
20190222,Hold,9.39,0,0.0,1550,5.029,4559.529,14559.529
20190225,Hold,9.9,0,0.0,1550,5.029,5350.029,15350.029
20190226,Hold,10.12,0,0.0,1550,5.029,5691.029,15691.029
20190227,Hold,10.08,0,0.0,1550,5.029,5629.029,15629.029
20190228,Hold,9.85,0,0.0,1550,5.029,5272.529,15272.529
20190301,Hold,9.86,0,0.0,1550,5.029,5288.029,15288.029
20190304,Sell,9.9,-1550,15337.327500000001,0,15342.356,5342.356,15342.356
20190305,Hold,9.91,0,0.0,0,15342.356,5342.356,15342.356
20190306,Buy,10.0,1533,-15337.664999999999,1533,4.691,5334.691,15334.691
20190307,Hold,9.85,0,0.0,1533,4.691,5104.741,15104.741
20190308,Sell,9.215,-1533,14119.5317025,0,14124.223,4124.223,14124.223
20190311,Hold,9.6,0,0.0,0,14124.223,4124.223,14124.223
20190312,Buy,10.04,1406,-14123.298119999998,1406,0.925,4117.165,14117.165
20190313,Hold,9.88,0,0.0,1406,0.925,3892.205,13892.205
20190314,Hold,10.6002,0,0.0,1406,0.925,4904.806,14904.806
20190315,Hold,11.56,0,0.0,1406,0.925,6254.285,16254.285
20190318,Hold,11.04,0,0.0,1406,0.925,5523.165,15523.165
20190319,Hold,10.89,0,0.0,1406,0.925,5312.265,15312.265
20190320,Hold,10.52,0,0.0,1406,0.925,4792.045,14792.045
20190321,Sell,10.86,-1406,15261.52542,0,15262.45,5262.45,15262.45
20190322,Hold,11.0,0,0.0,0,15262.45,5262.45,15262.45
20190325,Hold,10.68,0,0.0,0,15262.45,5262.45,15262.45
20190326,Hold,10.83,0,0.0,0,15262.45,5262.45,15262.45
20190327,Hold,10.75,0,0.0,0,15262.45,5262.45,15262.45
20190328,Hold,10.61,0,0.0,0,15262.45,5262.45,15262.45
20190329,Hold,10.86,0,0.0,0,15262.45,5262.45,15262.45
20190401,Buy,11.14,1369,-15258.28533,1369,4.165,5254.825,15254.825
20190402,Hold,11.0095,0,0.0,1369,4.165,5076.171,15076.171
20190403,Hold,11.29,0,0.0,1369,4.165,5460.175,15460.175
20190404,Hold,11.23,0,0.0,1369,4.165,5378.035,15378.035
20190405,Hold,11.64,0,0.0,1369,4.165,5939.325,15939.325
20190408,Hold,12.31,0,0.0,1369,4.165,6856.555,16856.555
20190409,Hold,12.16,0,0.0,1369,4.165,6651.205,16651.205
20190410,Hold,11.84,0,0.0,1369,4.165,6213.125,16213.125
20190411,Hold,12.1,0,0.0,1369,4.165,6569.065,16569.065
20190412,Sell,11.98,-1369,16392.41969,0,16396.585,6396.585,16396.585
20190415,Hold,11.9,0,0.0,0,16396.585,6396.585,16396.585
20190416,Hold,11.8,0,0.0,0,16396.585,6396.585,16396.585
20190417,Hold,11.76,0,0.0,0,16396.585,6396.585,16396.585
20190418,Hold,11.18,0,0.0,0,16396.585,6396.585,16396.585
20190422,Hold,11.55,0,0.0,0,16396.585,6396.585,16396.585
20190423,Hold,11.94,0,0.0,0,16396.585,6396.585,16396.585
20190424,Buy,12.35,1326,-16384.28805,1326,12.297,6388.397,16388.397
20190425,Sell,11.13,-1326,14751.000810000001,0,14763.298,4763.298,14763.298
20190426,Hold,10.73,0,0.0,0,14763.298,4763.298,14763.298
20190429,Hold,11.1,0,0.0,0,14763.298,4763.298,14763.298
20190430,Hold,11.16,0,0.0,0,14763.298,4763.298,14763.298
20190501,Hold,11.2,0,0.0,0,14763.298,4763.298,14763.298
