,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,51.86,192,-9962.098559999999,192,37.901,-4.979,9995.021
20210112,Hold,55.22,0,0.0,192,37.901,640.141,10640.141
20210113,Hold,56.75,0,0.0,192,37.901,933.901,10933.901
20210114,Hold,53.3,0,0.0,192,37.901,271.501,10271.501
20210115,Sell,50.7,-192,9729.532800000003,0,9767.434,-232.566,9767.434
20210119,Hold,51.34,0,0.0,0,9767.434,-232.566,9767.434
20210120,Hold,50.61,0,0.0,0,9767.434,-232.566,9767.434
20210121,Buy,53.96,180,-9717.656399999998,180,49.778,-237.422,9762.578
20210122,Hold,53.9,0,0.0,180,49.778,-248.222,9751.778
20210125,Hold,54.8984,0,0.0,180,49.778,-68.51,9931.49
20210126,Hold,54.12,0,0.0,180,49.778,-208.622,9791.378
20210127,Hold,51.76,0,0.0,180,49.778,-633.422,9366.578
20210128,Sell,50.81,-180,9141.227100000002,0,9191.005,-808.995,9191.005
20210129,Buy,52.6,174,-9156.9762,174,34.029,-813.571,9186.429
20210201,Hold,54.0,0,0.0,174,34.029,-569.971,9430.029
20210202,Hold,57.35,0,0.0,174,34.029,12.929,10012.929
20210203,Hold,60.35,0,0.0,174,34.029,534.929,10534.929
20210204,Hold,60.13,0,0.0,174,34.029,496.649,10496.649
20210205,Hold,56.39,0,0.0,174,34.029,-154.111,9845.889
20210208,Hold,63.34,0,0.0,174,34.029,1055.189,11055.189
20210209,Hold,63.16,0,0.0,174,34.029,1023.869,11023.869
20210210,Hold,63.43,0,0.0,174,34.029,1070.849,11070.849
20210211,Hold,63.94,0,0.0,174,34.029,1159.589,11159.589
20210212,Hold,62.06,0,0.0,174,34.029,832.469,10832.469
20210216,Sell,62.28,-174,10831.30164,0,10865.33,865.33,10865.33
20210217,Buy,62.0303,175,-10860.73015125,175,4.6,859.903,10859.903
20210218,Hold,61.98,0,0.0,175,4.6,851.1,10851.1
20210219,Sell,63.92,-175,11180.407000000001,0,11185.007,1185.007,11185.007
20210222,Buy,66.35,168,-11152.373399999999,168,32.634,1179.434,11179.434
20210223,Hold,61.05,0,0.0,168,32.634,289.034,10289.034
20210224,Hold,70.91,0,0.0,168,32.634,1945.514,11945.514
20210225,Hold,69.4,0,0.0,168,32.634,1691.834,11691.834
20210226,Hold,64.86,0,0.0,168,32.634,929.114,10929.114
20210301,Sell,66.93,-168,11238.617880000002,0,11271.252,1271.252,11271.252
20210302,Hold,67.0,0,0.0,0,11271.252,1271.252,11271.252
20210303,Hold,64.52,0,0.0,0,11271.252,1271.252,11271.252
20210304,Hold,60.01,0,0.0,0,11271.252,1271.252,11271.252
20210305,Hold,57.9,0,0.0,0,11271.252,1271.252,11271.252
20210308,Hold,57.8,0,0.0,0,11271.252,1271.252,11271.252
20210309,Hold,55.41,0,0.0,0,11271.252,1271.252,11271.252
20210310,Hold,57.41,0,0.0,0,11271.252,1271.252,11271.252
20210311,Buy,56.75,198,-11242.11825,198,29.133,1265.633,11265.633
20210312,Hold,58.33,0,0.0,198,29.133,1578.473,11578.473
20210315,Hold,62.495,0,0.0,198,29.133,2403.143,12403.143
20210316,Hold,64.4,0,0.0,198,29.133,2780.333,12780.333
20210317,Hold,60.82,0,0.0,198,29.133,2071.493,12071.493
20210318,Hold,63.17,0,0.0,198,29.133,2536.793,12536.793
20210319,Sell,58.65,-198,11606.89365,0,11636.027,1636.027,11636.027
20210322,Hold,57.19,0,0.0,0,11636.027,1636.027,11636.027
20210323,Hold,58.1,0,0.0,0,11636.027,1636.027,11636.027
20210324,Hold,55.7,0,0.0,0,11636.027,1636.027,11636.027
20210325,Hold,49.27,0,0.0,0,11636.027,1636.027,11636.027
20210326,Hold,51.5,0,0.0,0,11636.027,1636.027,11636.027
20210329,Hold,51.01,0,0.0,0,11636.027,1636.027,11636.027
20210330,Hold,49.07,0,0.0,0,11636.027,1636.027,11636.027
20210331,Hold,50.57,0,0.0,0,11636.027,1636.027,11636.027
20210401,Buy,53.69,216,-11602.838519999998,216,33.189,1630.229,11630.229
20210405,Hold,55.18,0,0.0,216,33.189,1952.069,11952.069
20210406,Hold,56.78,0,0.0,216,33.189,2297.669,12297.669
20210407,Hold,57.12,0,0.0,216,33.189,2371.109,12371.109
20210408,Hold,61.04,0,0.0,216,33.189,3217.829,13217.829
20210409,Hold,62.68,0,0.0,216,33.189,3572.069,13572.069
20210412,Hold,62.81,0,0.0,216,33.189,3600.149,13600.149
20210413,Hold,63.48,0,0.0,216,33.189,3744.869,13744.869
20210414,Hold,64.01,0,0.0,216,33.189,3859.349,13859.349
20210415,Hold,62.51,0,0.0,216,33.189,3535.349,13535.349
20210416,Hold,63.72,0,0.0,216,33.189,3796.709,13796.709
20210419,Sell,60.47,-216,13054.98924,0,13088.178,3088.178,13088.178
20210420,Hold,59.69,0,0.0,0,13088.178,3088.178,13088.178
20210421,Hold,57.65,0,0.0,0,13088.178,3088.178,13088.178
20210422,Hold,59.11,0,0.0,0,13088.178,3088.178,13088.178
20210423,Hold,62.01,0,0.0,0,13088.178,3088.178,13088.178
20210426,Buy,60.97,214,-13054.10379,214,34.074,3081.654,13081.654
20210427,Hold,58.73,0,0.0,214,34.074,2602.294,12602.294
20210428,Hold,59.85,0,0.0,214,34.074,2841.974,12841.974
20210429,Hold,62.52,0,0.0,214,34.074,3413.354,13413.354
20210430,Hold,60.86,0,0.0,214,34.074,3058.114,13058.114
20210503,Hold,62.04,0,0.0,214,34.074,3310.634,13310.634
20210504,Sell,57.95,-214,12395.099350000002,0,12429.173,2429.173,12429.173
20210505,Hold,56.75,0,0.0,0,12429.173,2429.173,12429.173
20210506,Hold,53.33,0,0.0,0,12429.173,2429.173,12429.173
20210507,Hold,53.84,0,0.0,0,12429.173,2429.173,12429.173
20210510,Hold,53.18,0,0.0,0,12429.173,2429.173,12429.173
20210511,Hold,50.61,0,0.0,0,12429.173,2429.173,12429.173
20210512,Hold,52.2,0,0.0,0,12429.173,2429.173,12429.173
20210513,Hold,52.01,0,0.0,0,12429.173,2429.173,12429.173
20210514,Hold,51.36,0,0.0,0,12429.173,2429.173,12429.173
20210517,Buy,52.66,235,-12381.287549999997,235,47.886,2422.986,12422.986
20210518,Hold,54.17,0,0.0,235,47.886,2777.836,12777.836
20210519,Hold,51.61,0,0.0,235,47.886,2176.236,12176.236
20210520,Hold,54.25,0,0.0,235,47.886,2796.636,12796.636
20210521,Hold,57.21,0,0.0,235,47.886,3492.236,13492.236
20210524,Hold,57.35,0,0.0,235,47.886,3525.136,13525.136
20210525,Hold,60.42,0,0.0,235,47.886,4246.586,14246.586
20210526,Hold,59.97,0,0.0,235,47.886,4140.836,14140.836
20210527,Hold,60.3,0,0.0,235,47.886,4218.386,14218.386
20210528,Hold,61.075,0,0.0,235,47.886,4400.511,14400.511
20210601,Hold,62.9,0,0.0,235,47.886,4829.386,14829.386
20210602,Hold,62.76,0,0.0,235,47.886,4796.486,14796.486
20210603,Hold,61.78,0,0.0,235,47.886,4566.186,14566.186
20210604,Sell,61.0,-235,14327.8325,0,14375.718,4375.718,14375.718
20210607,Hold,60.99,0,0.0,0,14375.718,4375.718,14375.718
20210608,Hold,61.7,0,0.0,0,14375.718,4375.718,14375.718
20210609,Hold,60.53,0,0.0,0,14375.718,4375.718,14375.718
20210610,Buy,61.2,234,-14327.9604,234,47.758,4368.558,14368.558
20210611,Hold,62.95,0,0.0,234,47.758,4778.058,14778.058
20210614,Hold,64.56,0,0.0,234,47.758,5154.798,15154.798
20210615,Hold,63.06,0,0.0,234,47.758,4803.798,14803.798
20210616,Hold,62.41,0,0.0,234,47.758,4651.698,14651.698
20210617,Sell,59.63,-234,13946.443290000001,0,13994.201,3994.201,13994.201
20210618,Hold,61.8,0,0.0,0,13994.201,3994.201,13994.201
20210621,Buy,63.06,221,-13943.22813,221,50.973,3987.233,13987.233
20210622,Hold,63.62,0,0.0,221,50.973,4110.993,14110.993
20210623,Hold,63.2,0,0.0,221,50.973,4018.173,14018.173
20210624,Hold,67.94,0,0.0,221,50.973,5065.713,15065.713
20210625,Hold,68.11,0,0.0,221,50.973,5103.283,15103.283
20210628,Hold,67.76,0,0.0,221,50.973,5025.933,15025.933
20210629,Hold,66.52,0,0.0,221,50.973,4751.893,14751.893
20210630,Hold,66.85,0,0.0,221,50.973,4824.823,14824.823
20210701,Sell,68.58,-221,15148.601910000001,0,15199.575,5199.575,15199.575
20210702,Buy,68.12,223,-15198.355379999999,223,1.22,5191.98,15191.98
20210706,Hold,69.685,0,0.0,223,1.22,5540.975,15540.975
20210707,Hold,69.61,0,0.0,223,1.22,5524.25,15524.25
20210708,Sell,62.92,-223,14024.14442,0,14025.364,4025.364,14025.364
20210709,Hold,62.5,0,0.0,0,14025.364,4025.364,14025.364
20210712,Hold,65.9,0,0.0,0,14025.364,4025.364,14025.364
20210713,Hold,64.75,0,0.0,0,14025.364,4025.364,14025.364
20210714,Hold,64.51,0,0.0,0,14025.364,4025.364,14025.364
20210715,Buy,61.64,227,-13999.27614,227,26.088,4018.368,14018.368
20210716,Sell,61.215,-227,13888.8570975,0,13914.945,3914.945,13914.945
20210719,Hold,57.88,0,0.0,0,13914.945,3914.945,13914.945
