,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,33.53,298,-9996.93597,298,3.064,-4.996,9995.004
20200110,Hold,32.86,0,0.0,298,3.064,-204.656,9795.344
20200113,Hold,32.97,0,0.0,298,3.064,-171.876,9828.124
20200114,Hold,32.69,0,0.0,298,3.064,-255.316,9744.684
20200115,Sell,32.99,-298,9826.104490000002,0,9829.169,-170.831,9829.169
20200116,Buy,33.5,293,-9820.40775,293,8.761,-175.739,9824.261
20200117,Hold,33.8197,0,0.0,293,8.761,-82.067,9917.933
20200121,Hold,34.08,0,0.0,293,8.761,-5.799,9994.201
20200122,Hold,34.29,0,0.0,293,8.761,55.731,10055.731
20200123,Hold,33.99,0,0.0,293,8.761,-32.169,9967.831
20200124,Hold,34.11,0,0.0,293,8.761,2.991,10002.991
20200127,Sell,32.31,-293,9462.096585000001,0,9470.857,-529.143,9470.857
20200128,Hold,33.06,0,0.0,0,9470.857,-529.143,9470.857
20200129,Hold,33.59,0,0.0,0,9470.857,-529.143,9470.857
20200130,Buy,32.86,288,-9468.41184,288,2.446,-533.874,9466.126
20200131,Sell,33.11,-288,9530.912160000002,0,9533.358,-466.642,9533.358
20200203,Hold,32.56,0,0.0,0,9533.358,-466.642,9533.358
20200204,Hold,33.75,0,0.0,0,9533.358,-466.642,9533.358
20200205,Buy,34.0,280,-9524.76,280,8.598,-471.402,9528.598
20200206,Hold,36.53,0,0.0,280,8.598,236.998,10236.998
20200207,Hold,37.63,0,0.0,280,8.598,544.998,10544.998
20200210,Hold,36.63,0,0.0,280,8.598,264.998,10264.998
20200211,Hold,36.12,0,0.0,280,8.598,122.198,10122.198
20200212,Hold,36.19,0,0.0,280,8.598,141.798,10141.798
20200213,Hold,36.43,0,0.0,280,8.598,208.998,10208.998
20200214,Hold,37.0,0,0.0,280,8.598,368.598,10368.598
20200218,Hold,36.78,0,0.0,280,8.598,306.998,10306.998
20200219,Hold,38.09,0,0.0,280,8.598,673.798,10673.798
20200220,Hold,38.76,0,0.0,280,8.598,861.398,10861.398
20200221,Hold,38.67,0,0.0,280,8.598,836.198,10836.198
20200224,Hold,36.5,0,0.0,280,8.598,228.598,10228.598
20200225,Sell,36.18,-280,10125.3348,0,10133.932,133.932,10133.932
20200226,Hold,35.28,0,0.0,0,10133.932,133.932,10133.932
20200227,Hold,33.73,0,0.0,0,10133.932,133.932,10133.932
20200228,Hold,31.88,0,0.0,0,10133.932,133.932,10133.932
20200302,Hold,36.0,0,0.0,0,10133.932,133.932,10133.932
20200303,Buy,36.02,281,-10126.68081,281,7.252,128.872,10128.872
20200304,Hold,35.76,0,0.0,281,7.252,55.812,10055.812
20200305,Hold,35.03,0,0.0,281,7.252,-149.318,9850.682
20200306,Hold,33.81,0,0.0,281,7.252,-492.138,9507.862
20200309,Sell,31.81,-281,8934.140695,0,8941.392,-1058.608,8941.392
20200310,Hold,33.9,0,0.0,0,8941.392,-1058.608,8941.392
20200311,Hold,33.3,0,0.0,0,8941.392,-1058.608,8941.392
20200312,Hold,29.08,0,0.0,0,8941.392,-1058.608,8941.392
20200313,Hold,28.83,0,0.0,0,8941.392,-1058.608,8941.392
20200316,Hold,26.12,0,0.0,0,8941.392,-1058.608,8941.392
20200317,Hold,24.38,0,0.0,0,8941.392,-1058.608,8941.392
20200318,Hold,22.95,0,0.0,0,8941.392,-1058.608,8941.392
20200319,Hold,22.11,0,0.0,0,8941.392,-1058.608,8941.392
20200320,Hold,24.97,0,0.0,0,8941.392,-1058.608,8941.392
20200323,Buy,23.8,375,-8929.4625,375,11.93,-1063.07,8936.93
20200324,Hold,25.79,0,0.0,375,11.93,-316.82,9683.18
20200325,Hold,25.85,0,0.0,375,11.93,-294.32,9705.68
20200326,Hold,26.15,0,0.0,375,11.93,-181.82,9818.18
20200327,Hold,25.56,0,0.0,375,11.93,-403.07,9596.93
20200330,Hold,25.25,0,0.0,375,11.93,-519.32,9480.68
20200331,Sell,25.79,-375,9666.414375,0,9678.344,-321.656,9678.344
20200401,Hold,23.7,0,0.0,0,9678.344,-321.656,9678.344
20200402,Hold,23.0,0,0.0,0,9678.344,-321.656,9678.344
20200403,Hold,24.1,0,0.0,0,9678.344,-321.656,9678.344
20200406,Hold,24.1,0,0.0,0,9678.344,-321.656,9678.344
20200407,Buy,25.97,372,-9665.67042,372,12.674,-326.486,9673.514
20200408,Hold,26.785,0,0.0,372,12.674,-23.306,9976.694
20200409,Hold,28.48,0,0.0,372,12.674,607.234,10607.234
20200413,Hold,27.55,0,0.0,372,12.674,261.274,10261.274
20200414,Hold,28.0,0,0.0,372,12.674,428.674,10428.674
20200415,Hold,27.1,0,0.0,372,12.674,93.874,10093.874
20200416,Hold,26.86,0,0.0,372,12.674,4.594,10004.594
20200417,Sell,27.16,-372,10098.46824,0,10111.142,111.142,10111.142
20200420,Hold,26.31,0,0.0,0,10111.142,111.142,10111.142
20200421,Hold,26.39,0,0.0,0,10111.142,111.142,10111.142
20200422,Hold,27.0,0,0.0,0,10111.142,111.142,10111.142
20200423,Buy,28.43,355,-10097.696324999999,355,13.446,106.096,10106.096
20200424,Hold,27.99,0,0.0,355,13.446,-50.104,9949.896
20200427,Hold,29.13,0,0.0,355,13.446,354.596,10354.596
20200428,Hold,30.4,0,0.0,355,13.446,805.446,10805.446
20200429,Hold,30.06,0,0.0,355,13.446,684.746,10684.746
20200430,Hold,28.79,0,0.0,355,13.446,233.896,10233.896
20200501,Sell,28.0,-355,9935.03,0,9948.476,-51.524,9948.476
20200504,Hold,27.6,0,0.0,0,9948.476,-51.524,9948.476
20200505,Hold,28.67,0,0.0,0,9948.476,-51.524,9948.476
20200506,Hold,28.35,0,0.0,0,9948.476,-51.524,9948.476
20200507,Hold,28.08,0,0.0,0,9948.476,-51.524,9948.476
20200508,Buy,29.09,341,-9924.649845,341,23.826,-56.484,9943.516
20200511,Hold,29.65,0,0.0,341,23.826,134.476,10134.476
20200512,Hold,29.85,0,0.0,341,23.826,202.676,10202.676
20200513,Hold,29.24,0,0.0,341,23.826,-5.334,9994.666
20200514,Sell,27.83,-341,9485.284985,0,9509.111,-490.889,9509.111
20200515,Hold,28.3,0,0.0,0,9509.111,-490.889,9509.111
20200518,Hold,29.7,0,0.0,0,9509.111,-490.889,9509.111
20200519,Buy,29.7,320,-9508.751999999999,320,0.359,-495.641,9504.359
20200520,Hold,30.5,0,0.0,320,0.359,-239.641,9760.359
20200521,Hold,32.1,0,0.0,320,0.359,272.359,10272.359
20200522,Hold,32.38,0,0.0,320,0.359,361.959,10361.959
20200526,Hold,33.6,0,0.0,320,0.359,752.359,10752.359
20200527,Hold,33.63,0,0.0,320,0.359,761.959,10761.959
20200528,Hold,31.5,0,0.0,320,0.359,80.359,10080.359
20200529,Sell,31.56,-320,10094.150399999999,0,10094.509,94.509,10094.509
20200601,Hold,31.06,0,0.0,0,10094.509,94.509,10094.509
20200602,Hold,32.19,0,0.0,0,10094.509,94.509,10094.509
20200603,Buy,32.61,309,-10081.528245,309,12.981,89.471,10089.471
20200604,Hold,34.5,0,0.0,309,12.981,673.481,10673.481
20200605,Hold,34.47,0,0.0,309,12.981,664.211,10664.211
20200608,Hold,35.96,0,0.0,309,12.981,1124.621,11124.621
20200609,Hold,35.99,0,0.0,309,12.981,1133.891,11133.891
20200610,Hold,36.12,0,0.0,309,12.981,1174.061,11174.061
20200611,Hold,33.13,0,0.0,309,12.981,250.151,10250.151
20200612,Sell,33.94,-309,10482.216269999999,0,10495.197,495.197,10495.197
20200615,Hold,32.91,0,0.0,0,10495.197,495.197,10495.197
20200616,Hold,35.14,0,0.0,0,10495.197,495.197,10495.197
20200617,Hold,34.49,0,0.0,0,10495.197,495.197,10495.197
20200618,Buy,34.3,305,-10466.730749999999,305,28.467,489.967,10489.967
