,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Hold,24.649,0,0,0,10000,0.0,10000.0
20150112,Buy,24.565,406,-9978.376695,406,21.623,-4.987,9995.013
20150113,Hold,24.747,0,0,406,21.623,68.905,10068.905
20150114,Hold,24.274,0,0,406,21.623,-123.133,9876.867
20150115,Sell,24.388,-406,9896.577236000001,0,9918.201,-81.799,9918.201
20150116,Hold,24.301,0,0,0,9918.201,-81.799,9918.201
20150120,Buy,24.709,401,-9913.263154499999,401,4.937,-86.754,9913.246
20150121,Sell,24.131,-401,9671.692734500002,0,9676.63,-323.37,9676.63
20150122,Hold,24.363,0,0,0,9676.63,-323.37,9676.63
20150123,Buy,24.614,392,-9653.512343999999,392,23.118,-328.194,9671.806
20150126,Hold,24.498,0,0,392,23.118,-373.666,9626.334
20150127,Hold,24.42,0,0,392,23.118,-404.242,9595.758
20150128,Hold,24.597,0,0,392,23.118,-334.858,9665.142
20150129,Sell,23.884,-392,9357.846736000001,0,9380.965,-619.035,9380.965
20150130,Hold,23.237,0,0,0,9380.965,-619.035,9380.965
20150202,Hold,23.144,0,0,0,9380.965,-619.035,9380.965
20150203,Hold,23.597,0,0,0,9380.965,-619.035,9380.965
20150204,Buy,24.146,388,-9373.332324,388,7.632,-623.72,9376.28
20150205,Hold,24.725,0,0,388,7.632,-399.068,9600.932
20150206,Hold,24.849,0,0,388,7.632,-350.956,9649.044
20150209,Hold,24.738,0,0,388,7.632,-394.024,9605.976
20150210,Hold,24.88,0,0,388,7.632,-338.928,9661.072
20150211,Hold,24.98,0,0,388,7.632,-300.128,9699.872
20150212,Hold,25.196,0,0,388,7.632,-216.32,9783.68
20150213,Hold,25.472,0,0,388,7.632,-109.232,9890.768
20150217,Hold,25.769,0,0,388,7.632,6.004,10006.004
20150218,Hold,25.571,0,0,388,7.632,-70.82,9929.18
20150219,Hold,25.331,0,0,388,7.632,-163.94,9836.06
20150220,Sell,25.227,-388,9783.181962,0,9790.814,-209.186,9790.814
20150223,Hold,25.367,0,0,0,9790.814,-209.186,9790.814
20150224,Buy,25.427,384,-9768.849984,384,21.964,-214.068,9785.932
20150225,Hold,25.687,0,0,384,21.964,-114.228,9885.772
20150226,Hold,25.845,0,0,384,21.964,-53.556,9946.444
20150227,Hold,25.773,0,0,384,21.964,-81.204,9918.796
20150302,Hold,25.92,0,0,384,21.964,-24.756,9975.244
20150303,Hold,26.007,0,0,384,21.964,8.652,10008.652
20150304,Hold,26.035,0,0,384,21.964,19.404,10019.404
20150305,Hold,26.259,0,0,384,21.964,105.42,10105.42
20150306,Hold,26.186,0,0,384,21.964,77.388,10077.388
20150309,Hold,26.283,0,0,384,21.964,114.636,10114.636
20150310,Hold,26.161,0,0,384,21.964,67.788,10067.788
20150311,Sell,25.52,-384,9794.78016,0,9816.744,-183.256,9816.744
20150312,Hold,25.441,0,0,0,9816.744,-183.256,9816.744
20150313,Hold,25.741,0,0,0,9816.744,-183.256,9816.744
20150316,Hold,25.85,0,0,0,9816.744,-183.256,9816.744
20150317,Buy,25.498,384,-9796.127616,384,20.617,-188.151,9811.849
20150318,Hold,25.691,0,0,384,20.617,-114.039,9885.961
20150319,Sell,25.707,-384,9866.552256,0,9887.169,-112.831,9887.169
20150320,Hold,25.751,0,0,0,9887.169,-112.831,9887.169
20150323,Hold,25.76,0,0,0,9887.169,-112.831,9887.169
20150324,Buy,25.548,386,-9866.458763999997,386,20.71,-117.762,9882.238
20150325,Sell,24.862,-386,9591.933634,0,9612.644,-387.356,9612.644
20150326,Hold,24.406,0,0,0,9612.644,-387.356,9612.644
20150327,Hold,24.319,0,0,0,9612.644,-387.356,9612.644
20150330,Hold,24.498,0,0,0,9612.644,-387.356,9612.644
20150331,Buy,24.579,390,-9590.602905,390,22.041,-392.149,9607.851
20150401,Hold,24.869,0,0,390,22.041,-279.049,9720.951
20150402,Hold,24.969,0,0,390,22.041,-240.049,9759.951
20150406,Hold,25.209,0,0,390,22.041,-146.449,9853.551
20150407,Hold,25.441,0,0,390,22.041,-55.969,9944.031
20150408,Hold,25.611,0,0,390,22.041,10.331,10010.331
20150409,Hold,25.889,0,0,390,22.041,118.751,10118.751
20150410,Hold,26.153,0,0,390,22.041,221.711,10221.711
20150413,Hold,26.111,0,0,390,22.041,205.331,10205.331
20150414,Hold,25.675,0,0,390,22.041,35.291,10035.291
20150415,Sell,25.91,-390,10099.84755,0,10121.888,121.888,10121.888
20150416,Buy,26.121,387,-10113.8814135,387,8.007,116.834,10116.834
20150417,Hold,25.91,0,0,387,8.007,35.177,10035.177
