,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,55.72,0,0,0,10000,0.0,10000.0
20170111,Buy,58.54,170,-9956.775899999999,170,43.224,-4.976,9995.024
20170112,Hold,57.4,0,0,170,43.224,-198.776,9801.224
20170113,Hold,57.25,0,0,170,43.224,-224.276,9775.724
20170117,Hold,57.25,0,0,170,43.224,-224.276,9775.724
20170118,Hold,57.54,0,0,170,43.224,-174.976,9825.024
20170119,Hold,58.52,0,0,170,43.224,-8.376,9991.624
20170120,Hold,60.54,0,0,170,43.224,335.024,10335.024
20170123,Hold,60.77,0,0,170,43.224,374.124,10374.124
20170124,Hold,60.01,0,0,170,43.224,244.924,10244.924
20170125,Hold,60.2,0,0,170,43.224,277.224,10277.224
20170126,Hold,61.11,0,0,170,43.224,431.924,10431.924
20170127,Hold,63.68,0,0,170,43.224,868.824,10868.824
20170130,Hold,61.91,0,0,170,43.224,567.924,10567.924
20170131,Hold,61.25,0,0,170,43.224,455.724,10455.724
20170201,Hold,62.26,0,0,170,43.224,627.424,10627.424
20170202,Hold,62.89,0,0,170,43.224,734.524,10734.524
20170203,Sell,61.25,-170,10407.29375,0,10450.518,450.518,10450.518
20170206,Hold,61.13,0,0,0,10450.518,450.518,10450.518
20170207,Hold,61.03,0,0,0,10450.518,450.518,10450.518
20170208,Hold,61.5,0,0,0,10450.518,450.518,10450.518
20170209,Buy,61.71,169,-10434.204495,169,16.313,445.303,10445.303
20170210,Hold,62.16,0,0,169,16.313,521.353,10521.353
20170213,Hold,60.59,0,0,169,16.313,256.023,10256.023
20170214,Sell,61.24,-169,10344.38522,0,10360.699,360.699,10360.699
20170215,Hold,61.47,0,0,0,10360.699,360.699,10360.699
20170216,Hold,61.19,0,0,0,10360.699,360.699,10360.699
20170217,Buy,60.54,171,-10357.516169999999,171,3.182,355.522,10355.522
20170221,Hold,63.41,0,0,171,3.182,846.292,10846.292
20170222,Hold,63.27,0,0,171,3.182,822.352,10822.352
20170223,Hold,63.22,0,0,171,3.182,813.802,10813.802
20170224,Hold,62.1,0,0,171,3.182,622.282,10622.282
20170227,Sell,61.31,-171,10478.767995,0,10481.95,481.95,10481.95
