,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,23.53,0,0,0,10000,0.0,10000.0
20160112,Hold,23.765,0,0,0,10000,0.0,10000.0
20160113,Hold,23.702,0,0,0,10000,0.0,10000.0
20160114,Buy,23.61,423,-9992.023515,423,7.976,-4.994,9995.006
20160115,Hold,23.459,0,0,423,7.976,-68.867,9931.133
20160119,Hold,23.843,0,0,423,7.976,93.565,10093.565
20160120,Hold,23.794,0,0,423,7.976,72.838,10072.838
20160121,Sell,23.69,-423,10015.859565,0,10023.836,23.836,10023.836
20160122,Buy,24.311,412,-10021.140066,412,2.696,18.828,10018.828
20160125,Hold,24.527,0,0,412,2.696,107.82,10107.82
20160126,Hold,24.415,0,0,412,2.696,61.676,10061.676
20160127,Hold,24.385,0,0,412,2.696,49.316,10049.316
20160128,Hold,24.929,0,0,412,2.696,273.444,10273.444
20160129,Hold,24.886,0,0,412,2.696,255.728,10255.728
20160201,Hold,25.118,0,0,412,2.696,351.312,10351.312
20160202,Hold,25.187,0,0,412,2.696,379.74,10379.74
20160203,Hold,25.174,0,0,412,2.696,374.384,10374.384
20160204,Hold,25.598,0,0,412,2.696,549.072,10549.072
20160205,Hold,25.501,0,0,412,2.696,509.108,10509.108
20160208,Hold,25.508,0,0,412,2.696,511.992,10511.992
20160209,Hold,25.577,0,0,412,2.696,540.42,10540.42
20160210,Sell,25.543,-412,10518.454142,0,10521.15,521.15,10521.15
20160211,Hold,25.133,0,0,0,10521.15,521.15,10521.15
20160212,Hold,25.334,0,0,0,10521.15,521.15,10521.15
20160216,Hold,25.565,0,0,0,10521.15,521.15,10521.15
20160217,Hold,25.613,0,0,0,10521.15,521.15,10521.15
20160218,Buy,25.523,412,-10520.733738,412,0.416,515.892,10515.892
20160219,Hold,25.715,0,0,412,0.416,594.996,10594.996
20160222,Hold,25.605,0,0,412,0.416,549.676,10549.676
20160223,Hold,25.653,0,0,412,0.416,569.452,10569.452
20160224,Hold,25.577,0,0,412,0.416,538.14,10538.14
20160225,Hold,25.857,0,0,412,0.416,653.5,10653.5
20160226,Hold,26.13,0,0,412,0.416,765.976,10765.976
20160229,Hold,25.87,0,0,412,0.416,658.856,10658.856
20160301,Hold,25.857,0,0,412,0.416,653.5,10653.5
20160302,Hold,25.941,0,0,412,0.416,688.108,10688.108
20160303,Hold,26.267,0,0,412,0.416,822.42,10822.42
20160304,Hold,26.421,0,0,412,0.416,885.868,10885.868
20160307,Hold,26.345,0,0,412,0.416,854.556,10854.556
20160308,Hold,26.465,0,0,412,0.416,903.996,10903.996
20160309,Hold,26.568,0,0,412,0.416,946.432,10946.432
20160310,Hold,26.528,0,0,412,0.416,929.952,10929.952
20160311,Hold,26.797,0,0,412,0.416,1040.78,11040.78
20160314,Hold,26.742,0,0,412,0.416,1018.12,11018.12
20160315,Hold,26.56,0,0,412,0.416,943.136,10943.136
20160316,Hold,26.861,0,0,412,0.416,1067.148,11067.148
20160317,Hold,27.021,0,0,412,0.416,1133.068,11133.068
20160318,Hold,27.342,0,0,412,0.416,1265.32,11265.32
20160321,Hold,26.944,0,0,412,0.416,1101.344,11101.344
20160322,Hold,27.113,0,0,412,0.416,1170.972,11170.972
20160323,Hold,26.901,0,0,412,0.416,1083.628,11083.628
20160324,Sell,26.749,-412,11015.077706,0,11015.494,1015.494,11015.494
20160328,Buy,27.182,405,-11014.214354999998,405,1.28,1009.99,11009.99
20160329,Hold,27.27,0,0,405,1.28,1045.63,11045.63
20160330,Hold,27.607,0,0,405,1.28,1182.115,11182.115
20160331,Hold,27.472,0,0,405,1.28,1127.44,11127.44
20160401,Hold,26.95,0,0,405,1.28,916.03,10916.03
20160404,Sell,27.293,-405,11048.1381675,0,11049.418,1049.418,11049.418
20160405,Hold,27.384,0,0,0,11049.418,1049.418,11049.418
20160406,Hold,27.37,0,0,0,11049.418,1049.418,11049.418
20160407,Hold,27.06,0,0,0,11049.418,1049.418,11049.418
20160408,Hold,27.326,0,0,0,11049.418,1049.418,11049.418
20160411,Hold,27.288,0,0,0,11049.418,1049.418,11049.418
20160412,Hold,27.143,0,0,0,11049.418,1049.418,11049.418
20160413,Hold,27.362,0,0,0,11049.418,1049.418,11049.418
20160414,Hold,26.99,0,0,0,11049.418,1049.418,11049.418
20160415,Hold,27.138,0,0,0,11049.418,1049.418,11049.418
20160418,Hold,27.214,0,0,0,11049.418,1049.418,11049.418
20160419,Buy,27.377,403,-11038.447465499998,403,10.97,1043.901,11043.901
20160420,Hold,27.509,0,0,403,10.97,1097.097,11097.097
20160421,Hold,27.187,0,0,403,10.97,967.331,10967.331
20160422,Sell,26.707,-403,10757.539539500001,0,10768.51,768.51,10768.51
20160425,Hold,26.834,0,0,0,10768.51,768.51,10768.51
20160426,Hold,27.04,0,0,0,10768.51,768.51,10768.51
20160427,Hold,26.714,0,0,0,10768.51,768.51,10768.51
20160428,Buy,27.32,393,-10742.12838,393,26.382,763.142,10763.142
20160429,Hold,27.262,0,0,393,26.382,740.348,10740.348
20160502,Hold,27.428,0,0,393,26.382,805.586,10805.586
20160503,Hold,27.531,0,0,393,26.382,846.065,10846.065
20160504,Hold,27.342,0,0,393,26.382,771.788,10771.788
20160505,Hold,27.475,0,0,393,26.382,824.057,10824.057
20160506,Sell,27.362,-393,10747.889367,0,10774.271,774.271,10774.271
20160509,Hold,27.509,0,0,0,10774.271,774.271,10774.271
20160510,Hold,27.531,0,0,0,10774.271,774.271,10774.271
