,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,29.704,0,0,0,10000,0.0,10000.0
20170111,Hold,29.5,0,0,0,10000,0.0,10000.0
20170112,Hold,29.639,0,0,0,10000,0.0,10000.0
20170113,Hold,29.895,0,0,0,10000,0.0,10000.0
20170117,Buy,29.953,333,-9979.3361745,333,20.664,-4.987,9995.013
20170118,Hold,30.063,0,0,333,20.664,31.643,10031.643
20170119,Hold,29.874,0,0,333,20.664,-31.294,9968.706
20170120,Hold,30.194,0,0,333,20.664,75.266,10075.266
20170123,Hold,30.289,0,0,333,20.664,106.901,10106.901
20170124,Hold,30.245,0,0,333,20.664,92.249,10092.249
20170125,Hold,30.194,0,0,333,20.664,75.266,10075.266
20170126,Sell,30.078,-333,10010.966013000001,0,10031.63,31.63,10031.63
20170127,Buy,30.669,326,-10003.093047,326,28.537,26.631,10026.631
20170130,Hold,30.639,0,0,326,28.537,16.851,10016.851
20170131,Hold,30.451,0,0,326,28.537,-44.437,9955.563
20170201,Hold,30.889,0,0,326,28.537,98.351,10098.351
20170202,Hold,30.699,0,0,326,28.537,36.411,10036.411
20170203,Sell,30.303,-326,9873.838611000001,0,9902.375,-97.625,9902.375
20170206,Hold,30.152,0,0,0,9902.375,-97.625,9902.375
20170207,Hold,30.012,0,0,0,9902.375,-97.625,9902.375
20170208,Hold,30.078,0,0,0,9902.375,-97.625,9902.375
20170209,Hold,30.152,0,0,0,9902.375,-97.625,9902.375
20170210,Buy,30.137,328,-9889.878467999999,328,12.497,-102.567,9897.433
20170213,Hold,29.823,0,0,328,12.497,-205.559,9794.441
20170214,Sell,29.565,-328,9692.47134,0,9704.968,-295.032,9704.968
20170215,Hold,29.704,0,0,0,9704.968,-295.032,9704.968
20170216,Hold,30.137,0,0,0,9704.968,-295.032,9704.968
20170217,Buy,30.078,322,-9689.958558,322,15.01,-299.874,9700.126
20170221,Hold,30.224,0,0,322,15.01,-252.862,9747.138
20170222,Hold,30.451,0,0,322,15.01,-179.768,9820.232
20170223,Hold,30.457,0,0,322,15.01,-177.836,9822.164
20170224,Hold,30.765,0,0,322,15.01,-78.66,9921.34
