,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,43.216,0,0,0,10000,0.0,10000.0
20180110,Hold,42.611,0,0,0,10000,0.0,10000.0
20180111,Hold,43.026,0,0,0,10000,0.0,10000.0
20180112,Buy,43.066,232,-9996.307655999999,232,3.692,-4.996,9995.004
20180116,Hold,42.851,0,0,232,3.692,-54.876,9945.124
20180117,Sell,42.959,-232,9961.504756000002,0,9965.197,-34.803,9965.197
20180118,Hold,43.033,0,0,0,9965.197,-34.803,9965.197
20180119,Buy,42.9,232,-9957.776399999999,232,7.421,-39.779,9960.221
20180122,Hold,43.157,0,0,232,7.421,19.845,10019.845
20180123,Hold,45.273,0,0,232,7.421,510.757,10510.757
20180124,Hold,44.625,0,0,232,7.421,360.421,10360.421
20180125,Hold,45.006,0,0,232,7.421,448.813,10448.813
20180126,Hold,45.18,0,0,232,7.421,489.181,10489.181
20180129,Hold,44.427,0,0,232,7.421,314.485,10314.485
20180130,Hold,45.023,0,0,232,7.421,452.757,10452.757
20180131,Sell,44.765,-232,10380.287260000001,0,10387.708,387.708,10387.708
20180201,Hold,45.18,0,0,0,10387.708,387.708,10387.708
20180202,Hold,44.997,0,0,0,10387.708,387.708,10387.708
20180205,Hold,43.549,0,0,0,10387.708,387.708,10387.708
20180206,Hold,40.992,0,0,0,10387.708,387.708,10387.708
20180207,Hold,41.981,0,0,0,10387.708,387.708,10387.708
20180208,Hold,42.193,0,0,0,10387.708,387.708,10387.708
20180209,Hold,41.127,0,0,0,10387.708,387.708,10387.708
20180212,Hold,41.64,0,0,0,10387.708,387.708,10387.708
20180213,Hold,41.384,0,0,0,10387.708,387.708,10387.708
20180214,Hold,41.257,0,0,0,10387.708,387.708,10387.708
20180215,Hold,41.083,0,0,0,10387.708,387.708,10387.708
20180216,Hold,41.201,0,0,0,10387.708,387.708,10387.708
20180220,Hold,41.325,0,0,0,10387.708,387.708,10387.708
20180221,Hold,40.463,0,0,0,10387.708,387.708,10387.708
20180222,Hold,40.007,0,0,0,10387.708,387.708,10387.708
20180223,Hold,39.873,0,0,0,10387.708,387.708,10387.708
20180226,Hold,40.396,0,0,0,10387.708,387.708,10387.708
20180227,Buy,39.833,260,-10361.75829,260,25.95,382.53,10382.53
20180228,Hold,40.43,0,0,260,25.95,537.75,10537.75
20180301,Sell,39.542,-260,10275.779540000001,0,10301.729,301.729,10301.729
20180302,Hold,39.659,0,0,0,10301.729,301.729,10301.729
20180305,Hold,39.924,0,0,0,10301.729,301.729,10301.729
20180306,Buy,40.42,254,-10271.81334,254,29.916,296.596,10296.596
20180307,Hold,40.246,0,0,254,29.916,252.4,10252.4
20180308,Hold,40.538,0,0,254,29.916,326.568,10326.568
20180309,Hold,40.795,0,0,254,29.916,391.846,10391.846
20180312,Hold,40.652,0,0,254,29.916,355.524,10355.524
20180313,Hold,40.629,0,0,254,29.916,349.682,10349.682
20180314,Sell,40.569,-254,10299.373737,0,10329.29,329.29,10329.29
20180315,Hold,40.236,0,0,0,10329.29,329.29,10329.29
20180316,Hold,40.139,0,0,0,10329.29,329.29,10329.29
20180319,Hold,40.236,0,0,0,10329.29,329.29,10329.29
20180320,Hold,40.131,0,0,0,10329.29,329.29,10329.29
20180321,Hold,39.542,0,0,0,10329.29,329.29,10329.29
20180322,Hold,39.052,0,0,0,10329.29,329.29,10329.29
20180323,Hold,39.02,0,0,0,10329.29,329.29,10329.29
20180326,Hold,38.789,0,0,0,10329.29,329.29,10329.29
20180327,Hold,39.052,0,0,0,10329.29,329.29,10329.29
20180328,Buy,39.707,260,-10328.981909999999,260,0.308,324.128,10324.128
