,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,1863.2,5,-9320.658,5,679.342,-4.658,9995.342
20180110,Hold,1855.52,0,0.0,5,679.342,-43.058,9956.942
20180111,Hold,1880.0,0,0.0,5,679.342,79.342,10079.342
20180112,Hold,1898.04,0,0.0,5,679.342,169.542,10169.542
20180116,Hold,1930.71,0,0.0,5,679.342,332.892,10332.892
20180117,Hold,1927.55,0,0.0,5,679.342,317.092,10317.092
20180118,Hold,1948.65,0,0.0,5,679.342,422.592,10422.592
20180119,Hold,1931.48,0,0.0,5,679.342,336.742,10336.742
20180122,Sell,1910.0,-5,9545.225,0,10224.567,224.567,10224.567
20180123,Hold,1927.55,0,0.0,0,10224.567,224.567,10224.567
20180124,Hold,1977.91,0,0.0,0,10224.567,224.567,10224.567
20180125,Buy,1966.88,5,-9839.317200000001,5,385.25,219.65,10219.65
20180126,Hold,1960.99,0,0.0,5,385.25,190.2,10190.2
20180129,Hold,1942.67,0,0.0,5,385.25,98.6,10098.6
20180130,Sell,1907.12,-5,9530.832199999999,0,9916.082,-83.918,9916.082
20180131,Hold,1928.01,0,0.0,0,9916.082,-83.918,9916.082
20180201,Hold,1903.99,0,0.0,0,9916.082,-83.918,9916.082
20180202,Hold,1890.13,0,0.0,0,9916.082,-83.918,9916.082
20180205,Hold,1841.3,0,0.0,0,9916.082,-83.918,9916.082
20180206,Hold,1800.01,0,0.0,0,9916.082,-83.918,9916.082
20180207,Hold,1847.39,0,0.0,0,9916.082,-83.918,9916.082
20180208,Hold,1884.21,0,0.0,0,9916.082,-83.918,9916.082
20180209,Hold,1767.98,0,0.0,0,9916.082,-83.918,9916.082
20180212,Hold,1773.99,0,0.0,0,9916.082,-83.918,9916.082
20180213,Hold,1779.23,0,0.0,0,9916.082,-83.918,9916.082
20180214,Hold,1784.22,0,0.0,0,9916.082,-83.918,9916.082
20180215,Buy,1850.86,5,-9258.92715,5,657.155,-88.545,9911.455
20180216,Hold,1874.62,0,0.0,5,657.155,30.255,10030.255
20180220,Hold,1883.07,0,0.0,5,657.155,72.505,10072.505
20180221,Hold,1913.42,0,0.0,5,657.155,224.255,10224.255
20180222,Hold,1884.19,0,0.0,5,657.155,78.105,10078.105
20180223,Hold,1889.73,0,0.0,5,657.155,105.805,10105.805
20180226,Hold,1905.95,0,0.0,5,657.155,186.905,10186.905
20180227,Hold,1884.0,0,0.0,5,657.155,77.155,10077.155
20180228,Hold,2051.0,0,0.0,5,657.155,912.155,10912.155
20180301,Hold,2034.61,0,0.0,5,657.155,830.205,10830.205
20180302,Hold,2002.82,0,0.0,5,657.155,671.255,10671.255
20180305,Hold,2020.0,0,0.0,5,657.155,757.155,10757.155
20180306,Hold,2075.1,0,0.0,5,657.155,1032.655,11032.655
20180307,Hold,2065.0,0,0.0,5,657.155,982.155,10982.155
20180308,Hold,2137.99,0,0.0,5,657.155,1347.105,11347.105
20180309,Hold,2169.0,0,0.0,5,657.155,1502.155,11502.155
20180312,Hold,2180.0,0,0.0,5,657.155,1557.155,11557.155
20180313,Hold,2210.93,0,0.0,5,657.155,1711.805,11711.805
20180314,Hold,2175.55,0,0.0,5,657.155,1534.905,11534.905
20180315,Hold,2190.01,0,0.0,5,657.155,1607.205,11607.205
20180316,Hold,2196.19,0,0.0,5,657.155,1638.105,11638.105
20180319,Sell,2161.62,-5,10802.69595,0,11459.851,1459.851,11459.851
20180320,Hold,2139.45,0,0.0,0,11459.851,1459.851,11459.851
20180321,Hold,2142.3,0,0.0,0,11459.851,1459.851,11459.851
20180322,Hold,2132.89,0,0.0,0,11459.851,1459.851,11459.851
20180323,Hold,2116.24,0,0.0,0,11459.851,1459.851,11459.851
20180326,Hold,2111.22,0,0.0,0,11459.851,1459.851,11459.851
20180327,Hold,2137.43,0,0.0,0,11459.851,1459.851,11459.851
20180328,Hold,2066.98,0,0.0,0,11459.851,1459.851,11459.851
20180329,Hold,2059.67,0,0.0,0,11459.851,1459.851,11459.851
20180402,Hold,2070.43,0,0.0,0,11459.851,1459.851,11459.851
20180403,Hold,2050.0,0,0.0,0,11459.851,1459.851,11459.851
20180404,Hold,2043.21,0,0.0,0,11459.851,1459.851,11459.851
20180405,Buy,2077.53,5,-10392.843825000002,5,1067.007,1454.657,11454.657
20180406,Hold,2074.9,0,0.0,5,1067.007,1441.507,11441.507
20180409,Hold,2053.74,0,0.0,5,1067.007,1335.707,11335.707
20180410,Sell,2076.02,-5,10374.909950000001,0,11441.917,1441.917,11441.917
20180411,Buy,2067.64,5,-10343.369099999998,5,1098.548,1436.748,11436.748
20180412,Hold,2094.45,0,0.0,5,1098.548,1570.798,11570.798
20180413,Hold,2104.67,0,0.0,5,1098.548,1621.898,11621.898
20180416,Hold,2094.11,0,0.0,5,1098.548,1569.098,11569.098
20180417,Hold,2119.9,0,0.0,5,1098.548,1698.048,11698.048
20180418,Hold,2171.62,0,0.0,5,1098.548,1956.648,11956.648
20180419,Hold,2175.49,0,0.0,5,1098.548,1975.998,11975.998
20180420,Hold,2161.03,0,0.0,5,1098.548,1903.698,11903.698
20180423,Hold,2133.1,0,0.0,5,1098.548,1764.048,11764.048
20180424,Sell,2137.61,-5,10682.705975000003,0,11781.254,1781.254,11781.254
20180425,Hold,2061.12,0,0.0,0,11781.254,1781.254,11781.254
20180426,Hold,2098.01,0,0.0,0,11781.254,1781.254,11781.254
20180427,Hold,2146.02,0,0.0,0,11781.254,1781.254,11781.254
