,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Hold,1642.35,0,0,0,10000,0.0,10000.0
20190110,Hold,1640.0,0,0,0,10000,0.0,10000.0
20190111,Hold,1670.59,0,0,0,10000,0.0,10000.0
20190114,Hold,1647.56,0,0,0,10000,0.0,10000.0
20190115,Hold,1695.0,0,0,0,10000,0.0,10000.0
20190116,Buy,1693.42,5,-8471.33355,5,1528.666,-4.234,9995.766
20190117,Hold,1681.73,0,0,5,1528.666,-62.684,9937.316
20190118,Hold,1747.02,0,0,5,1528.666,263.766,10263.766
20190122,Hold,1743.18,0,0,5,1528.666,244.566,10244.566
20190123,Hold,1717.25,0,0,5,1528.666,114.916,10114.916
20190124,Hold,1748.98,0,0,5,1528.666,273.566,10273.566
20190125,Hold,1811.99,0,0,5,1528.666,588.616,10588.616
20190128,Hold,1787.62,0,0,5,1528.666,466.766,10466.766
20190129,Hold,1816.62,0,0,5,1528.666,611.766,10611.766
20190130,Hold,1825.33,0,0,5,1528.666,655.316,10655.316
20190131,Hold,1820.37,0,0,5,1528.666,630.516,10630.516
20190201,Hold,1824.05,0,0,5,1528.666,648.916,10648.916
20190204,Hold,1840.39,0,0,5,1528.666,730.616,10730.616
20190205,Hold,1887.53,0,0,5,1528.666,966.316,10966.316
20190206,Hold,1895.94,0,0,5,1528.666,1008.366,11008.366
20190207,Hold,1892.1,0,0,5,1528.666,989.166,10989.166
20190208,Hold,1892.37,0,0,5,1528.666,990.516,10990.516
20190211,Hold,1873.13,0,0,5,1528.666,894.316,10894.316
20190212,Sell,1876.83,-5,9379.457925,0,10908.124,908.124,10908.124
20190213,Hold,1899.29,0,0,0,10908.124,908.124,10908.124
20190214,Buy,1909.88,5,-9554.174700000001,5,1353.95,903.35,10903.35
20190215,Hold,1925.33,0,0,5,1353.95,980.6,10980.6
20190219,Hold,1927.56,0,0,5,1353.95,991.75,10991.75
20190220,Hold,1936.51,0,0,5,1353.95,1036.5,11036.5
20190221,Hold,1924.65,0,0,5,1353.95,977.2,10977.2
20190222,Hold,1920.38,0,0,5,1353.95,955.85,10955.85
20190225,Sell,1928.63,-5,9638.328425000002,0,10992.278,992.278,10992.278
20190226,Hold,1885.83,0,0,0,10992.278,992.278,10992.278
20190227,Hold,1906.0,0,0,0,10992.278,992.278,10992.278
20190228,Buy,1754.0,6,-10529.261999999999,6,463.016,987.016,10987.016
20190301,Sell,1708.2,-6,10244.075400000002,0,10707.092,707.092,10707.092
20190304,Hold,1723.66,0,0,0,10707.092,707.092,10707.092
20190305,Hold,1715.0,0,0,0,10707.092,707.092,10707.092
20190306,Hold,1748.37,0,0,0,10707.092,707.092,10707.092
20190307,Buy,1746.5,6,-10484.2395,6,222.852,701.852,10701.852
20190308,Hold,1708.04,0,0,6,222.852,471.092,10471.092
20190311,Sell,1721.69,-6,10324.97493,0,10547.827,547.827,10547.827
20190312,Hold,1709.72,0,0,0,10547.827,547.827,10547.827
20190313,Buy,1740.44,6,-10447.861319999998,6,99.966,542.606,10542.606
20190314,Hold,1768.83,0,0,6,99.966,712.946,10712.946
20190315,Hold,1751.79,0,0,6,99.966,610.706,10610.706
20190318,Hold,1757.71,0,0,6,99.966,646.226,10646.226
20190319,Hold,1751.05,0,0,6,99.966,606.266,10606.266
20190320,Hold,1766.78,0,0,6,99.966,700.646,10700.646
20190321,Hold,1765.8,0,0,6,99.966,694.766,10694.766
20190322,Hold,1755.5,0,0,6,99.966,632.966,10632.966
20190325,Sell,1714.01,-6,10278.91797,0,10378.884,378.884,10378.884
20190326,Hold,1761.2,0,0,0,10378.884,378.884,10378.884
20190327,Buy,1768.98,5,-8849.32245,5,1529.561,374.461,10374.461
20190328,Sell,1759.99,-5,8795.550025,0,10325.111,325.111,10325.111
20190329,Buy,1736.6,5,-8687.341499999999,5,1637.77,320.77,10320.77
20190401,Hold,1755.08,0,0,5,1637.77,413.17,10413.17
20190402,Hold,1763.55,0,0,5,1637.77,455.52,10455.52
20190403,Hold,1778.47,0,0,5,1637.77,530.12,10530.12
20190404,Hold,1775.31,0,0,5,1637.77,514.32,10514.32
20190405,Hold,1788.03,0,0,5,1637.77,577.92,10577.92
20190408,Hold,1767.92,0,0,5,1637.77,477.37,10477.37
20190409,Hold,1776.75,0,0,5,1637.77,521.52,10521.52
20190410,Hold,1793.85,0,0,5,1637.77,607.02,10607.02
20190411,Hold,1810.0,0,0,5,1637.77,687.77,10687.77
20190412,Hold,1827.87,0,0,5,1637.77,777.12,10777.12
20190415,Hold,1834.0,0,0,5,1637.77,807.77,10807.77
20190416,Hold,1851.8,0,0,5,1637.77,896.77,10896.77
20190417,Hold,1850.57,0,0,5,1637.77,890.62,10890.62
20190418,Hold,1847.64,0,0,5,1637.77,875.97,10875.97
20190422,Hold,1833.93,0,0,5,1637.77,807.42,10807.42
20190423,Hold,1849.23,0,0,5,1637.77,883.92,10883.92
20190424,Hold,1887.14,0,0,5,1637.77,1073.47,11073.47
20190425,Hold,1870.65,0,0,5,1637.77,991.02,10991.02
20190426,Hold,1868.1,0,0,5,1637.77,978.27,10978.27
20190429,Hold,1869.81,0,0,5,1637.77,986.82,10986.82
20190430,Hold,1872.0,0,0,5,1637.77,997.77,10997.77
20190501,Sell,1857.57,-5,9283.206075,0,10920.976,920.976,10920.976
20190502,Hold,1824.66,0,0,0,10920.976,920.976,10920.976
20190503,Hold,1816.17,0,0,0,10920.976,920.976,10920.976
20190506,Hold,1798.96,0,0,0,10920.976,920.976,10920.976
20190507,Hold,1781.45,0,0,0,10920.976,920.976,10920.976
20190508,Hold,1765.01,0,0,0,10920.976,920.976,10920.976
20190509,Hold,1729.43,0,0,0,10920.976,920.976,10920.976
20190510,Hold,1825.0,0,0,0,10920.976,920.976,10920.976
20190513,Buy,1800.0,6,-10805.4,6,115.576,915.576,10915.576
20190514,Hold,1787.12,0,0,6,115.576,838.296,10838.296
20190515,Hold,1778.6,0,0,6,115.576,787.176,10787.176
20190516,Hold,1790.0,0,0,6,115.576,855.576,10855.576
20190517,Sell,1786.37,-6,10712.86089,0,10828.437,828.437,10828.437
20190520,Buy,1769.73,6,-10623.689190000001,6,204.747,823.127,10823.127
20190521,Sell,1762.34,-6,10568.75298,0,10773.5,773.5,10773.5
20190522,Hold,1757.35,0,0,0,10773.5,773.5,10773.5
20190523,Hold,1746.95,0,0,0,10773.5,773.5,10773.5
20190524,Hold,1731.52,0,0,0,10773.5,773.5,10773.5
20190528,Hold,1707.59,0,0,0,10773.5,773.5,10773.5
20190529,Hold,1676.93,0,0,0,10773.5,773.5,10773.5
20190530,Hold,1687.0,0,0,0,10773.5,773.5,10773.5
20190531,Hold,1650.1,0,0,0,10773.5,773.5,10773.5
20190603,Hold,1658.5,0,0,0,10773.5,773.5,10773.5
20190604,Hold,1673.5,0,0,0,10773.5,773.5,10773.5
20190605,Buy,1755.75,6,-10539.767249999999,6,233.733,768.233,10768.233
20190606,Hold,1766.01,0,0,6,233.733,829.793,10829.793
20190607,Hold,1765.25,0,0,6,233.733,825.233,10825.233
20190610,Hold,1782.57,0,0,6,233.733,929.153,10929.153
20190611,Hold,1799.5,0,0,6,233.733,1030.733,11030.733
20190612,Hold,1804.17,0,0,6,233.733,1058.753,11058.753
20190613,Hold,1802.05,0,0,6,233.733,1046.033,11046.033
20190614,Hold,1808.2,0,0,6,233.733,1082.933,11082.933
20190617,Sell,1776.0,-6,10650.672,0,10884.405,884.405,10884.405
20190618,Hold,1808.38,0,0,0,10884.405,884.405,10884.405
20190619,Buy,1812.0,6,-10877.436,6,6.969,878.969,10878.969
20190620,Hold,1862.07,0,0,6,6.969,1179.389,11179.389
20190621,Hold,1859.36,0,0,6,6.969,1163.129,11163.129
20190624,Hold,1880.97,0,0,6,6.969,1292.789,11292.789
20190625,Hold,1880.83,0,0,6,6.969,1291.949,11291.949
20190626,Hold,1848.3,0,0,6,6.969,1096.769,11096.769
20190627,Sell,1835.0,-6,11004.495,0,11011.464,1011.464,11011.464
20190628,Hold,1852.58,0,0,0,11011.464,1011.464,11011.464
20190701,Buy,1900.0,5,-9504.75,5,1506.714,1006.714,11006.714
20190702,Hold,1902.24,0,0,5,1506.714,1017.914,11017.914
20190703,Hold,1906.22,0,0,5,1506.714,1037.814,11037.814
20190705,Hold,1904.76,0,0,5,1506.714,1030.514,11030.514
20190708,Hold,1918.73,0,0,5,1506.714,1100.364,11100.364
20190709,Sell,1873.0,-5,9360.317500000001,0,10867.032,867.032,10867.032
20190710,Hold,1890.52,0,0,0,10867.032,867.032,10867.032
20190711,Hold,1875.45,0,0,0,10867.032,867.032,10867.032
20190712,Hold,1878.02,0,0,0,10867.032,867.032,10867.032
20190715,Buy,1881.89,5,-9414.154725,5,1452.877,862.327,10862.327
20190716,Hold,1879.89,0,0,5,1452.877,852.327,10852.327
20190717,Hold,1887.75,0,0,5,1452.877,891.627,10891.627
20190718,Sell,1885.91,-5,9424.835225,0,10877.712,877.712,10877.712
20190719,Buy,1896.03,5,-9484.890075,5,1392.822,872.972,10872.972
20190722,Hold,1883.65,0,0,5,1392.822,811.072,10811.072
20190723,Hold,1898.63,0,0,5,1392.822,885.972,10885.972
20190724,Hold,1896.26,0,0,5,1392.822,874.122,10874.122
20190725,Hold,1911.99,0,0,5,1392.822,952.772,10952.772
20190726,Hold,1940.0,0,0,5,1392.822,1092.822,11092.822
20190729,Hold,1958.78,0,0,5,1392.822,1186.722,11186.722
20190730,Hold,1909.86,0,0,5,1392.822,942.122,10942.122
20190731,Sell,1906.33,-5,9526.884175000001,0,10919.706,919.706,10919.706
20190801,Hold,1885.47,0,0,0,10919.706,919.706,10919.706
20190802,Hold,1874.11,0,0,0,10919.706,919.706,10919.706
20190805,Hold,1819.98,0,0,0,10919.706,919.706,10919.706
20190806,Hold,1799.2,0,0,0,10919.706,919.706,10919.706
20190807,Hold,1758.4,0,0,0,10919.706,919.706,10919.706
20190808,Buy,1900.0,5,-9504.75,5,1414.956,914.956,10914.956
20190809,Hold,1926.54,0,0,5,1414.956,1047.656,11047.656
20190812,Hold,1900.44,0,0,5,1414.956,917.156,10917.156
20190813,Hold,1907.67,0,0,5,1414.956,953.306,10953.306
20190814,Hold,1908.56,0,0,5,1414.956,957.756,10957.756
20190815,Sell,1900.03,-5,9495.399925,0,10910.356,910.356,10910.356
20190816,Hold,1929.0,0,0,0,10910.356,910.356,10910.356
20190819,Buy,1944.87,5,-9729.212174999999,5,1181.144,905.494,10905.494
20190820,Hold,1942.51,0,0,5,1181.144,893.694,10893.694
20190821,Hold,1945.69,0,0,5,1181.144,909.594,10909.594
20190822,Hold,1962.45,0,0,5,1181.144,993.394,10993.394
20190823,Hold,1942.98,0,0,5,1181.144,896.044,10896.044
20190826,Sell,1918.24,-5,9586.404400000001,0,10767.548,767.548,10767.548
20190827,Hold,1921.74,0,0,0,10767.548,767.548,10767.548
20190828,Hold,1911.8,0,0,0,10767.548,767.548,10767.548
20190829,Buy,1966.43,5,-9837.066074999999,5,930.482,762.632,10762.632
20190830,Hold,1971.8,0,0,5,930.482,789.482,10789.482
20190903,Hold,1956.56,0,0,5,930.482,713.282,10713.282
20190904,Hold,1960.88,0,0,5,930.482,734.882,10734.882
20190905,Hold,1974.15,0,0,5,930.482,801.232,10801.232
20190906,Hold,2006.34,0,0,5,930.482,962.182,10962.182
20190909,Hold,1976.1,0,0,5,930.482,810.982,10810.982
20190910,Hold,1983.34,0,0,5,930.482,847.182,10847.182
20190911,Hold,2013.2,0,0,5,930.482,996.482,10996.482
20190912,Hold,2056.0,0,0,5,930.482,1210.482,11210.482
20190913,Hold,2047.02,0,0,5,930.482,1165.582,11165.582
20190916,Hold,2057.24,0,0,5,930.482,1216.682,11216.682
20190917,Hold,2067.6,0,0,5,930.482,1268.482,11268.482
20190918,Hold,2072.21,0,0,5,930.482,1291.532,11291.532
20190919,Hold,2053.74,0,0,5,930.482,1199.182,11199.182
20190920,Sell,2046.22,-5,10225.984450000002,0,11156.467,1156.467,11156.467
20190923,Hold,2016.0,0,0,0,11156.467,1156.467,11156.467
20190924,Hold,2012.82,0,0,0,11156.467,1156.467,11156.467
20190925,Hold,1991.65,0,0,0,11156.467,1156.467,11156.467
20190926,Hold,1994.08,0,0,0,11156.467,1156.467,11156.467
20190927,Hold,1969.56,0,0,0,11156.467,1156.467,11156.467
20190930,Hold,1953.0,0,0,0,11156.467,1156.467,11156.467
20191001,Hold,1977.0,0,0,0,11156.467,1156.467,11156.467
20191002,Hold,1969.0,0,0,0,11156.467,1156.467,11156.467
20191003,Hold,1936.55,0,0,0,11156.467,1156.467,11156.467
20191004,Hold,1970.64,0,0,0,11156.467,1156.467,11156.467
20191007,Buy,1971.01,5,-9859.977524999998,5,1296.489,1151.539,11151.539
20191008,Sell,1937.05,-5,9680.407375,0,10976.897,976.897,10976.897
20191009,Hold,1953.72,0,0,0,10976.897,976.897,10976.897
20191010,Hold,1942.69,0,0,0,10976.897,976.897,10976.897
20191011,Buy,1984.3,5,-9926.46075,5,1050.436,971.936,10971.936
20191014,Hold,1964.52,0,0,5,1050.436,873.036,10873.036
20191015,Hold,1992.21,0,0,5,1050.436,1011.486,11011.486
20191016,Hold,2016.8,0,0,5,1050.436,1134.436,11134.436
20191017,Hold,2033.0,0,0,5,1050.436,1215.436,11215.436
20191018,Hold,2030.86,0,0,5,1050.436,1204.736,11204.736
20191021,Hold,2022.68,0,0,5,1050.436,1163.836,11163.836
20191022,Hold,2029.04,0,0,5,1050.436,1195.636,11195.636
20191023,Sell,2019.66,-5,10093.250850000002,0,11143.687,1143.687,11143.687
20191024,Hold,2035.0,0,0,0,11143.687,1143.687,11143.687
20191025,Buy,2020.13,5,-10105.700325000002,5,1037.986,1138.636,11138.636
20191028,Hold,2053.02,0,0,5,1037.986,1303.086,11303.086
20191029,Hold,2054.14,0,0,5,1037.986,1308.686,11308.686
20191030,Hold,2035.53,0,0,5,1037.986,1215.636,11215.636
20191031,Sell,2046.08,-5,10225.2848,0,11263.271,1263.271,11263.271
20191101,Buy,2023.62,5,-10123.159049999998,5,1140.112,1258.212,11258.212
