,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,45.185,221,-9990.8779425,221,9.122,-4.993,9995.007
20140110,Hold,45.195,0,0.0,221,9.122,-2.783,9997.217
20140113,Hold,45.644,0,0.0,221,9.122,96.446,10096.446
20140114,Hold,44.86,0,0.0,221,9.122,-76.818,9923.182
20140115,Hold,45.395,0,0.0,221,9.122,41.417,10041.417
20140116,Hold,45.884,0,0.0,221,9.122,149.486,10149.486
20140117,Hold,46.279,0,0.0,221,9.122,236.781,10236.781
20140121,Hold,47.308,0,0.0,221,9.122,464.19,10464.19
20140122,Hold,46.913,0,0.0,221,9.122,376.895,10376.895
20140123,Hold,46.544,0,0.0,221,9.122,295.346,10295.346
20140124,Hold,46.333,0,0.0,221,9.122,248.715,10248.715
20140127,Sell,45.752,-221,10106.136404,0,10115.258,115.258,10115.258
20140128,Hold,45.176,0,0.0,0,10115.258,115.258,10115.258
20140129,Hold,45.497,0,0.0,0,10115.258,115.258,10115.258
20140130,Hold,45.232,0,0.0,0,10115.258,115.258,10115.258
20140131,Hold,44.614,0,0.0,0,10115.258,115.258,10115.258
20140203,Hold,45.478,0,0.0,0,10115.258,115.258,10115.258
20140204,Hold,43.685,0,0.0,0,10115.258,115.258,10115.258
20140205,Hold,44.007,0,0.0,0,10115.258,115.258,10115.258
20140206,Hold,43.777,0,0.0,0,10115.258,115.258,10115.258
20140207,Buy,45.083,224,-10103.641296,224,11.617,110.209,10110.209
20140210,Hold,45.129,0,0.0,224,11.617,120.513,10120.513
20140211,Hold,45.385,0,0.0,224,11.617,177.857,10177.857
20140212,Hold,45.836,0,0.0,224,11.617,278.881,10278.881
20140213,Hold,45.395,0,0.0,224,11.617,180.097,10180.097
20140214,Hold,45.9,0,0.0,224,11.617,293.217,10293.217
20140218,Hold,47.337,0,0.0,224,11.617,615.105,10615.105
20140219,Hold,46.515,0,0.0,224,11.617,430.977,10430.977
20140220,Hold,46.507,0,0.0,224,11.617,429.185,10429.185
20140221,Hold,47.742,0,0.0,224,11.617,705.825,10705.825
20140224,Hold,48.301,0,0.0,224,11.617,831.041,10831.041
20140225,Hold,49.029,0,0.0,224,11.617,994.113,10994.113
20140226,Hold,49.717,0,0.0,224,11.617,1148.225,11148.225
20140227,Hold,49.098,0,0.0,224,11.617,1009.569,11009.569
20140228,Hold,49.726,0,0.0,224,11.617,1150.241,11150.241
20140303,Hold,49.681,0,0.0,224,11.617,1140.161,11140.161
20140304,Sell,49.553,-224,11094.322064,0,11105.939,1105.939,11105.939
20140305,Hold,49.571,0,0.0,0,11105.939,1105.939,11105.939
20140306,Buy,49.726,223,-11094.442448999998,223,11.497,1100.395,11100.395
20140307,Hold,50.464,0,0.0,223,11.497,1264.969,11264.969
20140310,Hold,50.298,0,0.0,223,11.497,1227.951,11227.951
20140311,Hold,50.088,0,0.0,223,11.497,1181.121,11181.121
20140312,Hold,49.515,0,0.0,223,11.497,1053.342,11053.342
20140313,Sell,50.028,-223,11150.665878000002,0,11162.163,1162.163,11162.163
20140314,Hold,49.424,0,0.0,0,11162.163,1162.163,11162.163
20140317,Hold,50.126,0,0.0,0,11162.163,1162.163,11162.163
20140318,Buy,49.876,223,-11127.909173999999,223,34.253,1156.601,11156.601
20140319,Hold,50.126,0,0.0,223,34.253,1212.351,11212.351
20140320,Hold,49.792,0,0.0,223,34.253,1137.869,11137.869
20140321,Hold,50.558,0,0.0,223,34.253,1308.687,11308.687
20140324,Hold,51.064,0,0.0,223,34.253,1421.525,11421.525
20140325,Hold,50.965,0,0.0,223,34.253,1399.448,11399.448
20140326,Hold,51.39,0,0.0,223,34.253,1494.223,11494.223
20140327,Hold,51.277,0,0.0,223,34.253,1469.024,11469.024
20140328,Sell,50.52,-223,11260.327020000002,0,11294.581,1294.581,11294.581
20140331,Hold,51.525,0,0.0,0,11294.581,1294.581,11294.581
20140401,Buy,51.96,217,-11280.957659999998,217,13.623,1288.943,11288.943
20140402,Hold,52.468,0,0.0,217,13.623,1399.179,11399.179
20140403,Hold,52.689,0,0.0,217,13.623,1447.136,11447.136
20140404,Hold,52.586,0,0.0,217,13.623,1424.785,11424.785
20140407,Sell,51.352,-217,11137.812308,0,11151.435,1151.435,11151.435
20140408,Hold,51.552,0,0.0,0,11151.435,1151.435,11151.435
20140409,Hold,51.885,0,0.0,0,11151.435,1151.435,11151.435
20140410,Hold,52.819,0,0.0,0,11151.435,1151.435,11151.435
20140411,Hold,50.881,0,0.0,0,11151.435,1151.435,11151.435
20140414,Hold,51.426,0,0.0,0,11151.435,1151.435,11151.435
20140415,Hold,51.195,0,0.0,0,11151.435,1151.435,11151.435
20140416,Hold,52.338,0,0.0,0,11151.435,1151.435,11151.435
20140417,Buy,51.875,214,-11106.800625,214,44.635,1145.885,11145.885
20140421,Hold,52.005,0,0.0,214,44.635,1173.705,11173.705
20140422,Hold,51.83,0,0.0,214,44.635,1136.255,11136.255
20140423,Hold,52.614,0,0.0,214,44.635,1304.031,11304.031
20140424,Hold,53.049,0,0.0,214,44.635,1397.121,11397.121
20140425,Hold,53.114,0,0.0,214,44.635,1411.031,11411.031
20140428,Hold,52.754,0,0.0,214,44.635,1333.991,11333.991
20140429,Sell,51.849,-214,11090.138157,0,11134.773,1134.773,11134.773
20140430,Hold,52.844,0,0.0,0,11134.773,1134.773,11134.773
20140501,Buy,53.39,208,-11110.67256,208,24.1,1129.22,11129.22
20140502,Hold,53.706,0,0.0,208,24.1,1194.948,11194.948
20140505,Hold,54.453,0,0.0,208,24.1,1350.324,11350.324
20140506,Hold,54.323,0,0.0,208,24.1,1323.284,11323.284
20140507,Hold,52.881,0,0.0,208,24.1,1023.348,11023.348
20140508,Sell,53.666,-208,11156.946736,0,11181.047,1181.047,11181.047
20140509,Hold,53.565,0,0.0,0,11181.047,1181.047,11181.047
20140512,Hold,53.999,0,0.0,0,11181.047,1181.047,11181.047
20140513,Buy,54.662,204,-11156.623524,204,24.423,1175.471,11175.471
20140514,Hold,54.323,0,0.0,204,24.423,1106.315,11106.315
20140515,Hold,53.999,0,0.0,204,24.423,1040.219,11040.219
20140516,Sell,53.454,-204,10899.163692,0,10923.587,923.587,10923.587
20140519,Hold,53.666,0,0.0,0,10923.587,923.587,10923.587
20140520,Hold,53.832,0,0.0,0,10923.587,923.587,10923.587
20140521,Buy,54.044,202,-10922.346443999999,202,1.241,918.129,10918.129
20140522,Hold,54.563,0,0.0,202,1.241,1022.967,11022.967
20140523,Hold,54.6,0,0.0,202,1.241,1030.441,11030.441
20140527,Hold,55.109,0,0.0,202,1.241,1133.259,11133.259
20140528,Hold,55.07,0,0.0,202,1.241,1125.381,11125.381
20140529,Hold,55.202,0,0.0,202,1.241,1152.045,11152.045
20140530,Hold,56.423,0,0.0,202,1.241,1398.687,11398.687
20140602,Hold,57.128,0,0.0,202,1.241,1541.097,11541.097
20140603,Hold,56.933,0,0.0,202,1.241,1501.707,11501.707
20140604,Hold,56.793,0,0.0,202,1.241,1473.427,11473.427
20140605,Hold,57.349,0,0.0,202,1.241,1585.739,11585.739
20140606,Hold,57.694,0,0.0,202,1.241,1655.429,11655.429
20140609,Hold,57.923,0,0.0,202,1.241,1701.687,11701.687
20140610,Hold,58.089,0,0.0,202,1.241,1735.219,11735.219
20140611,Hold,57.236,0,0.0,202,1.241,1562.913,11562.913
20140612,Sell,57.033,-202,11514.905667,0,11516.146,1516.146,11516.146
20140613,Hold,56.933,0,0.0,0,11516.146,1516.146,11516.146
20140616,Hold,56.776,0,0.0,0,11516.146,1516.146,11516.146
20140617,Hold,56.942,0,0.0,0,11516.146,1516.146,11516.146
20140618,Buy,57.957,198,-11481.223743,198,34.923,1510.409,11510.409
20140619,Hold,58.431,0,0.0,198,34.923,1604.261,11604.261
20140620,Hold,58.794,0,0.0,198,34.923,1676.135,11676.135
20140623,Hold,59.008,0,0.0,198,34.923,1718.507,11718.507
20140624,Hold,58.829,0,0.0,198,34.923,1683.065,11683.065
20140625,Hold,58.829,0,0.0,198,34.923,1683.065,11683.065
20140626,Hold,58.776,0,0.0,198,34.923,1672.571,11672.571
20140627,Hold,59.142,0,0.0,198,34.923,1745.039,11745.039
20140630,Hold,59.34,0,0.0,198,34.923,1784.243,11784.243
20140701,Hold,59.541,0,0.0,198,34.923,1824.041,11824.041
20140702,Hold,59.673,0,0.0,198,34.923,1850.177,11850.177
20140703,Hold,60.413,0,0.0,198,34.923,1996.697,11996.697
20140707,Hold,60.637,0,0.0,198,34.923,2041.049,12041.049
20140708,Hold,60.664,0,0.0,198,34.923,2046.395,12046.395
20140709,Hold,60.413,0,0.0,198,34.923,1996.697,11996.697
20140710,Sell,59.754,-198,11825.376354,0,11860.299,1860.299,11860.299
20140711,Hold,60.469,0,0.0,0,11860.299,1860.299,11860.299
20140714,Hold,60.552,0,0.0,0,11860.299,1860.299,11860.299
20140715,Buy,60.505,195,-11804.3742375,195,55.925,1854.4,11854.4
20140716,Sell,60.302,-195,11753.010555,0,11808.935,1808.935,11808.935
20140717,Hold,59.7,0,0.0,0,11808.935,1808.935,11808.935
20140718,Hold,59.053,0,0.0,0,11808.935,1808.935,11808.935
20140721,Hold,60.256,0,0.0,0,11808.935,1808.935,11808.935
20140722,Buy,60.515,195,-11806.325212499998,195,2.61,1803.035,11803.035
20140723,Hold,61.006,0,0.0,195,2.61,1898.78,11898.78
20140724,Hold,61.471,0,0.0,195,2.61,1989.455,11989.455
20140725,Hold,61.766,0,0.0,195,2.61,2046.98,12046.98
20140728,Hold,61.541,0,0.0,195,2.61,2003.105,12003.105
20140729,Hold,61.173,0,0.0,195,2.61,1931.345,11931.345
20140730,Sell,61.302,-195,11947.913055,0,11950.523,1950.523,11950.523
20140731,Hold,60.469,0,0.0,0,11950.523,1950.523,11950.523
20140801,Hold,59.978,0,0.0,0,11950.523,1950.523,11950.523
20140804,Hold,60.211,0,0.0,0,11950.523,1950.523,11950.523
20140805,Buy,60.866,196,-11935.700868,196,14.822,1944.558,11944.558
20140806,Sell,59.56,-196,11667.923120000001,0,11682.745,1682.745,11682.745
20140807,Hold,60.041,0,0.0,0,11682.745,1682.745,11682.745
20140808,Hold,59.7,0,0.0,0,11682.745,1682.745,11682.745
20140811,Hold,60.173,0,0.0,0,11682.745,1682.745,11682.745
20140812,Buy,60.809,192,-11681.165663999998,192,1.58,1676.908,11676.908
20140813,Hold,60.358,0,0.0,192,1.58,1590.316,11590.316
20140814,Hold,61.793,0,0.0,192,1.58,1865.836,11865.836
20140815,Hold,62.635,0,0.0,192,1.58,2027.5,12027.5
20140818,Hold,62.828,0,0.0,192,1.58,2064.556,12064.556
20140819,Hold,62.794,0,0.0,192,1.58,2058.028,12058.028
20140820,Hold,63.136,0,0.0,192,1.58,2123.692,12123.692
20140821,Hold,63.667,0,0.0,192,1.58,2225.644,12225.644
20140822,Hold,63.396,0,0.0,192,1.58,2173.612,12173.612
20140825,Hold,63.729,0,0.0,192,1.58,2237.548,12237.548
20140826,Hold,64.048,0,0.0,192,1.58,2298.796,12298.796
20140827,Hold,64.103,0,0.0,192,1.58,2309.356,12309.356
20140828,Hold,63.86,0,0.0,192,1.58,2262.7,12262.7
20140829,Hold,64.372,0,0.0,192,1.58,2361.004,12361.004
20140902,Hold,64.696,0,0.0,192,1.58,2423.212,12423.212
20140903,Hold,64.622,0,0.0,192,1.58,2409.004,12409.004
20140904,Hold,65.402,0,0.0,192,1.58,2558.764,12558.764
20140905,Hold,65.189,0,0.0,192,1.58,2517.868,12517.868
20140908,Hold,65.791,0,0.0,192,1.58,2633.452,12633.452
20140909,Hold,65.921,0,0.0,192,1.58,2658.412,12658.412
20140910,Hold,65.829,0,0.0,192,1.58,2640.748,12640.748
20140911,Hold,65.754,0,0.0,192,1.58,2626.348,12626.348
20140912,Hold,66.053,0,0.0,192,1.58,2683.756,12683.756
20140915,Sell,65.763,-192,12620.182752000002,0,12621.762,2621.762,12621.762
20140916,Hold,65.457,0,0.0,0,12621.762,2621.762,12621.762
20140917,Buy,66.181,190,-12580.677194999998,190,41.085,2615.475,12615.475
20140918,Hold,67.027,0,0.0,190,41.085,2776.215,12776.215
20140919,Hold,67.759,0,0.0,190,41.085,2915.295,12915.295
20140922,Hold,67.146,0,0.0,190,41.085,2798.825,12798.825
20140923,Hold,66.377,0,0.0,190,41.085,2652.715,12652.715
20140924,Sell,65.829,-190,12501.256244999999,0,12542.341,2542.341,12542.341
20140925,Hold,66.265,0,0.0,0,12542.341,2542.341,12542.341
20140926,Hold,65.475,0,0.0,0,12542.341,2542.341,12542.341
20140929,Hold,65.243,0,0.0,0,12542.341,2542.341,12542.341
20140930,Hold,65.207,0,0.0,0,12542.341,2542.341,12542.341
20141001,Hold,64.584,0,0.0,0,12542.341,2542.341,12542.341
20141002,Hold,63.118,0,0.0,0,12542.341,2542.341,12542.341
20141003,Hold,62.272,0,0.0,0,12542.341,2542.341,12542.341
20141006,Hold,63.222,0,0.0,0,12542.341,2542.341,12542.341
20141007,Hold,61.891,0,0.0,0,12542.341,2542.341,12542.341
20141008,Hold,61.158,0,0.0,0,12542.341,2542.341,12542.341
20141009,Hold,60.899,0,0.0,0,12542.341,2542.341,12542.341
20141010,Hold,59.793,0,0.0,0,12542.341,2542.341,12542.341
20141013,Hold,59.006,0,0.0,0,12542.341,2542.341,12542.341
