,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Hold,146.87,0,0,0,10000,0.0,10000.0
20200110,Hold,145.62,0,0,0,10000,0.0,10000.0
20200113,Hold,145.18,0,0,0,10000,0.0,10000.0
20200114,Buy,145.83,68,-9921.39822,68,78.602,-4.958,9995.042
20200115,Hold,146.18,0,0,68,78.602,18.842,10018.842
20200116,Hold,147.39,0,0,68,78.602,101.122,10101.122
20200117,Hold,148.59,0,0,68,78.602,182.722,10182.722
20200121,Hold,147.49,0,0,68,78.602,107.922,10107.922
20200122,Sell,144.42,-68,9815.64972,0,9894.252,-105.748,9894.252
20200123,Hold,141.86,0,0,0,9894.252,-105.748,9894.252
20200124,Hold,144.39,0,0,0,9894.252,-105.748,9894.252
20200127,Hold,137.18,0,0,0,9894.252,-105.748,9894.252
20200128,Hold,138.16,0,0,0,9894.252,-105.748,9894.252
20200129,Hold,140.93,0,0,0,9894.252,-105.748,9894.252
20200130,Buy,139.97,70,-9802.798949999999,70,91.453,-110.647,9889.353
20200131,Hold,141.58,0,0,70,91.453,2.053,10002.053
20200203,Hold,141.13,0,0,70,91.453,-29.447,9970.553
20200204,Hold,143.89,0,0,70,91.453,163.753,10163.753
20200205,Hold,149.12,0,0,70,91.453,529.853,10529.853
20200206,Hold,147.7,0,0,70,91.453,430.453,10430.453
20200207,Hold,144.33,0,0,70,91.453,194.553,10194.553
20200210,Hold,142.44,0,0,70,91.453,62.253,10062.253
20200211,Sell,145.29,-70,10165.21485,0,10256.667,256.667,10256.667
20200212,Buy,147.45,69,-10179.137024999998,69,77.53,251.58,10251.58
20200213,Hold,148.85,0,0,69,77.53,348.18,10348.18
20200214,Hold,146.39,0,0,69,77.53,178.44,10178.44
20200218,Hold,143.76,0,0,69,77.53,-3.03,9996.97
20200219,Sell,143.98,-69,9929.652689999999,0,10007.183,7.183,10007.183
20200220,Hold,146.94,0,0,0,10007.183,7.183,10007.183
20200221,Hold,144.8,0,0,0,10007.183,7.183,10007.183
20200224,Hold,136.27,0,0,0,10007.183,7.183,10007.183
