,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,120.95,82,-9922.85895,82,77.141,-4.959,9995.041
20140110,Hold,122.04,0,0.0,82,77.141,84.421,10084.421
20140113,Hold,120.98,0,0.0,82,77.141,-2.499,9997.501
20140114,Hold,120.37,0,0.0,82,77.141,-52.519,9947.481
20140115,Hold,119.9,0,0.0,82,77.141,-91.059,9908.941
20140116,Hold,119.93,0,0.0,82,77.141,-88.599,9911.401
20140117,Hold,119.71,0,0.0,82,77.141,-106.639,9893.361
20140121,Hold,120.92,0,0.0,82,77.141,-7.419,9992.581
20140122,Hold,121.6,0,0.0,82,77.141,48.341,10048.341
20140123,Hold,122.37,0,0.0,82,77.141,111.481,10111.481
20140124,Hold,119.99,0,0.0,82,77.141,-83.679,9916.321
20140127,Hold,116.81,0,0.0,82,77.141,-344.439,9655.561
20140128,Hold,117.62,0,0.0,82,77.141,-278.019,9721.981
20140129,Hold,112.57,0,0.0,82,77.141,-692.119,9307.881
20140130,Hold,112.57,0,0.0,82,77.141,-692.119,9307.881
20140131,Hold,106.43,0,0.0,82,77.141,-1195.599,8804.401
20140203,Hold,106.17,0,0.0,82,77.141,-1216.919,8783.081
20140204,Hold,105.17,0,0.0,82,77.141,-1298.919,8701.081
20140205,Hold,103.41,0,0.0,82,77.141,-1443.239,8556.761
20140206,Hold,104.09,0,0.0,82,77.141,-1387.479,8612.521
20140207,Hold,105.73,0,0.0,82,77.141,-1252.999,8747.001
20140210,Hold,110.21,0,0.0,82,77.141,-885.639,9114.361
20140211,Hold,109.07,0,0.0,82,77.141,-979.119,9020.881
20140212,Hold,111.97,0,0.0,82,77.141,-741.319,9258.681
20140213,Hold,109.2,0,0.0,82,77.141,-968.459,9031.541
20140214,Hold,110.93,0,0.0,82,77.141,-826.599,9173.401
20140218,Hold,111.81,0,0.0,82,77.141,-754.439,9245.561
20140219,Hold,111.79,0,0.0,82,77.141,-756.079,9243.921
20140220,Hold,110.42,0,0.0,82,77.141,-868.419,9131.581
20140221,Sell,111.55,-82,9142.526450000001,0,9219.668,-780.332,9219.668
20140224,Buy,110.33,83,-9161.968695,83,57.699,-784.911,9215.089
20140225,Hold,111.14,0,0.0,83,57.699,-717.681,9282.319
20140226,Hold,109.38,0,0.0,83,57.699,-863.761,9136.239
20140227,Hold,108.68,0,0.0,83,57.699,-921.861,9078.139
20140228,Hold,110.64,0,0.0,83,57.699,-759.181,9240.819
20140303,Hold,109.3,0,0.0,83,57.699,-870.401,9129.599
20140304,Hold,111.22,0,0.0,83,57.699,-711.041,9288.959
20140305,Hold,112.06,0,0.0,83,57.699,-641.321,9358.679
20140306,Sell,110.89,-83,9199.268065000002,0,9256.967,-743.033,9256.967
20140307,Hold,111.51,0,0.0,0,9256.967,-743.033,9256.967
20140310,Buy,108.72,85,-9245.820600000001,85,11.146,-747.654,9252.346
20140311,Hold,109.17,0,0.0,85,11.146,-709.404,9290.596
20140312,Hold,107.41,0,0.0,85,11.146,-859.004,9140.996
20140313,Hold,107.11,0,0.0,85,11.146,-884.504,9115.496
20140314,Hold,104.96,0,0.0,85,11.146,-1067.254,8932.746
20140317,Hold,106.57,0,0.0,85,11.146,-930.404,9069.596
20140318,Hold,107.96,0,0.0,85,11.146,-812.254,9187.746
20140319,Hold,106.85,0,0.0,85,11.146,-906.604,9093.396
20140320,Hold,105.13,0,0.0,85,11.146,-1052.804,8947.196
20140321,Sell,106.67,-85,9062.416525,0,9073.563,-926.437,9073.563
20140324,Buy,106.3,85,-9040.017749999999,85,33.545,-930.955,9069.045
20140325,Hold,106.97,0,0.0,85,33.545,-874.005,9125.995
20140326,Hold,107.09,0,0.0,85,33.545,-863.805,9136.195
20140327,Hold,105.7,0,0.0,85,33.545,-981.955,9018.045
20140328,Hold,106.39,0,0.0,85,33.545,-923.305,9076.695
20140331,Hold,107.74,0,0.0,85,33.545,-808.555,9191.445
20140401,Hold,108.48,0,0.0,85,33.545,-745.655,9254.345
20140402,Hold,110.53,0,0.0,85,33.545,-571.405,9428.595
20140403,Hold,111.02,0,0.0,85,33.545,-529.755,9470.245
20140404,Hold,111.17,0,0.0,85,33.545,-517.005,9482.995
20140407,Hold,109.42,0,0.0,85,33.545,-665.755,9334.245
20140408,Hold,107.67,0,0.0,85,33.545,-814.505,9185.495
20140409,Hold,107.41,0,0.0,85,33.545,-836.605,9163.395
20140410,Hold,109.0,0,0.0,85,33.545,-701.455,9298.545
20140411,Hold,105.73,0,0.0,85,33.545,-979.405,9020.595
20140414,Hold,105.75,0,0.0,85,33.545,-977.705,9022.295
20140415,Hold,106.0,0,0.0,85,33.545,-956.455,9043.545
20140416,Hold,107.41,0,0.0,85,33.545,-836.605,9163.395
20140417,Hold,108.66,0,0.0,85,33.545,-730.355,9269.645
20140421,Hold,110.06,0,0.0,85,33.545,-611.355,9388.645
20140422,Hold,110.21,0,0.0,85,33.545,-598.605,9401.395
20140423,Hold,112.33,0,0.0,85,33.545,-418.405,9581.595
20140424,Hold,112.18,0,0.0,85,33.545,-431.155,9568.845
20140425,Hold,111.58,0,0.0,85,33.545,-482.155,9517.845
20140428,Sell,110.17,-85,9359.767775000002,0,9393.313,-606.687,9393.313
20140429,Buy,109.32,85,-9296.846099999999,85,96.467,-611.333,9388.667
20140430,Hold,110.06,0,0.0,85,96.467,-548.433,9451.567
20140501,Hold,110.63,0,0.0,85,96.467,-499.983,9500.017
20140502,Hold,110.59,0,0.0,85,96.467,-503.383,9496.617
20140505,Hold,110.88,0,0.0,85,96.467,-478.733,9521.267
