,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,54.933,181,-9947.8444365,181,52.156,-4.971,9995.029
20120111,Hold,54.772,0,0.0,181,52.156,-34.112,9965.888
20120112,Hold,55.384,0,0.0,181,52.156,76.66,10076.66
20120113,Hold,55.35,0,0.0,181,52.156,70.506,10070.506
20120117,Hold,56.191,0,0.0,181,52.156,222.727,10222.727
20120118,Hold,56.31,0,0.0,181,52.156,244.266,10244.266
20120119,Hold,56.993,0,0.0,181,52.156,367.889,10367.889
20120120,Hold,57.518,0,0.0,181,52.156,462.914,10462.914
20120123,Hold,57.484,0,0.0,181,52.156,456.76,10456.76
20120124,Hold,56.639,0,0.0,181,52.156,303.815,10303.815
20120125,Hold,55.922,0,0.0,181,52.156,174.038,10174.038
20120126,Hold,55.992,0,0.0,181,52.156,186.708,10186.708
20120127,Hold,56.535,0,0.0,181,52.156,284.991,10284.991
20120130,Hold,55.233,0,0.0,181,52.156,49.329,10049.329
20120131,Hold,55.328,0,0.0,181,52.156,66.524,10066.524
20120201,Hold,55.435,0,0.0,181,52.156,85.891,10085.891
20120202,Hold,55.459,0,0.0,181,52.156,90.235,10090.235
20120203,Hold,55.662,0,0.0,181,52.156,126.978,10126.978
20120206,Hold,55.596,0,0.0,181,52.156,115.032,10115.032
20120207,Sell,56.095,-181,10148.1184025,0,10200.274,200.274,10200.274
20120208,Buy,56.567,180,-10187.151029999999,180,13.123,195.183,10195.183
20120209,Hold,56.935,0,0.0,180,13.123,261.423,10261.423
20120210,Hold,55.801,0,0.0,180,13.123,57.303,10057.303
20120213,Sell,56.082,-180,10089.71262,0,10102.836,102.836,10102.836
20120214,Buy,55.535,181,-10056.860917499998,181,45.975,97.81,10097.81
20120215,Hold,55.596,0,0.0,181,45.975,108.851,10108.851
20120216,Hold,55.662,0,0.0,181,45.975,120.797,10120.797
20120217,Hold,56.26,0,0.0,181,45.975,229.035,10229.035
20120221,Hold,56.499,0,0.0,181,45.975,272.294,10272.294
20120222,Hold,56.295,0,0.0,181,45.975,235.37,10235.37
20120223,Hold,55.952,0,0.0,181,45.975,173.287,10173.287
20120224,Sell,56.184,-181,10164.219348,0,10210.194,210.194,10210.194
20120227,Hold,57.325,0,0.0,0,10210.194,210.194,10210.194
20120228,Buy,57.595,177,-10199.4121575,177,10.782,205.097,10205.097
20120229,Hold,57.716,0,0.0,177,10.782,226.514,10226.514
20120301,Hold,58.023,0,0.0,177,10.782,280.853,10280.853
20120302,Hold,57.77,0,0.0,177,10.782,236.072,10236.072
20120305,Sell,57.444,-177,10162.504206,0,10173.286,173.286,10173.286
20120306,Buy,56.828,178,-10120.441692,178,52.844,168.228,10168.228
20120307,Hold,56.167,0,0.0,178,52.844,50.57,10050.57
20120308,Hold,57.008,0,0.0,178,52.844,200.268,10200.268
20120309,Hold,57.177,0,0.0,178,52.844,230.35,10230.35
20120312,Hold,57.058,0,0.0,178,52.844,209.168,10209.168
20120313,Hold,57.238,0,0.0,178,52.844,241.208,10241.208
20120314,Hold,57.977,0,0.0,178,52.844,372.75,10372.75
20120315,Hold,57.985,0,0.0,178,52.844,374.174,10374.174
20120316,Hold,58.104,0,0.0,178,52.844,395.356,10395.356
20120319,Hold,57.692,0,0.0,178,52.844,322.02,10322.02
20120320,Sell,57.601,-178,10247.851510999999,0,10300.696,300.696,10300.696
20120321,Buy,57.42,179,-10283.319089999999,179,17.377,295.557,10295.557
20120322,Hold,56.907,0,0.0,179,17.377,203.73,10203.73
20120323,Hold,57.47,0,0.0,179,17.377,304.507,10304.507
20120326,Hold,57.928,0,0.0,179,17.377,386.489,10386.489
20120327,Hold,58.692,0,0.0,179,17.377,523.245,10523.245
20120328,Hold,58.35,0,0.0,179,17.377,462.027,10462.027
20120329,Sell,57.912,-179,10361.064876,0,10378.442,378.442,10378.442
20120330,Hold,57.97,0,0.0,0,10378.442,378.442,10378.442
20120402,Hold,58.222,0,0.0,0,10378.442,378.442,10378.442
20120403,Buy,58.711,176,-10338.302568,176,40.139,373.275,10373.275
20120404,Hold,57.567,0,0.0,176,40.139,171.931,10171.931
20120405,Hold,57.446,0,0.0,176,40.139,150.635,10150.635
20120409,Hold,56.225,0,0.0,176,40.139,-64.261,9935.739
20120410,Hold,56.007,0,0.0,176,40.139,-102.629,9897.371
20120411,Hold,54.604,0,0.0,176,40.139,-349.557,9650.443
20120412,Hold,55.598,0,0.0,176,40.139,-174.613,9825.387
20120413,Hold,55.319,0,0.0,176,40.139,-223.717,9776.283
20120416,Hold,55.337,0,0.0,176,40.139,-220.549,9779.451
20120417,Hold,55.606,0,0.0,176,40.139,-173.205,9826.795
20120418,Hold,55.692,0,0.0,176,40.139,-158.069,9841.931
20120419,Sell,55.807,-176,9817.120984000001,0,9857.26,-142.74,9857.26
20120420,Hold,55.361,0,0.0,0,9857.26,-142.74,9857.26
20120423,Buy,55.11,178,-9814.484789999999,178,42.775,-147.645,9852.355
20120424,Hold,55.513,0,0.0,178,42.775,-75.911,9924.089
20120425,Hold,55.85,0,0.0,178,42.775,-15.925,9984.075
20120426,Hold,53.381,0,0.0,178,42.775,-455.407,9544.593
20120427,Hold,53.851,0,0.0,178,42.775,-371.747,9628.253
20120430,Hold,53.968,0,0.0,178,42.775,-350.921,9649.079
20120501,Hold,54.002,0,0.0,178,42.775,-344.869,9655.131
20120502,Hold,54.144,0,0.0,178,42.775,-319.593,9680.407
20120503,Hold,54.747,0,0.0,178,42.775,-212.259,9787.741
20120504,Hold,54.218,0,0.0,178,42.775,-306.421,9693.579
20120507,Hold,53.513,0,0.0,178,42.775,-431.911,9568.089
20120508,Hold,53.708,0,0.0,178,42.775,-397.201,9602.799
