,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,58.33,171,-9979.417215,171,20.583,-4.987,9995.013
20120111,Hold,58.226,0,0.0,171,20.583,-22.771,9977.229
20120112,Hold,58.681,0,0.0,171,20.583,55.034,10055.034
20120113,Hold,58.714,0,0.0,171,20.583,60.677,10060.677
20120117,Hold,59.352,0,0.0,171,20.583,169.775,10169.775
20120118,Hold,59.022,0,0.0,171,20.583,113.345,10113.345
20120119,Hold,59.5,0,0.0,171,20.583,195.083,10195.083
20120120,Hold,60.071,0,0.0,171,20.583,292.724,10292.724
20120123,Hold,59.919,0,0.0,171,20.583,266.732,10266.732
20120124,Hold,59.716,0,0.0,171,20.583,232.019,10232.019
20120125,Sell,59.348,-171,10143.433746,0,10164.017,164.017,10164.017
20120126,Buy,59.072,171,-10106.362656,171,57.654,158.966,10158.966
20120127,Hold,59.32,0,0.0,171,57.654,201.374,10201.374
20120130,Hold,58.828,0,0.0,171,57.654,117.242,10117.242
20120131,Hold,59.464,0,0.0,171,57.654,225.998,10225.998
20120201,Hold,59.71,0,0.0,171,57.654,268.064,10268.064
20120202,Hold,60.446,0,0.0,171,57.654,393.92,10393.92
20120203,Hold,60.331,0,0.0,171,57.654,374.255,10374.255
20120206,Hold,61.041,0,0.0,171,57.654,495.665,10495.665
20120207,Hold,61.49,0,0.0,171,57.654,572.444,10572.444
20120208,Hold,62.533,0,0.0,171,57.654,750.797,10750.797
20120209,Hold,63.413,0,0.0,171,57.654,901.277,10901.277
20120210,Hold,63.033,0,0.0,171,57.654,836.297,10836.297
20120213,Hold,63.354,0,0.0,171,57.654,891.188,10891.188
20120214,Hold,63.463,0,0.0,171,57.654,909.827,10909.827
20120215,Hold,63.429,0,0.0,171,57.654,904.013,10904.013
20120216,Hold,62.826,0,0.0,171,57.654,800.9,10800.9
20120217,Hold,62.841,0,0.0,171,57.654,803.465,10803.465
20120221,Hold,63.435,0,0.0,171,57.654,905.039,10905.039
20120222,Hold,63.194,0,0.0,171,57.654,863.828,10863.828
20120223,Hold,63.524,0,0.0,171,57.654,920.258,10920.258
20120224,Hold,64.004,0,0.0,171,57.654,1002.338,11002.338
20120227,Hold,64.759,0,0.0,171,57.654,1131.443,11131.443
20120228,Hold,64.998,0,0.0,171,57.654,1172.312,11172.312
20120229,Hold,65.023,0,0.0,171,57.654,1176.587,11176.587
20120301,Hold,64.743,0,0.0,171,57.654,1128.707,11128.707
20120302,Sell,64.672,-171,11053.382544,0,11111.036,1111.036,11111.036
20120305,Buy,65.124,170,-11076.615539999999,170,34.421,1105.501,11105.501
20120306,Hold,64.364,0,0.0,170,34.421,976.301,10976.301
20120307,Hold,64.24,0,0.0,170,34.421,955.221,10955.221
20120308,Sell,64.795,-170,11009.642425,0,11044.063,1044.063,11044.063
20120309,Buy,64.98,169,-10987.11081,169,56.952,1038.572,11038.572
20120312,Hold,64.868,0,0.0,169,56.952,1019.644,11019.644
20120313,Hold,65.388,0,0.0,169,56.952,1107.524,11107.524
20120314,Hold,65.739,0,0.0,169,56.952,1166.843,11166.843
20120315,Hold,66.135,0,0.0,169,56.952,1233.767,11233.767
20120316,Hold,66.062,0,0.0,169,56.952,1221.43,11221.43
20120319,Sell,65.051,-169,10988.122190500002,0,11045.075,1045.075,11045.075
20120320,Buy,65.322,169,-11044.937709,169,0.137,1039.555,11039.555
20120321,Hold,65.461,0,0.0,169,0.137,1063.046,11063.046
20120322,Hold,65.197,0,0.0,169,0.137,1018.43,11018.43
20120323,Hold,65.551,0,0.0,169,0.137,1078.256,11078.256
20120326,Hold,66.009,0,0.0,169,0.137,1155.658,11155.658
20120327,Hold,66.309,0,0.0,169,0.137,1206.358,11206.358
20120328,Hold,66.413,0,0.0,169,0.137,1223.934,11223.934
20120329,Sell,65.453,-169,11056.026221500002,0,11056.163,1056.163,11056.163
20120330,Hold,65.843,0,0.0,0,11056.163,1056.163,11056.163
20120402,Buy,65.412,168,-10994.710608,168,61.453,1050.669,11050.669
20120403,Hold,66.589,0,0.0,168,61.453,1248.405,11248.405
20120404,Hold,66.47,0,0.0,168,61.453,1228.413,11228.413
20120405,Hold,65.869,0,0.0,168,61.453,1127.445,11127.445
20120409,Hold,65.372,0,0.0,168,61.453,1043.949,11043.949
20120410,Hold,64.743,0,0.0,168,61.453,938.277,10938.277
20120411,Hold,64.648,0,0.0,168,61.453,922.317,10922.317
20120412,Hold,64.965,0,0.0,168,61.453,975.573,10975.573
20120413,Hold,65.792,0,0.0,168,61.453,1114.509,11114.509
20120416,Hold,65.511,0,0.0,168,61.453,1067.301,11067.301
20120417,Hold,65.504,0,0.0,168,61.453,1066.125,11066.125
20120418,Hold,66.055,0,0.0,168,61.453,1158.693,11158.693
20120419,Hold,66.356,0,0.0,168,61.453,1209.261,11209.261
20120420,Hold,66.162,0,0.0,168,61.453,1176.669,11176.669
20120423,Hold,65.835,0,0.0,168,61.453,1121.733,11121.733
20120424,Hold,66.3,0,0.0,168,61.453,1199.853,11199.853
20120425,Sell,67.116,-168,11269.850256,0,11331.303,1331.303,11331.303
20120426,Buy,66.872,169,-11307.018684,169,24.284,1325.652,11325.652
20120427,Hold,67.361,0,0.0,169,24.284,1408.293,11408.293
20120430,Hold,66.649,0,0.0,169,24.284,1287.965,11287.965
20120501,Hold,66.29,0,0.0,169,24.284,1227.294,11227.294
20120502,Hold,65.63,0,0.0,169,24.284,1115.754,11115.754
20120503,Hold,65.72,0,0.0,169,24.284,1130.964,11130.964
20120504,Hold,65.313,0,0.0,169,24.284,1062.181,11062.181
20120507,Hold,64.217,0,0.0,169,24.284,876.957,10876.957
20120508,Hold,63.64,0,0.0,169,24.284,779.444,10779.444
20120509,Hold,63.31,0,0.0,169,24.284,723.674,10723.674
20120510,Hold,63.349,0,0.0,169,24.284,730.265,10730.265
20120511,Hold,63.047,0,0.0,169,24.284,679.227,10679.227
20120514,Hold,61.936,0,0.0,169,24.284,491.468,10491.468
20120515,Hold,62.205,0,0.0,169,24.284,536.929,10536.929
20120516,Hold,62.133,0,0.0,169,24.284,524.761,10524.761
20120517,Hold,61.634,0,0.0,169,24.284,440.43,10440.43
20120518,Hold,60.84,0,0.0,169,24.284,306.244,10306.244
20120521,Hold,60.905,0,0.0,169,24.284,317.229,10317.229
20120522,Hold,61.158,0,0.0,169,24.284,359.986,10359.986
20120523,Hold,60.989,0,0.0,169,24.284,331.425,10331.425
