,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Buy,292.08,34,-9935.68536,34,64.315,-4.965,9995.035
20180110,Hold,293.93,0,0.0,34,64.315,57.935,10057.935
20180111,Hold,294.6,0,0.0,34,64.315,80.715,10080.715
20180112,Hold,294.18,0,0.0,34,64.315,66.435,10066.435
20180116,Sell,298.61,-34,10147.663630000001,0,10211.978,211.978,10211.978
20180117,Hold,294.27,0,0.0,0,10211.978,211.978,10211.978
20180118,Hold,296.62,0,0.0,0,10211.978,211.978,10211.978
20180119,Buy,296.74,34,-10094.20458,34,117.774,206.934,10206.934
20180122,Hold,294.53,0,0.0,34,117.774,131.794,10131.794
20180123,Hold,292.96,0,0.0,34,117.774,78.414,10078.414
20180124,Hold,291.97,0,0.0,34,117.774,44.754,10044.754
20180125,Hold,293.9,0,0.0,34,117.774,110.374,10110.374
20180126,Hold,299.05,0,0.0,34,117.774,285.474,10285.474
20180129,Sell,310.72,-34,10559.197760000003,0,10676.971,676.971,10676.971
20180130,Buy,307.61,34,-10463.969369999999,34,213.002,671.742,10671.742
20180131,Hold,313.64,0,0.0,34,213.002,876.762,10876.762
20180201,Hold,314.5,0,0.0,34,213.002,906.002,10906.002
20180202,Hold,315.15,0,0.0,34,213.002,928.102,10928.102
20180205,Hold,309.51,0,0.0,34,213.002,736.342,10736.342
20180206,Hold,291.82,0,0.0,34,213.002,134.882,10134.882
20180207,Hold,300.31,0,0.0,34,213.002,423.542,10423.542
20180208,Hold,310.91,0,0.0,34,213.002,783.942,10783.942
20180209,Hold,300.15,0,0.0,34,213.002,418.102,10418.102
20180212,Hold,305.88,0,0.0,34,213.002,612.922,10612.922
20180213,Hold,306.46,0,0.0,34,213.002,632.642,10632.642
20180214,Hold,309.69,0,0.0,34,213.002,742.462,10742.462
20180215,Hold,317.32,0,0.0,34,213.002,1001.882,11001.882
20180216,Hold,320.48,0,0.0,34,213.002,1109.322,11109.322
20180220,Hold,318.84,0,0.0,34,213.002,1053.562,11053.562
20180221,Hold,318.73,0,0.0,34,213.002,1049.822,11049.822
20180222,Sell,318.22,-34,10814.070260000002,0,11027.072,1027.072,11027.072
20180223,Buy,316.27,34,-10758.55659,34,268.516,1021.696,11021.696
20180226,Hold,319.6,0,0.0,34,268.516,1134.916,11134.916
20180227,Hold,319.02,0,0.0,34,268.516,1115.196,11115.196
20180228,Hold,319.04,0,0.0,34,268.516,1115.876,11115.876
