,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Hold,181.19,0,0,0,10000,0.0,10000.0
20120111,Buy,179.5,55,-9877.436249999999,55,122.564,-4.936,9995.064
20120112,Hold,179.42,0,0,55,122.564,-9.336,9990.664
20120113,Hold,176.02,0,0,55,122.564,-196.336,9803.664
20120117,Hold,180.39,0,0,55,122.564,44.014,10044.014
20120118,Hold,181.9,0,0,55,122.564,127.064,10127.064
20120119,Sell,190.84,-55,10490.951900000002,0,10613.516,613.516,10613.516
20120120,Buy,190.79,55,-10498.696724999998,55,114.819,608.269,10608.269
20120123,Hold,190.8,0,0,55,114.819,608.819,10608.819
20120124,Sell,185.0,-55,10169.9125,0,10284.731,284.731,10284.731
20120125,Hold,187.0,0,0,0,10284.731,284.731,10284.731
20120126,Buy,189.3,54,-10227.3111,54,57.42,279.62,10279.62
20120127,Hold,193.08,0,0,54,57.42,483.74,10483.74
20120130,Hold,193.68,0,0,54,57.42,516.14,10516.14
20120131,Sell,194.25,-54,10484.25525,0,10541.676,541.676,10541.676
20120201,Buy,173.81,60,-10433.8143,60,107.861,536.461,10536.461
20120202,Hold,179.95,0,0,60,107.861,904.861,10904.861
20120203,Hold,182.71,0,0,60,107.861,1070.461,11070.461
20120206,Hold,186.5,0,0,60,107.861,1297.861,11297.861
20120207,Hold,182.45,0,0,60,107.861,1054.861,11054.861
20120208,Sell,184.95,-60,11091.451500000001,0,11199.313,1199.313,11199.313
20120209,Buy,184.5,60,-11075.535,60,123.778,1193.778,11193.778
20120210,Sell,183.15,-60,10983.505500000001,0,11107.283,1107.283,11107.283
20120213,Buy,187.17,59,-11048.551514999997,59,58.732,1101.762,11101.762
20120214,Hold,190.64,0,0,59,58.732,1306.492,11306.492
20120215,Hold,191.54,0,0,59,58.732,1359.592,11359.592
20120216,Hold,177.65,0,0,59,58.732,540.082,10540.082
20120217,Hold,180.09,0,0,59,58.732,684.042,10684.042
20120221,Hold,182.65,0,0,59,58.732,835.082,10835.082
20120222,Hold,181.94,0,0,59,58.732,793.192,10793.192
20120223,Hold,179.33,0,0,59,58.732,639.202,10639.202
20120224,Sell,179.71,-59,10597.588555000002,0,10656.32,656.32,10656.32
20120227,Buy,177.78,59,-10494.264509999999,59,162.056,651.076,10651.076
20120228,Hold,178.9,0,0,59,162.056,717.156,10717.156
20120229,Hold,183.89,0,0,59,162.056,1011.566,11011.566
20120301,Hold,179.93,0,0,59,162.056,777.926,10777.926
20120302,Hold,179.35,0,0,59,162.056,743.706,10743.706
20120305,Sell,179.0,-59,10555.719500000001,0,10717.775,717.775,10717.775
20120306,Buy,178.68,59,-10547.39106,59,170.384,712.504,10712.504
20120307,Hold,182.65,0,0,59,170.384,946.734,10946.734
20120308,Hold,184.17,0,0,59,170.384,1036.414,11036.414
20120309,Hold,186.79,0,0,59,170.384,1190.994,11190.994
20120312,Hold,184.32,0,0,59,170.384,1045.264,11045.264
20120313,Sell,183.99,-59,10849.982295,0,11020.367,1020.367,11020.367
20120314,Hold,183.75,0,0,0,11020.367,1020.367,11020.367
20120315,Buy,182.02,60,-10926.6606,60,93.706,1014.906,11014.906
20120316,Hold,183.26,0,0,60,93.706,1089.306,11089.306
20120319,Hold,183.45,0,0,60,93.706,1100.706,11100.706
20120320,Hold,184.81,0,0,60,93.706,1182.306,11182.306
20120321,Sell,192.5,-60,11544.225,0,11637.931,1637.931,11637.931
20120322,Buy,190.54,61,-11628.751469999997,61,9.179,1632.119,11632.119
20120323,Hold,191.89,0,0,61,9.179,1714.469,11714.469
20120326,Hold,196.27,0,0,61,9.179,1981.649,11981.649
20120327,Hold,203.8,0,0,61,9.179,2440.979,12440.979
20120328,Hold,206.14,0,0,61,9.179,2583.719,12583.719
20120329,Hold,201.28,0,0,61,9.179,2287.259,12287.259
20120330,Sell,205.02,-61,12499.966890000002,0,12509.146,2509.146,12509.146
20120402,Hold,198.02,0,0,0,12509.146,2509.146,12509.146
20120403,Buy,198.5,62,-12313.153499999999,62,195.993,2502.993,12502.993
20120404,Hold,196.95,0,0,62,195.993,2406.893,12406.893
20120405,Hold,193.55,0,0,62,195.993,2196.093,12196.093
20120409,Hold,192.02,0,0,62,195.993,2101.233,12101.233
20120410,Hold,192.75,0,0,62,195.993,2146.493,12146.493
20120411,Hold,189.63,0,0,62,195.993,1953.053,11953.053
20120412,Hold,188.06,0,0,62,195.993,1855.713,11855.713
20120413,Hold,189.9,0,0,62,195.993,1969.793,11969.793
20120416,Hold,189.01,0,0,62,195.993,1914.613,11914.613
20120417,Hold,187.21,0,0,62,195.993,1803.013,11803.013
20120418,Hold,188.82,0,0,62,195.993,1902.833,11902.833
