,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,301.48,33,-9953.814419999999,33,46.186,-4.974,9995.026
20150112,Hold,297.96,0,0.0,33,46.186,-121.134,9878.866
20150113,Hold,297.48,0,0.0,33,46.186,-136.974,9863.026
20150114,Hold,291.93,0,0.0,33,46.186,-320.124,9679.876
20150115,Hold,294.0,0,0.0,33,46.186,-251.814,9748.186
20150116,Hold,286.28,0,0.0,33,46.186,-506.574,9493.426
20150120,Hold,292.59,0,0.0,33,46.186,-298.344,9701.656
20150121,Hold,289.64,0,0.0,33,46.186,-395.694,9604.306
20150122,Hold,300.3,0,0.0,33,46.186,-43.914,9956.086
20150123,Hold,308.08,0,0.0,33,46.186,212.826,10212.826
20150126,Hold,312.0,0,0.0,33,46.186,342.186,10342.186
20150127,Hold,306.3,0,0.0,33,46.186,154.086,10154.086
20150128,Hold,309.81,0,0.0,33,46.186,269.916,10269.916
20150129,Sell,304.73,-33,10051.061955000001,0,10097.248,97.248,10097.248
20150130,Hold,346.32,0,0.0,0,10097.248,97.248,10097.248
20150202,Buy,350.05,28,-9806.3007,28,290.947,92.347,10092.347
20150203,Hold,360.25,0,0.0,28,290.947,377.947,10377.947
20150204,Hold,358.38,0,0.0,28,290.947,325.587,10325.587
20150205,Hold,366.0,0,0.0,28,290.947,538.947,10538.947
20150206,Hold,374.87,0,0.0,28,290.947,787.307,10787.307
20150209,Hold,371.0,0,0.0,28,290.947,678.947,10678.947
20150210,Hold,370.89,0,0.0,28,290.947,675.867,10675.867
20150211,Sell,371.23,-28,10389.24278,0,10680.19,680.19,10680.19
20150212,Buy,375.1,28,-10508.0514,28,172.138,674.938,10674.938
20150213,Hold,378.31,0,0.0,28,172.138,764.818,10764.818
20150217,Hold,377.72,0,0.0,28,172.138,748.298,10748.298
20150218,Sell,373.78,-28,10460.607080000002,0,10632.745,632.745,10632.745
20150219,Hold,373.43,0,0.0,0,10632.745,632.745,10632.745
20150220,Hold,378.62,0,0.0,0,10632.745,632.745,10632.745
20150223,Buy,383.4,27,-10356.9759,27,275.769,627.569,10627.569
20150224,Hold,378.65,0,0.0,27,275.769,499.319,10499.319
20150225,Sell,377.27,-27,10181.196855,0,10456.966,456.966,10456.966
20150226,Buy,384.07,27,-10375.074944999998,27,81.891,451.781,10451.781
20150227,Hold,384.0,0,0.0,27,81.891,449.891,10449.891
20150302,Hold,380.85,0,0.0,27,81.891,364.841,10364.841
20150303,Sell,384.0,-27,10362.816,0,10444.707,444.707,10444.707
20150304,Hold,385.9,0,0.0,0,10444.707,444.707,10444.707
20150305,Hold,385.61,0,0.0,0,10444.707,444.707,10444.707
20150306,Buy,385.52,27,-10414.244519999998,27,30.463,439.503,10439.503
20150309,Hold,378.4,0,0.0,27,30.463,247.263,10247.263
20150310,Hold,377.45,0,0.0,27,30.463,221.613,10221.613
20150311,Hold,370.61,0,0.0,27,30.463,36.933,10036.933
20150312,Hold,368.72,0,0.0,27,30.463,-14.097,9985.903
20150313,Hold,371.85,0,0.0,27,30.463,70.413,10070.413
20150316,Hold,370.38,0,0.0,27,30.463,30.723,10030.723
20150317,Hold,371.11,0,0.0,27,30.463,50.433,10050.433
20150318,Hold,369.97,0,0.0,27,30.463,19.653,10019.653
20150319,Hold,373.87,0,0.0,27,30.463,124.953,10124.953
20150320,Hold,376.29,0,0.0,27,30.463,190.293,10190.293
20150323,Hold,378.07,0,0.0,27,30.463,238.353,10238.353
20150324,Hold,373.99,0,0.0,27,30.463,128.193,10128.193
20150325,Sell,375.17,-27,10124.525205,0,10154.988,154.988,10154.988
20150326,Buy,369.59,27,-9983.919464999997,27,171.069,149.999,10149.999
20150327,Hold,367.11,0,0.0,27,171.069,83.039,10083.039
20150330,Hold,371.87,0,0.0,27,171.069,211.559,10211.559
20150331,Hold,373.24,0,0.0,27,171.069,248.549,10248.549
20150401,Hold,372.23,0,0.0,27,171.069,221.279,10221.279
20150402,Hold,370.5,0,0.0,27,171.069,174.569,10174.569
20150406,Sell,370.1,-27,9987.703650000001,0,10158.772,158.772,10158.772
20150407,Buy,376.07,26,-9782.70891,26,376.063,153.883,10153.883
20150408,Hold,374.66,0,0.0,26,376.063,117.223,10117.223
20150409,Hold,380.66,0,0.0,26,376.063,273.223,10273.223
20150410,Hold,384.31,0,0.0,26,376.063,368.123,10368.123
20150413,Hold,383.5,0,0.0,26,376.063,347.063,10347.063
20150414,Hold,383.51,0,0.0,26,376.063,347.323,10347.323
20150415,Hold,384.65,0,0.0,26,376.063,376.963,10376.963
20150416,Hold,383.69,0,0.0,26,376.063,352.003,10352.003
20150417,Hold,382.63,0,0.0,26,376.063,324.443,10324.443
20150420,Hold,378.55,0,0.0,26,376.063,218.363,10218.363
20150421,Hold,391.31,0,0.0,26,376.063,550.123,10550.123
20150422,Hold,391.91,0,0.0,26,376.063,565.723,10565.723
20150423,Hold,390.21,0,0.0,26,376.063,521.523,10521.523
20150424,Sell,439.0,-26,11408.293000000001,0,11784.356,1784.356,11784.356
20150427,Buy,443.86,26,-11546.13018,26,238.226,1778.586,11778.586
20150428,Hold,438.51,0,0.0,26,238.226,1639.486,11639.486
20150429,Hold,426.75,0,0.0,26,238.226,1333.726,11333.726
20150430,Sell,427.11,-26,11099.30757,0,11337.534,1337.534,11337.534
20150501,Buy,423.82,26,-11024.82966,26,312.704,1332.024,11332.024
20150504,Hold,424.73,0,0.0,26,312.704,1355.684,11355.684
20150505,Hold,422.85,0,0.0,26,312.704,1306.804,11306.804
20150506,Hold,421.43,0,0.0,26,312.704,1269.884,11269.884
20150507,Hold,424.15,0,0.0,26,312.704,1340.604,11340.604
20150508,Sell,430.75,-26,11193.90025,0,11506.604,1506.604,11506.604
20150511,Buy,432.52,26,-11251.14276,26,255.461,1500.981,11500.981
20150512,Hold,431.08,0,0.0,26,255.461,1463.541,11463.541
20150513,Sell,429.58,-26,11163.49546,0,11418.957,1418.957,11418.957
20150514,Hold,429.45,0,0.0,0,11418.957,1418.957,11418.957
20150515,Buy,428.0,26,-11133.563999999998,26,285.393,1413.393,11413.393
20150518,Hold,426.0,0,0.0,26,285.393,1361.393,11361.393
20150519,Hold,424.94,0,0.0,26,285.393,1333.833,11333.833
20150520,Hold,420.6,0,0.0,26,285.393,1220.993,11220.993
20150521,Hold,428.0,0,0.0,26,285.393,1413.393,11413.393
20150522,Hold,431.55,0,0.0,26,285.393,1505.693,11505.693
20150526,Hold,426.2,0,0.0,26,285.393,1366.593,11366.593
20150527,Sell,427.45,-26,11108.14315,0,11393.536,1393.536,11393.536
20150528,Buy,429.71,26,-11178.046229999998,26,215.49,1387.95,11387.95
20150529,Hold,427.23,0,0.0,26,215.49,1323.47,11323.47
20150601,Hold,430.4,0,0.0,26,215.49,1405.89,11405.89
20150602,Hold,430.07,0,0.0,26,215.49,1397.31,11397.31
20150603,Hold,434.4,0,0.0,26,215.49,1509.89,11509.89
20150604,Hold,434.4,0,0.0,26,215.49,1509.89,11509.89
20150605,Hold,429.66,0,0.0,26,215.49,1386.65,11386.65
20150608,Hold,425.63,0,0.0,26,215.49,1281.87,11281.87
20150609,Hold,422.96,0,0.0,26,215.49,1212.45,11212.45
20150610,Hold,426.46,0,0.0,26,215.49,1303.45,11303.45
20150611,Hold,431.56,0,0.0,26,215.49,1436.05,11436.05
20150612,Hold,431.02,0,0.0,26,215.49,1422.01,11422.01
20150615,Sell,427.66,-26,11113.60042,0,11329.09,1329.09,11329.09
20150616,Hold,424.15,0,0.0,0,11329.09,1329.09,11329.09
20150617,Hold,428.36,0,0.0,0,11329.09,1329.09,11329.09
20150618,Buy,430.3,26,-11193.393900000001,26,135.696,1323.496,11323.496
20150619,Hold,440.26,0,0.0,26,135.696,1582.456,11582.456
20150622,Hold,437.03,0,0.0,26,135.696,1498.476,11498.476
20150623,Sell,435.58,-26,11319.41746,0,11455.114,1455.114,11455.114
20150624,Buy,444.97,25,-11129.812124999999,25,325.302,1449.552,11449.552
20150625,Hold,438.07,0,0.0,25,325.302,1277.052,11277.052
20150626,Sell,442.19,-25,11049.222625,0,11374.524,1374.524,11374.524
20150629,Buy,434.98,26,-11315.13474,26,59.39,1368.87,11368.87
