,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,74.12,134,-9937.04604,134,62.954,-4.966,9995.034
20170111,Hold,74.27,0,0.0,134,62.954,15.134,10015.134
20170112,Hold,75.17,0,0.0,134,62.954,135.734,10135.734
20170113,Hold,74.84,0,0.0,134,62.954,91.514,10091.514
20170117,Hold,75.3,0,0.0,134,62.954,153.154,10153.154
20170118,Sell,75.59,-134,10123.995470000002,0,10186.949,186.949,10186.949
20170119,Buy,75.72,134,-10151.55324,134,35.396,181.876,10181.876
20170120,Hold,75.76,0,0.0,134,35.396,187.236,10187.236
20170123,Hold,75.7,0,0.0,134,35.396,179.196,10179.196
20170124,Sell,76.32,-134,10221.76656,0,10257.163,257.163,10257.163
20170125,Hold,77.53,0,0.0,0,10257.163,257.163,10257.163
20170126,Buy,79.0,129,-10196.0955,129,61.067,252.067,10252.067
20170127,Hold,78.19,0,0.0,129,61.067,147.577,10147.577
20170130,Hold,77.8,0,0.0,129,61.067,97.267,10097.267
20170131,Hold,78.45,0,0.0,129,61.067,181.117,10181.117
20170201,Hold,78.91,0,0.0,129,61.067,240.457,10240.457
20170202,Hold,78.33,0,0.0,129,61.067,165.637,10165.637
20170203,Sell,80.39,-129,10365.124845,0,10426.192,426.192,10426.192
20170206,Buy,80.02,130,-10407.8013,130,18.391,420.991,10420.991
20170207,Hold,80.28,0,0.0,130,18.391,454.791,10454.791
20170208,Hold,80.0,0,0.0,130,18.391,418.391,10418.391
20170209,Hold,80.5,0,0.0,130,18.391,483.391,10483.391
20170210,Hold,81.41,0,0.0,130,18.391,601.691,10601.691
20170213,Hold,81.18,0,0.0,130,18.391,571.791,10571.791
20170214,Hold,80.95,0,0.0,130,18.391,541.891,10541.891
20170215,Hold,81.23,0,0.0,130,18.391,578.291,10578.291
20170216,Hold,81.52,0,0.0,130,18.391,615.991,10615.991
20170217,Hold,80.57,0,0.0,130,18.391,492.491,10492.491
20170221,Sell,81.68,-130,10613.090800000002,0,10631.482,631.482,10631.482
20170222,Buy,82.0,129,-10583.288999999999,129,48.193,626.193,10626.193
20170223,Hold,82.33,0,0.0,129,48.193,668.763,10668.763
20170224,Hold,81.41,0,0.0,129,48.193,550.083,10550.083
20170227,Sell,81.63,-129,10525.004864999999,0,10573.197,573.197,10573.197
20170228,Buy,81.5,129,-10518.756749999999,129,54.441,567.941,10567.941
20170301,Sell,82.87,-129,10684.884885000001,0,10739.326,739.326,10739.326
20170302,Buy,83.56,128,-10701.027839999999,128,38.298,733.978,10733.978
20170303,Hold,82.0,0,0.0,128,38.298,534.298,10534.298
20170306,Sell,81.76,-128,10460.04736,0,10498.345,498.345,10498.345
20170307,Hold,83.36,0,0.0,0,10498.345,498.345,10498.345
20170308,Buy,82.96,126,-10458.186479999998,126,40.159,493.119,10493.119
20170309,Hold,83.19,0,0.0,126,40.159,522.099,10522.099
20170310,Hold,83.56,0,0.0,126,40.159,568.719,10568.719
20170313,Hold,83.47,0,0.0,126,40.159,557.379,10557.379
20170314,Hold,83.42,0,0.0,126,40.159,551.079,10551.079
20170315,Sell,83.56,-126,10523.29572,0,10563.454,563.454,10563.454
20170316,Hold,83.95,0,0.0,0,10563.454,563.454,10563.454
20170317,Buy,83.94,125,-10497.74625,125,65.708,558.208,10558.208
20170320,Hold,83.03,0,0.0,125,65.708,444.458,10444.458
20170321,Hold,83.0,0,0.0,125,65.708,440.708,10440.708
20170322,Hold,81.69,0,0.0,125,65.708,276.958,10276.958
20170323,Hold,82.0,0,0.0,125,65.708,315.708,10315.708
20170324,Hold,81.88,0,0.0,125,65.708,300.708,10300.708
20170327,Hold,81.0,0,0.0,125,65.708,190.708,10190.708
20170328,Hold,81.44,0,0.0,125,65.708,245.708,10245.708
20170329,Hold,82.04,0,0.0,125,65.708,320.708,10320.708
20170330,Hold,82.25,0,0.0,125,65.708,346.958,10346.958
20170331,Hold,82.27,0,0.0,125,65.708,349.458,10349.458
20170403,Hold,82.61,0,0.0,125,65.708,391.958,10391.958
20170404,Hold,82.74,0,0.0,125,65.708,408.208,10408.208
20170405,Hold,83.19,0,0.0,125,65.708,464.458,10464.458
20170406,Sell,85.42,-125,10672.161250000001,0,10737.869,737.869,10737.869
20170407,Buy,84.7,126,-10677.5361,126,60.333,732.533,10732.533
20170410,Sell,84.13,-126,10595.07981,0,10655.413,655.413,10655.413
20170411,Hold,84.07,0,0.0,0,10655.413,655.413,10655.413
20170412,Hold,83.83,0,0.0,0,10655.413,655.413,10655.413
20170413,Buy,83.2,128,-10654.9248,128,0.488,650.088,10650.088
20170417,Hold,83.25,0,0.0,128,0.488,656.488,10656.488
20170418,Hold,84.0,0,0.0,128,0.488,752.488,10752.488
20170419,Hold,84.08,0,0.0,128,0.488,762.728,10762.728
20170420,Hold,83.95,0,0.0,128,0.488,746.088,10746.088
20170421,Hold,84.01,0,0.0,128,0.488,753.768,10753.768
20170424,Hold,84.51,0,0.0,128,0.488,817.768,10817.768
20170425,Hold,84.57,0,0.0,128,0.488,825.448,10825.448
20170426,Hold,84.75,0,0.0,128,0.488,848.488,10848.488
20170427,Hold,85.38,0,0.0,128,0.488,929.128,10929.128
20170428,Hold,85.78,0,0.0,128,0.488,980.328,10980.328
20170501,Hold,86.25,0,0.0,128,0.488,1040.488,11040.488
20170502,Hold,86.79,0,0.0,128,0.488,1109.608,11109.608
20170503,Hold,86.97,0,0.0,128,0.488,1132.648,11132.648
20170504,Hold,86.75,0,0.0,128,0.488,1104.488,11104.488
20170505,Sell,86.44,-128,11058.78784,0,11059.276,1059.276,11059.276
20170508,Buy,86.93,127,-11045.630055,127,13.646,1053.756,11053.756
20170509,Hold,87.03,0,0.0,127,13.646,1066.456,11066.456
20170510,Hold,87.38,0,0.0,127,13.646,1110.906,11110.906
20170511,Hold,87.38,0,0.0,127,13.646,1110.906,11110.906
20170512,Hold,87.97,0,0.0,127,13.646,1185.836,11185.836
20170515,Sell,89.27,-127,11331.621355,0,11345.267,1345.267,11345.267
20170516,Buy,90.01,125,-11256.875624999999,125,88.392,1339.642,11339.642
20170517,Hold,89.06,0,0.0,125,88.392,1220.892,11220.892
20170518,Sell,87.88,-125,10979.5075,0,11067.899,1067.899,11067.899
20170519,Hold,90.95,0,0.0,0,11067.899,1067.899,11067.899
20170522,Buy,87.54,126,-11035.55502,126,32.344,1062.384,11062.384
20170523,Hold,88.73,0,0.0,126,32.344,1212.324,11212.324
20170524,Hold,88.43,0,0.0,126,32.344,1174.524,11174.524
20170525,Hold,89.97,0,0.0,126,32.344,1368.564,11368.564
20170526,Hold,90.93,0,0.0,126,32.344,1489.524,11489.524
20170530,Hold,90.5,0,0.0,126,32.344,1435.344,11435.344
20170531,Hold,90.69,0,0.0,126,32.344,1459.284,11459.284
20170601,Sell,90.0,-126,11334.33,0,11366.674,1366.674,11366.674
20170602,Hold,90.24,0,0.0,0,11366.674,1366.674,11366.674
20170605,Buy,91.0,124,-11289.642,124,77.032,1361.032,11361.032
20170606,Hold,91.0,0,0.0,124,77.032,1361.032,11361.032
20170607,Hold,91.45,0,0.0,124,77.032,1416.832,11416.832
20170608,Hold,91.34,0,0.0,124,77.032,1403.192,11403.192
20170609,Sell,91.09,-124,11289.512420000001,0,11366.545,1366.545,11366.545
20170612,Buy,86.12,131,-11287.36086,131,79.184,1360.904,11360.904
20170613,Hold,87.83,0,0.0,131,79.184,1584.914,11584.914
20170614,Hold,87.69,0,0.0,131,79.184,1566.574,11566.574
20170615,Hold,85.99,0,0.0,131,79.184,1343.874,11343.874
20170616,Hold,86.08,0,0.0,131,79.184,1355.664,11355.664
20170619,Sell,86.69,-131,11350.711805,0,11429.896,1429.896,11429.896
20170620,Buy,87.63,130,-11397.595949999999,130,32.3,1424.2,11424.2
20170621,Hold,87.5,0,0.0,130,32.3,1407.3,11407.3
20170622,Hold,87.87,0,0.0,130,32.3,1455.4,11455.4
20170623,Hold,88.29,0,0.0,130,32.3,1510.0,11510.0
20170626,Hold,88.8,0,0.0,130,32.3,1576.3,11576.3
20170627,Hold,88.0,0,0.0,130,32.3,1472.3,11472.3
20170628,Sell,88.28,-130,11470.6618,0,11502.961,1502.961,11502.961
20170629,Buy,87.65,131,-11487.891075000001,131,15.07,1497.22,11497.22
20170630,Hold,86.8,0,0.0,131,15.07,1385.87,11385.87
20170703,Hold,87.01,0,0.0,131,15.07,1413.38,11413.38
20170705,Hold,86.28,0,0.0,131,15.07,1317.75,11317.75
20170706,Hold,86.62,0,0.0,131,15.07,1362.29,11362.29
20170707,Hold,87.2,0,0.0,131,15.07,1438.27,11438.27
20170710,Hold,87.86,0,0.0,131,15.07,1524.73,11524.73
20170711,Hold,88.26,0,0.0,131,15.07,1577.13,11577.13
20170712,Hold,89.22,0,0.0,131,15.07,1702.89,11702.89
20170713,Hold,90.56,0,0.0,131,15.07,1878.43,11878.43
20170714,Hold,89.79,0,0.0,131,15.07,1777.56,11777.56
20170717,Sell,89.98,-131,11781.486310000002,0,11796.557,1796.557,11796.557
20170718,Hold,89.0,0,0.0,0,11796.557,1796.557,11796.557
20170719,Hold,89.35,0,0.0,0,11796.557,1796.557,11796.557
20170720,Buy,89.71,131,-11757.886004999998,131,38.671,1790.681,11790.681
20170721,Hold,90.34,0,0.0,131,38.671,1873.211,11873.211
20170724,Hold,89.65,0,0.0,131,38.671,1782.821,11782.821
20170725,Sell,89.73,-131,11748.752685000001,0,11787.423,1787.423,11787.423
20170726,Buy,90.63,129,-11697.115634999998,129,90.308,1781.578,11781.578
20170727,Hold,91.25,0,0.0,129,90.308,1861.558,11861.558
20170728,Hold,90.0,0,0.0,129,90.308,1700.308,11700.308
20170731,Sell,90.81,-129,11708.632755,0,11798.941,1798.941,11798.941
20170801,Hold,91.37,0,0.0,0,11798.941,1798.941,11798.941
20170802,Buy,91.35,129,-11790.042075,129,8.898,1793.048,11793.048
20170803,Hold,90.0,0,0.0,129,8.898,1618.898,11618.898
20170804,Sell,90.61,-129,11682.845655000001,0,11691.744,1691.744,11691.744
20170807,Buy,90.55,129,-11686.790474999998,129,4.954,1685.904,11685.904
20170808,Hold,90.18,0,0.0,129,4.954,1638.174,11638.174
20170809,Hold,89.64,0,0.0,129,4.954,1568.514,11568.514
20170810,Hold,89.67,0,0.0,129,4.954,1572.384,11572.384
20170811,Hold,87.55,0,0.0,129,4.954,1298.904,11298.904
20170814,Hold,89.29,0,0.0,129,4.954,1523.364,11523.364
20170815,Hold,90.35,0,0.0,129,4.954,1660.104,11660.104
20170816,Hold,91.05,0,0.0,129,4.954,1750.404,11750.404
20170817,Hold,92.0,0,0.0,129,4.954,1872.954,11872.954
20170818,Hold,90.82,0,0.0,129,4.954,1720.734,11720.734
20170821,Sell,90.95,-129,11726.683725000003,0,11731.637,1731.637,11731.637
20170822,Buy,92.43,126,-11652.00309,126,79.634,1725.814,11725.814
20170823,Hold,92.14,0,0.0,126,79.634,1689.274,11689.274
20170824,Hold,93.7,0,0.0,126,79.634,1885.834,11885.834
20170825,Hold,94.0,0,0.0,126,79.634,1923.634,11923.634
20170828,Hold,94.08,0,0.0,126,79.634,1933.714,11933.714
20170829,Hold,92.75,0,0.0,126,79.634,1766.134,11766.134
20170830,Sell,93.83,-126,11816.66871,0,11896.303,1896.303,11896.303
20170831,Buy,94.94,125,-11873.43375,125,22.869,1890.369,11890.369
20170901,Hold,95.75,0,0.0,125,22.869,1991.619,11991.619
20170905,Hold,95.36,0,0.0,125,22.869,1942.869,11942.869
20170906,Hold,96.16,0,0.0,125,22.869,2042.869,12042.869
20170907,Hold,96.09,0,0.0,125,22.869,2034.119,12034.119
20170908,Hold,96.62,0,0.0,125,22.869,2100.369,12100.369
20170911,Hold,96.95,0,0.0,125,22.869,2141.619,12141.619
20170912,Hold,97.59,0,0.0,125,22.869,2221.619,12221.619
20170913,Hold,96.89,0,0.0,125,22.869,2134.119,12134.119
20170914,Hold,95.38,0,0.0,125,22.869,1945.369,11945.369
20170915,Hold,95.51,0,0.0,125,22.869,1961.619,11961.619
20170918,Hold,94.94,0,0.0,125,22.869,1890.369,11890.369
20170919,Hold,95.97,0,0.0,125,22.869,2019.119,12019.119
20170920,Hold,95.08,0,0.0,125,22.869,1907.869,11907.869
20170921,Hold,94.82,0,0.0,125,22.869,1875.369,11875.369
20170922,Hold,94.79,0,0.0,125,22.869,1871.619,11871.619
20170925,Hold,94.87,0,0.0,125,22.869,1881.619,11881.619
20170926,Hold,92.95,0,0.0,125,22.869,1641.619,11641.619
20170927,Hold,92.91,0,0.0,125,22.869,1636.619,11636.619
20170928,Hold,93.21,0,0.0,125,22.869,1674.119,11674.119
20170929,Hold,92.77,0,0.0,125,22.869,1619.119,11619.119
20171002,Hold,93.72,0,0.0,125,22.869,1737.869,11737.869
20171003,Hold,94.17,0,0.0,125,22.869,1794.119,11794.119
