,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,146.89,68,-9993.514259999998,68,6.486,-4.994,9995.006
20190110,Hold,143.77,0,0.0,68,6.486,-217.154,9782.846
20190111,Hold,146.56,0,0.0,68,6.486,-27.434,9972.566
20190114,Hold,145.75,0,0.0,68,6.486,-82.514,9917.486
20190115,Sell,146.35,-68,9946.8241,0,9953.31,-46.69,9953.31
20190116,Buy,149.15,66,-9848.82195,66,104.488,-51.612,9948.388
20190117,Hold,148.54,0,0.0,66,104.488,-91.872,9908.128
20190118,Hold,151.83,0,0.0,66,104.488,125.268,10125.268
20190122,Hold,150.34,0,0.0,66,104.488,26.928,10026.928
20190123,Sell,149.73,-66,9877.238909999998,0,9981.727,-18.273,9981.727
20190124,Hold,149.95,0,0.0,0,9981.727,-18.273,9981.727
20190125,Buy,148.53,67,-9956.485755,67,25.241,-23.249,9976.751
20190128,Hold,148.17,0,0.0,67,25.241,-47.369,9952.631
20190129,Hold,147.07,0,0.0,67,25.241,-121.069,9878.931
20190130,Hold,147.19,0,0.0,67,25.241,-113.029,9886.971
20190131,Hold,149.02,0,0.0,67,25.241,9.581,10009.581
20190201,Hold,152.4,0,0.0,67,25.241,236.041,10236.041
20190204,Hold,156.02,0,0.0,67,25.241,478.581,10478.581
20190205,Hold,158.34,0,0.0,67,25.241,634.021,10634.021
20190206,Hold,159.0,0,0.0,67,25.241,678.241,10678.241
20190207,Hold,155.96,0,0.0,67,25.241,474.561,10474.561
20190208,Sell,152.91,-67,10239.847515,0,10265.089,265.089,10265.089
20190211,Hold,158.2,0,0.0,0,10265.089,265.089,10265.089
20190212,Buy,161.25,63,-10163.829375,63,101.259,260.009,10260.009
20190213,Hold,163.44,0,0.0,63,101.259,397.979,10397.979
20190214,Hold,159.47,0,0.0,63,101.259,147.869,10147.869
20190215,Sell,159.05,-63,10015.139925000001,0,10116.399,116.399,10116.399
20190219,Hold,159.66,0,0.0,0,10116.399,116.399,10116.399
20190220,Buy,160.33,63,-10105.840395000001,63,10.559,111.349,10111.349
20190221,Hold,157.7,0,0.0,63,10.559,-54.341,9945.659
20190222,Sell,160.47,-63,10104.555195,0,10115.114,115.114,10115.114
20190225,Buy,162.51,62,-10080.657809999999,62,34.456,110.076,10110.076
20190226,Hold,160.81,0,0.0,62,34.456,4.676,10004.676
20190227,Hold,162.29,0,0.0,62,34.456,96.436,10096.436
20190228,Hold,163.0,0,0.0,62,34.456,140.456,10140.456
20190301,Hold,165.15,0,0.0,62,34.456,273.756,10273.756
20190304,Hold,165.56,0,0.0,62,34.456,299.176,10299.176
20190305,Hold,159.92,0,0.0,62,34.456,-50.504,9949.496
20190306,Hold,157.13,0,0.0,62,34.456,-223.484,9776.516
20190307,Hold,156.09,0,0.0,62,34.456,-287.964,9712.036
20190308,Hold,152.02,0,0.0,62,34.456,-540.304,9459.696
20190311,Hold,155.9,0,0.0,62,34.456,-299.744,9700.256
20190312,Hold,158.0,0,0.0,62,34.456,-169.544,9830.456
20190313,Hold,158.85,0,0.0,62,34.456,-116.844,9883.156
20190314,Hold,160.95,0,0.0,62,34.456,13.356,10013.356
20190315,Hold,160.64,0,0.0,62,34.456,-5.864,9994.136
20190318,Hold,161.4,0,0.0,62,34.456,41.256,10041.256
20190319,Hold,162.52,0,0.0,62,34.456,110.696,10110.696
20190320,Hold,163.84,0,0.0,62,34.456,192.536,10192.536
20190321,Hold,163.17,0,0.0,62,34.456,150.996,10150.996
20190322,Hold,165.96,0,0.0,62,34.456,323.976,10323.976
20190325,Hold,160.23,0,0.0,62,34.456,-31.284,9968.716
20190326,Hold,161.43,0,0.0,62,34.456,43.116,10043.116
20190327,Hold,159.0,0,0.0,62,34.456,-107.544,9892.456
20190328,Hold,155.69,0,0.0,62,34.456,-312.764,9687.236
20190329,Hold,156.87,0,0.0,62,34.456,-239.604,9760.396
20190401,Hold,160.1,0,0.0,62,34.456,-39.344,9960.656
20190402,Hold,160.86,0,0.0,62,34.456,7.776,10007.776
20190403,Hold,161.78,0,0.0,62,34.456,64.816,10064.816
20190404,Hold,162.71,0,0.0,62,34.456,122.476,10122.476
20190405,Sell,159.63,-62,9892.11147,0,9926.568,-73.432,9926.568
20190408,Buy,158.4,62,-9825.7104,62,100.857,-78.343,9921.657
20190409,Hold,157.04,0,0.0,62,100.857,-162.663,9837.337
20190410,Hold,158.2,0,0.0,62,100.857,-90.743,9909.257
20190411,Hold,160.16,0,0.0,62,100.857,30.777,10030.777
20190412,Hold,162.0,0,0.0,62,100.857,144.857,10144.857
20190415,Hold,161.0,0,0.0,62,100.857,82.857,10082.857
20190416,Hold,160.04,0,0.0,62,100.857,23.337,10023.337
20190417,Sell,159.05,-62,9856.169450000001,0,9957.027,-42.973,9957.027
20190418,Buy,154.9,64,-9918.5568,64,38.47,-47.93,9952.07
20190422,Hold,155.45,0,0.0,64,38.47,-12.73,9987.27
20190423,Hold,159.76,0,0.0,64,38.47,263.11,10263.11
20190424,Hold,161.88,0,0.0,64,38.47,398.79,10398.79
20190425,Hold,162.0,0,0.0,64,38.47,406.47,10406.47
20190426,Hold,162.42,0,0.0,64,38.47,433.35,10433.35
20190429,Hold,166.71,0,0.0,64,38.47,707.91,10707.91
20190430,Hold,165.19,0,0.0,64,38.47,610.63,10610.63
20190501,Hold,166.01,0,0.0,64,38.47,663.11,10663.11
20190502,Hold,161.69,0,0.0,64,38.47,386.63,10386.63
20190503,Sell,162.58,-64,10399.917440000001,0,10438.387,438.387,10438.387
20190506,Buy,158.62,65,-10315.45515,65,122.932,433.232,10433.232
20190507,Hold,161.33,0,0.0,65,122.932,609.382,10609.382
20190508,Hold,157.11,0,0.0,65,122.932,335.082,10335.082
20190509,Hold,154.65,0,0.0,65,122.932,175.182,10175.182
20190510,Hold,156.28,0,0.0,65,122.932,281.132,10281.132
20190513,Hold,154.92,0,0.0,65,122.932,192.732,10192.732
20190514,Hold,155.05,0,0.0,65,122.932,201.182,10201.182
20190515,Hold,153.82,0,0.0,65,122.932,121.232,10121.232
20190516,Sell,156.76,-65,10184.3053,0,10307.237,307.237,10307.237
20190517,Buy,156.18,65,-10156.77585,65,150.462,302.162,10302.162
20190520,Hold,152.47,0,0.0,65,150.462,61.012,10061.012
20190521,Sell,157.36,-65,10223.285800000001,0,10373.747,373.747,10373.747
20190522,Hold,155.87,0,0.0,0,10373.747,373.747,10373.747
20190523,Buy,156.03,66,-10303.12899,66,70.618,368.598,10368.598
20190524,Hold,154.89,0,0.0,66,70.618,293.358,10293.358
20190528,Sell,155.35,-66,10247.973450000001,0,10318.592,318.592,10318.592
20190529,Buy,153.76,67,-10307.07096,67,11.521,313.441,10313.441
20190530,Hold,154.32,0,0.0,67,11.521,350.961,10350.961
20190531,Hold,152.66,0,0.0,67,11.521,239.741,10239.741
20190603,Hold,150.7,0,0.0,67,11.521,108.421,10108.421
20190604,Hold,146.05,0,0.0,67,11.521,-203.129,9796.871
20190605,Sell,157.15,-67,10523.785475000002,0,10535.306,535.306,10535.306
20190606,Buy,158.5,66,-10466.2305,66,69.076,530.076,10530.076
20190607,Hold,159.84,0,0.0,66,69.076,618.516,10618.516
20190610,Hold,153.48,0,0.0,66,69.076,198.756,10198.756
20190611,Sell,155.31,-66,10245.334770000001,0,10314.411,314.411,10314.411
20190612,Buy,151.11,68,-10280.617740000002,68,33.793,309.273,10309.273
20190613,Hold,152.16,0,0.0,68,33.793,380.673,10380.673
20190614,Hold,151.04,0,0.0,68,33.793,304.513,10304.513
20190617,Hold,150.2,0,0.0,68,33.793,247.393,10247.393
20190618,Hold,151.88,0,0.0,68,33.793,361.633,10361.633
20190619,Hold,151.69,0,0.0,68,33.793,348.713,10348.713
20190620,Sell,156.29,-68,10622.40614,0,10656.199,656.199,10656.199
20190621,Buy,156.67,67,-10502.138444999999,67,154.061,650.951,10650.951
20190624,Hold,157.39,0,0.0,67,154.061,699.191,10699.191
20190625,Sell,152.83,-67,10234.490195,0,10388.551,388.551,10388.551
20190626,Buy,151.28,68,-10292.18352,68,96.367,383.407,10383.407
20190627,Hold,149.89,0,0.0,68,96.367,288.887,10288.887
20190628,Hold,150.42,0,0.0,68,96.367,324.927,10324.927
20190701,Hold,154.57,0,0.0,68,96.367,607.127,10607.127
20190702,Hold,154.29,0,0.0,68,96.367,588.087,10588.087
20190703,Hold,154.54,0,0.0,68,96.367,605.087,10605.087
20190705,Hold,153.95,0,0.0,68,96.367,564.967,10564.967
20190708,Hold,153.52,0,0.0,68,96.367,535.727,10535.727
20190709,Hold,152.08,0,0.0,68,96.367,437.807,10437.807
20190710,Sell,154.57,-68,10505.504620000002,0,10601.872,601.872,10601.872
20190711,Buy,156.82,67,-10512.193469999998,67,89.678,596.618,10596.618
20190712,Hold,159.4,0,0.0,67,89.678,769.478,10769.478
20190715,Hold,158.76,0,0.0,67,89.678,726.598,10726.598
20190716,Hold,159.96,0,0.0,67,89.678,806.998,10806.998
20190717,Sell,157.68,-67,10559.277720000002,0,10648.956,648.956,10648.956
20190718,Buy,157.0,67,-10524.2595,67,124.697,643.697,10643.697
20190719,Sell,159.73,-67,10696.559045,0,10821.256,821.256,10821.256
20190722,Buy,157.65,68,-10725.5601,68,95.696,815.896,10815.896
20190723,Hold,156.25,0,0.0,68,95.696,720.696,10720.696
20190724,Sell,159.75,-68,10857.568500000001,0,10953.264,953.264,10953.264
20190725,Hold,160.12,0,0.0,0,10953.264,953.264,10953.264
20190726,Buy,159.97,68,-10883.398979999998,68,69.865,947.825,10947.825
20190729,Hold,160.4,0,0.0,68,69.865,977.065,10977.065
20190730,Hold,155.34,0,0.0,68,69.865,632.985,10632.985
20190731,Hold,157.39,0,0.0,68,69.865,772.385,10772.385
20190801,Hold,154.73,0,0.0,68,69.865,591.505,10591.505
20190802,Hold,149.8,0,0.0,68,69.865,256.265,10256.265
20190805,Hold,141.34,0,0.0,68,69.865,-319.015,9680.985
20190806,Hold,143.74,0,0.0,68,69.865,-155.815,9844.185
20190807,Hold,140.93,0,0.0,68,69.865,-346.895,9653.105
20190808,Hold,143.82,0,0.0,68,69.865,-150.375,9849.625
20190809,Hold,143.61,0,0.0,68,69.865,-164.655,9835.345
20190812,Hold,141.55,0,0.0,68,69.865,-304.735,9695.265
20190813,Hold,140.93,0,0.0,68,69.865,-346.895,9653.105
20190814,Hold,141.12,0,0.0,68,69.865,-333.975,9666.025
20190815,Hold,141.1,0,0.0,68,69.865,-335.335,9664.665
20190816,Hold,143.06,0,0.0,68,69.865,-202.055,9797.945
20190819,Hold,145.6,0,0.0,68,69.865,-29.335,9970.665
20190820,Hold,144.16,0,0.0,68,69.865,-127.255,9872.745
20190821,Hold,146.9,0,0.0,68,69.865,59.065,10059.065
20190822,Hold,149.49,0,0.0,68,69.865,235.185,10235.185
