,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Buy,716.61,13,-9320.587965,13,679.412,-4.658,9995.342
20160112,Hold,721.68,0,0.0,13,679.412,61.252,10061.252
20160113,Sell,730.85,-13,9496.299475000002,0,10175.712,175.712,10175.712
20160114,Buy,705.38,14,-9880.25766,14,295.454,170.774,10170.774
20160115,Hold,692.29,0,0.0,14,295.454,-12.486,9987.514
20160119,Hold,703.3,0,0.0,14,295.454,141.654,10141.654
20160120,Hold,688.61,0,0.0,14,295.454,-64.006,9935.994
20160121,Hold,702.18,0,0.0,14,295.454,125.974,10125.974
20160122,Hold,723.6,0,0.0,14,295.454,425.854,10425.854
20160125,Hold,723.58,0,0.0,14,295.454,425.574,10425.574
20160126,Hold,713.85,0,0.0,14,295.454,289.354,10289.354
20160127,Sell,713.67,-14,9986.38431,0,10281.838,281.838,10281.838
20160128,Hold,722.22,0,0.0,0,10281.838,281.838,10281.838
20160129,Buy,731.53,14,-10246.54071,14,35.297,276.717,10276.717
20160201,Hold,750.46,0,0.0,14,35.297,541.737,10541.737
20160202,Hold,784.5,0,0.0,14,35.297,1018.297,11018.297
20160203,Hold,770.22,0,0.0,14,35.297,818.377,10818.377
20160204,Sell,722.81,-14,10114.280330000001,0,10149.578,149.578,10149.578
20160205,Buy,703.87,14,-9859.10709,14,290.471,144.651,10144.651
20160208,Hold,667.85,0,0.0,14,290.471,-359.629,9640.371
20160209,Hold,672.32,0,0.0,14,290.471,-297.049,9702.951
20160210,Hold,686.86,0,0.0,14,290.471,-93.489,9906.511
20160211,Hold,675.0,0,0.0,14,290.471,-259.529,9740.471
20160212,Hold,690.26,0,0.0,14,290.471,-45.889,9954.111
20160216,Hold,692.98,0,0.0,14,290.471,-7.809,9992.191
20160217,Hold,699.0,0,0.0,14,290.471,76.471,10076.471
20160218,Hold,710.0,0,0.0,14,290.471,230.471,10230.471
20160219,Hold,695.03,0,0.0,14,290.471,20.891,10020.891
20160222,Sell,707.45,-14,9899.347850000002,0,10189.819,189.819,10189.819
20160223,Buy,701.45,14,-9825.21015,14,364.608,184.908,10184.908
20160224,Hold,688.92,0,0.0,14,364.608,9.488,10009.488
20160225,Hold,700.01,0,0.0,14,364.608,164.748,10164.748
20160226,Hold,708.58,0,0.0,14,364.608,284.728,10284.728
20160229,Hold,700.32,0,0.0,14,364.608,169.088,10169.088
20160301,Hold,703.62,0,0.0,14,364.608,215.288,10215.288
20160302,Hold,719.0,0,0.0,14,364.608,430.608,10430.608
20160303,Hold,718.68,0,0.0,14,364.608,426.128,10426.128
20160304,Hold,714.99,0,0.0,14,364.608,374.468,10374.468
20160307,Sell,706.9,-14,9891.6517,0,10256.26,256.26,10256.26
20160308,Buy,688.59,14,-9645.08013,14,611.18,251.44,10251.44
20160309,Hold,698.47,0,0.0,14,611.18,389.76,10389.76
20160310,Hold,708.12,0,0.0,14,611.18,524.86,10524.86
20160311,Hold,720.0,0,0.0,14,611.18,691.18,10691.18
20160314,Hold,726.81,0,0.0,14,611.18,786.52,10786.52
20160315,Hold,726.92,0,0.0,14,611.18,788.06,10788.06
20160316,Hold,726.37,0,0.0,14,611.18,780.36,10780.36
20160317,Hold,736.45,0,0.0,14,611.18,921.48,10921.48
20160318,Hold,741.86,0,0.0,14,611.18,997.22,10997.22
20160321,Hold,736.5,0,0.0,14,611.18,922.18,10922.18
20160322,Hold,737.46,0,0.0,14,611.18,935.62,10935.62
20160323,Hold,742.36,0,0.0,14,611.18,1004.22,11004.22
20160324,Hold,732.01,0,0.0,14,611.18,859.32,10859.32
20160328,Hold,736.79,0,0.0,14,611.18,926.24,10926.24
20160329,Hold,734.59,0,0.0,14,611.18,895.44,10895.44
20160330,Hold,750.1,0,0.0,14,611.18,1112.58,11112.58
20160331,Hold,749.25,0,0.0,14,611.18,1100.68,11100.68
20160401,Hold,738.6,0,0.0,14,611.18,951.58,10951.58
20160404,Sell,750.06,-14,10495.58958,0,11106.77,1106.77,11106.77
20160405,Hold,738.0,0,0.0,0,11106.77,1106.77,11106.77
20160406,Buy,735.77,15,-11042.068274999998,15,64.701,1101.251,11101.251
20160407,Hold,745.37,0,0.0,15,64.701,1245.251,11245.251
20160408,Sell,743.97,-15,11153.970225000001,0,11218.671,1218.671,11218.671
20160411,Buy,743.02,15,-11150.87265,15,67.799,1213.099,11213.099
20160412,Hold,738.0,0,0.0,15,67.799,1137.799,11137.799
20160413,Sell,749.16,-15,11231.7813,0,11299.58,1299.58,11299.58
20160414,Buy,754.01,14,-10561.41807,14,738.162,1294.302,11294.302
20160415,Hold,753.98,0,0.0,14,738.162,1293.882,11293.882
20160418,Hold,760.46,0,0.0,14,738.162,1384.602,11384.602
20160419,Hold,769.51,0,0.0,14,738.162,1511.302,11511.302
20160420,Sell,758.0,-14,10606.694000000001,0,11344.856,1344.856,11344.856
20160421,Hold,755.38,0,0.0,0,11344.856,1344.856,11344.856
20160422,Buy,726.3,15,-10899.94725,15,444.909,1339.409,11339.409
20160425,Hold,716.1,0,0.0,15,444.909,1186.409,11186.409
20160426,Hold,725.42,0,0.0,15,444.909,1326.209,11326.209
20160427,Hold,707.29,0,0.0,15,444.909,1054.259,11054.259
20160428,Hold,708.26,0,0.0,15,444.909,1068.809,11068.809
20160429,Hold,690.7,0,0.0,15,444.909,805.409,10805.409
20160502,Hold,697.63,0,0.0,15,444.909,909.359,10909.359
20160503,Hold,696.87,0,0.0,15,444.909,897.959,10897.959
20160504,Hold,690.49,0,0.0,15,444.909,802.259,10802.259
20160505,Hold,697.7,0,0.0,15,444.909,910.409,10910.409
20160506,Hold,698.38,0,0.0,15,444.909,920.609,10920.609
20160509,Hold,712.0,0,0.0,15,444.909,1124.909,11124.909
20160510,Hold,716.75,0,0.0,15,444.909,1196.159,11196.159
20160511,Hold,723.41,0,0.0,15,444.909,1296.059,11296.059
20160512,Hold,717.06,0,0.0,15,444.909,1200.809,11200.809
20160513,Sell,711.93,-15,10673.610525,0,11118.519,1118.519,11118.519
20160516,Buy,709.13,15,-10642.268475,15,476.251,1113.201,11113.201
20160517,Hold,715.99,0,0.0,15,476.251,1216.101,11216.101
20160518,Hold,703.67,0,0.0,15,476.251,1031.301,11031.301
20160519,Hold,702.36,0,0.0,15,476.251,1011.651,11011.651
20160520,Hold,701.62,0,0.0,15,476.251,1000.551,11000.551
20160523,Hold,706.53,0,0.0,15,476.251,1074.201,11074.201
20160524,Hold,706.86,0,0.0,15,476.251,1079.151,11079.151
20160525,Sell,720.76,-15,10805.9943,0,11282.245,1282.245,11282.245
20160526,Buy,722.87,15,-10848.471524999999,15,433.774,1276.824,11276.824
20160527,Hold,724.01,0,0.0,15,433.774,1293.924,11293.924
