,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,103.13,96,-9905.43024,96,94.57,-4.95,9995.05
20190110,Hold,102.43,0,0.0,96,94.57,-72.15,9927.85
20190111,Hold,103.72,0,0.0,96,94.57,51.69,10051.69
20190114,Hold,102.79,0,0.0,96,94.57,-37.59,9962.41
20190115,Hold,103.18,0,0.0,96,94.57,-0.15,9999.85
20190116,Hold,103.72,0,0.0,96,94.57,51.69,10051.69
20190117,Hold,102.84,0,0.0,96,94.57,-32.79,9967.21
20190118,Hold,105.15,0,0.0,96,94.57,188.97,10188.97
20190122,Hold,105.18,0,0.0,96,94.57,191.85,10191.85
20190123,Sell,112.07,-96,10753.34064,0,10847.91,847.91,10847.91
20190124,Buy,113.12,95,-10751.7732,95,96.137,842.537,10842.537
20190125,Hold,113.33,0,0.0,95,96.137,862.487,10862.487
20190128,Hold,114.51,0,0.0,95,96.137,974.587,10974.587
20190129,Hold,114.53,0,0.0,95,96.137,976.487,10976.487
20190130,Hold,114.32,0,0.0,95,96.137,956.537,10956.537
20190131,Hold,114.67,0,0.0,95,96.137,989.787,10989.787
20190201,Hold,115.13,0,0.0,95,96.137,1033.487,11033.487
20190204,Hold,114.33,0,0.0,95,96.137,957.487,10957.487
20190205,Hold,115.39,0,0.0,95,96.137,1058.187,11058.187
20190206,Hold,115.33,0,0.0,95,96.137,1052.487,11052.487
20190207,Hold,115.22,0,0.0,95,96.137,1042.037,11042.037
20190208,Hold,114.21,0,0.0,95,96.137,946.087,10946.087
20190211,Sell,115.87,-95,11002.146175,0,11098.283,1098.283,11098.283
20190212,Buy,116.62,95,-11084.43945,95,13.844,1092.744,11092.744
20190213,Hold,118.14,0,0.0,95,13.844,1237.144,11237.144
20190214,Hold,118.37,0,0.0,95,13.844,1258.994,11258.994
20190215,Hold,118.72,0,0.0,95,13.844,1292.244,11292.244
20190219,Hold,118.92,0,0.0,95,13.844,1311.244,11311.244
20190220,Hold,119.74,0,0.0,95,13.844,1389.144,11389.144
20190221,Hold,118.93,0,0.0,95,13.844,1312.194,11312.194
20190222,Sell,119.71,-95,11366.763775,0,11380.608,1380.608,11380.608
20190225,Buy,120.8,94,-11360.877599999998,94,19.73,1374.93,11374.93
20190226,Hold,120.52,0,0.0,94,19.73,1348.61,11348.61
20190227,Hold,120.17,0,0.0,94,19.73,1315.71,11315.71
20190228,Sell,119.75,-94,11250.87175,0,11270.602,1270.602,11270.602
20190301,Hold,120.22,0,0.0,0,11270.602,1270.602,11270.602
20190304,Buy,120.79,93,-11239.086735,93,31.515,1264.985,11264.985
20190305,Hold,119.41,0,0.0,93,31.515,1136.645,11136.645
