,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,120.36,83,-9994.874939999998,83,5.125,-4.995,9995.005
20210112,Sell,121.45,-83,10075.309825,0,10080.435,80.435,10080.435
20210113,Buy,121.51,82,-9968.801909999998,82,111.633,75.453,10075.453
20210114,Hold,120.43,0,0.0,82,111.633,-13.107,9986.893
20210115,Hold,120.69,0,0.0,82,111.633,8.213,10008.213
20210119,Sell,121.62,-82,9967.85358,0,10079.487,79.487,10079.487
20210120,Buy,122.02,82,-10010.64282,82,68.844,74.484,10074.484
20210121,Hold,122.41,0,0.0,82,68.844,106.464,10106.464
20210122,Hold,113.55,0,0.0,82,68.844,-620.056,9379.944
20210125,Hold,111.72,0,0.0,82,68.844,-770.116,9229.884
20210126,Hold,112.13,0,0.0,82,68.844,-736.496,9263.504
20210127,Hold,114.85,0,0.0,82,68.844,-513.456,9486.544
20210128,Hold,115.53,0,0.0,82,68.844,-457.696,9542.304
20210129,Hold,113.09,0,0.0,82,68.844,-657.776,9342.224
20210201,Sell,112.8,-82,9244.9752,0,9313.819,-686.181,9313.819
20210202,Hold,112.29,0,0.0,0,9313.819,-686.181,9313.819
20210203,Buy,111.99,83,-9299.817584999999,83,14.001,-690.829,9309.171
20210204,Hold,112.81,0,0.0,83,14.001,-622.769,9377.231
20210205,Hold,113.83,0,0.0,83,14.001,-538.109,9461.891
20210208,Hold,115.35,0,0.0,83,14.001,-411.949,9588.051
20210209,Hold,116.21,0,0.0,83,14.001,-340.569,9659.431
20210210,Hold,117.3,0,0.0,83,14.001,-250.099,9749.901
20210211,Hold,116.31,0,0.0,83,14.001,-332.269,9667.731
20210212,Sell,115.35,-83,9569.262975,0,9583.264,-416.736,9583.264
20210216,Buy,114.54,83,-9511.573409999999,83,71.691,-421.489,9578.511
20210217,Hold,113.7,0,0.0,83,71.691,-491.209,9508.791
20210218,Hold,114.88,0,0.0,83,71.691,-393.269,9606.731
20210219,Hold,115.12,0,0.0,83,71.691,-373.349,9626.651
20210222,Hold,112.97,0,0.0,83,71.691,-551.799,9448.201
20210223,Hold,115.27,0,0.0,83,71.691,-360.899,9639.101
20210224,Hold,115.16,0,0.0,83,71.691,-370.029,9629.971
20210225,Hold,117.61,0,0.0,83,71.691,-166.679,9833.321
20210226,Hold,116.55,0,0.0,83,71.691,-254.659,9745.341
20210301,Sell,114.74,-83,9518.658290000001,0,9590.349,-409.651,9590.349
20210302,Buy,115.11,83,-9558.907065,83,31.442,-414.428,9585.572
20210303,Hold,114.88,0,0.0,83,31.442,-433.518,9566.482
20210304,Hold,116.31,0,0.0,83,31.442,-314.828,9685.172
20210305,Hold,115.01,0,0.0,83,31.442,-422.728,9577.272
20210308,Hold,117.26,0,0.0,83,31.442,-235.978,9764.022
20210309,Hold,119.55,0,0.0,83,31.442,-45.908,9954.092
20210310,Hold,119.21,0,0.0,83,31.442,-74.128,9925.872
20210311,Hold,122.11,0,0.0,83,31.442,166.572,10166.572
20210312,Hold,121.25,0,0.0,83,31.442,95.192,10095.192
20210315,Hold,121.8,0,0.0,83,31.442,140.842,10140.842
20210316,Hold,122.3,0,0.0,83,31.442,182.342,10182.342
20210317,Hold,122.46,0,0.0,83,31.442,195.622,10195.622
20210318,Hold,122.93,0,0.0,83,31.442,234.632,10234.632
20210319,Hold,123.96,0,0.0,83,31.442,320.122,10320.122
