,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,49.831,200,-9971.1831,200,28.817,-4.983,9995.017
20140110,Hold,48.876,0,0.0,200,28.817,-195.983,9804.017
20140113,Hold,48.822,0,0.0,200,28.817,-206.783,9793.217
20140114,Hold,48.289,0,0.0,200,28.817,-313.383,9686.617
20140115,Hold,49.052,0,0.0,200,28.817,-160.783,9839.217
20140116,Hold,49.29,0,0.0,200,28.817,-113.183,9886.817
20140117,Hold,49.457,0,0.0,200,28.817,-79.783,9920.217
20140121,Sell,52.713,-200,10537.328700000002,0,10566.146,566.146,10566.146
20140122,Buy,53.061,199,-10564.418569499998,199,1.727,560.866,10560.866
20140123,Hold,51.935,0,0.0,199,1.727,336.792,10336.792
20140124,Sell,50.727,-199,10089.625663499999,0,10091.353,91.353,10091.353
20140127,Hold,50.016,0,0.0,0,10091.353,91.353,10091.353
20140128,Buy,49.657,203,-10085.4111855,203,5.942,86.313,10086.313
20140129,Hold,52.094,0,0.0,203,5.942,581.024,10581.024
20140130,Hold,52.006,0,0.0,203,5.942,563.16,10563.16
20140131,Hold,50.966,0,0.0,203,5.942,352.04,10352.04
20140203,Hold,52.21,0,0.0,203,5.942,604.572,10604.572
20140204,Sell,51.947,-203,10539.9683795,0,10545.91,545.91,10545.91
20140205,Buy,51.291,205,-10519.912327499998,205,25.998,540.653,10540.653
20140206,Hold,51.67,0,0.0,205,25.998,618.348,10618.348
20140207,Hold,52.808,0,0.0,205,25.998,851.638,10851.638
20140210,Hold,52.069,0,0.0,205,25.998,700.143,10700.143
20140211,Hold,52.613,0,0.0,205,25.998,811.663,10811.663
20140212,Hold,53.15,0,0.0,205,25.998,921.748,10921.748
20140213,Hold,52.682,0,0.0,205,25.998,825.808,10825.808
20140214,Sell,53.061,-205,10872.066247499999,0,10898.064,898.064,10898.064
20140218,Buy,53.439,203,-10853.541058499999,203,44.523,892.64,10892.64
20140219,Hold,53.692,0,0.0,203,44.523,943.999,10943.999
20140220,Hold,53.477,0,0.0,203,44.523,900.354,10900.354
20140221,Hold,54.381,0,0.0,203,44.523,1083.866,11083.866
20140224,Hold,53.91,0,0.0,203,44.523,988.253,10988.253
20140225,Hold,54.076,0,0.0,203,44.523,1021.951,11021.951
20140226,Hold,54.292,0,0.0,203,44.523,1065.799,11065.799
20140227,Hold,54.922,0,0.0,203,44.523,1193.689,11193.689
20140228,Hold,55.731,0,0.0,203,44.523,1357.916,11357.916
20140303,Hold,55.224,0,0.0,203,44.523,1254.995,11254.995
20140304,Hold,56.189,0,0.0,203,44.523,1450.89,11450.89
20140305,Hold,56.787,0,0.0,203,44.523,1572.284,11572.284
20140306,Hold,57.44,0,0.0,203,44.523,1704.843,11704.843
20140307,Hold,57.37,0,0.0,203,44.523,1690.633,11690.633
20140310,Sell,56.731,-203,11510.634803500001,0,11555.158,1555.158,11555.158
20140311,Hold,57.097,0,0.0,0,11555.158,1555.158,11555.158
20140312,Buy,56.329,205,-11553.2187225,205,1.939,1549.384,11549.384
20140313,Hold,56.614,0,0.0,205,1.939,1607.809,11607.809
20140314,Hold,55.842,0,0.0,205,1.939,1449.549,11449.549
20140317,Hold,56.269,0,0.0,205,1.939,1537.084,11537.084
20140318,Hold,56.488,0,0.0,205,1.939,1581.979,11581.979
20140319,Hold,57.295,0,0.0,205,1.939,1747.414,11747.414
20140320,Hold,56.898,0,0.0,205,1.939,1666.029,11666.029
20140321,Hold,58.215,0,0.0,205,1.939,1936.014,11936.014
20140324,Hold,57.776,0,0.0,205,1.939,1846.019,11846.019
20140325,Hold,57.947,0,0.0,205,1.939,1881.074,11881.074
20140326,Hold,57.947,0,0.0,205,1.939,1881.074,11881.074
20140327,Hold,56.752,0,0.0,205,1.939,1636.099,11636.099
20140328,Hold,55.823,0,0.0,205,1.939,1445.654,11445.654
20140331,Hold,56.278,0,0.0,205,1.939,1538.929,11538.929
20140401,Hold,56.59,0,0.0,205,1.939,1602.889,11602.889
20140402,Hold,57.621,0,0.0,205,1.939,1814.244,11814.244
20140403,Hold,57.907,0,0.0,205,1.939,1872.874,11872.874
20140404,Hold,58.167,0,0.0,205,1.939,1926.174,11926.174
20140407,Sell,56.365,-205,11549.047587500001,0,11550.986,1550.986,11550.986
20140408,Buy,55.689,207,-11533.386811499999,207,17.6,1545.223,11545.223
20140409,Hold,55.963,0,0.0,207,17.6,1601.941,11601.941
20140410,Hold,56.637,0,0.0,207,17.6,1741.459,11741.459
20140411,Hold,54.898,0,0.0,207,17.6,1381.486,11381.486
20140414,Hold,54.854,0,0.0,207,17.6,1372.378,11372.378
20140415,Hold,55.129,0,0.0,207,17.6,1429.303,11429.303
20140416,Hold,55.626,0,0.0,207,17.6,1532.182,11532.182
20140417,Hold,56.069,0,0.0,207,17.6,1623.883,11623.883
20140421,Hold,56.637,0,0.0,207,17.6,1741.459,11741.459
20140422,Hold,56.637,0,0.0,207,17.6,1741.459,11741.459
20140423,Hold,58.152,0,0.0,207,17.6,2055.064,12055.064
20140424,Hold,57.513,0,0.0,207,17.6,1922.791,11922.791
20140425,Hold,56.729,0,0.0,207,17.6,1760.503,11760.503
20140428,Hold,56.335,0,0.0,207,17.6,1678.945,11678.945
20140429,Hold,55.466,0,0.0,207,17.6,1499.062,11499.062
20140430,Hold,56.413,0,0.0,207,17.6,1695.091,11695.091
20140501,Hold,57.746,0,0.0,207,17.6,1971.022,11971.022
20140502,Hold,56.693,0,0.0,207,17.6,1753.051,11753.051
20140505,Hold,56.206,0,0.0,207,17.6,1652.242,11652.242
20140506,Hold,57.006,0,0.0,207,17.6,1817.842,11817.842
20140507,Sell,56.974,-207,11787.721190999999,0,11805.321,1805.321,11805.321
20140508,Buy,57.276,206,-11804.755428,206,0.565,1799.421,11799.421
20140509,Hold,57.04,0,0.0,206,0.565,1750.805,11750.805
20140512,Hold,57.538,0,0.0,206,0.565,1853.393,11853.393
20140513,Hold,58.045,0,0.0,206,0.565,1957.835,11957.835
20140514,Hold,57.887,0,0.0,206,0.565,1925.287,11925.287
20140515,Hold,58.098,0,0.0,206,0.565,1968.753,11968.753
20140516,Hold,56.355,0,0.0,206,0.565,1609.695,11609.695
20140519,Hold,56.649,0,0.0,206,0.565,1670.259,11670.259
20140520,Hold,57.643,0,0.0,206,0.565,1875.023,11875.023
20140521,Hold,57.907,0,0.0,206,0.565,1929.407,11929.407
20140522,Hold,57.703,0,0.0,206,0.565,1887.383,11887.383
20140523,Hold,57.643,0,0.0,206,0.565,1875.023,11875.023
20140527,Hold,58.778,0,0.0,206,0.565,2108.833,12108.833
20140528,Hold,58.852,0,0.0,206,0.565,2124.077,12124.077
20140529,Hold,59.974,0,0.0,206,0.565,2355.209,12355.209
20140530,Hold,60.757,0,0.0,206,0.565,2516.507,12516.507
20140602,Hold,60.411,0,0.0,206,0.565,2445.231,12445.231
20140603,Hold,60.655,0,0.0,206,0.565,2495.495,12495.495
20140604,Hold,60.399,0,0.0,206,0.565,2442.759,12442.759
20140605,Sell,60.931,-206,12545.510107,0,12546.075,2546.075,12546.075
20140606,Hold,61.038,0,0.0,0,12546.075,2546.075,12546.075
20140609,Buy,61.466,204,-12545.333531999999,204,0.742,2539.806,12539.806
20140610,Hold,61.301,0,0.0,204,0.742,2506.146,12506.146
20140611,Hold,61.282,0,0.0,204,0.742,2502.27,12502.27
20140612,Sell,61.082,-204,12454.497636000002,0,12455.24,2455.24,12455.24
20140613,Buy,60.157,206,-12398.538170999998,206,56.701,2449.043,12449.043
20140616,Hold,60.399,0,0.0,206,56.701,2498.895,12498.895
20140617,Hold,60.388,0,0.0,206,56.701,2496.629,12496.629
20140618,Hold,60.204,0,0.0,206,56.701,2458.725,12458.725
20140619,Hold,60.544,0,0.0,206,56.701,2528.765,12528.765
20140620,Sell,60.411,-206,12438.443667000001,0,12495.145,2495.145,12495.145
20140623,Hold,61.002,0,0.0,0,12495.145,2495.145,12495.145
20140624,Buy,61.129,204,-12476.551157999998,204,18.594,2488.91,12488.91
20140625,Sell,60.623,-204,12360.908453999999,0,12379.502,2379.502,12379.502
20140626,Hold,61.105,0,0.0,0,12379.502,2379.502,12379.502
20140627,Buy,60.373,204,-12322.250045999997,204,57.252,2373.344,12373.344
20140630,Hold,60.221,0,0.0,204,57.252,2342.336,12342.336
20140701,Hold,60.122,0,0.0,204,57.252,2322.14,12322.14
20140702,Hold,60.288,0,0.0,204,57.252,2356.004,12356.004
20140703,Hold,60.373,0,0.0,204,57.252,2373.344,12373.344
20140707,Hold,60.211,0,0.0,204,57.252,2340.296,12340.296
20140708,Hold,59.716,0,0.0,204,57.252,2239.316,12239.316
20140709,Hold,59.674,0,0.0,204,57.252,2230.748,12230.748
20140710,Hold,59.043,0,0.0,204,57.252,2102.024,12102.024
20140711,Hold,59.716,0,0.0,204,57.252,2239.316,12239.316
20140714,Hold,60.58,0,0.0,204,57.252,2415.572,12415.572
20140715,Hold,60.363,0,0.0,204,57.252,2371.304,12371.304
20140716,Hold,60.326,0,0.0,204,57.252,2363.756,12363.756
20140717,Hold,60.301,0,0.0,204,57.252,2358.656,12358.656
