,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,87.656,114,-9997.780392,114,2.22,-4.996,9995.004
20150112,Hold,88.25,0,0.0,114,2.22,62.72,10062.72
20150113,Hold,88.802,0,0.0,114,2.22,125.648,10125.648
20150114,Hold,87.608,0,0.0,114,2.22,-10.468,9989.532
20150115,Sell,88.179,-114,10047.379797000001,0,10049.599,49.599,10049.599
20150116,Buy,87.608,114,-9992.305655999999,114,57.294,44.606,10044.606
20150120,Hold,88.746,0,0.0,114,57.294,174.338,10174.338
20150121,Hold,87.953,0,0.0,114,57.294,83.936,10083.936
20150122,Sell,88.15,-114,10044.07545,0,10101.369,101.369,10101.369
20150123,Buy,88.467,114,-10090.280619,114,11.089,96.327,10096.327
20150126,Hold,88.03,0,0.0,114,11.089,46.509,10046.509
20150127,Hold,87.618,0,0.0,114,11.089,-0.459,9999.541
20150128,Hold,87.739,0,0.0,114,11.089,13.335,10013.335
20150129,Hold,86.771,0,0.0,114,11.089,-97.017,9902.983
20150130,Hold,86.21,0,0.0,114,11.089,-160.971,9839.029
20150202,Hold,85.093,0,0.0,114,11.089,-288.309,9711.691
20150203,Hold,86.147,0,0.0,114,11.089,-168.153,9831.847
20150204,Sell,92.634,-114,10554.995862,0,10566.084,566.084,10566.084
20150205,Buy,93.91,112,-10523.17896,112,42.905,560.825,10560.825
20150206,Hold,95.695,0,0.0,112,42.905,760.745,10760.745
20150209,Hold,94.877,0,0.0,112,42.905,669.129,10669.129
20150210,Hold,95.02,0,0.0,112,42.905,685.145,10685.145
20150211,Hold,94.936,0,0.0,112,42.905,675.737,10675.737
20150212,Hold,95.21,0,0.0,112,42.905,706.425,10706.425
20150213,Hold,96.667,0,0.0,112,42.905,869.609,10869.609
20150217,Hold,97.153,0,0.0,112,42.905,924.041,10924.041
20150218,Hold,96.369,0,0.0,112,42.905,836.233,10836.233
20150219,Hold,96.929,0,0.0,112,42.905,898.953,10898.953
20150220,Hold,96.725,0,0.0,112,42.905,876.105,10876.105
20150223,Hold,97.63,0,0.0,112,42.905,977.465,10977.465
20150224,Hold,97.445,0,0.0,112,42.905,956.745,10956.745
20150225,Hold,97.552,0,0.0,112,42.905,968.729,10968.729
20150226,Hold,98.328,0,0.0,112,42.905,1055.641,11055.641
20150227,Sell,97.542,-112,10919.241648000001,0,10962.147,962.147,10962.147
20150302,Buy,97.269,112,-10899.575064,112,62.572,956.7,10956.7
