,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,124.82,80,-9990.592799999999,80,9.407,-4.993,9995.007
20170111,Hold,124.35,0,0.0,80,9.407,-42.593,9957.407
20170112,Hold,125.61,0,0.0,80,9.407,58.207,10058.207
20170113,Hold,127.49,0,0.0,80,9.407,208.607,10208.607
20170117,Hold,128.04,0,0.0,80,9.407,252.607,10252.607
20170118,Hold,128.41,0,0.0,80,9.407,282.207,10282.207
20170119,Sell,128.23,-80,10253.2708,0,10262.678,262.678,10262.678
20170120,Buy,128.1,80,-10253.124,80,9.554,257.554,10257.554
20170123,Hold,127.31,0,0.0,80,9.554,194.354,10194.354
20170124,Hold,129.38,0,0.0,80,9.554,359.954,10359.954
20170125,Hold,130.0,0,0.0,80,9.554,409.554,10409.554
20170126,Hold,131.63,0,0.0,80,9.554,539.954,10539.954
20170127,Hold,132.68,0,0.0,80,9.554,623.954,10623.954
20170130,Hold,131.58,0,0.0,80,9.554,535.954,10535.954
20170131,Sell,130.17,-80,10408.393199999999,0,10417.947,417.947,10417.947
20170201,Hold,132.25,0,0.0,0,10417.947,417.947,10417.947
20170202,Buy,133.22,78,-10396.35558,78,21.592,412.752,10412.752
20170203,Hold,131.24,0,0.0,78,21.592,258.312,10258.312
20170206,Hold,130.98,0,0.0,78,21.592,238.032,10238.032
20170207,Hold,132.24,0,0.0,78,21.592,336.312,10336.312
20170208,Hold,132.6,0,0.0,78,21.592,364.392,10364.392
20170209,Hold,134.49,0,0.0,78,21.592,511.812,10511.812
20170210,Hold,134.1,0,0.0,78,21.592,481.392,10481.392
20170213,Hold,134.698,0,0.0,78,21.592,528.036,10528.036
20170214,Hold,134.1,0,0.0,78,21.592,481.392,10481.392
20170215,Sell,133.45,-78,10403.89545,0,10425.487,425.487,10425.487
20170216,Buy,133.07,78,-10384.64973,78,40.837,420.297,10420.297
20170217,Hold,133.5,0,0.0,78,40.837,453.837,10453.837
20170221,Hold,133.5,0,0.0,78,40.837,453.837,10453.837
20170222,Hold,133.6,0,0.0,78,40.837,461.637,10461.637
20170223,Sell,135.89,-78,10594.120289999999,0,10634.958,634.958,10634.958
20170224,Buy,134.16,79,-10603.93932,79,31.018,629.658,10629.658
20170227,Sell,135.26,-79,10680.19723,0,10711.216,711.216,10711.216
20170228,Buy,136.79,78,-10674.95481,78,36.261,705.881,10705.881
20170301,Sell,136.47,-78,10639.33767,0,10675.598,675.598,10675.598
20170302,Buy,137.09,77,-10561.207965,77,114.39,670.32,10670.32
20170303,Hold,136.63,0,0.0,77,114.39,634.9,10634.9
20170306,Hold,136.88,0,0.0,77,114.39,654.15,10654.15
20170307,Hold,137.03,0,0.0,77,114.39,665.7,10665.7
20170308,Hold,137.15,0,0.0,77,114.39,674.94,10674.94
20170309,Hold,137.72,0,0.0,77,114.39,718.83,10718.83
20170310,Sell,138.91,-77,10690.721965,0,10805.112,805.112,10805.112
20170313,Buy,139.14,77,-10719.136889999998,77,85.976,799.756,10799.756
20170314,Hold,139.46,0,0.0,77,85.976,824.396,10824.396
20170315,Hold,139.29,0,0.0,77,85.976,811.306,10811.306
20170316,Hold,140.2,0,0.0,77,85.976,881.376,10881.376
20170317,Hold,140.34,0,0.0,77,85.976,892.156,10892.156
20170320,Hold,139.71,0,0.0,77,85.976,843.646,10843.646
20170321,Sell,141.15,-77,10863.115725000001,0,10949.091,949.091,10949.091
20170322,Buy,137.93,79,-10901.918235000001,79,47.173,943.643,10943.643
20170323,Hold,139.48,0,0.0,79,47.173,1066.093,11066.093
20170324,Hold,140.08,0,0.0,79,47.173,1113.493,11113.493
20170327,Hold,139.05,0,0.0,79,47.173,1032.123,11032.123
20170328,Hold,140.36,0,0.0,79,47.173,1135.613,11135.613
20170329,Hold,141.99,0,0.0,79,47.173,1264.383,11264.383
20170330,Hold,142.4,0,0.0,79,47.173,1296.773,11296.773
