,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Buy,103.02,97,-9997.93647,97,2.064,-4.996,9995.004
20160112,Hold,100.55,0,0.0,97,2.064,-244.586,9755.414
20160113,Sell,103.49,-97,10033.510735,0,10035.574,35.574,10035.574
20160114,Buy,101.87,98,-9988.251629999999,98,47.323,30.583,10030.583
20160115,Hold,99.203,0,0.0,98,47.323,-230.783,9769.217
20160119,Hold,98.744,0,0.0,98,47.323,-275.765,9724.235
20160120,Hold,97.368,0,0.0,98,47.323,-410.613,9589.387
20160121,Hold,100.63,0,0.0,98,47.323,-90.937,9909.063
20160122,Hold,102.37,0,0.0,98,47.323,79.583,10079.583
20160125,Hold,105.6,0,0.0,98,47.323,396.123,10396.123
20160126,Hold,104.46,0,0.0,98,47.323,284.403,10284.403
20160127,Hold,105.31,0,0.0,98,47.323,367.703,10367.703
20160128,Hold,105.19,0,0.0,98,47.323,355.943,10355.943
20160129,Hold,105.9,0,0.0,98,47.323,425.523,10425.523
20160201,Hold,107.14,0,0.0,98,47.323,547.043,10547.043
20160202,Hold,107.36,0,0.0,98,47.323,568.603,10568.603
20160203,Hold,107.65,0,0.0,98,47.323,597.023,10597.023
20160204,Sell,107.16,-98,10496.429160000002,0,10543.752,543.752,10543.752
20160205,Hold,107.53,0,0.0,0,10543.752,543.752,10543.752
20160208,Buy,102.84,102,-10494.92484,102,48.827,538.507,10538.507
20160209,Hold,101.1,0,0.0,102,48.827,361.027,10361.027
20160210,Hold,100.86,0,0.0,102,48.827,336.547,10336.547
20160211,Hold,99.446,0,0.0,102,48.827,192.319,10192.319
20160212,Hold,101.74,0,0.0,102,48.827,426.307,10426.307
20160216,Hold,104.27,0,0.0,102,48.827,684.367,10684.367
20160217,Hold,105.21,0,0.0,102,48.827,780.247,10780.247
20160218,Hold,106.38,0,0.0,102,48.827,899.587,10899.587
20160219,Hold,105.67,0,0.0,102,48.827,827.167,10827.167
20160222,Hold,107.73,0,0.0,102,48.827,1037.287,11037.287
20160223,Hold,108.56,0,0.0,102,48.827,1121.947,11121.947
20160224,Hold,110.38,0,0.0,102,48.827,1307.587,11307.587
20160225,Sell,119.7,-102,12203.2953,0,12252.122,2252.122,12252.122
20160226,Buy,125.49,97,-12178.616264999999,97,73.506,2246.036,12246.036
20160229,Hold,126.01,0,0.0,97,73.506,2296.476,12296.476
20160301,Hold,126.19,0,0.0,97,73.506,2313.936,12313.936
20160302,Hold,125.83,0,0.0,97,73.506,2279.016,12279.016
20160303,Sell,124.65,-97,12085.004475000002,0,12158.51,2158.51,12158.51
20160304,Buy,125.37,96,-12041.53776,96,116.973,2152.493,12152.493
20160307,Hold,124.95,0,0.0,96,116.973,2112.173,12112.173
20160308,Hold,125.6,0,0.0,96,116.973,2174.573,12174.573
20160309,Hold,126.95,0,0.0,96,116.973,2304.173,12304.173
20160310,Hold,126.96,0,0.0,96,116.973,2305.133,12305.133
20160311,Sell,126.37,-96,12125.454240000001,0,12242.427,2242.427,12242.427
20160314,Buy,124.86,98,-12242.39814,98,0.029,2236.309,12236.309
20160315,Hold,124.5,0,0.0,98,0.029,2201.029,12201.029
20160316,Hold,123.72,0,0.0,98,0.029,2124.589,12124.589
20160317,Hold,124.43,0,0.0,98,0.029,2194.169,12194.169
