,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,157.28,63,-9913.594319999998,63,86.406,-4.954,9995.046
20170111,Hold,159.15,0,0.0,63,86.406,112.856,10112.856
20170112,Hold,160.41,0,0.0,63,86.406,192.236,10192.236
20170113,Hold,160.4,0,0.0,63,86.406,191.606,10191.606
20170117,Sell,158.92,-63,10006.95402,0,10093.36,93.36,10093.36
20170118,Buy,157.27,64,-10070.31264,64,23.047,88.327,10088.327
20170119,Hold,158.28,0,0.0,64,23.047,152.967,10152.967
20170120,Hold,160.12,0,0.0,64,23.047,270.727,10270.727
20170123,Hold,159.89,0,0.0,64,23.047,256.007,10256.007
20170124,Hold,159.38,0,0.0,64,23.047,223.367,10223.367
20170125,Hold,162.1,0,0.0,64,23.047,397.447,10397.447
20170126,Hold,161.87,0,0.0,64,23.047,382.727,10382.727
20170127,Hold,162.63,0,0.0,64,23.047,431.367,10431.367
20170130,Hold,163.15,0,0.0,64,23.047,464.647,10464.647
20170131,Hold,165.63,0,0.0,64,23.047,623.367,10623.367
20170201,Hold,166.69,0,0.0,64,23.047,691.207,10691.207
20170202,Hold,163.68,0,0.0,64,23.047,498.567,10498.567
20170203,Hold,167.07,0,0.0,64,23.047,715.527,10715.527
20170206,Hold,167.07,0,0.0,64,23.047,715.527,10715.527
20170207,Hold,170.49,0,0.0,64,23.047,934.407,10934.407
20170208,Hold,174.59,0,0.0,64,23.047,1196.807,11196.807
20170209,Hold,177.16,0,0.0,64,23.047,1361.287,11361.287
20170210,Hold,176.54,0,0.0,64,23.047,1321.607,11321.607
20170213,Hold,178.3,0,0.0,64,23.047,1434.247,11434.247
20170214,Sell,174.74,-64,11177.768320000001,0,11200.815,1200.815,11200.815
20170215,Hold,175.06,0,0.0,0,11200.815,1200.815,11200.815
20170216,Buy,177.63,63,-11196.285345,63,4.53,1195.22,11195.22
20170217,Hold,177.46,0,0.0,63,4.53,1184.51,11184.51
20170221,Hold,179.45,0,0.0,63,4.53,1309.88,11309.88
20170222,Hold,177.86,0,0.0,63,4.53,1209.71,11209.71
20170223,Hold,174.49,0,0.0,63,4.53,997.4,10997.4
20170224,Hold,177.02,0,0.0,63,4.53,1156.79,11156.79
20170227,Hold,177.05,0,0.0,63,4.53,1158.68,11158.68
20170228,Hold,177.89,0,0.0,63,4.53,1211.6,11211.6
20170301,Hold,182.73,0,0.0,63,4.53,1516.52,11516.52
20170302,Hold,179.15,0,0.0,63,4.53,1290.98,11290.98
20170303,Hold,181.37,0,0.0,63,4.53,1430.84,11430.84
20170306,Hold,179.52,0,0.0,63,4.53,1314.29,11314.29
20170307,Sell,179.1,-63,11277.65835,0,11282.188,1282.188,11282.188
20170308,Buy,180.49,62,-11195.975190000001,62,86.213,1276.593,11276.593
20170309,Hold,178.61,0,0.0,62,86.213,1160.033,11160.033
20170310,Hold,176.45,0,0.0,62,86.213,1026.113,11026.113
20170313,Hold,177.75,0,0.0,62,86.213,1106.713,11106.713
20170314,Hold,178.18,0,0.0,62,86.213,1133.373,11133.373
20170315,Hold,175.98,0,0.0,62,86.213,996.973,10996.973
20170316,Hold,178.04,0,0.0,62,86.213,1124.693,11124.693
20170317,Sell,177.6,-62,11005.6944,0,11091.908,1091.908,11091.908
20170320,Buy,176.56,62,-10952.19336,62,139.714,1086.434,11086.434
20170321,Hold,176.62,0,0.0,62,139.714,1090.154,11090.154
20170322,Hold,175.94,0,0.0,62,139.714,1047.994,11047.994
20170323,Hold,176.42,0,0.0,62,139.714,1077.754,11077.754
20170324,Hold,176.24,0,0.0,62,139.714,1066.594,11066.594
20170327,Hold,173.96,0,0.0,62,139.714,925.234,10925.234
20170328,Hold,175.78,0,0.0,62,139.714,1038.074,11038.074
20170329,Hold,176.88,0,0.0,62,139.714,1106.274,11106.274
20170330,Hold,175.17,0,0.0,62,139.714,1000.254,11000.254
20170331,Hold,175.89,0,0.0,62,139.714,1044.894,11044.894
20170403,Hold,175.94,0,0.0,62,139.714,1047.994,11047.994
20170404,Hold,178.47,0,0.0,62,139.714,1204.854,11204.854
20170405,Hold,178.9,0,0.0,62,139.714,1231.514,11231.514
20170406,Sell,176.93,-62,10964.17517,0,11103.889,1103.889,11103.889
20170407,Buy,174.01,63,-10968.111314999998,63,135.778,1098.408,11098.408
20170410,Hold,167.43,0,0.0,63,135.778,683.868,10683.868
20170411,Hold,166.24,0,0.0,63,135.778,608.898,10608.898
20170412,Hold,168.43,0,0.0,63,135.778,746.868,10746.868
20170413,Hold,167.4,0,0.0,63,135.778,681.978,10681.978
20170417,Hold,166.2,0,0.0,63,135.778,606.378,10606.378
20170418,Hold,167.11,0,0.0,63,135.778,663.708,10663.708
20170419,Hold,169.21,0,0.0,63,135.778,796.008,10796.008
20170420,Hold,168.99,0,0.0,63,135.778,782.148,10782.148
20170421,Hold,169.78,0,0.0,63,135.778,831.918,10831.918
20170424,Hold,173.69,0,0.0,63,135.778,1078.248,11078.248
20170425,Hold,173.05,0,0.0,63,135.778,1037.928,11037.928
20170426,Hold,173.94,0,0.0,63,135.778,1093.998,11093.998
20170427,Hold,178.85,0,0.0,63,135.778,1403.328,11403.328
20170428,Hold,176.31,0,0.0,63,135.778,1243.308,11243.308
20170501,Hold,173.02,0,0.0,63,135.778,1036.038,11036.038
