,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,76.828,130,-9992.633820000001,130,7.366,-4.994,9995.006
20140110,Hold,76.5,0,0.0,130,7.366,-47.634,9952.366
20140113,Hold,76.5,0,0.0,130,7.366,-47.634,9952.366
20140114,Hold,75.685,0,0.0,130,7.366,-153.584,9846.416
20140115,Hold,76.229,0,0.0,130,7.366,-82.864,9917.136
20140116,Hold,76.156,0,0.0,130,7.366,-92.354,9907.646
20140117,Hold,76.651,0,0.0,130,7.366,-28.004,9971.996
20140121,Hold,76.127,0,0.0,130,7.366,-96.124,9903.876
20140122,Sell,75.894,-130,9861.286890000001,0,9868.653,-131.347,9868.653
20140123,Buy,75.478,130,-9817.046069999999,130,51.607,-136.253,9863.747
20140124,Hold,75.598,0,0.0,130,51.607,-120.653,9879.347
20140127,Hold,75.256,0,0.0,130,51.607,-165.113,9834.887
20140128,Hold,75.301,0,0.0,130,51.607,-159.263,9840.737
20140129,Hold,75.006,0,0.0,130,51.607,-197.613,9802.387
20140130,Hold,74.551,0,0.0,130,51.607,-256.763,9743.237
20140131,Hold,74.28,0,0.0,130,51.607,-291.993,9708.007
20140203,Hold,75.47,0,0.0,130,51.607,-137.293,9862.707
20140204,Hold,74.131,0,0.0,130,51.607,-311.363,9688.637
20140205,Hold,74.055,0,0.0,130,51.607,-321.243,9678.757
20140206,Sell,74.936,-130,9736.80916,0,9788.416,-211.584,9788.416
20140207,Buy,75.868,128,-9715.959551999998,128,72.457,-216.439,9783.561
20140210,Hold,76.438,0,0.0,128,72.457,-143.479,9856.521
20140211,Hold,75.885,0,0.0,128,72.457,-214.263,9785.737
20140212,Sell,76.188,-128,9747.187968,0,9819.645,-180.355,9819.645
20140213,Buy,75.59,129,-9755.985555,129,63.659,-185.231,9814.769
20140214,Sell,76.075,-129,9808.768162500002,0,9872.427,-127.573,9872.427
20140218,Buy,76.66,128,-9817.38624,128,55.041,-132.479,9867.521
20140219,Hold,76.46,0,0.0,128,55.041,-158.079,9841.921
20140220,Hold,76.366,0,0.0,128,55.041,-170.111,9829.889
20140221,Sell,76.668,-128,9808.597248000002,0,9863.638,-136.362,9863.638
20140224,Buy,76.974,128,-9857.598336,128,6.04,-141.288,9858.712
20140225,Hold,77.004,0,0.0,128,6.04,-137.448,9862.552
20140226,Hold,77.137,0,0.0,128,6.04,-120.424,9879.576
20140227,Sell,76.675,-128,9809.4928,0,9815.533,-184.467,9815.533
20140228,Buy,76.572,128,-9806.116608,128,9.416,-189.368,9810.632
20140303,Hold,75.87,0,0.0,128,9.416,-279.224,9720.776
20140304,Hold,76.684,0,0.0,128,9.416,-175.032,9824.968
20140305,Hold,76.764,0,0.0,128,9.416,-164.792,9835.208
20140306,Hold,76.532,0,0.0,128,9.416,-194.488,9805.512
20140307,Hold,77.117,0,0.0,128,9.416,-119.608,9880.392
20140310,Hold,76.692,0,0.0,128,9.416,-174.008,9825.992
20140311,Hold,77.179,0,0.0,128,9.416,-111.672,9888.328
20140312,Sell,79.283,-128,10143.149888,0,10152.566,152.566,10152.566
20140313,Buy,79.622,127,-10117.049997,127,35.516,147.51,10147.51
20140314,Hold,78.249,0,0.0,127,35.516,-26.861,9973.139
20140317,Sell,79.011,-127,10029.3798015,0,10064.896,64.896,10064.896
20140318,Hold,78.741,0,0.0,0,10064.896,64.896,10064.896
20140319,Buy,78.311,128,-10028.819904,128,36.076,59.884,10059.884
20140320,Hold,77.24,0,0.0,128,36.076,-77.204,9922.796
