,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,167.24,59,-9872.093579999999,59,127.906,-4.934,9995.066
20190110,Hold,166.55,0,0.0,59,127.906,-45.644,9954.356
20190111,Hold,167.27,0,0.0,59,127.906,-3.164,9996.836
20190114,Hold,168.02,0,0.0,59,127.906,41.086,10041.086
20190115,Hold,168.07,0,0.0,59,127.906,44.036,10044.036
20190116,Hold,167.61,0,0.0,59,127.906,16.896,10016.896
20190117,Hold,166.03,0,0.0,59,127.906,-76.324,9923.676
20190118,Sell,169.52,-59,9996.679160000002,0,10124.586,124.586,10124.586
20190122,Buy,168.8,59,-9964.1796,59,160.406,119.606,10119.606
20190123,Hold,171.13,0,0.0,59,160.406,257.076,10257.076
20190124,Hold,173.08,0,0.0,59,160.406,372.126,10372.126
20190125,Hold,174.85,0,0.0,59,160.406,476.556,10476.556
20190128,Hold,169.53,0,0.0,59,160.406,162.676,10162.676
20190129,Sell,169.75,-59,10010.242375,0,10170.648,170.648,10170.648
20190130,Buy,169.41,60,-10169.6823,60,0.966,165.566,10165.566
20190131,Hold,166.94,0,0.0,60,0.966,17.366,10017.366
20190201,Hold,166.29,0,0.0,60,0.966,-21.634,9978.366
20190204,Hold,164.21,0,0.0,60,0.966,-146.434,9853.566
20190205,Hold,164.59,0,0.0,60,0.966,-123.634,9876.366
20190206,Hold,164.45,0,0.0,60,0.966,-132.034,9867.966
20190207,Hold,163.0,0,0.0,60,0.966,-219.034,9780.966
20190208,Hold,161.87,0,0.0,60,0.966,-286.834,9713.166
20190211,Hold,162.32,0,0.0,60,0.966,-259.834,9740.166
20190212,Hold,161.89,0,0.0,60,0.966,-285.634,9714.366
20190213,Hold,161.15,0,0.0,60,0.966,-330.034,9669.966
20190214,Hold,161.09,0,0.0,60,0.966,-333.634,9666.366
20190215,Hold,164.2,0,0.0,60,0.966,-147.034,9852.966
20190219,Hold,167.73,0,0.0,60,0.966,64.766,10064.766
20190220,Hold,166.22,0,0.0,60,0.966,-25.834,9974.166
20190221,Hold,167.13,0,0.0,60,0.966,28.766,10028.766
20190222,Hold,169.47,0,0.0,60,0.966,169.166,10169.166
20190225,Hold,170.36,0,0.0,60,0.966,222.566,10222.566
20190226,Hold,169.9,0,0.0,60,0.966,194.966,10194.966
20190227,Hold,169.54,0,0.0,60,0.966,173.366,10173.366
20190228,Hold,169.76,0,0.0,60,0.966,186.566,10186.566
20190301,Sell,172.06,-60,10318.4382,0,10319.404,319.404,10319.404
20190304,Buy,172.02,59,-10154.25459,59,165.15,314.33,10314.33
20190305,Hold,168.33,0,0.0,59,165.15,96.62,10096.62
20190306,Sell,169.63,-59,10003.165915000001,0,10168.316,168.316,10168.316
20190307,Buy,169.75,59,-10020.257625,59,148.058,163.308,10163.308
20190308,Hold,167.56,0,0.0,59,148.058,34.098,10034.098
20190311,Hold,167.77,0,0.0,59,148.058,46.488,10046.488
20190312,Sell,169.32,-59,9984.88506,0,10132.943,132.943,10132.943
20190313,Buy,170.12,59,-10042.098539999999,59,90.844,127.924,10127.924
20190314,Hold,169.62,0,0.0,59,90.844,98.424,10098.424
20190315,Hold,170.83,0,0.0,59,90.844,169.814,10169.814
20190318,Hold,173.36,0,0.0,59,90.844,319.084,10319.084
20190319,Hold,171.57,0,0.0,59,90.844,213.474,10213.474
20190320,Sell,170.93,-59,10079.827565000001,0,10170.672,170.672,10170.672
20190321,Buy,171.92,59,-10148.351639999999,59,22.32,165.6,10165.6
20190322,Hold,173.34,0,0.0,59,22.32,249.38,10249.38
20190325,Hold,173.62,0,0.0,59,22.32,265.9,10265.9
20190326,Hold,173.97,0,0.0,59,22.32,286.55,10286.55
20190327,Hold,174.9,0,0.0,59,22.32,341.42,10341.42
20190328,Hold,175.22,0,0.0,59,22.32,360.3,10360.3
20190329,Hold,177.33,0,0.0,59,22.32,484.79,10484.79
20190401,Hold,177.56,0,0.0,59,22.32,498.36,10498.36
20190402,Sell,176.07,-59,10382.935935,0,10405.256,405.256,10405.256
20190403,Hold,176.04,0,0.0,0,10405.256,405.256,10405.256
20190404,Hold,176.2,0,0.0,0,10405.256,405.256,10405.256
20190405,Buy,177.42,58,-10295.505179999998,58,109.751,400.111,10400.111
20190408,Hold,177.74,0,0.0,58,109.751,418.671,10418.671
20190409,Hold,176.54,0,0.0,58,109.751,349.071,10349.071
20190410,Sell,177.61,-58,10296.229310000002,0,10405.98,405.98,10405.98
20190411,Hold,176.43,0,0.0,0,10405.98,405.98,10405.98
20190412,Buy,176.72,58,-10254.88488,58,151.096,400.856,10400.856
20190415,Hold,178.76,0,0.0,58,151.096,519.176,10519.176
20190416,Hold,179.41,0,0.0,58,151.096,556.876,10556.876
20190417,Hold,178.97,0,0.0,58,151.096,531.356,10531.356
20190418,Hold,178.76,0,0.0,58,151.096,519.176,10519.176
20190422,Hold,180.82,0,0.0,58,151.096,638.656,10638.656
20190423,Hold,181.1,0,0.0,58,151.096,654.896,10654.896
20190424,Hold,182.3,0,0.0,58,151.096,724.496,10724.496
20190425,Hold,183.14,0,0.0,58,151.096,773.216,10773.216
20190426,Hold,184.99,0,0.0,58,151.096,880.516,10880.516
20190429,Hold,184.52,0,0.0,58,151.096,853.256,10853.256
20190430,Hold,185.34,0,0.0,58,151.096,900.816,10900.816
20190501,Hold,182.55,0,0.0,58,151.096,738.996,10738.996
20190502,Hold,180.98,0,0.0,58,151.096,647.936,10647.936
20190503,Hold,182.08,0,0.0,58,151.096,711.736,10711.736
20190506,Hold,183.18,0,0.0,58,151.096,775.536,10775.536
20190507,Hold,184.5,0,0.0,58,151.096,852.096,10852.096
