,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Hold,23.874,0,0,0,10000,0.0,10000.0
20130110,Buy,23.388,427,-9991.669338000002,427,8.331,-4.993,9995.007
20130111,Hold,23.54,0,0,427,8.331,59.911,10059.911
20130114,Hold,23.531,0,0,427,8.331,56.068,10056.068
20130115,Hold,23.334,0,0,427,8.331,-28.051,9971.949
20130116,Hold,23.104,0,0,427,8.331,-126.261,9873.739
20130117,Sell,23.403,-427,9988.0844595,0,9996.415,-3.585,9996.415
20130118,Buy,23.287,429,-9995.1180615,429,1.297,-8.58,9991.42
20130122,Hold,23.521,0,0,429,1.297,91.806,10091.806
20130123,Hold,23.44,0,0,429,1.297,57.057,10057.057
20130124,Sell,23.379,-429,10024.576204500001,0,10025.873,25.873,10025.873
20130125,Hold,24.209,0,0,0,10025.873,25.873,10025.873
20130128,Buy,24.277,412,-10007.125062,412,18.748,20.872,10020.872
20130129,Hold,23.756,0,0,412,18.748,-193.78,9806.22
20130130,Sell,23.816,-412,9807.285904,0,9826.034,-173.966,9826.034
20130131,Hold,23.871,0,0,0,9826.034,-173.966,9826.034
20130201,Buy,24.166,406,-9816.301698,406,9.732,-178.872,9821.128
20130204,Hold,24.07,0,0,406,9.732,-217.848,9782.152
20130205,Sell,24.111,-406,9784.171467000002,0,9793.904,-206.096,9793.904
20130206,Hold,23.965,0,0,0,9793.904,-206.096,9793.904
20130207,Hold,24.031,0,0,0,9793.904,-206.096,9793.904
20130208,Buy,23.939,408,-9771.995555999998,408,21.908,-210.98,9789.02
20130211,Hold,24.232,0,0,408,21.908,-91.436,9908.564
20130212,Hold,24.008,0,0,408,21.908,-182.828,9817.172
20130213,Hold,24.205,0,0,408,21.908,-102.452,9897.548
20130214,Hold,23.806,0,0,408,21.908,-265.244,9734.756
20130215,Hold,23.858,0,0,408,21.908,-244.028,9755.972
20130219,Hold,23.306,0,0,408,21.908,-469.244,9530.756
20130220,Hold,23.408,0,0,408,21.908,-427.628,9572.372
20130221,Hold,22.751,0,0,408,21.908,-695.684,9304.316
20130222,Hold,23.023,0,0,408,21.908,-584.708,9415.292
20130225,Hold,23.325,0,0,408,21.908,-461.492,9538.508
20130226,Hold,22.912,0,0,408,21.908,-629.996,9370.004
20130227,Hold,22.832,0,0,408,21.908,-662.636,9337.364
20130228,Hold,23.43,0,0,408,21.908,-418.652,9581.348
20130301,Hold,23.421,0,0,408,21.908,-422.324,9577.676
20130304,Hold,23.48,0,0,408,21.908,-398.252,9601.748
20130305,Hold,24.008,0,0,408,21.908,-182.828,9817.172
20130306,Hold,24.334,0,0,408,21.908,-49.82,9950.18
20130307,Hold,24.477,0,0,408,21.908,8.524,10008.524
20130308,Hold,25.154,0,0,408,21.908,284.74,10284.74
20130311,Hold,25.037,0,0,408,21.908,237.004,10237.004
20130312,Hold,25.058,0,0,408,21.908,245.572,10245.572
20130313,Sell,24.988,-408,10190.006448,0,10211.915,211.915,10211.915
20130314,Hold,25.09,0,0,0,10211.915,211.915,10211.915
20130315,Buy,24.594,415,-10211.613255,415,0.302,206.812,10206.812
20130318,Hold,24.46,0,0,415,0.302,151.202,10151.202
20130319,Hold,24.227,0,0,415,0.302,54.507,10054.507
20130320,Hold,24.533,0,0,415,0.302,181.497,10181.497
20130321,Hold,24.568,0,0,415,0.302,196.022,10196.022
20130322,Hold,24.568,0,0,415,0.302,196.022,10196.022
20130325,Hold,24.727,0,0,415,0.302,262.007,10262.007
20130326,Sell,24.433,-415,10134.6251525,0,10134.927,134.927,10134.927
20130327,Buy,24.378,415,-10121.928435,415,12.998,129.868,10129.868
20130328,Hold,24.408,0,0,415,12.998,142.318,10142.318
20130401,Hold,24.465,0,0,415,12.998,165.973,10165.973
20130402,Hold,24.499,0,0,415,12.998,180.083,10180.083
20130403,Sell,25.037,-415,10385.1598225,0,10398.158,398.158,10398.158
20130404,Buy,24.697,420,-10377.92637,420,20.232,392.972,10392.972
20130405,Hold,24.528,0,0,420,20.232,321.992,10321.992
20130408,Sell,24.797,-420,10409.53263,0,10429.764,429.764,10429.764
20130409,Hold,24.849,0,0,0,10429.764,429.764,10429.764
20130410,Buy,24.719,421,-10411.9023495,421,17.862,424.561,10424.561
20130411,Sell,24.843,-421,10453.6735485,0,10471.536,471.536,10471.536
20130412,Buy,25.168,415,-10449.94236,415,21.593,466.313,10466.313
20130415,Hold,25.15,0,0,415,21.593,458.843,10458.843
20130416,Hold,24.84,0,0,415,21.593,330.193,10330.193
20130417,Sell,24.88,-415,10320.0374,0,10341.631,341.631,10341.631
20130418,Hold,25.012,0,0,0,10341.631,341.631,10341.631
20130419,Buy,24.684,418,-10323.070956,418,18.56,336.472,10336.472
20130422,Hold,25.042,0,0,418,18.56,486.116,10486.116
20130423,Hold,25.227,0,0,418,18.56,563.446,10563.446
20130424,Hold,25.586,0,0,418,18.56,713.508,10713.508
20130425,Hold,25.723,0,0,418,18.56,770.774,10770.774
20130426,Hold,25.415,0,0,418,18.56,642.03,10642.03
20130429,Hold,25.873,0,0,418,18.56,833.474,10833.474
20130430,Hold,25.992,0,0,418,18.56,883.216,10883.216
20130501,Hold,25.96,0,0,418,18.56,869.84,10869.84
20130502,Hold,25.912,0,0,418,18.56,849.776,10849.776
20130503,Sell,26.101,-418,10904.762891,0,10923.322,923.322,10923.322
20130506,Hold,26.579,0,0,0,10923.322,923.322,10923.322
20130507,Buy,26.899,405,-10899.542047500001,405,23.78,917.875,10917.875
20130508,Hold,26.818,0,0,405,23.78,885.07,10885.07
20130509,Hold,26.953,0,0,405,23.78,939.745,10939.745
20130510,Hold,26.915,0,0,405,23.78,924.355,10924.355
20130513,Hold,27.183,0,0,405,23.78,1032.895,11032.895
