,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,33.787,295,-9972.148582499998,295,27.851,-4.984,9995.016
20140110,Hold,33.567,0,0.0,295,27.851,-69.884,9930.116
20140113,Sell,33.49,-295,9874.610225000002,0,9902.462,-97.538,9902.462
20140114,Buy,32.511,304,-9888.285672,304,14.176,-102.48,9897.52
20140115,Hold,32.69,0,0.0,304,14.176,-48.064,9951.936
20140116,Hold,32.816,0,0.0,304,14.176,-9.76,9990.24
20140117,Hold,32.468,0,0.0,304,14.176,-115.552,9884.448
20140121,Hold,32.35,0,0.0,304,14.176,-151.424,9848.576
20140122,Hold,32.003,0,0.0,304,14.176,-256.912,9743.088
20140123,Hold,31.803,0,0.0,304,14.176,-317.712,9682.288
20140124,Hold,32.325,0,0.0,304,14.176,-159.024,9840.976
20140127,Hold,32.558,0,0.0,304,14.176,-88.192,9911.808
20140128,Hold,32.275,0,0.0,304,14.176,-174.224,9825.776
20140129,Hold,31.81,0,0.0,304,14.176,-315.584,9684.416
20140130,Hold,31.295,0,0.0,304,14.176,-472.144,9527.856
20140131,Hold,30.685,0,0.0,304,14.176,-657.584,9342.416
20140203,Hold,30.727,0,0.0,304,14.176,-644.816,9355.184
20140204,Hold,30.409,0,0.0,304,14.176,-741.488,9258.512
20140205,Hold,30.465,0,0.0,304,14.176,-724.464,9275.536
20140206,Hold,30.717,0,0.0,304,14.176,-647.856,9352.144
20140207,Sell,31.976,-304,9715.843648,0,9730.02,-269.98,9730.02
20140210,Buy,32.311,300,-9698.146649999999,300,31.873,-274.827,9725.173
20140211,Hold,32.661,0,0.0,300,31.873,-169.827,9830.173
20140212,Hold,32.359,0,0.0,300,31.873,-260.427,9739.573
20140213,Sell,31.88,-300,9559.218,0,9591.091,-408.909,9591.091
20140214,Buy,32.296,296,-9564.395808,296,26.695,-413.689,9586.311
20140218,Hold,32.577,0,0.0,296,26.695,-330.513,9669.487
20140219,Hold,32.077,0,0.0,296,26.695,-478.513,9521.487
20140220,Hold,31.861,0,0.0,296,26.695,-542.449,9457.551
20140221,Sell,32.052,-296,9482.648304,0,9509.343,-490.657,9509.343
20140224,Buy,31.562,301,-9504.912081,301,4.431,-495.407,9504.593
20140225,Hold,31.488,0,0.0,301,4.431,-517.681,9482.319
20140226,Hold,30.757,0,0.0,301,4.431,-737.712,9262.288
20140227,Hold,31.062,0,0.0,301,4.431,-645.907,9354.093
20140228,Hold,31.154,0,0.0,301,4.431,-618.215,9381.785
20140303,Hold,30.587,0,0.0,301,4.431,-788.882,9211.118
20140304,Hold,31.032,0,0.0,301,4.431,-654.937,9345.063
20140305,Hold,31.275,0,0.0,301,4.431,-581.794,9418.206
20140306,Hold,31.21,0,0.0,301,4.431,-601.359,9398.641
