,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,35.689,280,-9997.91646,280,2.084,-4.996,9995.004
20120111,Hold,35.744,0,0.0,280,2.084,10.404,10010.404
20120112,Hold,36.44,0,0.0,280,2.084,205.284,10205.284
20120113,Hold,36.209,0,0.0,280,2.084,140.604,10140.604
20120117,Hold,36.912,0,0.0,280,2.084,337.444,10337.444
20120118,Hold,36.895,0,0.0,280,2.084,332.684,10332.684
20120119,Hold,37.415,0,0.0,280,2.084,478.284,10478.284
20120120,Hold,37.545,0,0.0,280,2.084,514.684,10514.684
20120123,Hold,37.317,0,0.0,280,2.084,450.844,10450.844
20120124,Sell,36.981,-280,10349.50266,0,10351.586,351.586,10351.586
20120125,Hold,37.087,0,0.0,0,10351.586,351.586,10351.586
20120126,Buy,37.525,275,-10324.5346875,275,27.052,346.427,10346.427
20120127,Hold,37.233,0,0.0,275,27.052,266.127,10266.127
20120130,Hold,37.278,0,0.0,275,27.052,278.502,10278.502
20120131,Sell,38.077,-275,10465.9394125,0,10492.991,492.991,10492.991
20120201,Buy,38.04,275,-10466.2305,275,26.76,487.76,10487.76
20120202,Hold,38.178,0,0.0,275,26.76,525.71,10525.71
20120203,Hold,38.534,0,0.0,275,26.76,623.61,10623.61
20120206,Hold,37.979,0,0.0,275,26.76,470.985,10470.985
20120207,Sell,38.774,-275,10657.518575,0,10684.279,684.279,10684.279
20120208,Buy,39.013,273,-10655.874274499998,273,28.405,678.954,10678.954
20120209,Hold,38.509,0,0.0,273,28.405,541.362,10541.362
20120210,Hold,38.492,0,0.0,273,28.405,536.721,10536.721
20120213,Sell,38.797,-273,10586.285209499998,0,10614.69,614.69,10614.69
20120214,Buy,38.451,275,-10579.312012499999,275,35.378,609.403,10609.403
20120215,Hold,38.314,0,0.0,275,35.378,571.728,10571.728
20120216,Hold,37.967,0,0.0,275,35.378,476.303,10476.303
20120217,Hold,38.742,0,0.0,275,35.378,689.428,10689.428
20120221,Hold,39.061,0,0.0,275,35.378,777.153,10777.153
20120222,Hold,38.994,0,0.0,275,35.378,758.728,10758.728
20120223,Hold,39.304,0,0.0,275,35.378,843.978,10843.978
20120224,Hold,39.291,0,0.0,275,35.378,840.403,10840.403
20120227,Sell,38.922,-275,10698.198225,0,10733.576,733.576,10733.576
20120228,Hold,39.149,0,0.0,0,10733.576,733.576,10733.576
20120229,Buy,39.378,272,-10716.171408,272,17.405,728.221,10728.221
20120301,Hold,39.511,0,0.0,272,17.405,764.397,10764.397
20120302,Hold,39.457,0,0.0,272,17.405,749.709,10749.709
20120305,Hold,39.531,0,0.0,272,17.405,769.837,10769.837
20120306,Hold,39.204,0,0.0,272,17.405,680.893,10680.893
20120307,Hold,39.09,0,0.0,272,17.405,649.885,10649.885
20120308,Hold,39.372,0,0.0,272,17.405,726.589,10726.589
20120309,Hold,40.32,0,0.0,272,17.405,984.445,10984.445
20120312,Hold,40.348,0,0.0,272,17.405,992.061,10992.061
20120313,Hold,40.178,0,0.0,272,17.405,945.821,10945.821
20120314,Hold,41.051,0,0.0,272,17.405,1183.277,11183.277
