,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,46.435,215,-9988.5167625,215,11.483,-4.992,9995.008
20150112,Hold,46.08,0,0.0,215,11.483,-81.317,9918.683
20150113,Hold,46.382,0,0.0,215,11.483,-16.387,9983.613
20150114,Sell,45.177,-215,9708.1984725,0,9719.682,-280.318,9719.682
20150115,Buy,45.703,212,-9693.880518,212,25.801,-285.163,9714.837
20150116,Hold,45.19,0,0.0,212,25.801,-393.919,9606.081
20150120,Hold,45.925,0,0.0,212,25.801,-238.099,9761.901
20150121,Hold,44.847,0,0.0,212,25.801,-466.635,9533.365
20150122,Sell,45.612,-212,9664.909128000001,0,9690.71,-309.29,9690.71
20150123,Buy,46.769,207,-9686.0235915,207,4.687,-314.13,9685.87
20150126,Hold,46.75,0,0.0,207,4.687,-318.063,9681.937
20150127,Hold,46.472,0,0.0,207,4.687,-375.609,9624.391
20150128,Sell,46.835,-207,9689.9975775,0,9694.684,-305.316,9694.684
20150129,Hold,46.178,0,0.0,0,9694.684,-305.316,9694.684
20150130,Buy,46.648,207,-9660.964068,207,33.72,-310.144,9689.856
20150202,Hold,45.892,0,0.0,207,33.72,-466.636,9533.364
20150203,Hold,46.076,0,0.0,207,33.72,-428.548,9571.452
20150204,Hold,46.432,0,0.0,207,33.72,-354.856,9645.144
20150205,Hold,46.279,0,0.0,207,33.72,-386.527,9613.473
20150206,Hold,47.452,0,0.0,207,33.72,-143.716,9856.284
20150209,Hold,46.541,0,0.0,207,33.72,-332.293,9667.707
20150210,Sell,46.608,-207,9643.032072,0,9676.752,-323.248,9676.752
20150211,Buy,47.029,205,-9645.765472500001,205,30.987,-328.068,9671.932
20150212,Hold,46.882,0,0.0,205,30.987,-358.203,9641.797
20150213,Hold,47.282,0,0.0,205,30.987,-276.203,9723.797
20150217,Hold,47.185,0,0.0,205,30.987,-296.088,9703.912
20150218,Sell,48.118,-205,9859.257905,0,9890.245,-109.755,9890.245
20150219,Buy,48.512,203,-9852.859967999999,203,37.385,-114.679,9885.321
20150220,Hold,48.582,0,0.0,203,37.385,-100.469,9899.531
20150223,Hold,49.269,0,0.0,203,37.385,38.992,10038.992
20150224,Hold,49.048,0,0.0,203,37.385,-5.871,9994.129
20150225,Hold,49.326,0,0.0,203,37.385,50.563,10050.563
20150226,Hold,49.967,0,0.0,203,37.385,180.686,10180.686
20150227,Hold,50.188,0,0.0,203,37.385,225.549,10225.549
20150302,Hold,51.317,0,0.0,203,37.385,454.736,10454.736
20150303,Hold,51.317,0,0.0,203,37.385,454.736,10454.736
20150304,Hold,50.988,0,0.0,203,37.385,387.949,10387.949
20150305,Sell,50.728,-203,10292.635108,0,10330.02,330.02,10330.02
20150306,Hold,50.582,0,0.0,0,10330.02,330.02,10330.02
20150309,Buy,50.214,205,-10299.016934999998,205,31.003,324.873,10324.873
20150310,Hold,49.935,0,0.0,205,31.003,267.678,10267.678
20150311,Hold,49.099,0,0.0,205,31.003,96.298,10096.298
20150312,Hold,48.825,0,0.0,205,31.003,40.128,10040.128
20150313,Hold,49.321,0,0.0,205,31.003,141.808,10141.808
20150316,Hold,49.454,0,0.0,205,31.003,169.073,10169.073
20150317,Hold,49.468,0,0.0,205,31.003,171.943,10171.943
20150318,Hold,49.399,0,0.0,205,31.003,157.798,10157.798
20150319,Hold,49.923,0,0.0,205,31.003,265.218,10265.218
20150320,Hold,50.18,0,0.0,205,31.003,317.903,10317.903
20150323,Hold,50.206,0,0.0,205,31.003,323.233,10323.233
20150324,Hold,50.367,0,0.0,205,31.003,356.238,10356.238
20150325,Hold,51.002,0,0.0,205,31.003,486.413,10486.413
20150326,Hold,49.752,0,0.0,205,31.003,230.163,10230.163
20150327,Hold,49.8,0,0.0,205,31.003,240.003,10240.003
20150330,Hold,49.96,0,0.0,205,31.003,272.803,10272.803
20150331,Hold,50.18,0,0.0,205,31.003,317.903,10317.903
20150401,Hold,49.827,0,0.0,205,31.003,245.538,10245.538
20150402,Sell,49.986,-205,10242.006435,0,10273.009,273.009,10273.009
20150406,Buy,50.341,203,-10224.3326115,203,48.677,267.9,10267.9
20150407,Hold,50.526,0,0.0,203,48.677,305.455,10305.455
20150408,Hold,50.013,0,0.0,203,48.677,201.316,10201.316
20150409,Hold,49.702,0,0.0,203,48.677,138.183,10138.183
20150410,Sell,50.282,-203,10202.142377,0,10250.819,250.819,10250.819
20150413,Buy,50.792,201,-10214.296596,201,36.523,245.715,10245.715
20150414,Hold,51.106,0,0.0,201,36.523,308.829,10308.829
20150415,Hold,50.932,0,0.0,201,36.523,273.855,10273.855
20150416,Sell,50.689,-201,10183.3947555,0,10219.917,219.917,10219.917
20150417,Buy,50.288,203,-10213.568232,203,6.349,214.813,10214.813
20150420,Sell,51.227,-203,10393.8814595,0,10400.231,400.231,10400.231
20150421,Buy,51.579,201,-10372.5626895,201,27.668,395.047,10395.047
20150422,Hold,53.179,0,0.0,201,27.668,716.647,10716.647
20150423,Hold,53.394,0,0.0,201,27.668,759.862,10759.862
20150424,Hold,53.685,0,0.0,201,27.668,818.353,10818.353
20150427,Hold,55.471,0,0.0,201,27.668,1177.339,11177.339
20150428,Hold,54.959,0,0.0,201,27.668,1074.427,11074.427
20150429,Hold,54.892,0,0.0,201,27.668,1060.96,11060.96
20150430,Hold,54.808,0,0.0,201,27.668,1044.076,11044.076
20150501,Sell,55.091,-201,11067.754354500003,0,11095.422,1095.422,11095.422
20150504,Hold,58.559,0,0.0,0,11095.422,1095.422,11095.422
20150505,Buy,57.514,192,-11048.209343999999,192,47.213,1089.901,11089.901
20150506,Hold,57.477,0,0.0,192,47.213,1082.797,11082.797
