,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,205.76,48,-9881.418239999999,48,118.582,-4.938,9995.062
20200110,Hold,208.79,0,0.0,48,118.582,140.502,10140.502
20200113,Hold,208.28,0,0.0,48,118.582,116.022,10116.022
20200114,Hold,210.39,0,0.0,48,118.582,217.302,10217.302
20200115,Hold,212.6,0,0.0,48,118.582,323.382,10323.382
20200116,Hold,215.05,0,0.0,48,118.582,440.982,10440.982
20200117,Hold,215.61,0,0.0,48,118.582,467.862,10467.862
20200121,Hold,212.02,0,0.0,48,118.582,295.542,10295.542
20200122,Sell,212.86,-48,10212.171360000002,0,10330.753,330.753,10330.753
20200123,Buy,205.81,50,-10295.64525,50,35.108,325.608,10325.608
20200124,Hold,205.72,0,0.0,50,35.108,321.108,10321.108
20200127,Hold,188.99,0,0.0,50,35.108,-515.392,9484.608
20200128,Hold,194.86,0,0.0,50,35.108,-221.892,9778.108
20200129,Hold,195.54,0,0.0,50,35.108,-187.892,9812.108
20200130,Hold,194.58,0,0.0,50,35.108,-235.892,9764.108
20200131,Hold,194.5,0,0.0,50,35.108,-239.892,9760.108
20200203,Sell,192.59,-50,9624.68525,0,9659.793,-340.207,9659.793
20200204,Hold,196.26,0,0.0,0,9659.793,-340.207,9659.793
20200205,Buy,200.4,48,-9624.0096,48,35.784,-345.016,9654.984
20200206,Hold,207.66,0,0.0,48,35.784,3.464,10003.464
20200207,Hold,206.58,0,0.0,48,35.784,-48.376,9951.624
20200210,Hold,204.3,0,0.0,48,35.784,-157.816,9842.184
20200211,Hold,207.12,0,0.0,48,35.784,-22.456,9977.544
20200212,Hold,208.03,0,0.0,48,35.784,21.224,10021.224
20200213,Hold,210.38,0,0.0,48,35.784,134.024,10134.024
20200214,Hold,211.82,0,0.0,48,35.784,203.144,10203.144
20200218,Hold,211.47,0,0.0,48,35.784,186.344,10186.344
20200219,Sell,209.15,-48,10034.180400000001,0,10069.964,69.964,10069.964
20200220,Hold,209.29,0,0.0,0,10069.964,69.964,10069.964
20200221,Buy,206.67,48,-9925.120079999999,48,144.844,65.004,10065.004
20200224,Hold,196.42,0,0.0,48,144.844,-426.996,9573.004
20200225,Hold,196.42,0,0.0,48,144.844,-426.996,9573.004
20200226,Hold,190.96,0,0.0,48,144.844,-689.076,9310.924
20200227,Hold,182.63,0,0.0,48,144.844,-1088.916,8911.084
20200228,Hold,174.83,0,0.0,48,144.844,-1463.316,8536.684
20200302,Hold,182.57,0,0.0,48,144.844,-1091.796,8908.204
20200303,Hold,190.11,0,0.0,48,144.844,-729.876,9270.124
20200304,Hold,189.74,0,0.0,48,144.844,-747.636,9252.364
20200305,Hold,186.66,0,0.0,48,144.844,-895.476,9104.524
20200306,Hold,182.01,0,0.0,48,144.844,-1118.676,8881.324
20200309,Hold,177.03,0,0.0,48,144.844,-1357.716,8642.284
20200310,Hold,180.45,0,0.0,48,144.844,-1193.556,8806.444
20200311,Hold,180.0,0,0.0,48,144.844,-1215.156,8784.844
20200312,Hold,157.88,0,0.0,48,144.844,-2276.916,7723.084
20200313,Hold,163.11,0,0.0,48,144.844,-2025.876,7974.124
20200316,Hold,148.52,0,0.0,48,144.844,-2726.196,7273.804
20200317,Hold,150.37,0,0.0,48,144.844,-2637.396,7362.604
20200318,Hold,141.28,0,0.0,48,144.844,-3073.716,6926.284
20200319,Hold,148.55,0,0.0,48,144.844,-2724.756,7275.244
20200320,Hold,156.47,0,0.0,48,144.844,-2344.596,7655.404
20200323,Hold,147.8,0,0.0,48,144.844,-2760.756,7239.244
20200324,Hold,149.08,0,0.0,48,144.844,-2699.316,7300.684
20200325,Hold,156.8,0,0.0,48,144.844,-2328.756,7671.244
20200326,Hold,167.37,0,0.0,48,144.844,-1821.396,8178.604
20200327,Hold,165.26,0,0.0,48,144.844,-1922.676,8077.324
20200330,Sell,158.25,-48,7592.202,0,7737.046,-2262.954,7737.046
20200331,Hold,161.4,0,0.0,0,7737.046,-2262.954,7737.046
20200401,Buy,151.01,51,-7705.360754999999,51,31.685,-2266.805,7733.195
20200402,Hold,149.8,0,0.0,51,31.685,-2328.515,7671.485
20200403,Hold,146.6,0,0.0,51,31.685,-2491.715,7508.285
20200406,Hold,156.24,0,0.0,51,31.685,-2000.075,7999.925
20200407,Hold,163.16,0,0.0,51,31.685,-1647.155,8352.845
20200408,Hold,161.4,0,0.0,51,31.685,-1736.915,8263.085
20200409,Hold,165.76,0,0.0,51,31.685,-1514.555,8485.445
20200413,Hold,161.98,0,0.0,51,31.685,-1707.335,8292.665
20200414,Sell,163.86,-51,8352.68157,0,8384.367,-1615.633,8384.367
20200415,Buy,157.89,53,-8372.354084999999,53,12.013,-1619.817,8380.183
20200416,Hold,156.33,0,0.0,53,12.013,-1702.497,8297.503
20200417,Hold,164.93,0,0.0,53,12.013,-1246.697,8753.303
20200420,Hold,169.65,0,0.0,53,12.013,-996.537,9003.463
20200421,Hold,162.84,0,0.0,53,12.013,-1357.467,8642.533
20200422,Sell,161.74,-53,8567.933890000002,0,8579.946,-1420.054,8579.946
20200423,Hold,162.8,0,0.0,0,8579.946,-1420.054,8579.946
20200424,Buy,161.18,53,-8546.81127,53,33.135,-1424.325,8575.675
20200427,Hold,165.51,0,0.0,53,33.135,-1194.835,8805.165
20200428,Hold,166.49,0,0.0,53,33.135,-1142.895,8857.105
20200429,Hold,169.11,0,0.0,53,33.135,-1004.035,8995.965
20200430,Hold,174.33,0,0.0,53,33.135,-727.375,9272.625
20200501,Hold,168.32,0,0.0,53,33.135,-1045.905,8954.095
20200504,Sell,169.26,-53,8966.294609999999,0,8999.43,-1000.57,8999.43
20200505,Hold,173.84,0,0.0,0,8999.43,-1000.57,8999.43
20200506,Buy,168.24,53,-8921.17836,53,78.251,-1005.029,8994.971
20200507,Hold,170.13,0,0.0,53,78.251,-904.859,9095.141
20200508,Sell,172.87,-53,9157.528945000002,0,9235.78,-764.22,9235.78
20200511,Buy,169.71,54,-9168.92217,54,66.858,-768.802,9231.198
20200512,Hold,168.65,0,0.0,54,66.858,-826.042,9173.958
20200513,Hold,164.63,0,0.0,54,66.858,-1043.122,8956.878
20200514,Hold,157.89,0,0.0,54,66.858,-1407.082,8592.918
20200515,Hold,161.59,0,0.0,54,66.858,-1207.282,8792.718
20200518,Hold,169.7,0,0.0,54,66.858,-769.342,9230.658
20200519,Hold,175.9,0,0.0,54,66.858,-434.542,9565.458
20200520,Hold,174.17,0,0.0,54,66.858,-527.962,9472.038
20200521,Hold,177.41,0,0.0,54,66.858,-353.002,9646.998
20200522,Hold,176.25,0,0.0,54,66.858,-415.642,9584.358
20200526,Hold,181.36,0,0.0,54,66.858,-139.702,9860.298
20200527,Hold,187.34,0,0.0,54,66.858,183.218,10183.218
20200528,Hold,191.7,0,0.0,54,66.858,418.658,10418.658
20200529,Hold,189.6,0,0.0,54,66.858,305.258,10305.258
20200601,Hold,196.53,0,0.0,54,66.858,679.478,10679.478
20200602,Hold,198.0,0,0.0,54,66.858,758.858,10758.858
20200603,Hold,201.98,0,0.0,54,66.858,973.778,10973.778
20200604,Hold,200.49,0,0.0,54,66.858,893.318,10893.318
20200605,Hold,200.62,0,0.0,54,66.858,900.338,10900.338
20200608,Hold,200.82,0,0.0,54,66.858,911.138,10911.138
20200609,Hold,200.37,0,0.0,54,66.858,886.838,10886.838
20200610,Hold,198.83,0,0.0,54,66.858,803.678,10803.678
20200611,Hold,193.77,0,0.0,54,66.858,530.438,10530.438
20200612,Hold,189.2,0,0.0,54,66.858,283.658,10283.658
20200615,Hold,185.58,0,0.0,54,66.858,88.178,10088.178
20200616,Hold,194.13,0,0.0,54,66.858,549.878,10549.878
20200617,Hold,193.27,0,0.0,54,66.858,503.438,10503.438
20200618,Hold,191.8,0,0.0,54,66.858,424.058,10424.058
20200619,Hold,197.26,0,0.0,54,66.858,718.898,10718.898
20200622,Sell,188.64,-54,10181.46672,0,10248.325,248.325,10248.325
20200623,Buy,191.06,53,-10131.24309,53,117.082,243.262,10243.262
20200624,Hold,190.95,0,0.0,53,117.082,237.432,10237.432
20200625,Hold,184.12,0,0.0,53,117.082,-124.558,9875.442
20200626,Hold,185.87,0,0.0,53,117.082,-31.808,9968.192
20200629,Hold,182.82,0,0.0,53,117.082,-193.458,9806.542
20200630,Hold,183.12,0,0.0,53,117.082,-177.558,9822.442
20200701,Hold,187.25,0,0.0,53,117.082,41.332,10041.332
20200702,Hold,190.01,0,0.0,53,117.082,187.612,10187.612
20200706,Hold,191.44,0,0.0,53,117.082,263.402,10263.402
20200707,Hold,189.34,0,0.0,53,117.082,152.102,10152.102
20200708,Hold,185.98,0,0.0,53,117.082,-25.978,9974.022
20200709,Hold,186.39,0,0.0,53,117.082,-4.248,9995.752
20200710,Hold,185.77,0,0.0,53,117.082,-37.108,9962.892
20200713,Hold,188.24,0,0.0,53,117.082,93.802,10093.802
20200714,Hold,186.52,0,0.0,53,117.082,2.642,10002.642
20200715,Sell,196.26,-53,10396.579109999999,0,10513.661,513.661,10513.661
20200716,Buy,195.99,53,-10392.663735,53,120.997,508.467,10508.467
20200717,Hold,197.46,0,0.0,53,120.997,586.377,10586.377
20200720,Sell,194.38,-53,10296.98893,0,10417.986,417.986,10417.986
20200721,Hold,194.93,0,0.0,0,10417.986,417.986,10417.986
20200722,Buy,191.77,54,-10360.75779,54,57.228,412.808,10412.808
20200723,Hold,194.18,0,0.0,54,57.228,542.948,10542.948
20200724,Hold,190.13,0,0.0,54,57.228,324.248,10324.248
20200727,Hold,189.8,0,0.0,54,57.228,306.428,10306.428
20200728,Hold,189.11,0,0.0,54,57.228,269.168,10269.168
20200729,Hold,190.05,0,0.0,54,57.228,319.928,10319.928
20200730,Hold,187.08,0,0.0,54,57.228,159.548,10159.548
20200731,Hold,190.48,0,0.0,54,57.228,343.148,10343.148
20200803,Sell,196.53,-54,10607.31369,0,10664.542,664.542,10664.542
20200804,Buy,195.61,54,-10568.22147,54,96.321,659.261,10659.261
20200805,Hold,197.36,0,0.0,54,96.321,753.761,10753.761
20200806,Hold,198.19,0,0.0,54,96.321,798.581,10798.581
20200807,Hold,196.24,0,0.0,54,96.321,693.281,10693.281
20200810,Hold,196.92,0,0.0,54,96.321,730.001,10730.001
20200811,Sell,203.34,-54,10974.869820000002,0,11071.19,1071.19,11071.19
20200812,Buy,205.25,53,-10883.689124999999,53,187.501,1065.751,11065.751
20200813,Hold,211.18,0,0.0,53,187.501,1380.041,11380.041
20200814,Hold,209.08,0,0.0,53,187.501,1268.741,11268.741
20200817,Hold,211.16,0,0.0,53,187.501,1378.981,11378.981
20200818,Hold,210.33,0,0.0,53,187.501,1334.991,11334.991
20200819,Hold,210.29,0,0.0,53,187.501,1332.871,11332.871
20200820,Hold,195.25,0,0.0,53,187.501,535.751,10535.751
20200821,Hold,199.11,0,0.0,53,187.501,740.331,10740.331
20200824,Hold,208.97,0,0.0,53,187.501,1262.911,11262.911
20200825,Hold,210.31,0,0.0,53,187.501,1333.931,11333.931
20200826,Hold,212.15,0,0.0,53,187.501,1431.451,11431.451
20200827,Hold,213.94,0,0.0,53,187.501,1526.321,11526.321
20200828,Hold,213.82,0,0.0,53,187.501,1519.961,11519.961
20200831,Sell,220.94,-53,11703.96509,0,11891.466,1891.466,11891.466
20200901,Buy,216.44,54,-11693.603879999999,54,197.862,1885.622,11885.622
20200902,Hold,219.35,0,0.0,54,197.862,2042.762,12042.762
20200903,Hold,219.76,0,0.0,54,197.862,2064.902,12064.902
20200904,Sell,216.38,-54,11678.677740000001,0,11876.54,1876.54,11876.54
20200908,Buy,211.38,56,-11843.198639999999,56,33.342,1870.622,11870.622
20200909,Hold,214.7,0,0.0,56,33.342,2056.542,12056.542
20200910,Hold,217.12,0,0.0,56,33.342,2192.062,12192.062
20200911,Hold,213.81,0,0.0,56,33.342,2006.702,12006.702
20200914,Hold,214.12,0,0.0,56,33.342,2024.062,12024.062
20200915,Hold,216.65,0,0.0,56,33.342,2165.742,12165.742
20200916,Hold,215.87,0,0.0,56,33.342,2122.062,12122.062
20200917,Hold,213.12,0,0.0,56,33.342,1968.062,11968.062
20200918,Hold,211.63,0,0.0,56,33.342,1884.622,11884.622
20200921,Hold,207.2,0,0.0,56,33.342,1636.542,11636.542
20200922,Hold,206.73,0,0.0,56,33.342,1610.222,11610.222
20200923,Hold,208.56,0,0.0,56,33.342,1712.702,11712.702
20200924,Hold,204.5,0,0.0,56,33.342,1485.342,11485.342
20200925,Hold,206.9,0,0.0,56,33.342,1619.742,11619.742
20200928,Sell,214.71,-56,12017.74812,0,12051.09,2051.09,12051.09
20200929,Buy,215.46,55,-11856.22515,55,194.865,2045.165,12045.165
20200930,Hold,213.44,0,0.0,55,194.865,1934.065,11934.065
20201001,Hold,217.27,0,0.0,55,194.865,2144.715,12144.715
20201002,Hold,214.75,0,0.0,55,194.865,2006.115,12006.115
20201005,Hold,219.22,0,0.0,55,194.865,2251.965,12251.965
20201006,Hold,219.55,0,0.0,55,194.865,2270.115,12270.115
20201007,Sell,217.0,-55,11929.032500000001,0,12123.897,2123.897,12123.897
20201008,Buy,219.79,55,-12094.494224999999,55,29.403,2117.853,12117.853
20201009,Hold,222.1,0,0.0,55,29.403,2244.903,12244.903
20201012,Hold,223.93,0,0.0,55,29.403,2345.553,12345.553
20201013,Hold,221.66,0,0.0,55,29.403,2220.703,12220.703
