,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,102.49,97,-9946.500764999999,97,53.499,-4.971,9995.029
20190110,Hold,97.405,0,0.0,97,53.499,-498.216,9501.784
20190111,Sell,105.22,-97,10201.23683,0,10254.736,254.736,10254.736
20190114,Buy,104.38,98,-10234.35462,98,20.381,249.621,10249.621
20190115,Hold,104.62,0,0.0,98,20.381,273.141,10273.141
20190116,Hold,104.1,0,0.0,98,20.381,222.181,10222.181
20190117,Hold,103.36,0,0.0,98,20.381,149.661,10149.661
20190118,Sell,109.21,-98,10697.228710000001,0,10717.61,717.61,10717.61
20190122,Buy,108.22,98,-10610.86278,98,106.747,712.307,10712.307
20190123,Sell,105.78,-98,10361.256780000002,0,10468.004,468.004,10468.004
20190124,Buy,103.83,100,-10388.191499999999,100,79.813,462.813,10462.813
20190125,Sell,107.1,-100,10704.645,0,10784.458,784.458,10784.458
20190128,Buy,106.58,101,-10769.96229,101,14.495,779.075,10779.075
20190129,Hold,108.04,0,0.0,101,14.495,926.535,10926.535
20190130,Hold,108.67,0,0.0,101,14.495,990.165,10990.165
20190131,Hold,109.98,0,0.0,101,14.495,1122.475,11122.475
20190201,Hold,109.11,0,0.0,101,14.495,1034.605,11034.605
20190204,Hold,108.41,0,0.0,101,14.495,963.905,10963.905
20190205,Hold,110.09,0,0.0,101,14.495,1133.585,11133.585
20190206,Hold,111.74,0,0.0,101,14.495,1300.235,11300.235
20190207,Hold,110.94,0,0.0,101,14.495,1219.435,11219.435
20190208,Hold,109.47,0,0.0,101,14.495,1070.965,11070.965
20190211,Sell,110.89,-101,11194.290055,0,11208.785,1208.785,11208.785
20190212,Buy,112.83,99,-11175.755084999999,99,33.03,1203.2,11203.2
20190213,Hold,114.18,0,0.0,99,33.03,1336.85,11336.85
20190214,Hold,110.8,0,0.0,99,33.03,1002.23,11002.23
20190215,Sell,113.12,-99,11193.280560000001,0,11226.311,1226.311,11226.311
20190219,Hold,112.55,0,0.0,0,11226.311,1226.311,11226.311
20190220,Buy,112.66,99,-11158.916669999999,99,67.394,1220.734,11220.734
20190221,Hold,113.49,0,0.0,99,67.394,1302.904,11302.904
20190222,Hold,115.6,0,0.0,99,67.394,1511.794,11511.794
20190225,Hold,118.42,0,0.0,99,67.394,1790.974,11790.974
20190226,Hold,115.39,0,0.0,99,67.394,1491.004,11491.004
20190227,Sell,115.07,-99,11386.234035,0,11453.628,1453.628,11453.628
20190228,Hold,115.76,0,0.0,0,11453.628,1453.628,11453.628
20190301,Hold,115.98,0,0.0,0,11453.628,1453.628,11453.628
20190304,Buy,114.95,99,-11385.740025000001,99,67.888,1447.938,11447.938
20190305,Hold,112.11,0,0.0,99,67.888,1166.778,11166.778
