,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,168.76,59,-9961.81842,59,38.182,-4.978,9995.022
20200110,Hold,172.38,0,0.0,59,38.182,208.602,10208.602
20200113,Hold,170.7,0,0.0,59,38.182,109.482,10109.482
20200114,Hold,171.64,0,0.0,59,38.182,164.942,10164.942
20200115,Hold,170.94,0,0.0,59,38.182,123.642,10123.642
20200116,Sell,170.57,-59,10058.598184999999,0,10096.78,96.78,10096.78
20200117,Hold,172.95,0,0.0,0,10096.78,96.78,10096.78
20200121,Buy,170.34,59,-10055.085029999998,59,41.695,91.755,10091.755
20200122,Hold,172.96,0,0.0,59,41.695,246.335,10246.335
20200123,Hold,169.95,0,0.0,59,41.695,68.745,10068.745
20200124,Sell,171.75,-59,10128.183375,0,10169.878,169.878,10169.878
20200127,Buy,165.45,61,-10097.496224999999,61,72.382,164.832,10164.832
20200128,Hold,167.53,0,0.0,61,72.382,291.712,10291.712
20200129,Hold,170.1,0,0.0,61,72.382,448.482,10448.482
20200130,Hold,168.49,0,0.0,61,72.382,350.272,10350.272
20200131,Hold,167.43,0,0.0,61,72.382,285.612,10285.612
20200203,Sell,166.69,-61,10163.005955,0,10235.388,235.388,10235.388
20200204,Buy,166.28,61,-10148.151539999999,61,87.236,230.316,10230.316
20200205,Hold,167.56,0,0.0,61,87.236,308.396,10308.396
20200206,Hold,165.64,0,0.0,61,87.236,191.276,10191.276
20200207,Hold,165.47,0,0.0,61,87.236,180.906,10180.906
20200210,Hold,165.81,0,0.0,61,87.236,201.646,10201.646
20200211,Sell,167.91,-61,10237.388745,0,10324.625,324.625,10324.625
20200212,Buy,170.43,60,-10230.912900000001,60,93.712,319.512,10319.512
20200213,Hold,169.38,0,0.0,60,93.712,256.512,10256.512
20200214,Hold,170.95,0,0.0,60,93.712,350.712,10350.712
20200218,Hold,174.57,0,0.0,60,93.712,567.912,10567.912
20200219,Hold,178.26,0,0.0,60,93.712,789.312,10789.312
20200220,Hold,176.88,0,0.0,60,93.712,706.512,10706.512
20200221,Hold,174.27,0,0.0,60,93.712,549.912,10549.912
20200224,Hold,159.99,0,0.0,60,93.712,-306.888,9693.112
20200225,Hold,163.07,0,0.0,60,93.712,-122.088,9877.912
20200226,Hold,160.09,0,0.0,60,93.712,-300.888,9699.112
20200227,Hold,156.25,0,0.0,60,93.712,-531.288,9468.712
20200228,Hold,152.31,0,0.0,60,93.712,-767.688,9232.312
20200302,Hold,154.53,0,0.0,60,93.712,-634.488,9365.512
20200303,Hold,159.32,0,0.0,60,93.712,-347.088,9652.912
20200304,Hold,155.74,0,0.0,60,93.712,-561.888,9438.112
20200305,Hold,153.8,0,0.0,60,93.712,-678.288,9321.712
20200306,Hold,150.49,0,0.0,60,93.712,-876.888,9123.112
20200309,Hold,139.53,0,0.0,60,93.712,-1534.488,8465.512
20200310,Hold,144.19,0,0.0,60,93.712,-1254.888,8745.112
20200311,Hold,144.64,0,0.0,60,93.712,-1227.888,8772.112
20200312,Hold,131.4,0,0.0,60,93.712,-2022.288,7977.712
20200313,Hold,142.25,0,0.0,60,93.712,-1371.288,8628.712
20200316,Hold,127.85,0,0.0,60,93.712,-2235.288,7764.712
20200317,Hold,137.38,0,0.0,60,93.712,-1663.488,8336.512
20200318,Hold,132.54,0,0.0,60,93.712,-1953.888,8046.112
20200319,Hold,134.39,0,0.0,60,93.712,-1842.888,8157.112
20200320,Hold,135.81,0,0.0,60,93.712,-1757.688,8242.312
20200323,Hold,131.26,0,0.0,60,93.712,-2030.688,7969.312
20200324,Sell,139.15,-60,8344.8255,0,8438.538,-1561.462,8438.538
20200325,Buy,147.59,57,-8416.836315,57,21.701,-1565.669,8434.331
20200326,Hold,149.88,0,0.0,57,21.701,-1435.139,8564.861
20200327,Hold,150.83,0,0.0,57,21.701,-1380.989,8619.011
20200330,Sell,149.44,-57,8513.820960000001,0,8535.522,-1464.478,8535.522
20200331,Hold,150.67,0,0.0,0,8535.522,-1464.478,8535.522
20200401,Buy,150.94,56,-8456.86632,56,78.656,-1468.704,8531.296
20200402,Hold,144.62,0,0.0,56,78.656,-1822.624,8177.376
20200403,Hold,137.47,0,0.0,56,78.656,-2223.024,7776.976
20200406,Hold,138.24,0,0.0,56,78.656,-2179.904,7820.096
20200407,Hold,148.79,0,0.0,56,78.656,-1589.104,8410.896
20200408,Hold,148.93,0,0.0,56,78.656,-1581.264,8418.736
20200409,Hold,152.2,0,0.0,56,78.656,-1398.144,8601.856
20200413,Hold,155.64,0,0.0,56,78.656,-1205.504,8794.496
20200414,Hold,153.75,0,0.0,56,78.656,-1311.344,8688.656
20200415,Hold,151.07,0,0.0,56,78.656,-1461.424,8538.576
20200416,Sell,152.91,-56,8558.67852,0,8637.334,-1362.666,8637.334
20200417,Hold,160.99,0,0.0,0,8637.334,-1362.666,8637.334
20200420,Buy,158.34,54,-8554.63518,54,82.699,-1366.941,8633.059
20200421,Hold,157.69,0,0.0,54,82.699,-1402.041,8597.959
20200422,Sell,156.64,-54,8454.33072,0,8537.03,-1462.97,8537.03
20200423,Buy,155.89,54,-8422.26903,54,114.761,-1467.179,8532.821
20200424,Hold,157.35,0,0.0,54,114.761,-1388.339,8611.661
20200427,Hold,156.91,0,0.0,54,114.761,-1412.099,8587.901
20200428,Hold,158.88,0,0.0,54,114.761,-1305.719,8694.281
20200429,Sell,158.35,-54,8546.62455,0,8661.386,-1338.614,8661.386
