,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Buy,146.73,68,-9982.628819999998,68,17.371,-4.989,9995.011
20160112,Hold,147.9,0,0.0,68,17.371,74.571,10074.571
20160113,Hold,146.67,0,0.0,68,17.371,-9.069,9990.931
20160114,Hold,145.14,0,0.0,68,17.371,-113.109,9886.891
20160115,Hold,142.45,0,0.0,68,17.371,-296.029,9703.971
20160119,Hold,144.57,0,0.0,68,17.371,-151.869,9848.131
20160120,Hold,145.38,0,0.0,68,17.371,-96.789,9903.211
20160121,Hold,141.01,0,0.0,68,17.371,-393.949,9606.051
20160122,Hold,141.41,0,0.0,68,17.371,-366.749,9633.251
20160125,Sell,142.84,-68,9708.26344,0,9725.635,-274.365,9725.635
20160126,Buy,142.71,68,-9709.13214,68,16.502,-279.218,9720.782
20160127,Hold,145.02,0,0.0,68,16.502,-122.138,9877.862
20160128,Hold,143.07,0,0.0,68,16.502,-254.738,9745.262
20160129,Hold,140.88,0,0.0,68,16.502,-403.658,9596.342
20160201,Hold,139.56,0,0.0,68,16.502,-493.418,9506.582
20160202,Hold,140.85,0,0.0,68,16.502,-405.698,9594.302
20160203,Hold,138.65,0,0.0,68,16.502,-555.298,9444.702
20160204,Hold,138.68,0,0.0,68,16.502,-553.258,9446.742
20160205,Hold,138.82,0,0.0,68,16.502,-543.738,9456.262
20160208,Hold,135.69,0,0.0,68,16.502,-756.578,9243.422
20160209,Hold,132.45,0,0.0,68,16.502,-976.898,9023.102
20160210,Hold,132.46,0,0.0,68,16.502,-976.218,9023.782
20160211,Hold,132.12,0,0.0,68,16.502,-999.338,9000.662
20160212,Hold,133.35,0,0.0,68,16.502,-915.698,9084.302
20160216,Hold,135.47,0,0.0,68,16.502,-771.538,9228.462
20160217,Hold,135.63,0,0.0,68,16.502,-760.658,9239.342
20160218,Hold,136.67,0,0.0,68,16.502,-689.938,9310.062
20160219,Hold,137.1,0,0.0,68,16.502,-660.698,9339.302
20160222,Hold,139.61,0,0.0,68,16.502,-490.018,9509.982
20160223,Hold,139.3,0,0.0,68,16.502,-511.098,9488.902
20160224,Hold,138.74,0,0.0,68,16.502,-549.178,9450.822
20160225,Hold,139.67,0,0.0,68,16.502,-485.938,9514.062
20160226,Hold,141.02,0,0.0,68,16.502,-394.138,9605.862
20160229,Hold,139.99,0,0.0,68,16.502,-464.178,9535.822
20160301,Hold,141.06,0,0.0,68,16.502,-391.418,9608.582
20160302,Sell,144.74,-68,9837.39884,0,9853.901,-146.099,9853.901
20160303,Buy,145.78,67,-9772.14363,67,81.758,-150.982,9849.018
20160304,Hold,146.67,0,0.0,67,81.758,-91.352,9908.648
20160307,Hold,145.68,0,0.0,67,81.758,-157.682,9842.318
20160308,Hold,147.15,0,0.0,67,81.758,-59.192,9940.808
20160309,Hold,146.2,0,0.0,67,81.758,-122.842,9877.158
20160310,Hold,148.24,0,0.0,67,81.758,13.838,10013.838
20160311,Hold,148.11,0,0.0,67,81.758,5.128,10005.128
20160314,Hold,149.77,0,0.0,67,81.758,116.348,10116.348
20160315,Hold,149.09,0,0.0,67,81.758,70.788,10070.788
20160316,Hold,149.8,0,0.0,67,81.758,118.358,10118.358
20160317,Hold,151.59,0,0.0,67,81.758,238.288,10238.288
20160318,Hold,154.4,0,0.0,67,81.758,426.558,10426.558
20160321,Hold,152.75,0,0.0,67,81.758,316.008,10316.008
20160322,Sell,151.16,-67,10122.65614,0,10204.414,204.414,10204.414
20160323,Hold,151.93,0,0.0,0,10204.414,204.414,10204.414
20160324,Buy,151.16,67,-10132.78386,67,71.63,199.35,10199.35
20160328,Hold,151.93,0,0.0,67,71.63,250.94,10250.94
20160329,Hold,152.76,0,0.0,67,71.63,306.55,10306.55
20160330,Sell,156.57,-67,10484.944904999998,0,10556.575,556.575,10556.575
20160331,Buy,155.66,67,-10434.434609999998,67,122.14,551.36,10551.36
20160401,Hold,156.2,0,0.0,67,122.14,587.54,10587.54
20160404,Hold,156.35,0,0.0,67,122.14,597.59,10597.59
20160405,Sell,155.33,-67,10401.906445,0,10524.047,524.047,10524.047
20160406,Buy,155.78,67,-10442.47863,67,81.568,518.828,10518.828
20160407,Hold,155.13,0,0.0,67,81.568,475.278,10475.278
20160408,Hold,155.54,0,0.0,67,81.568,502.748,10502.748
20160411,Hold,154.51,0,0.0,67,81.568,433.738,10433.738
20160412,Hold,153.09,0,0.0,67,81.568,338.598,10338.598
20160413,Hold,153.1,0,0.0,67,81.568,339.268,10339.268
20160414,Hold,150.23,0,0.0,67,81.568,146.978,10146.978
20160415,Hold,146.37,0,0.0,67,81.568,-111.642,9888.358
20160418,Hold,149.55,0,0.0,67,81.568,101.418,10101.418
20160419,Hold,150.55,0,0.0,67,81.568,168.418,10168.418
20160420,Hold,151.31,0,0.0,67,81.568,219.338,10219.338
20160421,Hold,147.25,0,0.0,67,81.568,-52.682,9947.318
20160422,Sell,147.06,-67,9848.093490000001,0,9929.662,-70.338,9929.662
20160425,Buy,147.82,67,-9908.891969999999,67,20.77,-75.29,9924.71
20160426,Hold,149.73,0,0.0,67,20.77,52.68,10052.68
20160427,Hold,148.45,0,0.0,67,20.77,-33.08,9966.92
20160428,Hold,146.61,0,0.0,67,20.77,-156.36,9843.64
20160429,Hold,146.9,0,0.0,67,20.77,-136.93,9863.07
20160502,Hold,146.12,0,0.0,67,20.77,-189.19,9810.81
20160503,Hold,148.26,0,0.0,67,20.77,-45.81,9954.19
20160504,Hold,147.69,0,0.0,67,20.77,-84.0,9916.0
20160505,Sell,152.03,-67,10180.916995000001,0,10201.687,201.687,10201.687
