,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,51.641,193,-9971.696356499999,193,28.304,-4.983,9995.017
20150112,Hold,52.178,0,0.0,193,28.304,98.658,10098.658
20150113,Hold,52.651,0,0.0,193,28.304,189.947,10189.947
20150114,Hold,51.774,0,0.0,193,28.304,20.686,10020.686
20150115,Hold,52.952,0,0.0,193,28.304,248.04,10248.04
20150116,Hold,53.131,0,0.0,193,28.304,282.587,10282.587
20150120,Hold,53.981,0,0.0,193,28.304,446.637,10446.637
20150121,Hold,52.356,0,0.0,193,28.304,133.012,10133.012
20150122,Sell,52.526,-193,10132.449241,0,10160.753,160.753,10160.753
20150123,Buy,53.739,188,-10107.983465999998,188,52.769,155.701,10155.701
20150126,Hold,53.801,0,0.0,188,52.769,167.357,10167.357
20150127,Hold,54.064,0,0.0,188,52.769,216.801,10216.801
20150128,Hold,54.544,0,0.0,188,52.769,307.041,10307.041
20150129,Sell,53.584,-188,10068.755104000002,0,10121.525,121.525,10121.525
20150130,Buy,53.382,189,-10094.242599,189,27.282,116.48,10116.48
20150202,Hold,52.481,0,0.0,189,27.282,-53.809,9946.191
20150203,Hold,52.086,0,0.0,189,27.282,-128.464,9871.536
20150204,Hold,54.326,0,0.0,189,27.282,294.896,10294.896
20150205,Hold,53.361,0,0.0,189,27.282,112.511,10112.511
20150206,Hold,53.963,0,0.0,189,27.282,226.289,10226.289
20150209,Hold,52.814,0,0.0,189,27.282,9.128,10009.128
20150210,Sell,52.839,-189,9981.577714500001,0,10008.86,8.86,10008.86
20150211,Buy,52.568,190,-9992.91396,190,15.946,3.866,10003.866
20150212,Hold,52.725,0,0.0,190,15.946,33.696,10033.696
20150213,Hold,53.833,0,0.0,190,15.946,244.216,10244.216
20150217,Hold,52.952,0,0.0,190,15.946,76.826,10076.826
20150218,Sell,53.376,-190,10136.369279999999,0,10152.315,152.315,10152.315
20150219,Buy,53.879,188,-10134.316626,188,17.998,147.25,10147.25
20150220,Hold,52.475,0,0.0,188,17.998,-116.702,9883.298
20150223,Hold,53.354,0,0.0,188,17.998,48.55,10048.55
20150224,Hold,53.759,0,0.0,188,17.998,124.69,10124.69
20150225,Hold,52.678,0,0.0,188,17.998,-78.538,9921.462
20150226,Hold,52.568,0,0.0,188,17.998,-99.218,9900.782
20150227,Hold,52.032,0,0.0,188,17.998,-199.986,9800.014
20150302,Hold,52.184,0,0.0,188,17.998,-171.41,9828.59
20150303,Hold,52.247,0,0.0,188,17.998,-159.566,9840.434
20150304,Hold,52.191,0,0.0,188,17.998,-170.094,9829.906
20150305,Hold,52.475,0,0.0,188,17.998,-116.702,9883.298
20150306,Hold,51.302,0,0.0,188,17.998,-337.226,9662.774
20150309,Hold,51.032,0,0.0,188,17.998,-387.986,9612.014
20150310,Hold,51.172,0,0.0,188,17.998,-361.666,9638.334
20150311,Hold,51.226,0,0.0,188,17.998,-351.514,9648.486
20150312,Hold,51.513,0,0.0,188,17.998,-297.558,9702.442
20150313,Sell,52.241,-188,9816.397346,0,9834.396,-165.604,9834.396
20150316,Buy,52.235,188,-9825.09009,188,9.306,-170.514,9829.486
